,clean company name,original company names,original row number,company matches,fuzz ratio
20,actavis ny,ACTAVIS LABS NY INC,28,['actavis ny'],[100]
21,actavis totowa,ACTAVIS TOTOWA,33,['actavis totowa'],[100]
22,actavis totowa teva,ACTAVIS TOTOWA TEVA,34,['actavis totowa teva'],[100]
23,actavis ut,ACTAVIS LABS UT INC,29,['actavis ut'],[100]
24,actelion,ACTELION PHARMS LTD,35,['actelion'],[100]
25,adapt,ADAPT,36,['adapt'],[100]
26,aegerion,AEGERION,37,['aegerion'],[100]
27,agila speclts,AGILA SPECLTS,38,['agila speclts'],[100]
28,agouron,AGOURON PHARMS,39,['agouron'],[100]
29,ailex,AILEX PHARMS LLC,40,['ailex'],[100]
30,aiping,AIPING PHARM INC,41,['aiping'],[100]
31,air chemicals,AIR PRODUCTS AND CHEMICALS INC,47,['air chemicals'],[100]
32,air liquid industrial,AIR LIQUID INDUSTRIAL US LP,42,['air liquid industrial'],[100]
33,air liquide america,"AIR LIQUIDE AMERICA LP, AIR LIQUIDE HEALTHCARE AMERICA CORP","43, 45","['air liquide america', 'air liquide america'], ['air liquide america', 'air liquide america']","[100, 100], [100, 100]"
34,air liquide america speciality gases,AIR LIQUIDE AMERICA SPECIALITY GASES,44,['air liquide america speciality gases'],[100]
35,air liquide large industries,AIR LIQUIDE LARGE INDUSTRIES US LP,46,['air liquide large industries'],[100]
36,airgas,AIRGAS USA LLC,50,['airgas'],[100]
37,airgas carbonic,AIRGAS CARBONIC INC,48,['airgas carbonic'],[100]
38,airgas merchants gases,AIRGAS MERCHANTS GASES LLC,49,['airgas merchants gases'],[100]
39,ajanta,AJANTA PHARMA LTD,51,['ajanta'],[100]
40,akorn,"AKORN, AKORN INC","52, 53","['akorn', 'akorn'], ['akorn', 'akorn']","[100, 100], [100, 100]"
41,alcon,"ALCON, ALCON PHARMS LTD","54, 55","['alcon', 'alcon'], ['alcon', 'alcon']","[100, 100], [100, 100]"
42,alembic,"ALEMBIC LTD, ALEMBIC PHARMS LTD","56, 57","['alembic', 'alembic'], ['alembic', 'alembic']","[100, 100], [100, 100]"
43,alexion,ALEXION PHARM,58,['alexion'],[100]
44,alimera sciences,ALIMERA SCIENCES INC,59,['alimera sciences'],[100]
45,alkem,"ALKEM, ALKEM LABS LTD","60, 61","['alkem', 'alkem'], ['alkem', 'alkem']","[100, 100], [100, 100]"
46,alkermes,"ALKERMES, ALKERMES INC","62, 63","['alkermes', 'alkermes'], ['alkermes', 'alkermes']","[100, 100], [100, 100]"
47,allegis,ALLEGIS,64,['allegis'],[100]
48,allergan,"ALLERGAN, ALLERGAN HOLDINGS","65, 66","['allergan', 'allergan'], ['allergan', 'allergan']","[100, 100], [100, 100]"
49,allergan sales,ALLERGAN SALES LLC,67,['allergan sales'],[100]
50,allied,ALLIED PHARMA INC,68,['allied'],[100]
51,alpharma,ALPHARMA PHARMS,69,['alpharma'],[100]
52,altaire,ALTAIRE PHARMS INC,70,['altaire'],[100]
53,altathera,ALTATHERA PHARMS LLC,71,['altathera'],[100]
54,alvogen,"ALVOGEN, ALVOGEN INC","72, 73","['alvogen', 'alvogen'], ['alvogen', 'alvogen']","[100, 100], [100, 100]"
55,alvogen malta,ALVOGEN MALTA,74,['alvogen malta'],[100]
56,amag,"AMAG PHARMA USA, AMAG PHARMS INC","75, 76","['amag', 'amag'], ['amag', 'amag']","[100, 100], [100, 100]"
57,amarin,AMARIN PHARMS,77,['amarin'],[100]
58,amedra,AMEDRA PHARMS LLC,78,['amedra'],[100]
59,amerigen,AMERIGEN PHARMS LTD,80,['amerigen'],[100]
60,amgen,"AMGEN, AMGEN INC","81, 82","['amgen', 'amgen'], ['amgen', 'amgen']","[100, 100], [100, 100]"
61,amneal,"AMNEAL PHARM, AMNEAL PHARMS, AMNEAL PHARMS CO, AMNEAL PHARMS LLC","83, 84, 85, 86","['amneal', 'amneal', 'amneal', 'amneal'], ['amneal', 'amneal', 'amneal', 'amneal'], ['amneal', 'amneal', 'amneal', 'amneal'], ['amneal', 'amneal', 'amneal', 'amneal']","[100, 100, 100, 100], [100, 100, 100, 100], [100, 100, 100, 100], [100, 100, 100, 100]"
62,amneal ny,AMNEAL PHARMS NY,87,['amneal ny'],[100]
63,amphastar,"AMPHASTAR PHARM, AMPHASTAR PHARMS INC","88, 89","['amphastar', 'amphastar'], ['amphastar', 'amphastar']","[100, 100], [100, 100]"
64,amring,AMRING PHARMS,90,['amring'],[100]
65,anacor,ANACOR PHARMS INC,91,['anacor'],[100]
66,anbex,ANBEX,92,['anbex'],[100]
67,anbison lab,ANBISON LAB CO LTD,93,['anbison lab'],[100]
68,anchen,ANCHEN PHARMS,94,['anchen'],[100]
69,andrx,ANDRX LABS LLC,96,['andrx'],[100]
70,angelini,ANGELINI PHARMA,97,['angelini'],[100]
71,ani,"ANI PHARMS, ANI PHARMS INC","98, 99","['ani', 'ani'], ['ani', 'ani']","[100, 100], [100, 100]"
72,antares,ANTARES PHARMA INC,100,['antares'],[100]
73,antibiotice,ANTIBIOTICE,101,['antibiotice'],[100]
74,antrim,ANTRIM PHARMS LLC,102,['antrim'],[100]
75,apgdi,APGDI,103,['apgdi'],[100]
76,apil,APIL,104,['apil'],[100]
77,apopharma,APOPHARMA INC,105,['apopharma'],[100]
78,apotex,"APOTEX, APOTEX CORP, APOTEX INC, APOTEX TECHNOLOGIES","106, 107, 108, 109","['apotex', 'apotex', 'apotex', 'apotex'], ['apotex', 'apotex', 'apotex', 'apotex'], ['apotex', 'apotex', 'apotex', 'apotex'], ['apotex', 'apotex', 'apotex', 'apotex']","[100, 100, 100, 100], [100, 100, 100, 100], [100, 100, 100, 100], [100, 100, 100, 100]"
79,apothecon,APOTHECON,110,['apothecon'],[100]
80,appco,APPCO PHARMA LLC,111,['appco'],[100]
81,aprecia,APRECIA PHARMS,112,['aprecia'],[100]
82,aqua,"AQUA PHARMS, AQUA PHARMS LLC","113, 114","['aqua', 'aqua'], ['aqua', 'aqua']","[100, 100], [100, 100]"
83,aralez,"ARALEZ PHARMS, ARALEZ PHARMS INC","115, 116","['aralez', 'aralez'], ['aralez', 'aralez']","[100, 100], [100, 100]"
84,arbor,ARBOR PHARMS LLC,117,['arbor'],[100]
85,ariad,ARIAD,118,['ariad'],[100]
86,army,US ARMY,897,['army'],[100]
87,ascend theraps,ASCEND THERAPS US,119,['ascend theraps'],[100]
88,ascent,ASCENT PHARMS INC,120,['ascent'],[100]
89,aspen air,ASPEN AIR,121,['aspen air'],[100]
90,aspen global,ASPEN GLOBAL INC,122,['aspen global'],[100]
91,astellas,ASTELLAS,123,['astellas'],[100]
92,astrazeneca,"ASTRAZENECA, ASTRAZENECA AB, ASTRAZENECA LP, ASTRAZENECA PHARMS","124, 125, 126, 127","['astrazeneca', 'astrazeneca', 'astrazeneca', 'astrazeneca'], ['astrazeneca', 'astrazeneca', 'astrazeneca', 'astrazeneca'], ['astrazeneca', 'astrazeneca', 'astrazeneca', 'astrazeneca'], ['astrazeneca', 'astrazeneca', 'astrazeneca', 'astrazeneca']","[100, 100, 100, 100], [100, 100, 100, 100], [100, 100, 100, 100], [100, 100, 100, 100]"
93,atnahs,ATNAHS PHARMA US,128,['atnahs'],[100]
94,aton,ATON,129,['aton'],[100]
95,aton vpna,ATON PHARMA VPNA,130,['aton vpna'],[100]
96,aurobindo,"AUROBINDO, AUROBINDO PHARMA, AUROBINDO PHARMA LTD","131, 132, 133","['aurobindo', 'aurobindo', 'aurobindo'], ['aurobindo', 'aurobindo', 'aurobindo'], ['aurobindo', 'aurobindo', 'aurobindo']","[100, 100, 100], [100, 100, 100], [100, 100, 100]"
97,aurolife,AUROLIFE PHARMA LLC,134,['aurolife'],[100]
98,austarpharma,AUSTARPHARMA LLC,135,['austarpharma'],[100]
99,auxilium,"AUXILIUM PHARMS, AUXILIUM PHARMS INC, AUXILIUM PHARMS LLC","136, 137, 138","['auxilium', 'auxilium', 'auxilium'], ['auxilium', 'auxilium', 'auxilium'], ['auxilium', 'auxilium', 'auxilium']","[100, 100, 100], [100, 100, 100], [100, 100, 100]"
100,avadel,AVADEL PHARMS,140,['avadel'],[100]
101,avadel legacy,AVADEL LEGACY,139,['avadel legacy'],[100]
102,avanir,AVANIR PHARMS,141,['avanir'],[100]
103,avanthi,AVANTHI INC,142,['avanthi'],[100]
104,avema,AVEMA PHARMA,143,['avema'],[100]
105,avent,AVENT,144,['avent'],[100]
106,aveva,AVEVA,145,['aveva'],[100]
107,avid radiopharms,AVID RADIOPHARMS INC,146,['avid radiopharms'],[100]
108,aytu bioscience,AYTU BIOSCIENCE INC,147,['aytu bioscience'],[100]
109,bajaj,BAJAJ MEDICAL LLC,150,['bajaj'],[100]
110,barr,"BARR, BARR LABS INC","151, 153","['barr', 'barr'], ['barr', 'barr']","[100, 100], [100, 100]"
111,barr div teva,BARR LABS DIV TEVA,152,['barr div teva'],[100]
112,bausch lomb,"BAUSCH AND LOMB, BAUSCH AND LOMB INC","154, 155","['bausch lomb', 'bausch lomb'], ['bausch lomb', 'bausch lomb']","[100, 100], [100, 100]"
113,baxter,"BAXTER HLTHCARE, BAXTER HLTHCARE CORP","156, 157","['baxter', 'baxter'], ['baxter', 'baxter']","[100, 100], [100, 100]"
114,bayer,"BAYER, BAYER HEALTHCARE LLC, BAYER HEALTHCARE PHARMS, BAYER HLTHCARE","158, 159, 160, 161","['bayer', 'bayer', 'bayer', 'bayer'], ['bayer', 'bayer', 'bayer', 'bayer'], ['bayer', 'bayer', 'bayer', 'bayer'], ['bayer', 'bayer', 'bayer', 'bayer']","[100, 100, 100, 100], [100, 100, 100, 100], [100, 100, 100, 100], [100, 100, 100, 100]"
115,bayshore,BAYSHORE PHARMS LLC,162,['bayshore'],[100]
116,bdsi,BDSI,163,['bdsi'],[100]
117,becton dickinson,BECTON DICKINSON CO,164,['becton dickinson'],[100]
118,bedford,BEDFORD,165,['bedford'],[100]
119,belcher,"BELCHER PHARMS, BELCHER PHARMS LLC","166, 167","['belcher', 'belcher'], ['belcher', 'belcher']","[100, 100], [100, 100]"
120,beximco,BEXIMCO USA,168,['beximco'],[100]
121,bio nucleonics,BIO NUCLEONICS,169,['bio nucleonics'],[100]
122,bio-pharm,BIO-PHARM INC,170,['bio-pharm'],[100]
123,biocon,BIOCON LIMITED,171,['biocon'],[100]
124,biocryst,BIOCRYST,172,['biocryst'],[100]
125,biogen,BIOGEN,173,['biogen'],[100]
126,biogen idec,"BIOGEN IDEC, BIOGEN IDEC INC","174, 175","['biogen idec', 'biogen idec'], ['biogen idec', 'biogen idec']","[100, 100], [100, 100]"
127,biomarin,"BIOMARIN, BIOMARIN PHARM","176, 177","['biomarin', 'biomarin'], ['biomarin', 'biomarin']","[100, 100], [100, 100]"
128,biomedcl res fdn,BIOMEDCL RES FDN,178,['biomedcl res fdn'],[100]
129,bionpharma,BIONPHARMA INC,179,['bionpharma'],[100]
130,biovitrum,BIOVITRUM AB,180,['biovitrum'],[100]
131,boehringer ingelheim,BOEHRINGER INGELHEIM,181,['boehringer ingelheim'],[100]
132,boscogen,BOSCOGEN,182,['boscogen'],[100]
133,bracco,BRACCO,183,['bracco'],[100]
134,braintree,"BRAINTREE, BRAINTREE LABS","184, 185","['braintree', 'braintree'], ['braintree', 'braintree']","[100, 100], [100, 100]"
135,braun,"B BRAUN, B BRAUN MEDICAL INC","148, 149","['braun', 'braun'], ['braun', 'braun']","[100, 100], [100, 100]"
136,breckenridge,BRECKENRIDGE PHARM,186,['breckenridge'],[100]
137,brigham womens,BRIGHAM WOMENS,187,['brigham womens'],[100]
138,brigham womens hosp,BRIGHAM WOMENS HOSP,188,['brigham womens hosp'],[100]
139,bristol myers squibb,BRISTOL MYERS SQUIBB,189,['bristol myers squibb'],[100]
140,bristol-myers squibb,BRISTOL-MYERS SQUIBB,190,['bristol-myers squibb'],[100]
141,btg,BTG INTERNATIONAL INC,191,['btg'],[100]
142,cadila,CADILA PHARMS LTD,192,['cadila'],[100]
143,cadista,CADISTA PHARMS,193,['cadista'],[100]
144,cardinal,CARDINAL HEALTH 414,194,['cardinal'],[100]
145,carefusion,CAREFUSION 2200,195,['carefusion'],[100]
146,caribe,CARIBE HOLDINGS,196,['caribe'],[100]
147,carlsbad,CARLSBAD,197,['carlsbad'],[100]
148,casper,CASPER PHARMA LLC,198,['casper'],[100]
149,catalent,CATALENT,199,['catalent'],[100]
150,cediprof,CEDIPROF INC,200,['cediprof'],[100]
151,cee kay,CEE KAY SUPPLY,201,['cee kay'],[100]
152,celgene,"CELGENE, CELGENE CORP","202, 203","['celgene', 'celgene'], ['celgene', 'celgene']","[100, 100], [100, 100]"
153,centocor,CENTOCOR INC,204,['centocor'],[100]
154,centocor ortho biotech,CENTOCOR ORTHO BIOTECH INC,205,['centocor ortho biotech'],[100]
155,central radiopharm,CENTRAL RADIOPHARM,206,['central radiopharm'],[100]
156,cephalon,CEPHALON,207,['cephalon'],[100]
157,cerexa,CEREXA,208,['cerexa'],[100]
158,cft,CFT PHARMS LLC,209,['cft'],[100]
159,chartwell life,CHARTWELL LIFE SCI,210,['chartwell life'],[100]
160,chartwell molecules,CHARTWELL MOLECULES,211,['chartwell molecules'],[100]
161,chartwell rx,CHARTWELL RX,212,['chartwell rx'],[100]
162,chattem,CHATTEM,213,['chattem'],[100]
163,chemo research sl,CHEMO RESEARCH SL,214,['chemo research sl'],[100]
164,cheplapharm,CHEPLAPHARM,215,['cheplapharm'],[100]
165,chiesi,CHIESI USA INC,216,['chiesi'],[100]
166,childrens hosp mi,CHILDRENS HOSP MI,217,['childrens hosp mi'],[100]
167,chirhoclin,CHIRHOCLIN,218,['chirhoclin'],[100]
168,chiron,CHIRON,219,['chiron'],[100]
169,cipher,CIPHER PHARMS INC,220,['cipher'],[100]
170,cipla,"CIPLA, CIPLA LIMITED, CIPLA LTD","221, 222, 223","['cipla', 'cipla', 'cipla'], ['cipla', 'cipla', 'cipla'], ['cipla', 'cipla', 'cipla']","[100, 100, 100], [100, 100, 100], [100, 100, 100]"
171,citius,CITIUS PHARMS,224,['citius'],[100]
172,clinigen,CLINIGEN HLTHCARE,225,['clinigen'],[100]
173,cnty line,CNTY LINE PHARMS,226,['cnty line'],[100]
174,coastal,COASTAL PHARMS,227,['coastal'],[100]
175,colgate palmolive,COLGATE PALMOLIVE,228,['colgate palmolive'],[100]
176,concordia,CONCORDIA PHARMS INC,229,['concordia'],[100]
177,coopersurgical,COOPERSURGICAL,230,['coopersurgical'],[100]
178,corcept therap,CORCEPT THERAP,231,['corcept therap'],[100]
179,corden,CORDEN PHARMA,232,['corden'],[100]
180,corepharma,COREPHARMA,233,['corepharma'],[100]
181,covis,COVIS PHARMA BV,234,['covis'],[100]
182,cpdc,CPDC,235,['cpdc'],[100]
183,cppi,CPPI CV,236,['cppi'],[100]
184,cr double crane,CR DOUBLE CRANE,237,['cr double crane'],[100]
185,crealta,CREALTA PHARMS LLC,238,['crealta'],[100]
186,crown,CROWN LABS,239,['crown'],[100]
187,cspc nbp,CSPC NBP PHARM CO,240,['cspc nbp'],[100]
188,cspc ouyi,CSPC OUYI PHARM CO,241,['cspc ouyi'],[100]
189,cubist,"CUBIST PHARMS, CUBIST PHARMS LLC","242, 243","['cubist', 'cubist'], ['cubist', 'cubist']","[100, 100], [100, 100]"
190,cumberland,CUMBERLAND PHARMS,244,['cumberland'],[100]
191,cutanea,CUTANEA,245,['cutanea'],[100]
192,cutis,CUTIS HEALTH LLC,246,['cutis'],[100]
193,cypress,CYPRESS PHARM,247,['cypress'],[100]
194,d imaging drug,3D IMAGING DRUG,0,['d imaging drug'],[100]
195,daewoong,DAEWOONG PHARM CO,248,['daewoong'],[100]
196,daiichi sankyo,"DAIICHI SANKYO, DAIICHI SANKYO INC","249, 250","['daiichi sankyo', 'daiichi sankyo'], ['daiichi sankyo', 'daiichi sankyo']","[100, 100], [100, 100]"
197,danco,DANCO LABS LLC,251,['danco'],[100]
198,dava,DAVA PHARMS INC,252,['dava'],[100]
199,dentsply,DENTSPLY PHARM,253,['dentsply'],[100]
200,depomed,DEPOMED INC,254,['depomed'],[100]
201,deproco,DEPROCO,255,['deproco'],[100]
202,dexcel,"DEXCEL LTD, DEXCEL PHARMA","256, 257","['dexcel', 'dexcel'], ['dexcel', 'dexcel']","[100, 100], [100, 100]"
203,digestive,DIGESTIVE CARE INC,258,['digestive'],[100]
204,dorc,DORC,259,['dorc'],[100]
205,douglas,DOUGLAS PHARMS,260,['douglas'],[100]
206,dow,DOW PHARM,261,['dow'],[100]
207,dr reddys,"DR REDDYS LABS INC, DR REDDYS LABS INTL, DR REDDYS LABS LTD, DR REDDYS LABS SA","263, 264, 265, 266","['dr reddys', 'dr reddys', 'dr reddys', 'dr reddys'], ['dr reddys', 'dr reddys', 'dr reddys', 'dr reddys'], ['dr reddys', 'dr reddys', 'dr reddys', 'dr reddys'], ['dr reddys', 'dr reddys', 'dr reddys', 'dr reddys']","[100, 100, 100, 100], [100, 100, 100, 100], [100, 100, 100, 100], [100, 100, 100, 100]"
208,dr reddys la,DR REDDYS LA,262,['dr reddys la'],[100]
209,draximage,DRAXIMAGE,267,['draximage'],[100]
210,duchesnay,DUCHESNAY,268,['duchesnay'],[100]
211,dupuy oxygen,DUPUY OXYGEN,269,['dupuy oxygen'],[100]
212,duramed barr,DURAMED PHARMS BARR,270,['duramed barr'],[100]
213,dusa,DUSA,271,['dusa'],[100]
214,dyax.,DYAX CORP.,272,['dyax.'],[100]
215,eagle,EAGLE PHARMS,273,['eagle'],[100]
216,eci,ECI PHARMS LLC,274,['eci'],[100]
217,eclat,ECLAT PHARMS LLC,275,['eclat'],[100]
218,ecolab,ECOLAB,276,['ecolab'],[100]
219,ecr,ECR PHARMA,277,['ecr'],[100]
220,edenbridge,EDENBRIDGE PHARMS,278,['edenbridge'],[100]
221,edison theraps,EDISON THERAPS LLC,279,['edison theraps'],[100]
222,egalet,EGALET US INC,280,['egalet'],[100]
223,eisai,EISAI INC,281,['eisai'],[100]
224,elefsee,ELEFSEE PHARMS INTL,282,['elefsee'],[100]
225,eli lilly,"ELI LILLY AND CO, ELI LILLY CO","283, 284","['eli lilly', 'eli lilly'], ['eli lilly', 'eli lilly']","[100, 100], [100, 100]"
226,elite,ELITE LABS INC,285,['elite'],[100]
227,emcure,"EMCURE PHARMS, EMCURE PHARMS LTD","286, 288","['emcure', 'emcure'], ['emcure', 'emcure']","[100, 100], [100, 100]"
228,emcure india,EMCURE PHARMS INDIA,287,['emcure india'],[100]
229,emd serono,"EMD SERONO, EMD SERONO INC","289, 290","['emd serono', 'emd serono'], ['emd serono', 'emd serono']","[100, 100], [100, 100]"
230,emmaus medcl,EMMAUS MEDCL,291,['emmaus medcl'],[100]
231,endo,"ENDO PHARM, ENDO PHARMS, ENDO PHARMS INC","292, 293, 294","['endo', 'endo', 'endo'], ['endo', 'endo', 'endo'], ['endo', 'endo', 'endo']","[100, 100, 100], [100, 100, 100], [100, 100, 100]"
232,endo ventures,ENDO VENTURES LTD,295,['endo ventures'],[100]
233,epi hlth,EPI HLTH,296,['epi hlth'],[100]
234,epic,"EPIC PHARMA, EPIC PHARMA LLC","297, 298","['epic', 'epic'], ['epic', 'epic']","[100, 100], [100, 100]"
235,essential isotopes,ESSENTIAL ISOTOPES,299,['essential isotopes'],[100]
236,ethypharm,"ETHYPHARM, ETHYPHARM USA CORP","300, 301","['ethypharm', 'ethypharm'], ['ethypharm', 'ethypharm']","[100, 100], [100, 100]"
237,eurohlth,EUROHLTH INTL SARL,302,['eurohlth'],[100]
238,exalenz bioscience,EXALENZ BIOSCIENCE,303,['exalenz bioscience'],[100]
239,exela,"EXELA HOLDINGS, EXELA PHARMA SCS LLC","304, 306","['exela', 'exela'], ['exela', 'exela']","[100, 100], [100, 100]"
240,exela science,EXELA PHARMA SCIENCE,305,['exela science'],[100]
241,exelixis,EXELIXIS,307,['exelixis'],[100]
242,exeltis,EXELTIS USA INC,308,['exeltis'],[100]
243,fdc,FDC LTD,309,['fdc'],[100]
244,fdn consumer,FDN CONSUMER,310,['fdn consumer'],[100]
245,feinstein,FEINSTEIN,311,['feinstein'],[100]
246,feinstein inst,THE FEINSTEIN INST,861,['feinstein inst'],[100]
247,ferring,"FERRING, FERRING PHARMS INC","312, 313","['ferring', 'ferring'], ['ferring', 'ferring']","[100, 100], [100, 100]"
248,forest,"FOREST LABS, FOREST LABS INC, FOREST LABS LLC","314, 315, 316","['forest', 'forest', 'forest'], ['forest', 'forest', 'forest'], ['forest', 'forest', 'forest']","[100, 100, 100], [100, 100, 100], [100, 100, 100]"
249,forest res inst,FOREST RES INST INC,317,['forest res inst'],[100]
250,fosun,FOSUN PHARMA,318,['fosun'],[100]
251,fougera,"FOUGERA PHARMS, FOUGERA PHARMS INC","319, 320","['fougera', 'fougera'], ['fougera', 'fougera']","[100, 100], [100, 100]"
252,fresenius,FRESENIUS,321,['fresenius'],[100]
253,fresenius kabi,FRESENIUS KABI USA,323,['fresenius kabi'],[100]
254,fresenius kabi oncol,FRESENIUS KABI ONCOL,322,['fresenius kabi oncol'],[100]
255,fresenius medcl,FRESENIUS MEDCL,324,['fresenius medcl'],[100]
256,frontida biopharm,FRONTIDA BIOPHARM,325,['frontida biopharm'],[100]
257,g,"G AND W LABS, G AND W LABS INC","326, 327","['g', 'g'], ['g', 'g']","[100, 100], [100, 100]"
258,galderma,"GALDERMA LABS, GALDERMA LABS LP","328, 329","['galderma', 'galderma'], ['galderma', 'galderma']","[100, 100], [100, 100]"
259,galen specialty,GALEN SPECIALTY,330,['galen specialty'],[100]
260,galen uk,GALEN UK,331,['galen uk'],[100]
261,gastroentero,GASTROENTERO,332,['gastroentero'],[100]
262,gavis,"GAVIS PHARMS, GAVIS PHARMS LLC","333, 334","['gavis', 'gavis'], ['gavis', 'gavis']","[100, 100], [100, 100]"
263,gd searle,"GD SEARLE, GD SEARLE LLC","335, 336","['gd searle', 'gd searle'], ['gd searle', 'gd searle']","[100, 100], [100, 100]"
264,ge,"GE HEALTHCARE, GE HLTHCARE INC","337, 338","['ge', 'ge'], ['ge', 'ge']","[100, 100], [100, 100]"
265,gedeon richter,GEDEON RICHTER USA,339,['gedeon richter'],[100]
266,gemini,GEMINI LABS LLC,340,['gemini'],[100]
267,genentech,"GENENTECH, GENENTECH INC","341, 342","['genentech', 'genentech'], ['genentech', 'genentech']","[100, 100], [100, 100]"
268,genus lifesciences,GENUS LIFESCIENCES,343,['genus lifesciences'],[100]
269,genzyme,"GENZYME, GENZYME CORP","344, 345","['genzyme', 'genzyme'], ['genzyme', 'genzyme']","[100, 100], [100, 100]"
270,gilead,GILEAD,346,['gilead'],[100]
271,gilead sciences,GILEAD SCIENCES INC,347,['gilead sciences'],[100]
272,gland,GLAND PHARMA LTD,348,['gland'],[100]
273,glaxo grp,GLAXO GRP LTD,350,['glaxo grp'],[100]
274,glaxo grp england,GLAXO GRP ENGLAND,349,['glaxo grp england'],[100]
275,glaxosmithkline,"GLAXOSMITHKLINE, GLAXOSMITHKLINE LLC","351, 354","['glaxosmithkline', 'glaxosmithkline'], ['glaxosmithkline', 'glaxosmithkline']","[100, 100], [100, 100]"
276,glaxosmithkline con,GLAXOSMITHKLINE CON,352,['glaxosmithkline con'],[100]
277,glaxosmithkline cons,GLAXOSMITHKLINE CONS,353,['glaxosmithkline cons'],[100]
278,glenmark,"GLENMARK PHARMS, GLENMARK PHARMS INC, GLENMARK PHARMS LTD","356, 357, 358","['glenmark', 'glenmark', 'glenmark'], ['glenmark', 'glenmark', 'glenmark'], ['glenmark', 'glenmark', 'glenmark']","[100, 100, 100], [100, 100, 100], [100, 100, 100]"
279,glenmark generics,GLENMARK GENERICS,355,['glenmark generics'],[100]
280,global isotopes,GLOBAL ISOTOPES LLC,359,['global isotopes'],[100]
281,granules india,"GRANULES INDIA, GRANULES INDIA LTD","360, 361","['granules india', 'granules india'], ['granules india', 'granules india']","[100, 100], [100, 100]"
282,griffen,GRIFFEN,362,['griffen'],[100]
283,guerbet,GUERBET,363,['guerbet'],[100]
284,hainan poly,HAINAN POLY PHARMA CO LTD,364,['hainan poly'],[100]
285,halozyme therap,HALOZYME THERAP,365,['halozyme therap'],[100]
286,hameln plus,HAMELN PHARMA PLUS,366,['hameln plus'],[100]
287,handa,HANDA PHARMS LLC,367,['handa'],[100]
288,hanford gc,HANFORD GC,368,['hanford gc'],[100]
289,harris,HARRIS PHARM,369,['harris'],[100]
290,hec,HEC PHARM USA INC,370,['hec'],[100]
291,helsinn,HELSINN HLTHCARE,371,['helsinn'],[100]
292,heritage,"HERITAGE PHARMA, HERITAGE PHARMS INC","373, 374","['heritage', 'heritage'], ['heritage', 'heritage']","[100, 100], [100, 100]"
293,heritage life,HERITAGE LIFE,372,['heritage life'],[100]
294,hetero,HETERO USA INC,378,['hetero'],[100]
295,hetero iii,HETERO LABS LTD III,375,['hetero iii'],[100]
296,hetero unit iii,HETERO LABS UNIT III,377,['hetero unit iii'],[100]
297,hetero v,HETERO LABS LTD V,376,['hetero v'],[100]
298,heyl chemisch,HEYL CHEMISCH,379,['heyl chemisch'],[100]
299,hi tech,HI TECH PHARMA,380,['hi tech'],[100]
300,hi-tech,HI-TECH PHARMA CO,381,['hi-tech'],[100]
301,hi-tech pharmacal,HI-TECH PHARMACAL,382,['hi-tech pharmacal'],[100]
302,high tech,HIGH TECH PHARMA,383,['high tech'],[100]
