,clean company name,original company names,original row number,company matches,fuzz ratio
85,advanced equipment,"Advanced Medical Equipment, LLC",169,['advanced equipment'],[100]
86,advanced first aid,"ADVANCED FIRST AID, INC.",164,['advanced first aid'],[100]
87,advanced generic,Advanced Generic Corporation,165,['advanced generic'],[100]
88,advanced hygienics,Advanced Hygienics LLC,168,['advanced hygienics'],[100]
89,advanced mens institute,"Advanced Men's Institute, Advanced Men's Institute LLC","170, 171","['advanced mens institute', 'advanced mens institute'], ['advanced mens institute', 'advanced mens institute']","[100, 100], [100, 100]"
90,advanced menís institute,Advanced Menís Institute LLC,172,['advanced menís institute'],[100]
91,advanced oxy-med,Advanced Oxy-Med Services Inc,173,['advanced oxy-med'],[100]
92,advanced skin technology,"Advanced Skin Technology, LLC",174,['advanced skin technology'],[100]
93,advanced solutions,Advanced Healthcare Solutions,167,['advanced solutions'],[100]
94,advanced vision research,"Advanced Vision Research (Subsidiary of Akorn, Inc.)",175,['advanced vision research'],[100]
95,advantage chemical,"Advantage Chemical, Inc.",176,['advantage chemical'],[100]
96,advantage respiratory,Advantage Respiratory Services,177,['advantage respiratory'],[100]
97,advantice,"Advantice Health, LLC",178,['advantice'],[100]
98,adventist sonora adventist oxygen&medical,Adventist Health Sonora dba Adventist Health Oxygen & Medical Supply,179,['adventist sonora adventist oxygen&medical'],[100]
99,advocate,Advocate Home Care Products,180,['advocate'],[100]
100,aec consumer,AEC Consumer Products,181,['aec consumer'],[100]
101,aegerion,"Aegerion Pharmaceuticals, Inc.",182,['aegerion'],[100]
102,aekyung industrial,"Aekyung Industrial Co., Ltd.",183,['aekyung industrial'],[100]
103,aero,Aero Healthcare,185,['aero'],[100]
104,aero all gas,Aero All Gas Company,184,['aero all gas'],[100]
105,aeroflow aeroflow,"Aeroflow, Inc dba Aeroflow Healthcare",186,['aeroflow aeroflow'],[100]
106,aetna felt,Aetna Felt Corp,187,['aetna felt'],[100]
107,afassco,"Afassco, Afassco Inc, Afassco Inc.","188, 189, 190","['afassco', 'afassco', 'afassco'], ['afassco', 'afassco', 'afassco'], ['afassco', 'afassco', 'afassco']","[100, 100, 100], [100, 100, 100], [100, 100, 100]"
108,afaxys,"Afaxys Pharma LLC, Afaxys Pharma, LLC","191, 192","['afaxys', 'afaxys'], ['afaxys', 'afaxys']","[100, 100], [100, 100]"
109,affasco,Affasco Inc.,193,['affasco'],[100]
110,afflab affiliated division afflink,"AFFLAB, Affiliated Laboratories, a Division of AFFLINK",194,['afflab affiliated division afflink'],[100]
111,afflink,"Afflink, Inc.",195,['afflink'],[100]
112,affordable,"Affordable Pharmaceuticals, LLC",196,['affordable'],[100]
113,affordable transport,Affordable Transport Inc.,197,['affordable transport'],[100]
114,afn broker,"AFN BROKER LLC, AFN BROKER LLC.","198, 199","['afn broker', 'afn broker'], ['afn broker', 'afn broker']","[100, 100], [100, 100]"
115,ag,AG International,201,['ag'],[100]
116,ag hair,AG Hair Ltd.,200,['ag hair'],[100]
117,agbanga karite,Agbanga Karite LLC,202,['agbanga karite'],[100]
118,agefarm,AGEFARM SRL,203,['agefarm'],[100]
119,agile pharmachem,Agile Pharmachem,204,['agile pharmachem'],[100]
120,agios,"Agios Pharmaceuticals, Inc.",205,['agios'],[100]
121,agl inhalation therapy,AGL Inhalation Therapy Co.,206,['agl inhalation therapy'],[100]
122,agl welding,"AGL Welding Supply Co., Inc.",207,['agl welding'],[100]
123,agnitio,Agnitio Inc.,208,['agnitio'],[100]
124,agouron,AGOURON,209,['agouron'],[100]
125,agp,AGP LLC,210,['agp'],[100]
126,agricultural health&happy,"Agricultural corporation Health&Happy co.,Ltd.",211,['agricultural health&happy'],[100]
127,ahava dead sea,AHAVA Dead Sea Laboratories Ltd,212,['ahava dead sea'],[100]
128,ahold,"Ahold U.S.A., Inc, Ahold U.S.A., Inc,, Ahold U.S.A., Inc.","213, 214, 215","['ahold', 'ahold', 'ahold'], ['ahold', 'ahold', 'ahold'], ['ahold', 'ahold', 'ahold']","[100, 100, 100], [100, 100, 100], [100, 100, 100]"
129,aidance skincare&topical solutions,"Aidance Skincare & Topical Solutions, LLC",216,['aidance skincare&topical solutions'],[100]
130,aidarex,Aidarex Pharmaceuticals LLC,217,['aidarex'],[100]
131,aiden industries,Aiden Industries LLC,218,['aiden industries'],[100]
132,ailex,"Ailex Pharmaceuticals, LLC",219,['ailex'],[100]
133,aim immunotech,AIM ImmunoTech Inc,220,['aim immunotech'],[100]
134,aimeeskinlab,"Aimeeskinlab Co., Ltd.",221,['aimeeskinlab'],[100]
135,aiping,"AiPing Pharmaceutical Inc., AiPing Pharmaceutical, Inc.","222, 223","['aiping', 'aiping'], ['aiping', 'aiping']","[100, 100], [100, 100]"
136,air chemicals,"Air Products and Chemicals, Inc.",226,['air chemicals'],[100]
137,air liquide america,Air Liquide America L.P.,224,['air liquide america'],[100]
138,air liquide large industries,Air Liquide Large Industries U.S. LP,225,['air liquide large industries'],[100]
139,air north texas,AIR SUPPLY OF NORTH TEXAS,229,['air north texas'],[100]
140,air source industries,"Air Source Industries, Air Source Industries Inc","227, 228","['air source industries', 'air source industries'], ['air source industries', 'air source industries']","[100, 100], [100, 100]"
141,air techniques,Air Techniques,230,['air techniques'],[100]
142,air-way,"Air-Way Medical, Inc.",231,['air-way'],[100]
143,aire-master america,"Aire-Master of America, Inc.",232,['aire-master america'],[100]
144,airgas,"AIRGAS USA, LLC, Airgas, Inc.","233, 234","['airgas', 'airgas'], ['airgas', 'airgas']","[100, 100], [100, 100]"
145,airlines,"American Airlines, Inc.",386,['airlines'],[100]
146,airserve,"AIRSERVE, LLC",235,['airserve'],[100]
147,airtec gases,"Airtec Gases, LLC",236,['airtec gases'],[100]
148,airway oxygen,"Airway Oxygen, Inc.",237,['airway oxygen'],[100]
149,airways,"US Airways, Inc",6578,['airways'],[100]
150,airweld,"Airweld, Inc, Airweld, Inc.","238, 240","['airweld', 'airweld'], ['airweld', 'airweld']","[100, 100], [100, 100]"
151,airweld atlantic welding,"Airweld, Inc dba Atlantic Welding Supply",239,['airweld atlantic welding'],[100]
152,ais specialty,"AIS Specialty Products, Inc.",241,['ais specialty'],[100]
153,aiyaya cloud-commerce tech,"Aiyaya Cloud-Commerce Tech Co., Ltd",242,['aiyaya cloud-commerce tech'],[100]
154,ajanta,Ajanta Pharma Limited,243,['ajanta'],[100]
155,ajes pharmaceuticalsllc,"Ajes Pharmaceuticals,LLC",244,['ajes pharmaceuticalsllc'],[100]
156,ajou medics,"Ajou Medics Co., Ltd, Ajou Medics Co., Ltd.","245, 246","['ajou medics', 'ajou medics'], ['ajou medics', 'ajou medics']","[100, 100], [100, 100]"
157,akarx,"AkaRx, Inc.",247,['akarx'],[100]
158,akcea therapeutics,"Akcea Therapeutics, Inc.",248,['akcea therapeutics'],[100]
159,akg innovations,AKG Innovations LLC,249,['akg innovations'],[100]
160,akorn,"Akorn, Akorn Inc., Akorn, Inc.","250, 251, 252","['akorn', 'akorn', 'akorn'], ['akorn', 'akorn', 'akorn'], ['akorn', 'akorn', 'akorn']","[100, 100, 100], [100, 100, 100], [100, 100, 100]"
161,akrimax,"Akrimax Pharmaceuticals, LLC",253,['akrimax'],[100]
162,akron,"AKRON PHARMA INC, Akron Pharma Inc.","254, 255","['akron', 'akron'], ['akron', 'akron']","[100, 100], [100, 100]"
163,akshay wellness,"The Akshay Wellness Group, Inc.",6235,['akshay wellness'],[100]
164,ala med pulmonary,ALA Med dba Pulmonary Care Services,256,['ala med pulmonary'],[100]
165,alable,"ALABLE CO., LTD.",257,['alable'],[100]
166,alaina private,ALAINA HEALTHCARE PRIVATE LIMITED,258,['alaina private'],[100]
167,alan environmental product,Alan Environmental Product Inc.,259,['alan environmental product'],[100]
168,alastin skincare,"Alastin Skincare, Inc.",260,['alastin skincare'],[100]
169,alaven,Alaven Pharmaceutical LLC,261,['alaven'],[100]
170,albert max,"Albert Max, Inc.",262,['albert max'],[100]
171,albertsons companies,Albertsons Companies,263,['albertsons companies'],[100]
172,albright welding,"Albright Welding Supply Co., Inc.",264,['albright welding'],[100]
173,alcon,"Alcon Laboratories, Inc., Alcon, Inc.","265, 266","['alcon', 'alcon'], ['alcon', 'alcon']","[100, 100], [100, 100]"
174,alcyon,"Alcyon Health, LLC.",267,['alcyon'],[100]
175,alden,Alden Medical LLC,268,['alden'],[100]
176,aldi,"Aldi Inc, Aldi Inc., Aldi, Inc, Aldi, Inc.","269, 270, 271, 272","['aldi', 'aldi', 'aldi', 'aldi'], ['aldi', 'aldi', 'aldi', 'aldi'], ['aldi', 'aldi', 'aldi', 'aldi'], ['aldi', 'aldi', 'aldi', 'aldi']","[100, 100, 100, 100], [100, 100, 100, 100], [100, 100, 100, 100], [100, 100, 100, 100]"
177,aldiinc,"Aldi,Inc",273,['aldiinc'],[100]
178,alegent,Alegent Health,274,['alegent'],[100]
179,alembic,"Alembic Pharmaceuticals Inc., Alembic Pharmaceuticals Limited, Alembic Pharmaceuticals, Inc.","275, 276, 277","['alembic', 'alembic', 'alembic'], ['alembic', 'alembic', 'alembic'], ['alembic', 'alembic', 'alembic']","[100, 100, 100], [100, 100, 100], [100, 100, 100]"
180,aleor dermaceuticals,Aleor Dermaceuticals Limited,278,['aleor dermaceuticals'],[100]
181,alera skin,Alera Skin Care Products Inc.,279,['alera skin'],[100]
182,alex fergusson,"Alex C. Fergusson, Inc.",280,['alex fergusson'],[100]
183,alexion,"Alexion Pharmaceuticals Inc., Alexion Pharmaceuticals, Inc.","281, 282","['alexion', 'alexion'], ['alexion', 'alexion']","[100, 100], [100, 100]"
184,alexso,"Alexso Inc, Alexso Inc., Alexso, Inc, Alexso, Inc.","283, 284, 285, 286","['alexso', 'alexso', 'alexso', 'alexso'], ['alexso', 'alexso', 'alexso', 'alexso'], ['alexso', 'alexso', 'alexso', 'alexso'], ['alexso', 'alexso', 'alexso', 'alexso']","[100, 100, 100, 100], [100, 100, 100, 100], [100, 100, 100, 100], [100, 100, 100, 100]"
185,alfa distribution imports,Alfa Distribution and Imports,287,['alfa distribution imports'],[100]
186,alfa hosting distribuicao importacao de medicamentos alimentos,Alfa Hosting Distribuicao e Importacao de Medicamentos e Alimentos EIRELI,288,['alfa hosting distribuicao importacao de medicamentos alimentos'],[100]
187,alfasigma,"Alfasigma USA, Inc.",289,['alfasigma'],[100]
188,algenist,"Algenist, LLC",290,['algenist'],[100]
189,ali-rob southern oxygen&welding,"Ali-Rob, Inc. dba Southern Oxygen & Welding Supply",291,['ali-rob southern oxygen&welding'],[100]
190,alicks equipment,"Alick's Home Medical Equipment, Inc.",292,['alicks equipment'],[100]
191,alidac,Alidac Pharmaceuticals Limited,293,['alidac'],[100]
192,alignscience,AlignScience Pharma Inc.,294,['alignscience'],[100]
193,alimera sciences,"Alimera Sciences, Inc.",295,['alimera sciences'],[100]
194,alk-abello,"ALK-Abello, Inc.",297,['alk-abello'],[100]
195,alk-abello s,ALK-Abello A S,296,['alk-abello s'],[100]
196,alk-abellû a,ALK-AbellÛ A,298,['alk-abellû a'],[100]
197,alkermes,"Alkermes, Inc.",299,['alkermes'],[100]
198,all,"All Pharma LLC, All Pharma, LLC","304, 305","['all', 'all'], ['all', 'all']","[100, 100], [100, 100]"
199,all about pediatrics,"All About Pediatrics, LLC",300,['all about pediatrics'],[100]
200,all about soo,ALL ABOUT SOO,301,['all about soo'],[100]
201,all gas&welding supplies,"All Gas & Welding Supplies Co., Inc.",302,['all gas&welding supplies'],[100]
202,all oxygen refills,"All Oxygen Refills, Inc.",303,['all oxygen refills'],[100]
203,all saints,"All Saints Healthcare, All Saints Home Medical","306, 307","['all saints', 'all saints'], ['all saints', 'all saints']","[100, 100], [100, 100]"
204,all source industrial,"All Source Industrial Supply, Inc",308,['all source industrial'],[100]
205,all-weld all-weld,All-Weld Products Corp dba All-Weld Products Group,309,['all-weld all-weld'],[100]
206,allapure,"Allapure, LLC",310,['allapure'],[100]
207,allegiant,Allegiant Health,311,['allegiant'],[100]
208,allegis,"Allegis Holdings LLC, Allegis Holdings, LLC, Allegis Pharmaceuticals, LLC","312, 313, 314","['allegis', 'allegis', 'allegis'], ['allegis', 'allegis', 'allegis'], ['allegis', 'allegis', 'allegis']","[100, 100, 100], [100, 100, 100], [100, 100, 100]"
209,allergan,"Allergan, Allergan, Inc.","315, 316","['allergan', 'allergan'], ['allergan', 'allergan']","[100, 100], [100, 100]"
210,allermed,"Allermed Laboratories, Inc.",317,['allermed'],[100]
211,allerquest,AllerQuest LLC,318,['allerquest'],[100]
212,alliance,Alliance Pharma Inc.,319,['alliance'],[100]
213,allied medcor,"ALLIED MEDCOR SERVICES, INC.",320,['allied medcor'],[100]
214,allos therapeutics,Allos Therapeutics,321,['allos therapeutics'],[100]
215,alloy oxygen&welding,Alloy Oxygen & Welding Supply Co. Inc.,322,['alloy oxygen&welding'],[100]
216,allure labs,"Allure Labs Inc, Allure Labs Inc., Allure Labs, Inc, Allure Labs, Inc.","323, 324, 325, 326","['allure labs', 'allure labs', 'allure labs', 'allure labs'], ['allure labs', 'allure labs', 'allure labs', 'allure labs'], ['allure labs', 'allure labs', 'allure labs', 'allure labs'], ['allure labs', 'allure labs', 'allure labs', 'allure labs']","[100, 100, 100, 100], [100, 100, 100, 100], [100, 100, 100, 100], [100, 100, 100, 100]"
217,alma,"ALMA Laboratories, Inc.",327,['alma'],[100]
218,almaject,"ALMAJECT, INC.",328,['almaject'],[100]
219,almatica,ALMATICA PHARMA INC.,329,['almatica'],[100]
220,almay,"Almay, Almay, Inc.","330, 331","['almay', 'almay'], ['almay', 'almay']","[100, 100], [100, 100]"
221,almirall,"Almirall, LLC",332,['almirall'],[100]
222,almus,Almus,333,['almus'],[100]
223,alnylam,"Alnylam Pharmaceuticals, Inc.",334,['alnylam'],[100]
224,aloe,"Aloe Care International, LLC",335,['aloe'],[100]
225,aloe vera america,"Aloe Vera of America, Inc.",336,['aloe vera america'],[100]
226,aloette,Aloette,337,['aloette'],[100]
227,aloha supplies&service,"Aloha Medical Supplies & Service, Inc.",338,['aloha supplies&service'],[100]
228,alpha oxy-med,Alpha Oxy-Med,339,['alpha oxy-med'],[100]
229,alpinaire,AlpinAire Healthcare,340,['alpinaire'],[100]
230,alpine,"Alpine Medical, LLC",341,['alpine'],[100]
231,alquimia najulam de rl de,Alquimia Najulam S de RL de CV,342,['alquimia najulam de rl de'],[100]
232,alsco,Alsco Inc.,343,['alsco'],[100]
233,altaire,Altaire Pharmaceuticals Inc.,344,['altaire'],[100]
234,altathera,"ALTATHERA Pharmaceuticals, LLC",345,['altathera'],[100]
235,alternacare,Alternacare Home Health Services,346,['alternacare'],[100]
236,alternate pharmacy,Alternate Pharmacy,347,['alternate pharmacy'],[100]
237,alternative pharmacal,Alternative Pharmacal Corporation,348,['alternative pharmacal'],[100]
238,alternative pharmacy,Alternative Pharmacy,349,['alternative pharmacy'],[100]
239,alteya organics ood,ALTEYA ORGANICS OOD,350,['alteya organics ood'],[100]
240,altitude,Altitude Medical,351,['altitude'],[100]
241,altona cosmetics technology,ALTONA COSMETICS TECHNOLOGY (DBA NOTE COSMETICS),352,['altona cosmetics technology'],[100]
242,alumier labs,Alumier Labs,353,['alumier labs'],[100]
243,alva-amco pharmacal companies,"Alva-Amco Pharmacal Companies, Inc, Alva-Amco Pharmacal Companies, Inc.","354, 355","['alva-amco pharmacal companies', 'alva-amco pharmacal companies'], ['alva-amco pharmacal companies', 'alva-amco pharmacal companies']","[100, 100], [100, 100]"
244,alvix,"Alvix Laboratories, LLC",356,['alvix'],[100]
245,alvogen,"Alvogen, Alvogen Inc., Alvogen, Inc.","357, 358, 359","['alvogen', 'alvogen', 'alvogen'], ['alvogen', 'alvogen', 'alvogen'], ['alvogen', 'alvogen', 'alvogen']","[100, 100, 100], [100, 100, 100], [100, 100, 100]"
246,always young,"Always Young, LLC.",360,['always young'],[100]
247,amag,"AMAG Pharmaceuticals, Inc.",361,['amag'],[100]
248,amano pioneer eclipse,Amano Pioneer Eclipse Corporation,362,['amano pioneer eclipse'],[100]
249,amarin,Amarin Pharma Inc.,363,['amarin'],[100]
250,amaros,"AMAROS CO., LTD.",364,['amaros'],[100]
251,amavara,"Amavara, Inc",365,['amavara'],[100]
252,amazon,"Amazon, Amazon, Inc","366, 367","['amazon', 'amazon'], ['amazon', 'amazon']","[100, 100], [100, 100]"
253,amazoncom,"Amazon.com Services Inc., Amazon.com Services, Inc, Amazon.com Services., Inc, Amazon.Com., Inc","368, 369, 370, 371","['amazoncom', 'amazoncom', 'amazoncom', 'amazoncom'], ['amazoncom', 'amazoncom', 'amazoncom', 'amazoncom'], ['amazoncom', 'amazoncom', 'amazoncom', 'amazoncom'], ['amazoncom', 'amazoncom', 'amazoncom', 'amazoncom']","[100, 100, 100, 100], [100, 100, 100, 100], [100, 100, 100, 100], [100, 100, 100, 100]"
254,ambi enterprises,AMBI Enterprises LLC,372,['ambi enterprises'],[100]
255,amc promotional,AMC Promotional Products,373,['amc promotional'],[100]
256,amcol health&beauty solutions,"AMCOL Health & Beauty Solutions, Inc. DBA",374,['amcol health&beauty solutions'],[100]
257,amd medicom,"AMD Medicom, AMD Medicom Inc, AMD Medicom Inc.","375, 376, 377","['amd medicom', 'amd medicom', 'amd medicom'], ['amd medicom', 'amd medicom', 'amd medicom'], ['amd medicom', 'amd medicom', 'amd medicom']","[100, 100, 100], [100, 100, 100], [100, 100, 100]"
258,amedra,Amedra Pharmaceuticals LLC,378,['amedra'],[100]
259,amella,"AMELLA PHARMA, LLC",379,['amella'],[100]
260,amercare,"Amercare Products, Inc, Amercare Products, Inc.","380, 381","['amercare', 'amercare'], ['amercare', 'amercare']","[100, 100], [100, 100]"
261,amercian sales,AMERCIAN SALES COMPANY,382,['amercian sales'],[100]
262,america medic&science,"America Medic & Science, America Medic & Science, LLC","383, 384","['america medic&science', 'america medic&science'], ['america medic&science', 'america medic&science']","[100, 100], [100, 100]"
263,americas pharmacy source,America's Pharmacy Source LLC,385,['americas pharmacy source'],[100]
264,amerifoods trading,"Amerifoods Trading Co, Amerifoods Trading Company","405, 406","['amerifoods trading', 'amerifoods trading'], ['amerifoods trading', 'amerifoods trading']","[100, 100], [100, 100]"
265,amerigen,"Amerigen Pharmaceuticals Inc., Amerigen Pharmaceuticals, Inc.","407, 408","['amerigen', 'amerigen'], ['amerigen', 'amerigen']","[100, 100], [100, 100]"
266,amerisan,"Amerisan, LLC",409,['amerisan'],[100]
267,amerisouce bergen,Amerisouce Bergen,410,['amerisouce bergen'],[100]
268,amerisource begen,Amerisource Begen,411,['amerisource begen'],[100]
269,amerisource bergen,"Amerisource Bergen, Amerisource Bergen Corporation (Good Neighbor Pharmacy)","412, 413","['amerisource bergen', 'amerisource bergen'], ['amerisource bergen', 'amerisource bergen']","[100, 100], [100, 100]"
270,amerisourcebergen,"AmerisourceBergen, AmerisourceBergen (Good Neighbor Pharmacy) 46122","414, 415","['amerisourcebergen', 'amerisourcebergen'], ['amerisourcebergen', 'amerisourcebergen']","[100, 100], [100, 100]"
