,Code,Description,Count
135,AAOHNS,American Academy of Otolaryngology - Head and Neck Surgery,277.0
136,AAOJUS,American Association for Justice,118.0
137,AAOMS,American Association of Oral and Maxillofacial Surgeons,229.0
138,AAOMSI,Alpha and Omega Semiconductor Incorporated,101.0
139,AAONI,Aaon Inc,139.0
140,AAONP,American Association of Nurse Practitioners,20.0
141,AAOOAWT,Targeted Growth Inc.,2.0
142,AAOPAE,American Academy of Pediatrics,4122.0
143,AAOPHN,The American Association of Occupational Health Nurses Inc,7.0
144,AAOPMA,American Academy Of Physical Medicine And Rehabilitation,2.0
145,AAOPTH,American Academy of Ophthalmology,1688.0
146,AAOPTO,American Academy of Optometry,146.0
147,AAORT,American Association of Orthodontists,115.0
148,AAOSUR,American Academy of Orthopaedic Surgeons,1190.0
149,AAPART,Allison & Partners LLC,22.0
150,AAPCCE,American Association of Poison Control Centers,95.0
151,AAPDE,American Academy of Pediatric Dentistry,48.0
152,AAPFL,A&P Falmouth Ltd,6.0
153,AAPFWA,American Apparel and Footwear Association,15.0
154,AAPGN,APG Algemene Pensioen Groep N.V.,2.0
155,AAPHMS,American Association of Pharmaceutical Scientists,599.0
156,AAPHTE,American Association of Physics Teachers,2.0
157,AAPICO,Aabar Investments PJSC,1.0
158,AAPLCZ,Anglo African Agriculture PLC,4.0
159,AAPLMT,Toyota Boshoku Australia Pty Ltd,1.0
160,AAPLSR,American Association of Plastic Surgeons,19.0
161,AAPM,American Academy of Pain Medicine,694.0
162,AAPMY,American Association of Physicists in Medicine,251.0
163,AAPRSS,Australian Associated Press,6.0
164,AAPSCV,Asesor de Activos Prisma SAPI de CV,5.0
165,AAPTCI,All American Pet Co Inc,3.0
166,AAPYIO,American Association of Physicians of Indian Origin,55.0
167,AAQSE,Praxsyn Corp.,136.0
168,AAR,AAR Corp,773.0
169,AARBIA,American Arbitration Association,98.0
170,AARCRE,American Association for Respiratory Care,169.0
171,AAREAL,Aareal Bank AG,10.0
172,AARGLC,American Aerogel Corporation,18.0
173,AARHSI,Anne Arundel Health System Inc,5.0
174,AARIPK,Rise Gold Corporation,4.0
175,AARKHH,School Of Rock,6.0
176,AAROII,Aaron Industries Inc.,9.0
177,AARP,Per Aarsleff Holding A/S,11.0
178,AARUCC,Anne Arundel Community College,8.0
179,AASAEI,AAA Sales & Engineering Inc,224.0
180,AASBAL,First Eagle Investment Management Llc,13.0
181,AASCIE,American Association for the Advancement of Science,677.0
182,AASCUN,American Association of State Colleges and Universities,1.0
183,AASEQP,American Association of Equine Practitioners,75.0
184,AASLDI,American Association for the Study of Liver Diseases,2424.0
185,AASLL,"Sprott Focus Trust, Inc.",107.0
186,AASME,American Academy of Sleep Medicine,311.0
187,AASSAD,"AASA, The School Superintendents Association",3.0
188,AASSMZ,Altisource Asset Management Corp.,55.0
189,AASSTI,American Assets Trust Inc.,552.0
190,AASTIN,Anderson & Strudwick Incorporated,3.0
191,AASTR,Vericel Corp,1025.0
192,AASTRY,American Astronomical Society,159.0
193,AASTSO,American Astronautical Society,9.0
194,AASUD,American Association of Suicidology,15.0
195,AASURG,American Association for Thoracic Surgery,184.0
196,AASVW,American Association of Swine Veterinarians,76.0
197,AATACH,Atlanta Attachment Co Inc,2.0
198,AATFRN,Ald S.A.,2.0
199,AATGSI,AT&T Government Solutions Inc,3.0
200,AATHAI,Airports of Thailand PCL,5.0
201,AATIBA,American Association of Tissue Banks,218.0
202,AATLBS,AT&T Labs Inc.,1.0
203,AATXCC,American Association of Textile Chemists and Colorists,3.0
204,AATXSF,Aatrix Software Incorporated,5.0
205,AAUDYTW,Tango Health Inc.,1.0
206,AAUMF,The Alliance of Automobile Manufacturers,52.0
207,AAUNI,Association of American Universities,87.0
208,AAUPR,American Association of University Professors,8.0
209,AAUSTL,Alstom Australia Limited,1.0
210,AAUTCS,AAA Auto Club South,20.0
211,AAUTXSK,TGap Ventures LLC,3.0
212,AAUWAW,American Association of University Women,29.0
213,AAV,Tranzonic Companies,10.0
214,AAWMAS,Air and Waste Management Association,4.0
215,AAWSCI,"Andrew & Williamson Sales Company, Inc.",2.0
216,AAXJJN,iShares MSCI All Country Asia ex Japan ETF,2.0
217,AAXMLT,"Gelesis, Inc.",52.0
218,AAXNEK,"Ciris Energy, Inc.",2.0
219,AAXVKCV,Catamount Ventures,1.0
220,AAYNJG,American Academy of Nursing,102.0
221,AAYXGRE,Rhapsody International Inc,3.0
222,AAYXRP,Dynamic Offshore Resources LLC,4.0
223,AAZAMR,"Motorsport.com, Inc.",1.0
224,AAZSKRM,Intellectual Ventures Llc,14.0
225,AAZVZSZ,Sears Capital Management,4.0
226,ABACQZ,AB Acquisition LLC,198.0
227,ABADOY,Abacus Diagnostica Oy,12.0
228,ABADVI,American Beacon Advisors Inc.,50.0
229,ABAE,Armor Holdings Inc,1.0
230,ABAESI,Abacus Engineered Systems Inc.,1.0
231,ABAFSB,Abacus Federal Savings Bank,4.0
232,ABAG,Littlefield Corp,6.0
233,ABAIPL,Abacus International Pte Ltd,11.0
234,ABAMAL,Aberdeen Asset Management Asia Limited,3.0
235,ABAP,Abacus Property Group,2.0
236,ABAPC,ABA Packaging Corporation,5.0
237,ABAPI,ABA-PGT Inc.,5.0
238,ABARSO,American Bar Association,201.0
239,ABASSF,ABAS Software AG,6.0
240,ABATLC,American Broadband and Telecommunications Company,3.0
241,ABAUTO,ABRA Auto Body & Glass,18.0
242,ABAXS,Abaxis Inc,3505.0
243,ABBAPL,Abbott Australasia Pty Ltd,17.0
244,ABBBCT,The Abbott Ball Company,1.0
245,ABBBPB,GE Power India Ltd,2.0
246,ABBCIN,Abbey Color Inc,6.0
247,ABBCOG,ABB CONCISE Optical Group LLC,15.0
248,ABBCOR,Abbyson Living Corp.,2.0
249,ABBEMI,"AbbeyMoor Medical, Inc.",5.0
250,ABBEYN,Santander UK PLC,9.0
251,ABBGMA,Abbott GmbH & Co. KG,88.0
252,ABBIOM,Ability Biomedical Corporation,8.0
253,ABBIOT,AB Biotics,46.0
254,ABBJCL,Abbott Japan Co Ltd,48.0
255,ABBLAS,Abbott Laboratories Argentina S.A.,13.0
256,ABBLDC,Abbott Laboratories de Chile Limitada,13.0
257,ABBLHS,Abbott Laboratories (Hellas) S.A.,13.0
258,ABBMSP,Abbott Manufacturing Singapore Private Limited,13.0
259,ABBNA,Colorado Business Bank,4.0
260,ABBOAG,Abbott AG,13.0
261,ABBOBC,BASF Bioresearch Corp,21.0
262,ABBODC,Abbott Diabetes Care Inc.,2381.0
263,ABBODG,Abbott Diagnostics GmbH,13.0
264,ABBOFS,Abbott France,19.0
265,ABBOHG,Abbott Holding GmbH,13.0
266,ABBOKL,Abbott Korea Ltd.,13.0
267,ABBOLA,Abbott Laboratories A/S,13.0
268,ABBOLL,Abbott Laboratories Ltd,124.0
269,ABBOLS,Abbott Laboratories S.A.,13.0
270,ABBONA,Abbott Norge AS,13.0
271,ABBOO,Asian Bamboo AG,3.0
272,ABBOSP,Abbott Spine Inc.,52.0
273,ABBOTO,Abbott Oy,13.0
274,ABBRW,Abita Brewing Co,7.0
275,ABBSPA,Abbott Srl,13.0
276,ABBTEV,ABB Technology Ventures Ltd,2.0
277,ABBTPK,Abbot Laboratories (Pakistan) Ltd,31.0
278,ABBUHL,Abbott (UK) Holdings Ltd,13.0
279,ABBXC,Abattis Bioceuticals Corp.,467.0
280,ABC,Arab Banking Corp (BSC),3.0
281,ABCAMP,Abcam PLC,324.0
282,ABCARB,ABC Arbitrage,4.0
283,ABCBI,ABC Bus Inc.,45.0
284,ABCBNC,Ameris Bancorp,270.0
285,ABCCAN,ABC (Plastics) Group,67.0
286,ABCCPA,ABC Carpet & Home,1.0
287,ABCHME,"RegalWorks Media, Inc.",1.0
288,ABCHUC,Abchurch Communications Limited,2.0
289,ABCIND,ABC Ltd,6.0
290,ABCINI,ABC Industries Inc,4.0
291,ABCISK,AbClon Inc.,3.0
292,ABCLAB,ABC Laboratories,67.0
293,ABCNI,ABC News Inc,46.0
294,ABCNNM,Abcann Medicinals Inc,8.0
295,ABCOCA,Abu Dhabi Chamber of Commerce and Industry,2.0
296,ABCOLI,ABCO Laboratories Inc,1.0
297,ABCORT,ABC Orthodontics S.A.,19.0
298,ABCOUQ,American Benefits Council,16.0
299,ABCOXO,Davis Select International ETF,192.0
300,ABCRLT,China Education Alliance Inc.,16.0
301,ABDAWN,Aberdeen New Dawn Investment Trust PLC,1.0
302,ABDCL,Alliance Beverage Distributing Company LLC,16.0
303,ABDCOL,Abdon Callais Offshore LLC,1.0
304,ABDI,Abu Dhabi Investment Authority,99.0
305,ABDIB,Abdi Ibrahim Ilac Sanayii ve Ticaret A.S.,2.0
306,ABDICL,Abu Dhabi Investment Company,2.0
307,ABDIHP,"Associação Brasileira da Indústria de Higiene Pessoal, Perfumaria e Cosméticos",1.0
308,ABDISB,Abu Dhabi Islamic Bank,1.0
309,ABDLI,A.B. Data Ltd.,4.0
310,ABDPDZ,Abundant Produce Ltd.,6.0
311,ABDQTO,"Biofisica, Inc.",6.0
312,ABDRVZ,Aberdare Ventures L.P.,131.0
313,ABEAML,Aberdeen Asset Managers Ltd,121.0
314,ABEBIKS,Cherokee Pharmaceuticals Llc,14.0
315,ABEEFC,Agri Beef Co,6.0
316,ABEIPI,"Abeille Pharmaceuticals, Inc",18.0
317,ABEMIE,"Abe's Market, Co.",4.0
318,ABENYP,Atlantica Yield PLC,266.0
319,ABEOMI,Abeome Corporation,54.0
320,ABERES,Dominion Diamond Corp.,199.0
321,ABERFT,Abercrombie & Fitch Co,1558.0
322,ABETAY,Abelson-Taylor Inc,10.0
323,ABEURL,A.M. Best Europe - Rating Services Limited,6.0
324,ABEVIN,Allied Beverages Inc,2.0
325,ABEVKSM,Chronic Disease Fund,63.0
326,ABF,Associated British Foods PLC,396.0
327,ABFAYUD,Schenectady Metroplex Development Authority,3.0
328,ABFFSI,"ABF Freight System, Inc.",28.0
329,ABFING,ABF Ingredients Ltd,18.0
330,ABFISI,Abc Financial Services Inc.,4.0
331,ABFPAR,Aberforth Partners LLP,1.0
332,ABGCHC,AAB Group (China) Co Ltd,32.0
333,ABGENI,"Abgenix, Inc",265.0
334,ABGHOL,Abacus Group Holdings Limited,1.0
335,ABGKVO,"Mason Capital Management, LLC",38.0
336,ABGNMC,AbGenomics International Inc.,34.0
337,ABGOG,Abengoa SA,236.0
338,ABGROP,AGR Group ASA,1.0
339,ABGSL,ABG Shipyard Ltd,9.0
340,ABGXI,Abiogenix LLC,9.0
341,ABHAFO,"CannaSys, Inc.",4.0
342,ABHAIT,Absolute Haitian Corporation,2.0
343,ABHMSI,Abc Home Medical Supply Inc.,6.0
344,ABHPBO,Trident Limited,2.0
345,ABHRSS,ABH Financial Limited,2.0
346,ABIAFN,ABD Insurance and Financial Services Inc.,8.0
347,ABICI,Abi Companies Inc.,2.0
348,ABICPT,Symbility Solutions Inc.,3.0
349,ABIHEA,Abingdon Health Ltd,40.0
350,ABIJH,Arix Bioscience PLC,138.0
351,ABILAL,American Biotech Labs LLC,9.0
352,ABILHL,Patterson Medical Ltd,18.0
353,ABIMHI,Abington Memorial Hospital Inc,8.0
354,ABIOHI,"Shire Regenerative Medicine, Inc.",294.0
355,ABIOLL,Advanced Biologics Llc,540.0
356,ABIONC,Boston Scientific Neuromodulation Corporation,1510.0
357,ABIOPS,Abiogen Pharma SpA,63.0
358,ABIOSA,Alligator Bioscience AB,297.0
359,ABIOTC,Allied Biotech Corp.,19.0
360,ABITEC,ABITEC Corporation,52.0
361,ABJOXBH,Pennsylvania Psychiatric Institute,2.0
362,ABKASS,American Bankers Association,69.0
363,ABKRUKN,Renmatix Inc.,2.0
364,ABL,American Biltrite Inc,1.0
365,ABLATF,Ablation Frontiers Inc.,299.0
366,ABLBRI,"Advanced BioScience Laboratories, Inc.",136.0
367,ABLCAC,Able C&C Inc,2.0
368,ABLCCA,American Baseball Coaches Association,1.0
369,ABLCIB,Igenii Inc.,6.0
370,ABLCTH,Able & Partners Inc.,1.0
371,ABLCUV,Abilene Christian University,23.0
372,ABLDEES,SOLX Inc.,3.0
373,ABLENE,Able Energy Inc.,6.0
374,ABLGMI,Advanced Biological Marketing Inc,8.0
375,ABLLHL,AJ Bell PLC,95.0
376,ABLMSB,Abbott Laboratories (Malaysia) Sdn Bhd,1.0
377,ABLMTD,Air BP Ltd,4.0
378,ABLNCC,American Blanching Company,9.0
379,ABLNMI,Abilene Machine Inc.,3.0
380,ABLNSR,Abel/Noser Corp,2.0
381,ABLNTI,AbleNet Inc,52.0
382,ABLOCH,Aban Offshore Ltd,19.0
383,ABLONG,Ablon Group Limited,2.0
384,ABLPLN,Able Planet Incorporated,12.0
385,ABLPSZ,Abbott Laboratories Poland Sp. z o.o.,13.0
386,ABLTYC,Patterson Medical Products Inc.,371.0
387,ABLX,Ablynx NV,2468.0
388,ABLXIS,Ablexis LLC,73.0
389,ABMD,Abiomed Inc,6349.0
390,ABMDL,Advantage Business Media LLC,12.0
391,ABMILL,Abhishek Corporation Limited,2.0
392,ABMINE,Aditya Birla Minerals Limited,4.0
393,ABMONI,Advanced Brain Monitoring Inc,263.0
394,ABMRTT,Alabama Retail Association,1.0
395,ABMSSI,ABM Security Services Inc,2.0
396,ABNAEN,Abu Dhabi National Energy Company,4.0
397,ABNAGN,ABN AMRO Group N.V.,35.0
398,ABNAMH,ABN AMRO Bank N.V.,126.0
399,ABNCAP,AAC Capital Partners Holding B.V.,4.0
400,ABNCRG,Craigs Investment Partners Ltd.,67.0
401,ABNMCL,Albany Medical College,683.0
402,ABNMR,ABN AMRO Incorporated,3.0
403,ABNRSI,Ais Data Services L.P.,1.0
404,ABNSSW,Abionic SA,39.0
405,ABNT,Aberdeen Asset Management PLC,537.0
406,ABNUT,Abbott Nutrition,889.0
407,ABNY,Amalgamated Bank of New York,4.0
408,ABOAOC,Almond Board of California,13.0
409,ABOCA,Aboca S.p.A.,6.0
410,ABODIP,Vitaco Holdings Limited,13.0
411,ABOFMI,American Board of Family Medicine,92.0
412,ABOIM,American Board of Internal Medicine,462.0
413,ABOIPC,Aboitiz Power Corporation,1.0
414,ABOITZ,Aboitiz Equity Ventures Inc,3.0
415,ABOMEI,ABB Bomem Inc,3.0
416,ABOOAG,American Board of Obstetrics and Gynecology,79.0
417,ABOPAN,The American Board Of Psychiatry And Neurology Inc,27.0
418,ABOQEB,WIS International,2.0
419,ABOR,Absolute Return Trust Ltd,2.0
420,ABORP,Caspian International Oil Corporation,6.0
421,ABORZ,Algae Biomass Organization,6.0
422,ABOSUR,The American Board of Surgery,101.0
423,ABOTAV,American Board of Trial Advocates,6.0
424,ABOTLB,Abbott Laboratories Inc.,45846.0
425,ABP,Astral Media Inc,8.0
426,ABPCO,ABP Corporation,6.0
427,ABPED,The American Board of Pediatrics,55.0
428,ABPHRI,"Alder Biopharmaceuticals, Inc.",3969.0
429,ABPLAS,INEOS Styrolution India Ltd.,2.0
430,ABPOLS,Getin Noble Bank S.A.,5.0
431,ABPPGG,NIBC Holding N.V.,12.0
432,ABPRAO,Ability Prosthetics & Orthotics LLC,12.0
433,ABPTSI,ABC Professional Tree Services Inc,2.0
434,ABQHPL,ABQ Health Partners LLC,6.0
435,ABQMRT,Unequal Technologies Company,3.0
436,ABRANL,Advance Brands LLC,4.0
437,ABRAS,Abraxas Petroleum Corp,511.0
438,ABRBHL,American Blue Ribbon Holdings LLC,4.0
439,ABRCIN,American Broadcasting Companies Inc,1.0
440,ABRDGV,Atlantic Bridge Ventures,2.0
441,ABREDZ,SOMOS Educacao S.A.,2.0
442,ABRFOU,American Bar Foundation,6.0
443,ABRI,"SCIenergy, Inc.",1.0
444,ABRIXC,Associação Brasileira das Indústrias Exportadoras de Carne,5.0
445,ABRJC,Abraaj Capital,23.0
446,ABRLPP,Del Mar Photonics Inc.,1.0
447,ABRNUV,Auburn University,667.0
448,ABROIN,Allen Brothers Inc.,2.0
449,ABRSGI,Hc&B Inc.,6.0
450,ABRTA,"ABARTA, Inc",2.0
451,ABRYPT,ABRY Partners LLC,66.0
452,ABSABL,ABSA Bank Ltd,19.0
453,ABSCAP,ABS Capital Partners,28.0
454,ABSCBN,ABS-CBN Corporation,2.0
455,ABSCIT,Absolut Spirits Company Inc,1.0
456,ABSCNI,ActivX Biosciences Inc.,81.0
457,ABSCOT,Aberforth Smaller Companies Trust PLC,1.0
458,ABSDZQ,Crisp Media Inc.,4.0
459,ABSFTW,Absolute Software Corp,40.0
460,ABSNCF,AB Science SA,627.0
461,ABSOLA,Absolent Group AB,4.0
462,ABSOLB,Absolut Bank,2.0
463,ABSOWC,Absopure Water Company,1.0
464,ABSRBA,AbSorber AB,2.0
465,ABSRMC,ABSMaterials Inc.,9.0
466,ABSRSL,Absorption Systems Llc,13.0
467,ABSSCW,ALTERNATIVE BANK SCHWEIZ,3.0
468,ABSYYG,Abu Sayyaf Group,5.0
469,ABTASS,ABT Associates Inc,125.0
470,ABTCHS,Alpha Beta Technology Inc,7.0
471,ABTELC,Abt Electronics,2.0
472,ABTHLL,Arcis Biotechnology Holdings Ltd.,6.0
473,ABTIBI,Abitibi-Consolidated Inc,1.0
474,ABTMII,ABT Molecular Imaging Inc.,6.0
475,ABTNT,Aberdeen New Thai Investment Trust PLC,2.0
476,ABTRIN,MV Portfolios Inc.,4.0
477,ABTRTC,"Abatra Technology Co., Ltd",2.0
478,ABTTHS,Abbott House,13.0
479,ABTVNIA,The University Of Akron,30.0
480,ABTYSI,Advanced Beauty Systems Inc.,3.0
481,ABUDIC,Abu Dhabi Investment Council,3.0
482,ABUEPM,Grandmothers of Plaza de Mayo Association,1.0
483,ABUIGHP,Yellowstone Landscape Inc.,2.0
484,ABUL,GE Healthcare UK Ltd,123.0
485,ABUNI,Aberystwyth University,3.0
486,ABUUCU,Alliance for Audited Media,2.0
487,ABUWOA,American Business Women's Association,8.0
488,ABVBBA,AbbVie Inc.,46564.0
489,ABVNTI,Abovenet Inc,1.0
490,ABVRA,American Beverage Association,48.0
491,ABVSJI,"Mercom Capital Group, LLC",2.0
492,ABVXF,Abivax S.A.,58.0
493,ABWMGT,Abingworth Management Limited,66.0
494,ABXAII,ABX Air Inc,2.0
495,ABXAIR,Air Transport Services Group Inc.,107.0
496,ABXGIDF,Seventh Sense Biosystems Inc.,27.0
497,ABXSA,Horiba ABX SAS,28.0
498,ABYRXI,"Abyrx, Inc.",68.0
499,ABYSPI,Assembly of States Parties,1.0
500,ABYVSRA,Bridge Investment Group Llc,3.0
501,ABZ,ArcBest Corporation,457.0
502,ABZENE,Abzena PLC,295.0
503,ABZMET,AsiaBaseMetals Inc.,3.0
504,ABZZMB,Abdullah Azzam Brigades,2.0
505,ACAAIM,"American College of Allergy, Asthma and Immunology",1070.0
506,ACAAMI,Acadian Asset Management Llc,1460.0
507,ACACPH,Acacia Pharma Group PLC,305.0
508,ACACQ,Aldermore Group PLC,12.0
509,ACADIA,ACADIA Pharmaceuticals Inc,7146.0
510,ACADPR,Academy Press,18.0
511,ACADRE,Law Enforcement Associates Corp,12.0
512,ACADS,Aakash Chemicals & Dye-Stuffs Inc.,5.0
513,ACADUN,Acadia University,13.0
514,ACAELM,Acorn Care & Education Ltd,2.0
515,ACAHOL,Manifold Capital Corp.,3.0
516,ACAICO,Acadia Insurance Company,2.0
517,ACALLP,Audley Capital Advisors LLP,4.0
518,ACALUK,DiscoverIE Group PLC,16.0
519,ACAMFI,"Omni Bio Pharmaceutical, Inc.",511.0
520,ACAMGI,CoBiz Investment Management LLC,3.0
521,ACAMRE,Hangover Joe's Holding Corp.,2.0
522,ACAPAQ,Real Mex Restaurants Inc,2.0
523,ACAPC,Allegiance Capital Corp,2.0
524,ACAPFI,Atlantic Capes Fisheries Inc,2.0
525,ACAPMI,Advantus Capital Management Inc,7.0
526,ACAPML,"Artis Capital Management, LP",52.0
527,ACAPOE,Academy of American Poets,1.0
528,ACAPRE,A-Cap Energy Ltd,2.0
529,ACAPRL,Australian Capital Reserve Limited,145.0
530,ACAREI,Affordable Care Inc.,13.0
531,ACARGO,Atlas Air Worldwide Holdings Inc,525.0
532,ACARXA,Acarix AB,30.0
533,ACASPO,Academy Ltd.,7.0
534,ACAWSO,"Adult Children of Alcoholics World Service Organization, Inc.",1.0
535,ACBANI,American Chartered Bancorp Inc,1.0
536,ACBLU,Alcan Cable,1.0
537,ACBML,Parkson Holdings Berhad,4.0
538,ACBPHI,Accele Biopharma Inc.,15.0
539,ACBRPK,Trutankless Inc,4.0
540,ACBUAP,Advisory Committee on Business Appointments,128.0
541,ACBURA,American Burn Association,240.0
542,ACCACC,The Access Group,1.0
543,ACCASC,Accurate Chemical & Scientific Corporation,2.0
544,ACCBGL,"Access Business Group, LLC",11.0
545,ACCBLT,Accubuilt Incorporated,2.0
546,ACCBLZ,"AccuTec Blades, Inc.",3.0
547,ACCBNK,Access Bank PLC,4.0
