award_id_fain,award_id_uri,sai_number,obligated_amount,non_federal_funding_amount,total_funding_amount,face_value_of_loan,original_subsidy_cost,total_subsidy_cost,total_loan_value,period_of_performance_start_date,period_of_performance_current_end_date,awarding_agency_code,awarding_agency_name,awarding_sub_agency_code,awarding_sub_agency_name,awarding_office_code,awarding_office_name,funding_agency_code,funding_agency_name,funding_sub_agency_code,funding_sub_agency_name,funding_office_code,funding_office_name,recipient_duns,recipient_name,recipient_parent_duns,recipient_parent_name,recipient_country_code,recipient_country_name,recipient_address_line_1,recipient_address_line_2,recipient_city_code,recipient_city_name,recipient_county_code,recipient_county_name,recipient_state_code,recipient_state_name,recipient_zip_code,recipient_zip_last_4_code,recipient_congressional_district,recipient_foreign_city_name,recipient_foreign_province_name,recipient_foreign_postal_code,primary_place_of_performance_country_code,primary_place_of_performance_country_name,primary_place_of_performance_code,primary_place_of_performance_city_name,primary_place_of_performance_county_code,primary_place_of_performance_county_name,primary_place_of_performance_state_name,primary_place_of_performance_zip_4,primary_place_of_performance_congressional_district,primary_place_of_performance_foreign_location,cfda_number,cfda_title,assistance_type_code,assistance_type_description,award_description,business_funds_indicator_code,business_funds_indicator_description,business_types_code,business_types_description,record_type_code,record_type_description,last_modified_date
W81XWH1210576,,NO SAI  W81XWH3383,0,0,0,0,,,,9/30/12,9/29/17,97,DEPARTMENT OF DEFENSE (DOD),9700,DEPARTMENT OF DEFENSE,,,,,,,,,361122752,MAHARISHI UNIVERSITY OF MANAGEMENT RESEARCH I,,,USA,UNITED STATES,2100 MANSION DR,,26445,FAIRFIELD,101,JEFFERSON,IA,IOWA,52556,9073,,,,,USA,UNITED STATES,1926445,FAIRFIELD,101,JEFFERSON,IOWA,525569073,,,12.42,MILITARY MEDICAL RESEARCH AND DEVELOPMENT,4,,"A RANDOMIZED, CONTROLLED TRIAL OF MEDITATION COMPARED TO EXPOSURE THERAPY AND EDUCATION CONTROL ON PTSD IN VETERANS",,,12,,2,,2017-01-09 00:00:00+00
DEFG3608GO88024,,SAI NOT AVAILABLE,0,123000,123000,0,,,,7/1/08,6/30/12,89,DEPARTMENT OF ENERGY (DOE),8900,DEPARTMENT OF ENERGY,,,,,,,,,66470972,AUBURN UNIVERSITY,66470972,AUBURN UNIVERSITY,,,310 SAMFORD HALL,,3076,AUBURN,81,LEE,AL,ALABAMA,36849,1,3,,,,,,103076,AUBURN UNIVERSITY,,,ALABAMA,36849,3,,81.087,RENEWABLE ENERGY RESEARCH AND DEVELOPMENT,4,,SOUTHEAST BIOENERGY INITIATIVE,NON,,6,,2,,2016-11-03 00:00:00+00
2.01469E+13,,SAI EXEMPT,0,0,0,0,,,,3/1/14,2/29/16,12,DEPARTMENT OF AGRICULTURE (USDA),12H3,NATIONAL INSTITUTE OF FOOD AND AGRICULTURE,,,,,,,,,71579031,WINSTON-SALEM STATE UNIVERSITY (INC),142363428,,USA,UNITED STATES,601 S MARTIN LUTHER KING JR DR STE,,75000,WINSTON SALEM,67,FORSYTH,NC,NORTH CAROLINA,27110,3,12,,,,USA,UNITED STATES,3775000,WINSTON SALEM,67,FORSYTH,NORTH CAROLINA,271100003,12,,10.31,AGRICULTURE AND FOOD RESEARCH INITIATIVE (AFRI),4,,CHILDHOOD HEALTH & OBESITY INITIATIVE: COMMUNITIES ENGAGED FOR SUCCESS,NON,,6,,2,,2016-11-08 00:00:00+00
F11AC00877,,SAI NOT AVAILABLE,0,0,0,0,,,,7/21/11,10/26/16,14,DEPARTMENT OF THE INTERIOR (DOI),1448,U.S. FISH AND WILDLIFE SERVICE,,,,,,,,,73135808,"NATIONAL AUDUBON SOCIETY, INC.",73135808,"NATIONAL AUDUBON SOCIETY, INC.",,,"225 VARICK STREET, 7TH FLOOR",,51000,NEW YORK,61,NEW YORK,NY,NEW YORK,10014,0,10,,,,,,48*****,,,,TEXAS,,,,15.63,COASTAL,5,,NATIONAL AUDUBON SOCIETY,NON,,12,,2,,2016-12-20 00:00:00+00
N000141612976,,SAIEXEMPT,0,0,0,,,,,10/28/16,7/31/17,97,DEPARTMENT OF DEFENSE (DOD),1700,DEPARTMENT OF THE NAVY,N00014,OFFICE OF NAVAL RESEARCH,,,,,,,111089470,UNIVERSITY SYSTEM OF NEW HAMPSHIRE,1765866,UNIVERSITY SYSTEM OF NEW HAMPSHIRE,USA,UNITED STATES,51 COLLEGE RD SERVICE BLDG 107,,19620,DURHAM,17,STRAFFORD,NH,NEW HAMPSHIRE,3824,3585,1,,,,USA,UNITED STATES,NH19620,DURHAM,17,STRAFFORD,NEW HAMPSHIRE,03824-3585,1,,12.3,BASIC AND APPLIED SCIENTIFIC RESEARCH,4,PROJECT GRANT (B),QUANTITATIVE 3D MEASUREMENTS OF SHOALING AND BREAKING INTERNAL WAVES USING SAS IMAGERY,NON,NOT RECOVERY ACT,H,PUBLIC/STATE CONTROLLED INSTITUTION OF HIGHER EDUCATION,2,NON-AGGREGATE RECORD,2018-06-26 13:58:59.470426+00
1622369,,SAI EXEMPT,0,0,0,0,,,,9/1/16,8/31/19,49,NATIONAL SCIENCE FOUNDATION (NSF),4900,NATIONAL SCIENCE FOUNDATION,,,,,,,,,939017877,UNIVERSITY OF KENTUCKY,7400724,UNIVERSITY OF KENTUCKY,USA,UNITED STATES,109 KINKEAD HALL,,46000,LEXINGTON,67,FAYETTE,KY,KENTUCKY,40526,1,6,,,,USA,UNITED STATES,2146000,LEXINGTON,67,FAYETTE,KENTUCKY,405260001,6,,47.049,MATHEMATICAL AND PHYSICAL SCIENCES,4,,COLLABORATIVE RESEARCH:   CDS&E:  APPLIED ALGEBRAIC STATISTICS THROUGH R,NON,,6,,2,,2016-11-30 00:00:00+00
DEFG3608GO48037,,SAI EXEMPT,0,0,0,0,,,,9/12/08,9/11/10,47,GENERAL SERVICES ADMINISTRATION (GSA),4700,GENERAL SERVICES ADMINISTRATION,,,,,,,,,135668887,ENVIRNMNTAL PROTECTION PA DEPT,3027539,"PENNSYLVANIA, COMMONWEALTH OF",,,400 MARKET ST,,32800,HARRISBURG,43,DAUPHIN,PA,PENNSYLVANIA,17101,2301,7,,,,,,4232800,,,,PENNSYLVANIA,32800,42,,81.117,"ENERGY EFFICIENCY AND RENEWABLE ENERGY INFORMATION DISSEMINATION, OUTREACH",4,,PENNSYLVANIA WIND POWERING AMERICA STATE OUTREACH,NON,,6,,2,,2016-11-03 00:00:00+00
P15AC00035,,SAI EXEMPT,0,0,0,0,,,,12/11/14,12/10/19,14,DEPARTMENT OF THE INTERIOR (DOI),1443,NATIONAL PARK SERVICE,,,,,,,,,74113481,"SER-JOBS FOR PROGRESS NATIONAL, INC.",74113481,"SER-JOBS FOR PROGRESS NATIONAL, INC.",,,100 EAST ROYAL LANE STE 130,,37000,IRVING,113,DALLAS,TX,TEXAS,75039,4427,24,,,,,,00*****,IRVING,,,,75039,,,15.931,CONSERVATION ACTIVITIES BY YOUTH SERVICE ORGANIZATIONS,5,,21 CSC YOUTH ENGAGEMENT AND DEVELOPMENT,NON,,12,,2,,2016-12-20 00:00:00+00
W81XWH1210531,,NO SAI  W81XWH3378,0,0,0,0,,,,9/30/12,9/29/17,97,DEPARTMENT OF DEFENSE (DOD),9700,DEPARTMENT OF DEFENSE,,,,,,,,,624218814,PALO ALTO INSTITUTE FOR RESEARCH AND EDUCATIO,,,USA,UNITED STATES,3801 MIRANDA AVE BLDG 101 RM A2-100,,55282,PALO ALTO,85,SANTA CLARA,CA,CALIFORNIA,94304,1207,,,,,USA,UNITED STATES,655282,PALO ALTO,85,SANTA CLARA,CALIFORNIA,943041207,,,12.42,MILITARY MEDICAL RESEARCH AND DEVELOPMENT,4,,"RANDOMIZED, CONTROLLED TRIAL OF CBT TRAINING FOR PTSD PROVIDERS",,,12,,2,,2016-11-09 00:00:00+00
1554500,,SAI EXEMPT,0,0,0,0,,,,9/1/16,8/31/21,49,NATIONAL SCIENCE FOUNDATION (NSF),4900,NATIONAL SCIENCE FOUNDATION,,,,,,,,,41064767,UNIVERSITY OF CINCINNATI,41064767,UNIVERSITY OF CINCINNATI,USA,UNITED STATES,"UNIVERSITY HALL, SUITE 530",51 GOODMAN DR.,15000,CINCINNATI,61,HAMILTON,OH,OHIO,45221,222,1,,,,USA,UNITED STATES,3915000,CINCINNATI,61,HAMILTON,OHIO,452210222,1,,47.049,MATHEMATICAL AND PHYSICAL SCIENCES,4,,CAREER:   BIO-ENABLED ACTUATING MATERIALS (BEAM) TO POWER AUTONOMOUS MOBILITY,NON,,6,,2,,2016-11-30 00:00:00+00
P17AC00004,,SAI EXEMPT,0,0,0,0,,,,10/13/16,10/12/21,14,DEPARTMENT OF THE INTERIOR (DOI),1443,NATIONAL PARK SERVICE,,,,,,,,,104175604,YUMA CROSSING NATIONAL HERITAGE AREA CORP,,,,,180 W 1ST ST # E,,85540,YUMA,27,YUMA,AZ,ARIZONA,85364,1442,3,,,,,,485540,YUMA,,,ARIZONA,85364,3,,15.954,"NATIONAL PARK SERVICE CONSERVATION, PROTECTION, OUTREACH, AND EDUCATION",5,,RESTORATION WORK WITH NPS SOUTHWEST EXOTIC PLANT MANAGEMENT TEAM,NON,,12,,2,,2016-12-20 00:00:00+00
1553954,,SAI EXEMPT,0,0,0,0,,,,1/1/16,11/30/16,49,NATIONAL SCIENCE FOUNDATION (NSF),4900,NATIONAL SCIENCE FOUNDATION,,,,,,,,,790934285,UNIVERSITY OF MARYLAND,3256088,UNIVERSITY SYSTEM OF MARYLAND,USA,UNITED STATES,3112 LEE BLDG 7809 REGENTS DRIVE,,18750,COLLEGE PARK,33,PRINCE GEORGE'S,MD,MARYLAND,20742,5141,5,,,,USA,UNITED STATES,2418750,COLLEGE PARK,33,PRINCE GEORGE'S,MARYLAND,207425141,5,,47.041,ENGINEERING GRANTS,4,,CAREER: SMART SAMPLING AND CORRELATION-DRIVEN INFERENCE FOR HIGH DIMENSIONAL SIGNALS,NON,,6,,2,,2016-11-30 00:00:00+00
W81XWH1120225,,NO SAI  W81XWH3347,0,0,0,0,,,,9/25/11,9/24/17,97,DEPARTMENT OF DEFENSE (DOD),9700,DEPARTMENT OF DEFENSE,,,,,,,,,832127323,"OHIO STATE UNIVERSITY, THE",1964634,"OHIO STATE UNIVERSITY, THE",USA,UNITED STATES,1960 KENNY RD,,18000,COLUMBUS,49,FRANKLIN,OH,OHIO,43210,1016,,,,,USA,UNITED STATES,3918000,COLUMBUS,49,FRANKLIN,OHIO,432101016,,,12.42,MILITARY MEDICAL RESEARCH AND DEVELOPMENT,5,,INTEGRATIVE LIFECOURSE AND GENETIC ANALYSIS OF MILITARY WORKING DOGS,,,6,,2,,2016-11-09 00:00:00+00
W81XWH1120226,,NO SAI  W81XWH3348,0,0,0,0,,,,9/25/11,9/24/17,97,DEPARTMENT OF DEFENSE (DOD),9700,DEPARTMENT OF DEFENSE,,,,,,,,,832127323,"OHIO STATE UNIVERSITY, THE",1964634,"OHIO STATE UNIVERSITY, THE",USA,UNITED STATES,1960 KENNY RD,,18000,COLUMBUS,49,FRANKLIN,OH,OHIO,43210,1016,,,,,USA,UNITED STATES,3918000,COLUMBUS,49,FRANKLIN,OHIO,432101016,,,12.42,MILITARY MEDICAL RESEARCH AND DEVELOPMENT,5,,INTEGRATIVE LIFECOURSE AND GENETIC ANALYSIS OF MILITARY WORKING DOGS,,,6,,2,,2016-11-09 00:00:00+00
1601983,,SAI EXEMPT,0,0,0,0,,,,10/1/16,11/30/16,49,NATIONAL SCIENCE FOUNDATION (NSF),4900,NATIONAL SCIENCE FOUNDATION,,,,,,,,,42629816,CLEMSON UNIVERSITY,42629816,CLEMSON UNIVERSITY,USA,UNITED STATES,230 KAPPA STREET,"STROM THURMOND INSTITUTE, SUITE",14950,CLEMSON,77,PICKENS,SC,SOUTH CAROLINA,29634,1,3,,,,USA,UNITED STATES,4514950,CLEMSON,77,PICKENS,SOUTH CAROLINA,296340001,3,,47.07,COMPUTER AND INFORMATION SCIENCE AND ENGINEERING,4,,"SCH: EXP: HOME+, AN INTELLIGENT AND INTEROPERABLE SUITE OF ROBOTIC FURNISHINGS, LEARNING AND EVOLVING WITH THEIR USERS",NON,,6,,2,,2016-11-30 00:00:00+00
1565046,,SAI EXEMPT,0,0,0,0,,,,7/1/16,11/30/16,49,NATIONAL SCIENCE FOUNDATION (NSF),4900,NATIONAL SCIENCE FOUNDATION,,,,,,,,,614209054,UNIVERSITY OF CONNECTICUT,4534830,"CONNECTICUT, STATE OF",USA,UNITED STATES,438 WHITNEY ROAD EXT.,UNIT 1133,0,STORRS MANSFIELD,13,TOLLAND,CT,CONNECTICUT,6269,1133,2,,,,USA,UNITED STATES,900000,STORRS MANSFIELD,13,TOLLAND,CONNECTICUT,62693043,2,,47.074,BIOLOGICAL SCIENCES,4,,COLLABORATIVE RESEARCH: ABI DEVELOPMENT: CREATING A GENERIC WORKFLOW FOR SCALING UP THE PRODUCTION OF SPECIES RANGES,NON,,6,,2,,2016-11-30 00:00:00+00
W81XWH1120213,,NO SAI  W81XWH3279,0,0,0,0,,,,9/30/11,9/29/17,97,DEPARTMENT OF DEFENSE (DOD),9700,DEPARTMENT OF DEFENSE,,,,,,,,,76453174,CRAIG HOSPITAL,,,USA,UNITED STATES,3425 S CLARKSON ST,,24785,ENGLEWOOD,5,ARAPAHOE,CO,COLORADO,80113,2899,,,,,USA,UNITED STATES,824785,ENGLEWOOD,5,ARAPAHOE,COLORADO,801132899,,,12.42,MILITARY MEDICAL RESEARCH AND DEVELOPMENT,5,,FAMILY CAREGIVERS FOR VETERANS WITH SPINAL CORD INJURY: EXPLORING THE STRESSES AND BENEFITS,,,12,,2,,2016-11-09 00:00:00+00
DEFG3608GO18086,,SAI NOT AVAILABLE,0,0,0,0,,,,9/30/08,6/30/12,89,DEPARTMENT OF ENERGY (DOE),8900,DEPARTMENT OF ENERGY,,,,,,,,,5309844,IOWA STATE UNIVERSITY,5309844,IOWA STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY,,,1138 PEARSON,,1855,AMES,169,STORY,IA,IOWA,50011,2025,4,,,,,,1901855,AMES,,,IOWA,50011,4,,81.087,RENEWABLE ENERGY RESEARCH AND DEVELOPMENT,4,,CATALYTIC PRODUCTION OF ETHANOL FROM BIOMASS-DERIVED SYNTHESIS GAS,NON,,6,,2,,2016-11-03 00:00:00+00
1611086,,SAI EXEMPT,0,0,0,0,,,,9/1/16,11/30/16,49,NATIONAL SCIENCE FOUNDATION (NSF),4900,NATIONAL SCIENCE FOUNDATION,,,,,,,,,7431505,"REGENTS OF THE UNIVERSITY OF COLORADO, THE",7431505,"REGENTS OF THE UNIVERSITY OF COLORADO, THE",USA,UNITED STATES,"3100 MARINE STREET, ROOM 481",572 UCB,7850,BOULDER,13,BOULDER,CO,COLORADO,80303,1058,2,,,,USA,UNITED STATES,807850,BOULDER,13,BOULDER,COLORADO,803031058,2,,47.041,ENGINEERING GRANTS,4,,OP: COLLABORATIVE RESEARCH: COHERENT INTEGRATED SI-PHOTONIC LINKS,NON,,6,,2,,2016-11-30 00:00:00+00
2011WLAX0047,,SAI NOT AVAILABLE,0,,0,,,,,10/1/11,12/31/16,15,DEPARTMENT OF JUSTICE (DOJ),1501,"OFFICES, BOARDS AND DIVISIONS",,,15,DEPARTMENT OF JUSTICE (DOJ),1501,"OFFICES, BOARDS AND DIVISIONS",,,97154371,WOMEN'S RESOUCE CENTER  INC.,,,USA,UNITED STATES,ADDRESS RESTRICTED,,69000,SCRANTON                    ,69,LACKAWANNA,PA,PENNSYLVANIA,18501,975,11,,,,USA,UNITED STATES,PA69000,SCRANTON                    ,69,LACKAWANNA,PENNSYLVANIA,18501-0975,11,,16.524,LEGAL ASSISTANCE FOR VICTIMS,4,,CIVIL LEGAL REPRESENTATION PROJECT,NON,,M,,2,,2017-11-02 18:19:32.321014+00
1614653,,SAI EXEMPT,0,0,0,0,,,,9/1/16,11/30/16,49,NATIONAL SCIENCE FOUNDATION (NSF),4900,NATIONAL SCIENCE FOUNDATION,,,,,,,,,605799469,UNIVERSITY OF WASHINGTON,42803536,UNIVERSITY OF WASHINGTON,USA,UNITED STATES,4333 BROOKLYN AVE NE,,63000,SEATTLE,33,KING,WA,WASHINGTON,98195,1,7,,,,USA,UNITED STATES,5363000,SEATTLE,33,KING,WASHINGTON,981950001,7,,47.07,COMPUTER AND INFORMATION SCIENCE AND ENGINEERING,4,,RI: SMALL: MODEL-BASED DEEP REINFORCEMENT LEARNING FOR DOMAIN TRANSFER,NON,,6,,2,,2016-11-30 00:00:00+00
W81XWH1220117,,NO SAI  W81XWH3333,0,0,0,0,,,,9/30/12,9/29/17,97,DEPARTMENT OF DEFENSE (DOD),9700,DEPARTMENT OF DEFENSE,,,,,,,,,962848586,"BOSTON VA RESEARCH INSTITUTE, INC",,,USA,UNITED STATES,150 S HUNTINGTON AVE,,7000,BOSTON,25,SUFFOLK,MA,MASSACHUSETTS,2130,4817,,,,,USA,UNITED STATES,2507000,JAMAICA PLAIN,25,SUFFOLK,MASSACHUSETTS,21304817,,,12.42,MILITARY MEDICAL RESEARCH AND DEVELOPMENT,5,,PROJECT VALOR: TRAJECTORIES OF CHANGE IN PTSD IN COMBAT-EXPOSED VETERANS,,,12,,2,,2016-11-09 00:00:00+00
1557748,,SAI EXEMPT,0,0,0,0,,,,7/1/16,11/30/16,49,NATIONAL SCIENCE FOUNDATION (NSF),4900,NATIONAL SCIENCE FOUNDATION,,,,,,,,,948108063,UNIVERSITY OF PUERTO RICO MEDICAL SCIENCES CA,90051616,UNIVERSITY OF PUERTO RICO,USA,UNITED STATES,CRECED,PO BOX 365067,76770,SAN JUAN,127,PUERTO RICO,OR,PUERTO RICO,936,5067,0,,,,USA,UNITED STATES,00FORGN,,,,PUERTO RICO,,,,47.074,BIOLOGICAL SCIENCES,4,,COLLABORATIVE RESEARCH: STRUCTURAL AND FUNCTIONAL CONNECTIVITY OF SQUID CHROMATOPHORES,NON,,6,,2,,2016-11-30 00:00:00+00
W81XWH1010681,,NO SAI  W81XWH3234,0,0,0,0,,,,9/15/10,9/14/17,97,DEPARTMENT OF DEFENSE (DOD),9700,DEPARTMENT OF DEFENSE,,,,,,,,,186146911,SARC,,,USA,UNITED STATES,24 FRANK LLOYD WRIGHT DR STE A3100,,3000,ANN ARBOR,161,WASHTENAW,MI,MICHIGAN,48105,9755,,,,,USA,UNITED STATES,2603000,ANN ARBOR,161,WASHTENAW,MICHIGAN,481069484,,,12.42,MILITARY MEDICAL RESEARCH AND DEVELOPMENT,4,,PHASE 2 STUDY: RAD001 WITH AND WITHOUT BEVACIZUMAB IN SPORADIC AND NEUROFIBROMATOSIS TYPE 1-RELATED REFRACTORY MALIGNANT PERIPHERAL NERVE SHEATH TUMO,,,12,,2,,2016-10-06 00:00:00+00
