"","id","login"
"148","148","Diplomate, Geotechnical Engineering"
"149","149","Certified Engineering Technician - Special Hazards Suppression Systems"
"150","150","Master Certified Electronics Technician"
"151","151","Certified Electronic Systems Technician"
"152","152","CEDIA Electronic Systems Certified Networking Specialist"
"153","153","Certified Engineering Technologist"
"154","154","General Communications Technician - Level 2"
"155","155","General Communications Technician - Level 1"
"156","156","Certified Portable Power Distribution Technician"
"157","157","ISA Certified Control Systems Technician - Level I"
"158","158","Student Electronics Technician"
"159","159","Commercial Electrical Inspector"
"160","160","Industrial Electronics"
"161","161","Radio Frequency Identification Technical Specialist"
"162","162","PMMI Mechatronics: Programmable Logic Controllers 1"
"163","163","SACA Certified Industry 4.0 Automation Systems Specialist II"
"164","164","SACA C-102 Certified Industry 4.0 Associate - Advanced Operations"
"165","165","Electrical Generator Systems Technician Certification"
"166","166","Certification in Electrical Power Testing - Level III"
"167","167","Associate Electronics Technician - Comprehensive"
"168","168","Certified Satellite Installer - C and KU Band"
"169","169","Radio Frequency Interference Mitigation"
"170","170","Wireless Communications"
"171","171","CEDIA Electronic Systems Certified Designer"
"172","172","CEDIA Electronic Systems Certified Technician"
"173","173","Senior Certified Electronics Technician"
"174","174","Certification in Electrical Power Testing"
"175","175","Passive Intermodulation Testing"
"176","176","Certification in Electrical Power Testing - Level IV"
"177","177","SACA C-103 Certified Industry 4.0 Associate - Robot System Operations"
"178","178","SACA Certified Industry 4.0 Production Systems Specialist II"
"179","179","Associate Electronics Technician - Direct Current"
"180","180","Associate Electronics Technician - Analog"
"181","181","Associate Electronics Technician - Digital"
"182","182","Mobile Communications and Electronics Installer"
"183","183","Associate Electronics Technician - Alternating Current"
"184","184","Termination and Testing Technician"
"185","185","CEDIA Electronic Systems Certified"
"186","186","Certified Satellite Installer - S-MATV"
"187","187","SAE Fabricator"
"188","188","Certified Satellite Installer - Antenna"
"189","189","Certified Satellite Installer - Commercial"
"190","190","SACA Certified Industry 4.0 IT Systems Specialist II"
"191","191","Electromagnetic Compatibility (EMC/EMI) Certification"
"192","192","SACA Certified Industry 4.0 Systems Professional"
"193","193","SACA C-101 Certified Industry 4.0 Associate - Basic Operations"
"194","194","SACA Certified Industry 4.0 Production Systems Specialist I"
"195","195","SACA Certified Industry 4.0 IT Systems Specialist I"
"196","196","SACA Certified Industry 4.0 Automation Systems Specialist I"
"197","197","SACA C-104 Certified Industry 4.0 Associate -IIoT, Networking & Data Analytics"
"198","198","Cadastral Mapping Specialist"
"199","199","Certified Surveyor Technician: Level III"
"200","200","Certified Survey Technician Level I"
"201","201","Certified Surveyor Technician: Level IV"
"202","202","Certified Surveyor Technician: Level II"
"203","203","ArcGIS Desktop Entry 10.4"
"204","204","Accredited Marine Surveyor"
"205","205","Certified Portable 3D Metrologist Level 1"
"206","206","ArcGIS Desktop Entry 10.5"
"207","207","Plant Maintenance Technologist Certification Class I"
"208","208","Clinical Chemistry Technologist"
"209","209","Concrete Laboratory Testing Technician - Level 1"
"210","210","Level I Laboratory Lubricant Analyst"
"211","211","Concrete Laboratory Testing Technician - Level 2"
"212","212","Combustion Analysis Certification"
"213","213","Masonry Laboratory Testing Technician"
"214","214","Level II Laboratory Lubricant Analyst"
"215","215","Registered Radiation Protection Technologist"
"216","216","Industry Radiography Radiation Safety Personnel"
"217","217","Coating Inspector Program Level 2"
"218","218","Certified of Medical Illustrator"
"219","219","Nationally Certified Resume Writer"
"220","220","Grant Professionals Certification"
"221","221","Certified Professional Technical Communicator - Foundational"
"222","222","Certified Medical Publication Professional"
"223","223","Certified Professional Technical Communicator - Expert"
"224","224","Certified Professional Technical Communicator - Practitioner"
"225","225","Certified Reporting Instructor"
"226","226","Registered Professional Reporter"
"227","227","Certified Verbatim Reporter"
"228","228","Registered CART Provider - Master"
"229","229","Certificate of Merit"
"230","230","Certified Realtime Reporter"
"231","231","Registered Merit Reporter"
"232","232","Registered Diplomate Reporter"
"233","233","Registered Broadcast Captioner"
"234","234","Certified Digital Radio Broadcast Specialist"
"235","235","Certified Technology Specialist-Design"
"236","236","Avid Certified Support Representative: Avid VENUE | S6L"
"237","237","Avid Certified Operator for Pro Tools | Post"
"238","238","Certified Video Engineer"
"239","239","Commercial Audio Technician"
"240","240","Avid Certified User: Media Composer"
"241","241","Video Security Systems Technician III"
"242","242","Video Security Systems Technician I"
"243","243","Video Security Systems Designer I"
"244","244","Certified AM Directional Specialist"
"245","245","Digital Video Editor"
"246","246","Avid Certified User for Pro Tools"
"247","247","Avid Certified Operator: Pro Tools | Music"
"248","248","Certified Technology Specialist"
"249","249","Video Security Systems Technician II"
"250","250","Certified Broadcast Television Engineer"
"251","251","Certified Broadcast Networking Engineer"
"252","252","Certified 8-VSB Specialist"
"253","253","Certified Television Operator"
"254","254","Certified Radio Operator"
"255","255","Certified Audio Engineer"
"256","256","Professional Broadcast Engineer"
"257","257","Certified Broadcast Technologist"
"258","258","Certified Broadcast Radio Engineer"
"259","259","Certified Senior Broadcast Radio Engineer"
"260","260","Certified Broadcast Networking Technologist"
"261","261","Certified Technology Specialist-Installation"
"262","262","Avid Certified Professional: Media Composer"
"263","263","Avid Certified User: Pro Tools for Game Audio"
"264","264","Avid Certified Operator: Pro Tools | Worksurface"
"265","265","Avid Certified User: Avid VENUE | S6L"
"266","266","Avid Certified Professional: Avid VENUE | S6L"
"267","267","Avid Certified User: Sibelius"
"268","268","Avid Certified Expert: Pro Tools | S6"
"269","269","Avid Certified Operator: Avid VENUE"
"270","270","Avid Certified Mixer: ICON Mixer"
"271","271","Adobe Photoshop CC 2015"
"272","272","Certified Digital Designer"
"273","273","Total Body Photography Certification"
"274","274","Forensic Photography & Imaging Certification"
"275","275","Neonatal/Pediatric Respiratory Care Specialist"
"276","276","Certificate of Added Qualification in Neonatal Pediatric Transport"
"277","277","Certified Respiratory Therapist"
"278","278","Registered Respiratory Therapist - Sleep Disorders Specialty"
"279","279","Certified Respiratory Therapist - Sleep Disorders Specialty"
"280","280","Adult Critical Care Specialty"
"281","281","Certified Dental Technician"
"282","282","Certified Surgical First Assistant"
"283","283","Orthopaedic Technologist-Surgery Certified"
"284","284","Certified Ambulatory Surgery Technician"
"285","285","Certified Surgical Assistant"
"286","286","Ophthalmic Surgical Assisting"
"287","287","Certified Surgical Instrument Specialist"
"288","288","Certified Surgical Technologist"
"289","289","Tech in Surgery - Certified"
"290","290","Veterinary Technician Specialist- Nutrition"
"291","291","Veterinary Technician Specialist in Nutrition"
"292","292","Assistant Laboratory Animal Technician"
"293","293","Laboratory Animal Technologist"
"294","294","Veterinary Internal Medicine Technician - Large Animal Internal Medicine"
"295","295","Veterinary Internal Medicine Technician - Neurology"
"296","296","Laboratory Animal Technician"
"297","297","Veterinary Technician National Exam"
"298","298","Veterinary Internal Medicine Technician - Oncology"
"299","299","Veterinary Internal Medicine Technician - Cardiology"
"300","300","Veterinary Internal Medicine Technician - Small Animal Internal Medicine"
"301","301","Sartech I/ Crewleader"
"302","302","Airport Master Firefighter"
"303","303","WSO - Certified Hazardous Materials Technician I"
"304","304","Airport Fire Officer"
"305","305","Certified Wildfire Mitigation Specialist"
"306","306","WSO - Certified Hazardous Materials Technician Level II"
"307","307","Certified Fire Protection Specialist"
"308","308","Sartech III"
"309","309","Sartech II"
"310","310","Certified Hazard Recognition Specialist"
"311","311","Certified Working Pastry Chef"
"312","312","Master Certified Food Executive"
"313","313","Certified Personal Chef"
"314","314","Certified Chef de Cuisine"
"315","315","Certified Master Chef"
"316","316","Certified Executive Pastry Chef"
"317","317","Certified Executive Chef"
"318","318","Certified Sous Chef"
"319","319","Certified Master Pastry Chef"
"320","320","Certified Secondary Culinary Educator"
"321","321","Fundamental Payroll Certification"
"322","322","Microsoft Office Specialist: Microsoft Excel 2016 Expert"
"323","323","Microsoft Office Specialist: Microsoft Outlook 2016"
"324","324","Microsoft Office Specialist: Excel Associate (Excel and Excel 2019)"
"325","325","Microsoft Office Specialist: Microsoft Access Expert (Access and Access 2019)"
"326","326","Certified Associate in Project Management"
"327","327","Microsoft Office Specialist: Microsoft Excel Expert (Excel and Excel 2019)"
"328","328","Microsoft Office Specialist: Word Associate (Word and Word 2019)"
"329","329","Microsoft Office Specialist: Microsoft Word 2016 Expert"
"330","330","Microsoft Office Specialist: Associate (Office 365 and Office 2019)"
"331","331","Microsoft Office Specialist: PowerPoint Associate 2019"
"332","332","Microsoft Office Specialist: Outlook Associate (Outlook and Outlook 2019)"
"333","333","Certified Administrative Professional"
"334","334","Microsoft Office Specialist: Microsoft Word 2016"
"335","335","Microsoft Office Specialist: Microsoft Word Expert (Word and Word 2019)"
"336","336","Microsoft Office Specialist: Microsoft PowerPoint 2016"
"337","337","Microsoft Office Specialist: Expert - Office 365 and Office 2019"
"338","338","Microsoft Office Specialist: Microsoft Office 2016 Master Specialist"
"339","339","Microsoft Office Specialist: Expert (Office 365 and Office 2019)"
"340","340","Microsoft Office Specialist: PowerPoint Associate (PowerPoint and PowerPoint 2019)"
"341","341","Master Ground Water Contractor"
"342","342","Graduate Master Builder"
"343","343","Certified Kitchen and Bath Remodeler"
"344","344","Master Trainer"
"345","345","Construction Site Safety Orientation"
"346","346","Traffic Signal Inspector Level I"
"347","347","Craft Instructor"
"348","348","Tilt-Up Supervisor & Technician"
"349","349","Concrete Construction Special Inspector"
"350","350","Supervisor Certification"
"351","351","Mobile Crane Operator"
"352","352","Construction Site Safety Supervisor"
"353","353","Masonry Field Testing Technician"
"354","354","Certified Remodeler Associate"
"355","355","Master Certified Remodeler"
"356","356","Certified Graduate Builder"
"357","357","Certified Remodeler Specialist"
"358","358","Certification in Construction Materials Testing - Asphalt Level IV"
"359","359","Construction Superintendant Certification"
"360","360","Certification in Construction Materials Testing - Asphalt Level III"
"361","361","Certification in Construction Materials Testing - Asphalt Level II"
"362","362","Architectural Openings Consultants"
"363","363","Master Craft/Technician Instructor"
"364","364","PV System Inspector"
"365","365","Solar Heating Installer"
"366","366","PV Installation Professional"
"367","367","National Board New Construction Inspector Commission"
"368","368","National Board Inservice Inspector Commission"
"369","369","Structural Masonry Special Inspector"
"370","370","Certified Installer and Sand & Finisher"
"371","371","Door + Hardware Specification Consultant"
"372","372","Door + Hardware Industry Associate - Level I"
"373","373","Rain Screen Systems"
"374","374","Certified Craftsman"
"375","375","InstallationMasters"
"376","376","FenestrationAssociate"
"377","377","Adhesive Anchor Installer"
"378","378","Certified Graduate Associate"
"379","379","Certified Lead Carpenter"
"380","380","Certified Installer"
"381","381","Certified Door Consultants"
"382","382","LEED Green Associate"
"383","383","Door + Hardware Consultant  - Level III"
"384","384","FenestrationMaster"
"385","385","Certified Master Craftsman"
"386","386","Door + Hardware Technician - Level II"
"387","387","Certification in Construction Materials Testing - Asphalt"
"388","388","Signalperson"
"389","389","Qualified Rigger Advanced"
"390","390","Graduate Master Remodeler"
"391","391","Qualified Signalperson & Basic Rigger Certification"
"392","392","Certification in Construction Materials Testing - Concrete Level I"
"393","393","Associate Constructor"
"394","394","Rigger Level I"
"395","395","Construction Site Safety Technician"
"396","396","Certified Concrete Surface Repair Technician"
"397","397","ACI Shotcrete Nozzleman (Wet-Mix Process)"
"398","398","ACI Shotcrete Nozzleman (Dry-Mix Process)"
"399","399","Certified Electrical Inspector - Master"
"400","400","Certified Electrical Inspector - Residential"
"401","401","Electrified Hardware Consultant"
"402","402","Construction Code Professionals One- and Two-Family Dwellings"
"403","403","ETT Certified Assistant Technician Level II"
"404","404","Electrical Plans Examiner"
"405","405","Certified Lighting Controls Professional"
"406","406","ALA Certified Lighting Consultant"
"407","407","ALA Lighting Specialist"
"408","408","Residential Electrical Inspector"
"409","409","Certified Entertainment Electrician"
"410","410","Electrical Certification"
"411","411","STAR Steamfitting-Pipefitting Mastery"
"412","412","STAR Plumber Mastery"
"413","413","IAPMO Plumbing Plans Examiner"
"414","414","UPC Journeyman Plumber"
"415","415","Infection Control & Water Quality Certification"
"416","416","Journey Level Pipefitter-Steamfitter"
"417","417","Plumbing Plans Examiner"
"418","418","STAR Fire SprinklerFitter Mastery"
"419","419","Rainwater Catchment Systems Certification"
"420","420","Residential Potable Water Fire Protection Certification"
"421","421","Hydronic Heating and Cooling Certification"
"422","422","Medical Gas Certification"
"423","423","Commercial Plumbing Inspector"
"424","424","IAPMO Plumbing Inspector"
"425","425","UPC Residential and Commercial Plumbing Inspector"
"426","426","Backflow Prevention Assembly Repairer Certification"
"427","427","Service Plumbing Certification"
"428","428","Backflow Prevention Cross-Connection Control Surveyor Certification"
"429","429","Backflow Prevention Assembly Tester Certification"
"430","430","Water-Based Fire Protection Certification"
"431","431","Backflow Prevention Program Specialist/Administrator Certification"
"432","432","Reinforced Concrete Special Inspector"
"433","433","Registered Roof Observer"
"434","434","Registered Roof Consultant"
"435","435","Registered Waterproofing Consultant"
"436","436","Structural Steel and Bolting Special Inspector"
"437","437","Photovoltaic System Installation Certification"
"438","438","Photovoltaic Installer - Level 1"
"439","439","Certified Electrical Safety Technician"
"440","440","Photovoltaic Installer/Designer"
"441","441","Photovoltaic Associate"
"442","442","PV Installer Specialist"
"443","443","Solar PV Certification"
"444","444","IAPMO Mechanical Inspector"
"445","445","Coastal and Flood Plains Construction Inspector"
"446","446","Prestressed Concrete Special Inspector"
"447","447","Zoning Inspector"
"448","448","Accessibility Inspector/Plans Examiner"
"449","449","Certified Professional Constructor"
"450","450","Architectural Hardware Consultants"
"451","451","Healthy Home Evaluator"
"452","452","Registered Construction Inspector in Public Works"
"453","453","Certified Commercial Inspector"
"454","454","Coating Inspector Program Level 1 - Nuclear Specialty"
"455","455","Registered Construction Inspector - Concrete"
"456","456","Spray-Applied Fireproofing Special Inspector"
"457","457","Residential Plumbing Inspector - P1"
"458","458","Residential Mechanical Inspector - M1"
"459","459","Certified Building Commissioning Professional"
"460","460","Commercial Mechanical Inspector"
"461","461","Property Maintenance and Housing Inspector"
"462","462","Residential Building Inspector"
"463","463","Mechanical Plans Examiner"
"464","464","Building Plans Examiner"
"465","465","Existing Building Commissioning Professional"
"466","466","Coating Inspector Program Level 2 - Marine Specialty"
"467","467","Residential and Commercial Mechanical Inspector"
"468","468","Residential and Commercial Electrical Inspector"
"469","469","Certified Commissioning Authority"
"470","470","Code Specialist"
"471","471","Associate Commissioning Professional"
"472","472","Certified Specialist of Inspection Housing Quality Standards"
"473","473","Certified Building Official - Legal Module"
"474","474","Registered Construction Inspector - Electrical"
"475","475","Certified Wood Flooring Inspectors"
"476","476","Solar Heating System Inspector"
"477","477","Concrete Transportation Construction Inspector"
"478","478","Certified Ventilation Inspector"
"479","479","Building Analyst"
"480","480","Multifamily Building Operator"
"481","481","Certified Public Infrastructure Inspector"
"482","482","IAPMO Accessibility Inspector Certification"
"483","483","Certified Commissioning Professional"
"484","484","Certified National Home Inspector"
"485","485","Commercial Building Inspector"
"486","486","Certified Fire Plan Examiner I"
"487","487","Permit Technician"
"488","488","Master Certified Green Professional"
"489","489","IgCC Commercial Inspector with ASHRAE 189.1"
"490","490","Certified Specialist of Inspection Uniform Physical Condition Standards"
"491","491","Quality Control Inspector"
"492","492","Building Commissioning Professional Certification"
"493","493","ASHI Certified Inspector"
"494","494","Registered Construction Inspector in Building"
"495","495","Registered Construction Inspector - Engineering"
"496","496","Building Codes and Standards"
"497","497","Registered Construction Inspector - Fire Doors"
"498","498","Certified Home Energy Rater"
"499","499","Energy Auditor"
"500","500","Certified Building Energy Simulation Analyst"
"501","501","Level I Thermography Certification"
"502","502","Optical Gas Imaging II Certification"
"503","503","Level I FLIR GF309 Furnace Inspection"
"504","504","Rating Field Inspector"
"505","505","Energy Risk Professional"
"506","506","Level I Electrical Thermography Certification"
"507","507","Level I Certified Building Investigations"
"508","508","Commercial Energy Plans Examiner"
"509","509","Certified Residential Energy Auditor"
"510","510","Certified Energy Auditor"
"511","511","Commercial Energy Inspector"
"512","512","National Insulation Energy Appraiser"
"513","513","Optical Gas Imaging Certification"
"514","514","Certified Energy Insulation Appraisers"
"515","515","Multifamily Building Analyst"
"516","516","Master Specialist Hands On Envelope Leak Testing"
"517","517","Level II Thermography Certification"
"518","518","Level III Thermography Certification"
"519","519","Level II Electrical Thermography Certification"
"520","520","Certified Accessibility Technician"
"521","521","Certified Elevator Technician"
"522","522","Qualified Elevator Inspector"
"523","523","Digger Derrick Operator"
"524","524","Rigger and Signal Person Certification"
"525","525","Oil Monitoring Analyst I"
"526","526","Fluid Power Connector and Conductor"
"527","527","Certified Vertical Closed Loop Driller"
"528","528","Certified Well Driller"
"529","529","Certified Supervisor of Maintenance/Equipment"
"530","530","Certified Residential Geothermal Designer"
"531","531","Certified Service Manager"
"532","532","Certified Maintenance & Reliability Professional"
"533","533","Master Specialist Hands On Calculating Indoor Air CFM"
"534","534","Certified GeoExchange Designer"
"535","535","Certified Equipment Manager"
"536","536","Master Specialist Hands On Building Automation Systems Set-up and Commissioning"
"537","537","Master Specialist Hands On Demand-Controlled Ventilation Set-up and Commissioning"
"538","538","CompTIA A+ Certification"
"539","539","Microwave Radio Technician"
"540","540","BICSI Installer 2, Copper"
"541","541","Broadband Premises Installer"
"542","542","Nokia Network Routing Specialist II"
"543","543","DOCSIS Engineering Professional"
"544","544","Certified Satellite Installer"
"545","545","BICSI Installer 2, Optical Fiber"
"546","546","BICSI Technician"
"547","547","Certified Premises Cabling Technician"
"548","548","Distributed Antenna Systems"
"549","549","BICSI Installer 1"
"550","550","Wireless Communications Technician"
"551","551","Broadband TelecomCenter Specialist"
"552","552","Broadband Transport Specialist"
"553","553","Line and Antenna Sweeping"
"554","554","Business Class Services Specialist"
"555","555","General Communications Technician - Level 3"
"556","556","Inside Electrical Craft Certification"
"557","557","Cable Splicing Certification"
"558","558","Telecommunications"
"559","559","Avionics Electronics Technician"
"560","560","RADAR Electronics Technician"
"561","561","Aircraft Electronics Technician"
"562","562","Electric Vehicle Technician"
"563","563","Certified Electronics Technician - Journeyman-Level - Radar"
"564","564","Traffic Signal Senior Field Technician Level III"
"565","565","IPC-7721& IPC-7711 Rework, Repair, & Modification of Printed Boards & Electronic Assemblies"
"566","566","Certified Maintenance and Reliability Technician"
"567","567","Certified Electronics Technician - Journeyman-Level - Communications"
"568","568","Certified Electronics Systems Associate"
"569","569","Certified Electronics Technician - Journeyman-Level - Industrial"
"570","570","Certified Electronics Technician - Journeyman-Level - Multimedia Systems Technician"
"571","571","PMMI Mechatronics: Industrial Electricity 1"
"572","572","Instrumentation Certification"
"573","573","Master Truck Equipment Specialist"
"574","574","Certified Electronics Technician - Journeyman-Level - Consumer"
"575","575","Certified Service Technician"
"576","576","Certified Systems Integrator"
"577","577","Certified Fire Alarm ITM Specialist for Facility Managers"
"578","578","Certified Alarm Security Technician"
"579","579","Certification in Fire Alarm Systems"
"580","580","Certified Video Technician"
"581","581","Certification in Fire Alarm Systems - Level III"
"582","582","UL Lightning Protection Journeyman Certification"
"583","583","Certified Sprinkler ITM Specialist for Facility Managers"
"584","584","Certified Water-Based Systems Professional"
"585","585","Municipal Fire Alarm System Technician Level I"
"586","586","Interior Fire Alarm Technician Level II"
"587","587","Physical Security Professional"
"588","588","Certified Alarm Technician - Level I"
"589","589","Certified Fire AlarmTechnician - Level II"
"590","590","Pre-Engineered Industrial Fire Extinguishing System Technician"
"591","591","UL Lightning Protection Master Certification"
"592","592","Certification in Fire Alarm Systems - Level IV"
"593","593","CertTEC Basic Composites certification"
"594","594","CertTEC Aviation Mechanical Assembly certification"
"595","595","CertTEC Aviation Structures Level 2 certification"
"596","596","CertTEC Advanced Electricity and Electronics Certification"
"597","597","CertTEC Basic Electricity and Electronics Certification"
"598","598","CertTEC Aviation Structures certification"
"599","599","Aerospace/Aircraft Assembly Maintenance Certification"
"600","600","Automobile and Light Truck Certification:  Manual Drive Train and Axles  (A3)"
"601","601","Alternate Fuels Technician (Light Vehicle Compressed Natural Gas Technician)"
"602","602","Level I Machine Lubrication Technician"
"603","603","Master Medium/Heavy Truck Specialist"
"604","604","Automobile Technician: Brakes"
"605","605","Undercar Specialist: Exhaust Systems"
"606","606","Transit Bus Technician: Electrical/Electronic Systems"
"607","607","Collision Repair and Refinish: Non-Structural Analysis and Damage Repair"
"608","608","Rebuilder Specialist"
"609","609","Certified Auto Glass Qualified Technician"
"610","610","Transit Bus Technician: Suspension & Steering"
"611","611","Collision Repair and Refinish: Mechanical and Electrical Components"
"612","612","Truck Equipment Specialist: Electrical/Electronic Systems"
"613","613","Level II Machine Lubrication Technician"
"614","614","Collision Repair and Refinish: Painting and Refinishing Technician"
"615","615","Master Automobile/Light Truck Technician"
"616","616","Truck Equipment Specialist Installation and Repair"
"617","617","School Bus Technician: Electrical/Electronic Systems"
"618","618","Certified Lubrication Specialist"
"619","619","Automobile and Light Truck Certification:  Light Vehicle Diesel Engines  (A9)"
"620","620","Chassis Technician"
"621","621","Automobile Service Consultant (B6)"
"622","622","Automobile and Light Truck Certification: Suspension and Steering  (A5)"
"623","623","Auto Maintenance and Light Repair Certification"
"624","624","Automobile and Light Truck Certification:  Suspension and Steering  (A4)"
