"","Certification.Name","Certifying.Organization","Type","SOC"
"61","Certified Specialist in Oncology Nutrition","Commission on Dietetic Registration","Specialty","29-1031.00"
"62","Certified Specialist in Pediatric Nutrition","Commission on Dietetic Registration","Specialty","29-1031.00"
"63","School Nutrition Specialist","School Nutrition Association","Core","29-1031.00"
"64","Certified Nutrition Specialist","Board for Certification of Nutrition Specialists","Advanced","29-1031.00"
"65","Certified Eating Disorders Registered Dietitian","International Association of Eating Disorders Professionals","Advanced","29-1031.00"
"66","Registered Dietitian Nutritionist","Commission on Dietetic Registration","Advanced","29-1031.00"
"67","Certified Specialist in Sports Dietetics","Commission on Dietetic Registration","Specialty","29-1031.00"
"68","Certified Specialist in Renal Nutrition","Commission on Dietetic Registration","Specialty","29-1031.00"
"69","Sports Nutrition Specialist Certification","International Sports Sciences Association","Specialty","29-1031.00"
"70","Certified Clinical Nutritionist","Clinical Nutrition Certification Board","Core","29-1031.00"
"71","Certified Dietary Manager","Association of Nutrition and Food Service Professionals","Advanced","29-1031.00"
"72","Certified Ketogenic Nutrition Specialist","Board for Certification of Nutrition Specialists","Advanced","29-1031.00"
"73","Certified Diabetes Educator","National Certification Board for Diabetes Educators","Specialty","29-1031.00"
"74","Certified Nutrition Support Clinician","National Board of Nutrition Support Certification, Inc.","Advanced","29-1031.00"
"75","Registered Dietitian","Commission on Dietetic Registration","Core","29-1031.00"
"76","Certified Food Protection Professional","Association of Nutrition and Food Service Professionals","Advanced","29-1031.00"
"77","Diplomate of the American Clinical Board of Nutrition","American Clinical Board of Nutrition","Core","29-1031.00"
"78","Certified Specialist in Gerontological Nutrition","Commission on Dietetic Registration","Specialty","29-1031.00"
"79","Certified Eating Disorders Specialist","International Association of Eating Disorders Professionals","Advanced","29-1031.00"
"80","Certified Nutrional Consultant","American Association of Nutritional Consultants","Advanced","29-1031.00"
"81","Registered Technologist - Radiation Therapy","American Registry of Radiologic Technologists","Specialty","29-1124.00"
"82","Industry Radiography Radiation Safety Personnel","American Society for Nondestructive Testing","Specialty","29-1124.00"
"83","Certified Medical Dosimetrist","Medical Dosimetrist Certification Board","Core","29-1124.00"
"84","Music Therapist - Board Certified","Certification Board for Music Therapists","Specialty","29-1125.00"
"85","Registered Poetry Therapist","International Federation for Biblio/Poetry Therapy","Specialty","29-1125.00"
"86","Interactive Vaulting Certification","Professional Association of Therapeutic Horsemanship International","Specialty","29-1125.00"
"87","Certified Registered Therapeutic Riding Instructor","Professional Association of Therapeutic Horsemanship International","Specialty","29-1125.00"
"88","Driving Instructor Level I","Professional Association of Therapeutic Horsemanship International","Specialty","29-1125.00"
"89","Activity Director Certified","National Certification Council for Activity Professionals","Specialty","29-1125.00"
"90","Certified Riding Instructor - Level II (Instructor of Beginner through Intermediate)","American Riding Instructors Association","Core","29-1125.00"
"91","Certified Riding Instructor - Level III (Instructor of Beginner through Advanced)","American Riding Instructors Association","Advanced","29-1125.00"
"92","Registered Dance/Movement Therapist","American Dance Therapy Association","Specialty","29-1125.00"
"93","Assistant Instructor","Certified Horsemanship Association","Core","29-1125.00"
"94","IRD Assistant Sidewalker or Horsehandler","Certified Horsemanship Association","Specialty","29-1125.00"
"95","Board Certified Dance/Movement Therapist","American Dance Therapy Association","Advanced","29-1125.00"
"96","Activity Consultant Certified","National Certification Council for Activity Professionals","Specialty","29-1125.00"
"97","Certified Riding Instructor Level I (Instructor in Training)","American Riding Instructors Association","Core","29-1125.00"
"98","Advanced Therapeutic Riding Instructor","Professional Association of Therapeutic Horsemanship International","Advanced","29-1125.00"
"99","Master Therapeutic Riding Instructor","Professional Association of Therapeutic Horsemanship International","Advanced","29-1125.00"
"100","Driving Instructor Level II","Professional Association of Therapeutic Horsemanship International","Advanced","29-1125.00"
"101","Certified Eating Disorders Creative Arts Therapist","International Association of Eating Disorders Professionals","Specialty","29-1125.00"
"102","Certified Therapeutic Recreation Specialist","National Council for Therapeutic Recreation Certification, Inc.","Specialty","29-1125.00"
"103","Certificate of Clinical Competence in Speech-Language Pathology","American Speech-Language-Hearing Association","Core","29-1127.00"
"104","Certified Exercise Physiologists","American College of Sports Medicine","Specialty","29-1128.00"
"105","Post Rehab Conditioning Specialist","American Academy of Health, Fitness, & Rehabilitation Professionals","Specialty","29-1128.00"
"106","Certified Clinical Exercise Physiologist","American College of Sports Medicine","Specialty","29-1128.00"
"107","Exercise Physiologist Certification","American Society of Exercise Physiologists","Core","29-1128.00"
"108","Certified Applied Poetry Facilitator","International Federation for Biblio/Poetry Therapy","Specialty","29-1129.01"
"109","Board Certified Art Therapist","Art Therapy Credentials Board","Specialty","29-1129.01"
"110","Board Certified Trainer","North American Drama Therapy Association","Core","29-1129.01"
"111","Music Therapist - Board Certified","Certification Board for Music Therapists","Specialty","29-1129.02"
"112","CNOR Certification","Competency and Credentialing Institute","Specialty","29-1141.00"
"113","Certified Registered Nurse First Assistant","National Assistant at Surgery Certification","Core","29-1141.00"
"114","Certified Pediatric Nurse","Pediatric Nursing Certification Board","Specialty","29-1141.00"
"115","Certified Occupational Health Nurse","American Board for Occupational Health Nurses","Specialty","29-1141.00"
"116","Inpatient Obstetric Nursing","The National Certification Corporation","Specialty","29-1141.00"
"117","Certificate of Added Qualifications: Electronic Fetal Monitoring","The National Certification Corporation","Specialty","29-1141.00"
"118","Certified Registered Nurse Infusion","Infusion Nurses Certification Corporation","Specialty","29-1141.00"
"119","Clinical Nurse Leader","American Association of Colleges of Nursing","Advanced","29-1141.00"
"120","Certified Pediatric Emergency Nurse","Board of Certification for Emergency Nursing","Specialty","29-1141.00"
"121","Wound Care Certification","National Alliance of Wound Care","Specialty","29-1141.00"
"122","Certified Plastic Surgical Nurse","Plastic Surgical Nurses Certification Board","Specialty","29-1141.00"
"123","Certified Addiction Specialist","American Academy of Health Care Providers in the Addictive Disorders","Specialty","29-1141.00"
"124","International Board Certified Lactation Consultant","International Board of Lactation Consultant Examiners","Specialty","29-1141.00"
"125","Progressive Care Nursing (Adult)","American Association of Critical-Care Nurses","Specialty","29-1141.00"
"126","Infection Control Certification","Certification Board of Infection Control and Epidemiology, Inc.","Specialty","29-1141.00"
"127","Certified Continence Care Nurse","Wound, Ostomy, Continence Nursing Certification Board","Specialty","29-1141.00"
"128","Orthopaedic Nurse Certified","National Association of Orthopaedic Nurses","Specialty","29-1141.00"
"129","Certified Hospice and Palliative Nurse","Hospice and Palliative Nurses Association","Specialty","29-1141.00"
"130","Nursing Professional Development","ANA Enterprise","Specialty","29-1141.00"
"131","Advanced AIDS Certified Registered Nurse","HIV/AIDS Nursing Certification Board","Advanced","29-1141.00"
"132","Certified Radiology Nurse","Radiologic Nursing Certification Board","Specialty","29-1141.00"
"133","Certified Hyperbaric Registered Nurse","National Board of Diving and Hyperbaric Medical Technology","Specialty","29-1141.00"
"134","Advanced Certified Hospice and Palliative Nurse","Hospice and Palliative Nurses Association","Advanced","29-1141.00"
"135","Certified Medical-Surgical Registered Nurse","Medical-Surgical Nursing Certification Board","Specialty","29-1141.00"
"136","Family Nurse Practitioner","ANA Enterprise","Specialty","29-1141.00"
"137","Nurse Executive Advanced","ANA Enterprise","Specialty","29-1141.00"
"138","Pain Management Nursing","ANA Enterprise","Specialty","29-1141.00"
"139","Nationally Certified School Nurse","National Board for Certification of School Nurses","Specialty","29-1141.00"
"140","Certified Transcultural Nursing - Advanced","Transcultural Nursing Certification Commission","Advanced","29-1141.00"
"141","Certified Breast Care Nurse","Oncology Nursing Certification Corporation","Specialty","29-1141.00"
"142","Assisted Living Nurse Certification","American Assisted Living Nurses Association","Specialty","29-1141.00"
"143","Advanced Oncology Certified Nurse Practitioner","Oncology Nursing Certification Corporation","Advanced","29-1141.00"
"144","Diabetic Wound Care Certification","National Alliance of Wound Care","Specialty","29-1141.00"
"145","Certified in Executive Nursing Practice","American Organization of Nurse Executives Credentialing Center","Advanced","29-1141.00"
"146","Certified Assisted Living Nursing","National Association of Directors of Nursing Administration in Long Term Care","Specialty","29-1141.00"
"147","Geriatric Diabetic Certified Nurse","National Association of Directors of Nursing Administration in Long Term Care","Specialty","29-1141.00"
"148","Certified Hemodialysis Nurse","Board of Nephrology Examiners Technology Nursing","Specialty","29-1141.00"
"149","Certified Correctional Health Professional","National Commission on Correctional Health Care","Core","29-1141.00"
"150","Certified Clinical Transplant Nurse","American Board for Transplant Certification","Specialty","29-1141.00"
"151","Stroke Certified Registered Nurse","American Association of Neuroscience Nurses - American Board of Neuroscience Nursing","Specialty","29-1141.00"
"152","Nurse Coach Board Certified","American Holistic Nurses Credentialing Center","Advanced","29-1141.00"
"153","Certified Correctional Health Professional - Registered Nurse","National Commission on Correctional Health Care","Advanced","29-1141.00"
"154","APRN Gerontological Specialist - Certified","Gerontological Advanced Practice Nursing Association","Specialty","29-1141.00"
"155","HIV/AIDS Certified Registered Nurse","HIV/AIDS Nursing Certification Board","Specialty","29-1141.00"
"156","Certified Ostomy Care Nurse","Wound, Ostomy, Continence Nursing Certification Board","Specialty","29-1141.00"
"157","Certified Wound Care Nurse","Wound, Ostomy, Continence Nursing Certification Board","Specialty","29-1141.00"
"158","Certified Nurse in Otorhinolaryngology and Head-Neck Nursing","Society of Otorhinolaryngology and Head-Neck Nurses","Specialty","29-1141.00"
"159","Certified Flight Registered Nurse","Board of Certification for Emergency Nursing","Specialty","29-1141.00"
"160","Certified Nephrology Nurse","Nephrology Nursing Certification Commission","Specialty","29-1141.00"
"161","Holistic Nurse Board Certified","American Holistic Nurses Credentialing Center","Advanced","29-1141.00"
"162","Certified Transport Registered Nurse","Board of Certification for Emergency Nursing","Specialty","29-1141.00"
"163","Advanced Certified Hyperbaric Registered Nurse","National Board of Diving and Hyperbaric Medical Technology","Advanced","29-1141.00"
"164","Dermatology Nurse Certified","Dermatology Nurses' Association","Specialty","29-1141.00"
"165","Certified Hospice and Palliative Pediatric Nurse","Hospice and Palliative Nurses Association","Specialty","29-1141.00"
"166","Accredited Case Manager","American Case Management Association","Specialty","29-1141.00"
"167","Pediatric Nursing","ANA Enterprise","Specialty","29-1141.00"
"168","Nurse Executive","ANA Enterprise","Specialty","29-1141.00"
"169","Sexual Assault Nurse Examiner - Pediatric","Forensic Nursing Certification Board","Specialty","29-1141.00"
"170","Multiple Sclerosis Certified Specialist","The Consortium of Multiple Sclerosis Centers","Specialty","29-1141.00"
"171","Certified Ophthalmic Registered Nurse","National Certifying Board for Ophthalmic Registered Nurses","Specialty","29-1141.00"
"172","Certified Nephrology Nurse - Nurse Practitioner","Nephrology Nursing Certification Commission","Specialty","29-1141.00"
"173","Orthopaedic Nurse Practitioner - Certified","Orthopaedic Nurses Certification Board","Specialty","29-1141.00"
"174","Ambulatory Care Nursing","ANA Enterprise","Specialty","29-1141.00"
"175","Gerontological Nursing","ANA Enterprise","Specialty","29-1141.00"
"176","Certified Urologic Nurse Practitioner","Certification Board for Urologic Nurses and Associates","Specialty","29-1141.00"
"177","Certified Developmental Disabilities Nurse","Developmental Disabilities Nurses Association","Specialty","29-1141.00"
"178","Advanced Oncology Certified Clinical Nurse Specialist","Oncology Nursing Certification Corporation","Advanced","29-1141.00"
"179","Certified Corrections Nurse","American Correctional Association","Specialty","29-1141.00"
"180","Certification for Foreign Nurses","Commission on Graduates of Foreign Nursing Schools","Specialty","29-1141.00"
"181","Certified Wound Specialist","American Board of Wound Management","Specialty","29-1141.00"
"182","Certified Transplant Preservationist","Organization for Transplant Professionals","Specialty","29-1141.00"
"183","Vascular Access-Board Certified","Vascular Access Certification Corporation","Core","29-1141.00"
"184","Certified in Perinatal Loss Care","Hospice and Palliative Nurses Association","Specialty","29-1141.00"
"185","Certified Wound Ostomy Nurse","Wound, Ostomy, Continence Nursing Certification Board","Advanced","29-1141.00"
"186","Certified Ostomy Care Nurse - Advanced Practice","Wound, Ostomy, Continence Nursing Certification Board","Advanced","29-1141.00"
"187","Certified Continence Care Nurse - Advanced Practice","Wound, Ostomy, Continence Nursing Certification Board","Specialty","29-1141.00"
"188","Certified Wound Ostomy Continence Nurse - Advance Practice","Wound, Ostomy, Continence Nursing Certification Board","Advanced","29-1141.00"
"189","Certified Ostomy Care Nurse - Advanced Practice","Wound, Ostomy, Continence Nursing Certification Board","Specialty","29-1141.00"
"190","Certified Wound Ostomy Nurse - Advanced Practice","Wound, Ostomy, Continence Nursing Certification Board","Specialty","29-1141.00"
"191","Certified Wound Care Nurse - Advance Practice","Wound, Ostomy, Continence Nursing Certification Board","Specialty","29-1141.00"
"192","Blood & Marrow Transplant Certified Nurse","Oncology Nursing Certification Corporation","Advanced","29-1141.00"
"193","Registered Nurse Assistant at Surgery - Certified","National Assistant at Surgery Certification","Core","29-1141.00"
"194","Stroke Certified Registered Nurse","American Association of Neuroscience Nurses - American Board of Neuroscience Nursing","Advanced","29-1141.00"
"195","Advanced Holistic Nurse Board Certified","American Holistic Nurses Credentialing Center","Advanced","29-1141.00"
"196","Holistic Nurse Baccalaureate Board Certified","American Holistic Nurses Credentialing Center","Advanced","29-1141.00"
"197","Certified Academic Clinical Nurse Educator","National League for Nursing","Advanced","29-1141.00"
"198","Low Risk Neonatal Nursing","The National Certification Corporation","Specialty","29-1141.00"
"199","Maternal Newborn Nursing","The National Certification Corporation","Specialty","29-1141.00"
"200","Neonatal Intensive Care Nursing","The National Certification Corporation","Specialty","29-1141.00"
"201","Certified Clinical Transplant Nurse","Organization for Transplant Professionals","Specialty","29-1141.00"
"202","Certified Bariatric Nurse","American Society for Metabolic and Bariatric Surgery","Specialty","29-1141.00"
"203","Certified Ambulatory Perianesthesia Nurse","American Board of Perianesthesia Nursing Certification, Inc.","Specialty","29-1141.00"
"204","Certified Dialysis Nurse","Nephrology Nursing Certification Commission","Specialty","29-1141.00"
"205","Cardiac-Vascular Nursing","ANA Enterprise","Specialty","29-1141.00"
"206","Orthopaedic Clinical Nurse Specialist - Certified","Orthopaedic Nurses Certification Board","Specialty","29-1141.00"
"207","Nursing Case Management","ANA Enterprise","Specialty","29-1141.00"
"208","Medical-Surgical Nursing","ANA Enterprise","Specialty","29-1141.00"
"209","Post Rehab Conditioning Specialist","American Academy of Health, Fitness, & Rehabilitation Professionals","Specialty","29-1141.00"
"210","Certified Corrections Nurse Manager","American Correctional Association","Specialty","29-1141.00"
"211","Certified Hospice and Palliative Care Administrator","Hospice and Palliative Nurses Association","Specialty","29-1141.00"
"212","Certified Managed Care Nurse","American Board of Managed Care Nursing","Specialty","29-1141.00"
"213","Certified Pediatric Hematology Oncology Nurse","Oncology Nursing Certification Corporation","Specialty","29-1141.00"
"214","Certified Hyperbaric Registered Nurse Clinician","National Board of Diving and Hyperbaric Medical Technology","Specialty","29-1141.00"
"215","Certified Emergency Nurse","Board of Certification for Emergency Nursing","Specialty","29-1141.00"
"216","Certified Occupational Health Nurse - Specialist","American Board for Occupational Health Nurses","Specialty","29-1141.00"
"217","Certificate of Added Qualification in Neonatal Pediatric Transport","The National Certification Corporation","Specialty","29-1141.00"
"218","Legal Nurse Consultant Certified","American Association of Legal Nurse Consultants (Certification Board)","Specialty","29-1141.00"
"219","Certified Rehabilitation Registered Nurse","Association of Rehabilitation Nurses","Specialty","29-1141.00"
"220","Certified Urologic Registered Nurse","Certification Board for Urologic Nurses and Associates","Specialty","29-1141.00"
"221","Certified Wound, Ostomy and Continence Nurse","Wound, Ostomy, Continence Nursing Certification Board","Specialty","29-1141.00"
"222","Oncology Certified Nurse","Oncology Nursing Certification Corporation","Specialty","29-1141.00"
"223","Certified Occupational Health Nurse - Case Management","American Board for Occupational Health Nurses","Specialty","29-1141.00"
"224","Certified Neuroscience Registered Nurse","American Association of Neuroscience Nurses - American Board of Neuroscience Nursing","Specialty","29-1141.00"
"225","Certified Addictions Registered Nurse","International Nurses Society on Addictions","Specialty","29-1141.00"
"226","Certified Addictions Registered Nurse - Advanced Practice","International Nurses Society on Addictions","Advanced","29-1141.00"
"227","Certified Foot Care Nurse","Wound, Ostomy, Continence Nursing Certification Board","Specialty","29-1141.00"
"228","Certified Gastroenterology Registered Nurse","American Board of Certification for Gastroenterology Nurses","Specialty","29-1141.00"
"229","Lamaze Certified Childbirth Educator","Lamaze International","Core","29-1141.00"
"230","Sexual Assault Nurse Examiner - Adult/Adolescent","Forensic Nursing Certification Board","Specialty","29-1141.00"
"231","Certified Nurse Life Care Planner","American Association of Nurse Life Care Planners","Specialty","29-1141.00"
"232","Certified Wound Ostomy Nurse - Advanced Practice","Wound, Ostomy, Continence Nursing Certification Board","Advanced","29-1141.00"
"233","Certified Continence Care Nurse - Advanced Practice","Wound, Ostomy, Continence Nursing Certification Board","Advanced","29-1141.00"
"234","Clinical Nurse Specialist Perioperative Certification","Competency and Credentialing Institute","Advanced","29-1141.00"
"235","Certified in Care Coordination and Transition Management","Medical-Surgical Nursing Certification Board","Specialty","29-1141.00"
"236","National Healthcare Disaster Certification","ANA Enterprise","Specialty","29-1141.00"
"237","Orthopaedic Nurse - Certified","Orthopaedic Nurses Certification Board","Specialty","29-1141.00"
"238","Weight Management Specialty Certification","American Council on Exercise","Specialty","29-1141.00"
"239","Certified Director of Nursing in Long Term Care","National Association of Directors of Nursing Administration in Long Term Care","Specialty","29-1141.00"
"240","Certified Peritoneal Dialysis Nurse","Board of Nephrology Examiners Technology Nursing","Specialty","29-1141.00"
"241","Certified Wound Care Nurse - Advance Practice","Wound, Ostomy, Continence Nursing Certification Board","Advanced","29-1141.00"
"242","Critical Care Registered Nurse (Neonatal)","American Association of Critical-Care Nurses","Specialty","29-1141.00"
"243","Certified Aesthetic Nurse Specialist","Plastic Surgical Nurses Certification Board","Advanced","29-1141.00"
"244","Certified Aesthetic Nurse Specialist","Plastic Surgical Nurses Certification Board","Specialty","29-1141.00"
"245","Health and Wellness Nurse Coach Board Certified","American Holistic Nurses Credentialing Center","Advanced","29-1141.00"
"246","Certified Nurse Manager and Leader","American Organization of Nurse Executives Credentialing Center","Advanced","29-1141.00"
"247","Certified in Healthcare Safety - Nursing","International Board for Certification of Safety Managers","Advanced","29-1141.00"
"248","Trauma Certified Registered Nurse","Board of Certification for Emergency Nursing","Specialty","29-1141.00"
"249","Assistant at Surgery - Certified","National Assistant at Surgery Certification","Core","29-1141.00"
"250","Certified Wound Specialist","American Board of Wound Management","Specialty","29-1141.01"
"251","Certified Clinical Transplant Nurse","Organization for Transplant Professionals","Specialty","29-1141.01"
"252","Critical Care Registered Nurse (Adult)","American Association of Critical-Care Nurses","Core","29-1141.01"
"253","Certified Eating Disorders Registered Nurse","International Association of Eating Disorders Professionals","Advanced","29-1141.02"
"254","Psychiatric-Mental Health Nurse Practitioner","ANA Enterprise","Specialty","29-1141.02"
"255","Certified Psychiatric Rehabilitation Practitioner","Psychiatric Rehabilitation Association","Specialty","29-1141.02"
"256","Pediatric Primary Care Mental Health Specialist","Pediatric Nursing Certification Board","Specialty","29-1141.02"
"257","Adult Tele-ICU Acute/Critical Care Nursing Certification","American Association of Critical-Care Nurses","Specialty","29-1141.03"
"258","Cardiac Surgery (Adult)","American Association of Critical-Care Nurses","Specialty","29-1141.03"
"259","Certified Wound Specialist","American Board of Wound Management","Specialty","29-1141.03"
"260","Certified Clinical Transplant Nurse","Organization for Transplant Professionals","Specialty","29-1141.03"
"261","Clinical Nurse Specialist Perioperative Certification","Competency and Credentialing Institute","Advanced","29-1141.03"
"262","Critical Care Registered Nurse (Neonatal)","American Association of Critical-Care Nurses","Specialty","29-1141.03"
"263","Certificate of Added Qualifications: Electronic Fetal Monitoring","The National Certification Corporation","Specialty","29-1141.03"
"264","Cardiac Medicine (Adult)","American Association of Critical-Care Nurses","Specialty","29-1141.03"
"265","Progressive Care Nursing (Adult)","American Association of Critical-Care Nurses","Specialty","29-1141.03"
"266","Critical Care Registered Nurse (Pediatric)","American Association of Critical-Care Nurses","Specialty","29-1141.03"
"267","Acute/Critical Care Knowledge Professional  (Adult)","American Association of Critical-Care Nurses","Specialty","29-1141.03"
"268","Certified Clinical Transplant Coordinators","Organization for Transplant Professionals","Specialty","29-1141.04"
"269","Certified Procurement Transplant Coordinator","American Board for Transplant Certification","Specialty","29-1141.04"
"270","Clinical Nurse Specialist; Wellness through Acute Care (Adult-Gerontology)","American Association of Critical-Care Nurses","Advanced","29-1141.04"
"271","Certified Clinical Transplant Coordinator","American Board for Transplant Certification","Specialty","29-1141.04"
"272","Certified Nutrition Support Clinician","National Board of Nutrition Support Certification, Inc.","Advanced","29-1141.04"
"273","Acute Care Clinical Nurse Specialist (Pediatric)","American Association of Critical-Care Nurses","Specialty","29-1141.04"
"274","Advanced Oncology Certified Clinical Nurse Specialist","Oncology Nursing Certification Corporation","Advanced","29-1141.04"
"275","Certified Wound Specialist","American Board of Wound Management","Specialty","29-1141.04"
"276","Clinical Nurse Specialist; Wellness through Acute Care (Pediatric)","American Association of Critical-Care Nurses","Advanced","29-1141.04"
"277","Certified Procurement Transplant Coordinator","Organization for Transplant Professionals","Specialty","29-1141.04"
"278","Orthopaedic Clinical Nurse Specialist - Certified","Orthopaedic Nurses Certification Board","Specialty","29-1141.04"
"279","Certified Hyperbaric Registered Nurse Clinician","National Board of Diving and Hyperbaric Medical Technology","Specialty","29-1141.04"
"280","Pediatric Primary Care Mental Health Specialist","Pediatric Nursing Certification Board","Specialty","29-1141.04"
"281","Clinical Nurse Specialist Perioperative Certification","Competency and Credentialing Institute","Advanced","29-1141.04"
"282","Clinical Nurse Specialist; Wellness through Acute Care (Neonatal)","American Association of Critical-Care Nurses","Specialty","29-1141.04"
"283","Medical Technologist","American Medical Technologists","Core","29-2011.00"
"284","Cytotechnologist","American Society for Clinical Pathology","Core","29-2011.00"
"285","Specialist in Chemistry","American Society for Clinical Pathology","Specialty","29-2011.00"
"286","Specialist in Hematology","American Society for Clinical Pathology","Specialty","29-2011.00"
"287","Medical Laboratory Assistant","American Medical Technologists","Core","29-2011.00"
"288","Medical Technologist","AAB - Board of Registry","Core","29-2011.00"
"289","Certified Laboratory Consultant","American Medical Technologists","Core","29-2011.00"
"290","Nuclear Cardiology Technologist","Nuclear Medicine Technology Certification Board","Specialty","29-2011.00"
"291","Specialist in Microbiology","American Society for Clinical Pathology","Specialty","29-2011.00"
"292","Technologist in Hematology","American Society for Clinical Pathology","Core","29-2011.00"
"293","Specialist in Cytotechnology","American Society for Clinical Pathology","Specialty","29-2011.00"
"294","Technologist in Blood Banking","American Society for Clinical Pathology","Specialty","29-2011.00"
