dpid,full_address,numberof_bedrooms,numberof_baths,building_area
191670009419,"3362 DOVE AVE, ROCK VALLEY, IA, 51247",0,300,2482
191670009447,"3471 EAGLE AVE, ROCK VALLEY, IA, 51247",0,200,2245
191670009449,"2417 340TH ST, ROCK VALLEY, IA, 51247",0,100,1543
191670009455,"3409 ELMWOOD AVE, ROCK VALLEY, IA, 51247",0,100,2355
191670009467,"2472 350TH ST, ROCK VALLEY, IA, 51247",0,100,1578
191670009468,"3473 ELMWOOD AVE, ROCK VALLEY, IA, 51247",0,200,2516
191670009473,"3420 ELMWOOD AVE, ROCK VALLEY, IA, 51247",0,200,1890
191670009517,"2630 350TH ST, ROCK VALLEY, IA, 51247",0,200,2389
191670009511,"3454 FIG AVE, ROCK VALLEY, IA, 51247",0,100,1498
191670009503,"2691 340TH ST, ROCK VALLEY, IA, 51247",0,0,0
191670009504,"2691 340TH ST, ROCK VALLEY, IA, 51247",0,0,0
191670009506,"2691 340TH ST, ROCK VALLEY, IA, 51247",0,300,2496
191670009507,"2679 340TH ST, ROCK VALLEY, IA, 51247",0,100,3283
191670009508,"2691 340TH ST, ROCK VALLEY, IA, 51247",0,0,0
191670009488,"3484 ELMWOOD AVE, ROCK VALLEY, IA, 51247",0,200,2320
191670009480,"2575 340TH ST, ROCK VALLEY, IA, 51247",0,0,0
191670009484,"3431 FIG AVE, ROCK VALLEY, IA, 51247",0,200,2175
191670035006,"3424 FIG AVE, ROCK VALLEY, IA, 51247",0,100,2156
191670031347,"2694 350TH ST, ROCK VALLEY, IA, 51247",0,300,1446
191670009541,"3431 GARFIELD AVE, ROCK VALLEY, IA, 51247",0,0,0
191670009544,"2722 350TH ST, ROCK VALLEY, IA, 51247",0,300,1428
191670009545,"2712 350TH ST, ROCK VALLEY, IA, 51247",0,100,1200
191670009546,"2722 350TH ST, ROCK VALLEY, IA, 51247",0,0,0
191670009555,"3434 GARFIELD AVE, ROCK VALLEY, IA, 51247",0,100,1672
191670009539,"3431 GARFIELD AVE, ROCK VALLEY, IA, 51247",0,300,1939
191670034334,"3443 GOLDFINCH AVE, HULL, IA, 51239",0,300,1525
191670009562,"3460 GARFIELD AVE, SIOUX CENTER, IA, 51250",0,0,0
191670009576,"2852 350TH ST, HULL, IA, 51239",0,300,1828
191670009577,"2880 350TH ST, HULL, IA, 51239",0,200,1670
191670009578,"2898 350TH ST, HULL, IA, 51239",0,200,2006
191670009580,"3510 GARFIELD AVE, ROCK VALLEY, IA, 51247",0,100,2514
191670009532,"2757 340TH ST, ROCK VALLEY, IA, 51247",0,100,1560
191670009550,"2772 350TH ST, SIOUX CENTER, IA, 51250",0,0,0
191670009551,"3471 GARFIELD AVE, ROCK VALLEY, IA, 51247",0,100,1768
191670009575,"2874 350TH ST, HULL, IA, 51239",0,200,1096
191670009600,"2810 360TH ST, ROCK VALLEY, IA, 51247",0,100,1238
191670009601,"2820 CARMEL DR, ROCK VALLEY, IA, 51247",0,100,1320
191670009603,"3592 GARFIELD AVE, SIOUX CENTER, IA, 51250",0,0,748
191670009604,"2830 360TH ST, ROCK VALLEY, IA, 51247",0,100,1253
191670009605,"2838 360TH ST, ROCK VALLEY, IA, 51247",0,200,1522
191670009633,"2730 360TH ST, ROCK VALLEY, IA, 51247",0,100,1040
191670009591,"3572 GARFIELD AVE, ROCK VALLEY, IA, 51247",0,200,1650
191670009594,"3582 GARFIELD AVE, ROCK VALLEY, IA, 51247",0,100,1909
191670009607,"3594 GARFIELD AVE, ROCK VALLEY, IA, 51247",0,100,1187
191670009608,"2818 CARMEL DR, ROCK VALLEY, IA, 51247",0,100,1560
191670009609,"2824 CARMEL DR, ROCK VALLEY, IA, 51247",0,200,1130
191670009610,"2808 360TH ST, ROCK VALLEY, IA, 51247",0,100,1335
191670009611,"2802 360TH ST, ROCK VALLEY, IA, 51247",0,100,2413
191670009612,"2804 360TH ST, ROCK VALLEY, IA, 51247",0,100,1811
191670009595,"3584 GARFIELD AVE, SIOUX CENTER, IA, 51250",0,100,1123
191670009596 01,"3586 GARFIELD AVE, ROCK VALLEY, IA, 51247",0,100,971
191670009596 02,"3586 GARFIELD AVE, ROCK VALLEY, IA, 51247",0,100,971
191670009597,"3588 GARFIELD AVE, ROCK VALLEY, IA, 51247",0,100,2013
191670009598,"2812 360TH ST, ROCK VALLEY, IA, 51247",0,100,1036
191670009635,"3569 GARFIELD AVE, ROCK VALLEY, IA, 51247",0,100,2176
191670009582,"3536 GARFIELD AVE, ROCK VALLEY, IA, 51247",0,200,1740
191670009584,"2869 350TH ST, HULL, IA, 51239",0,100,1459
191670009613,"2806 360TH ST, ROCK VALLEY, IA, 51247",0,100,696
191670009614,"2828 360TH ST, ROCK VALLEY, IA, 51247",0,100,1352
191670009615,"2834 360TH ST, ROCK VALLEY, IA, 51247",0,300,1995
191670031348,"2832 360TH ST, ROCK VALLEY, IA, 51247",0,200,1694
191670009641,"2780 360TH ST, ROCK VALLEY, IA, 51247",0,100,1389
191670033083,"2782 360TH ST, ROCK VALLEY, IA, 51247",0,0,3432
191670009656,"3545 FIR AVE, ROCK VALLEY, IA, 51247",0,200,2328
191670009660,"3570 FIG AVE, ROCK VALLEY, IA, 51247",0,100,1864
191670031352,"3543 FIG AVE, ROCK VALLEY, IA, 51247",0,300,2085
191670033085,"2690 360TH ST, ROCK VALLEY, IA, 51247",0,100,2019
191670009655 01,"3529 FIR AVE, ROCK VALLEY, IA, 51247",0,100,2392
191670009655 02,"3529 FIR AVE, ROCK VALLEY, IA, 51247",0,100,2392
191670031356,"3543 FIG AVE, ROCK VALLEY, IA, 51247",0,0,0
191670031359,"3519 ELMWOOD AVE, ROCK VALLEY, IA, 51247",0,200,1675
191670009716,"3522 DOVE AVE, ROCK VALLEY, IA, 51247",0,0,0
191670009725,"3517 EAGLE AVE, ROCK VALLEY, IA, 51247",0,100,1695
191670036236,"3517 EAGLE AVE, ROCK VALLEY, IA, 51247",0,100,1695
191670033089,"2423 350TH ST, ROCK VALLEY, IA, 51247",0,0,0
191670035012,"2578 360TH ST, ROCK VALLEY, IA, 51247",0,300,2337
191670033087,"2423 350TH ST, ROCK VALLEY, IA, 51247",0,100,2048
191670036243,"3664 EAGLE AVE, SIOUX CENTER, IA, 51250",0,0,0
191670036244,"3664 EAGLE AVE, SIOUX CENTER, IA, 51250",0,0,0
191670009763,"3651 EAGLE AVE, SIOUX CENTER, IA, 51250",0,0,0
191670009768,"2425 360TH ST, ROCK VALLEY, IA, 51247",0,0,0
191670009732,"2334 360TH ST, ROCK VALLEY, IA, 51247",0,0,884
191670009825,"2686 370TH ST, SIOUX CENTER, IA, 51250",0,100,1637
191670009828,"2747 360TH ST, ROCK VALLEY, IA, 51247",0,100,1820
191670009744,"3646 DOVE AVE, ROCK VALLEY, IA, 51247",0,0,0
191670009797,"3650 ELMWOOD AVE, SIOUX CENTER, IA, 51250",0,100,1290
191670009777,"3645 ELMWOOD AVE, SIOUX CENTER, IA, 51250",0,100,1452
191670009778,"3664 EAGLE AVE, SIOUX CENTER, IA, 51250",0,200,2010
191670009779,"3664 EAGLE AVE, SIOUX CENTER, IA, 51250",0,0,0
191670036241,"3664 EAGLE AVE, SIOUX CENTER, IA, 51250",0,200,2010
191670036242,"3664 EAGLE AVE, SIOUX CENTER, IA, 51250",0,0,0
191670009833,"2787 360TH ST, ROCK VALLEY, IA, 51247",0,100,1300
191670009834,"2795 360TH ST, ROCK VALLEY, IA, 51247",0,200,1520
191670009835,"2799 360TH ST, ROCK VALLEY, IA, 51247",0,200,3264
191670009836,"3617 GARFIELD AVE, ROCK VALLEY, IA, 51247",0,300,1944
191670033092,"3563 EAGLE AVE, ROCK VALLEY, IA, 51247",0,400,1824
191670009739,"2321 360TH ST, ROCK VALLEY, IA, 51247",0,200,1796
191670031361,"3687 ELMWOOD AVE, ROCK VALLEY, IA, 51247",0,100,1553
191670009751,"3651 EAGLE AVE, SIOUX CENTER, IA, 51250",0,400,2059
191670009771,"3630 EAGLE AVE, SIOUX CENTER, IA, 51250",0,100,2819
191670033094,"3613 ELMWOOD AVE, SIOUX CENTER, IA, 51250",0,0,0
191670009804,"2566 370TH ST, SIOUX CENTER, IA, 51250",0,100,1887
191670009806,"2566 370TH ST, SIOUX CENTER, IA, 51250",0,0,0
191670009807,"3630 FIG AVE, ROCK VALLEY, IA, 51247",0,100,1570
191670009808,"2641 360TH ST, ROCK VALLEY, IA, 51247",0,100,1576
191670009809,"3630 FIG AVE, ROCK VALLEY, IA, 51247",0,0,0
191670009818,"2620 370TH ST, SIOUX CENTER, IA, 51250",0,100,1632
191670009790,"3642 ELMWOOD AVE, SIOUX CENTER, IA, 51250",0,100,2970
191670009795,"3647 FIG AVE, SIOUX CENTER, IA, 51250",0,0,0
191670009811,"2655 360TH ST, ROCK VALLEY, IA, 51247",0,100,1300
191670033098,"2652 370TH ST, SIOUX CENTER, IA, 51250",0,100,1917
191670031345,"2590 340TH ST, ROCK VALLEY, IA, 51247",0,0,560
191670009392,"3340 EAGLE AVE, ROCK VALLEY, IA, 51247",0,100,1296
191670009850,"3675 GARFIELD AVE, ROCK VALLEY, IA, 51247",0,200,1410
191670009877,"2828 370TH ST, SIOUX CENTER, IA, 51250",0,100,1808
191670033099,"2726 370TH ST, SIOUX CENTER, IA, 51250",0,100,1562
191670009884,"3738 GARFIELD AVE, SIOUX CENTER, IA, 51250",0,100,2016
191670031363,"3711 GOLDFINCH AVE, SIOUX CENTER, IA, 51250",0,0,0
191670009861,"2845 360TH ST, ROCK VALLEY, IA, 51247",0,100,1218
191670009867,"2881 360TH ST, SIOUX CENTER, IA, 51250",0,200,1940
191670009868,"2887 360TH ST, SIOUX CENTER, IA, 51250",0,0,0
191670009837,"3621 GARFIELD AVE, ROCK VALLEY, IA, 51247",0,100,1212
191670009842,"3635 GARFIELD AVE, ROCK VALLEY, IA, 51247",0,200,2052
191670009891,"3741 GOLDFINCH AVE, SIOUX CENTER, IA, 51250",0,100,1305
191670009914,"2716 380TH ST, SIOUX CENTER, IA, 51250",0,0,12160
191670009898,"3769 GOLDFINCH AVE, SIOUX CENTER, IA, 51250",0,0,0
191670033100,"2870 380TH ST, SIOUX CENTER, IA, 51250",0,100,1811
191670009903,"2705 370TH ST, SIOUX CENTER, IA, 51250",0,200,2352
191670009938,"2670 380TH ST, SIOUX CENTER, IA, 51250",0,100,1734
191670009941,"3710 ELMWOOD AVE, SIOUX CENTER, IA, 51250",0,100,2104
191670009916,"2740 380TH ST, SIOUX CENTER, IA, 51250",0,100,1456
191670009918,"3757 GARFIELD AVE, SIOUX CENTER, IA, 51250",0,0,0
191670009919,"3757 GARFIELD AVE, SIOUX CENTER, IA, 51250",0,200,2670
191670009855,"2780 370TH ST, SIOUX CENTER, IA, 51250",0,200,1232
191670009856,"2801 360TH ST, ROCK VALLEY, IA, 51247",0,200,3142
191670009857,"2809 360TH ST, ROCK VALLEY, IA, 51247",0,100,936
191670009858,"2811 360TH ST, ROCK VALLEY, IA, 51247",0,100,1218
191670009953,"3764 ELMWOOD AVE, SIOUX CENTER, IA, 51250",0,100,1680
191670009956,"2512 380TH ST, SIOUX CENTER, IA, 51250",0,200,2084
191670009969,"3707 ELMWOOD AVE, SIOUX CENTER, IA, 51250",0,200,1464
191670009963,"3730 EAGLE AVE, SIOUX CENTER, IA, 51250",0,0,0
191670009965,"3730 EAGLE AVE, ROCK VALLEY, IA, 51247",0,300,2037
191670033101,"2533 370TH ST, SIOUX CENTER, IA, 51250",0,0,0
191670033109,"3759 ELMWOOD AVE, SIOUX CENTER, IA, 51250",0,100,2317
191670009981,"2309 370TH ST, ROCK VALLEY, IA, 51247",0,100,1442
191670032125,"3737 ELMWOOD AVE, SIOUX CENTER, IA, 51250",0,100,1278
191670009976,"2440 380TH ST, SIOUX CENTER, IA, 51250",0,100,1400
191670033104,"3727 FIG AVE, SIOUX CENTER, IA, 51250",0,100,1260
191670033110,"3833 EAGLE AVE, SIOUX CENTER, IA, 51250",0,0,0
191670033111,"3833 EAGLE AVE, SIOUX CENTER, IA, 51250",0,100,2294
191670032128,"3842 EAGLE AVE, SIOUX CENTER, IA, 51250",0,0,0
191670010035,"3842 EAGLE AVE, SIOUX CENTER, IA, 51250",0,0,0
191670010085,"3847 FIR AVE, SIOUX CENTER, IA, 51250",0,100,1908
191670010072,"2580 390TH ST, SIOUX CENTER, IA, 51250",0,200,1724
191670032130,"3818 FIG AVE, SIOUX CENTER, IA, 51250",0,100,1440
191670010075,"2637 380TH ST, SIOUX CENTER, IA, 51250",0,100,2862
191670010077,"2635 380TH ST, SIOUX CENTER, IA, 51250",0,200,1644
191670010078,"2637 380TH ST, SIOUX CENTER, IA, 51250",0,0,0
191670009997,"2348 380TH ST, SIOUX CENTER, IA, 51250",0,100,1649
191670033113,"2310 390TH ST, SIOUX CENTER, IA, 51250",0,100,2549
191670010026,"2358 390TH ST, SIOUX CENTER, IA, 51250",0,200,1668
191670010027,"3881 EAGLE AVE, SIOUX CENTER, IA, 51250",0,0,0
191670010028,"3881 EAGLE AVE, SIOUX CENTER, IA, 51250",0,100,2742
191670010001,"3771 EAGLE AVE, SIOUX CENTER, IA, 51250",0,100,1708
191670010029,"3881 EAGLE AVE, SIOUX CENTER, IA, 51250",0,0,0
191670010034,"3842 EAGLE AVE, SIOUX CENTER, IA, 51250",0,100,1230
191670032127,"3840 EAGLE AVE, SIOUX CENTER, IA, 51250",0,200,2163
191670010068,"2546 390TH ST, SIOUX CENTER, IA, 51250",0,100,1758
191670010051,"2460 390TH ST, SIOUX CENTER, IA, 51250",0,100,2096
191670010056,"3830 ELMWOOD AVE, SIOUX CENTER, IA, 51250",0,100,2018
191670010089,"2620 390TH ST, SIOUX CENTER, IA, 51250",0,300,1858
191670032135,"2722 390TH ST, SIOUX CENTER, IA, 51250",0,100,2194
191670032136,"2722 390TH ST, SIOUX CENTER, IA, 51250",0,0,11194
191670010135,"3890 GARFIELD AVE, SIOUX CENTER, IA, 51250",0,0,0
191670010094,"2656 390TH ST, SIOUX CENTER, IA, 51250",0,100,1303
191670010104,"3847 GARFIELD AVE, SIOUX CENTER, IA, 51250",0,100,1277
191670010126,"3853 GOLDFINCH AVE, SIOUX CENTER, IA, 51250",0,100,1584
191670010115,"2750 390TH ST, SIOUX CENTER, IA, 51250",0,300,1760
191670010116,"2750 390TH ST, SIOUX CENTER, IA, 51250",0,0,0
191670010131,"2810 390TH ST, SIOUX CENTER, IA, 51250",0,100,1325
191670010132,"2818 390TH ST, SIOUX CENTER, IA, 51250",0,0,256
191670010134,"2818 390TH ST, SIOUX CENTER, IA, 51250",0,0,0
191670010114,"3871 GARFIELD AVE, SIOUX CENTER, IA, 51250",0,0,0
191670010221,"3118 340TH ST, HULL, IA, 51239",0,100,1560
191670010223,"3140 340TH ST, HULL, IA, 51239",0,0,0
191670032138,"3045 330TH ST, HULL, IA, 51239",0,0,0
191670034348,"3040 340TH ST, HULL, IA, 51239",0,100,1456
191670010247,"3373 US 75 AVE, HULL, IA, 51239",0,100,1632
191670010262,"2944 340TH ST, HULL, IA, 51239",0,100,1612
191670010279,"2953 340TH ST, HULL, IA, 51239",0,100,1514
191670010280,"2963 340TH ST, HULL, IA, 51239",0,100,1454
191670010283,"2953 340TH ST, HULL, IA, 51239",0,0,0
191670032140,"3311 GRANT AVE, HULL, IA, 51239",0,100,2016
191670032143,"3387 GRANT AVE, SIOUX CENTER, IA, 51250",0,200,1272
191670010272,"2945 340TH ST, HULL, IA, 51239",0,100,1547
191670010287,"3464 GOLDFINCH AVE, HULL, IA, 51239",0,200,1551
191670010299,"2980 350TH ST, HULL, IA, 51239",0,100,1588
191670010300,"3410 GRANT AVE, HULL, IA, 51239",0,200,1560
191670010330,"3444 US 75 AVE, HULL, IA, 51239",0,100,1404
191670010319,"3459 US 75 AVE, SIOUX CENTER, IA, 51250",0,0,0
191670010321,"3483 US 75 AVE, SIOUX CENTER, IA, 51250",0,0,11070
191670010313,"3464 GRANT AVE, HULL, IA, 51239",0,100,1394
191670010361,"3212 350TH ST, HULL, IA, 51239",0,100,1803
191670010348,"3140 350TH ST, HULL, IA, 51239",0,100,1694
191670010309,"3411 US 75 AVE, HULL, IA, 51239",0,300,4137
191670033126,"3447 HARRISON AVE, HULL, IA, 51239",0,100,1152
191670035015,"3449 HARRISON AVE, HULL, IA, 51239",0,200,1461
191670010339,"3462 US 75 AVE, HULL, IA, 51239",0,200,1812
191670010459,"3310 360TH ST, SIOUX CENTER, IA, 51250",0,100,1950
191670010497,"3177 350TH ST, HULL, IA, 51239",0,300,2050
191670010502,"3110 360TH ST, SIOUX CENTER, IA, 51250",0,100,2224
191670010476,"3580 HARRISON AVE, SIOUX CENTER, IA, 51250",0,100,2022
191670010489,"3127 350TH ST, SIOUX CENTER, IA, 51250",0,100,2172
191670010490,"3129 350TH ST, HULL, IA, 51239",0,300,2144
191670010479,"3580 HARRISON AVE, SIOUX CENTER, IA, 51250",0,0,0
191670010468,"3243 350TH ST, HULL, IA, 51239",0,100,1528
191670010509,"3180 360TH ST, SIOUX CENTER, IA, 51250",0,100,1800
191670010556,"2910 360TH ST, SIOUX CENTER, IA, 51250",0,100,1500
191670010557,"3590 GOLDFINCH AVE, SIOUX CENTER, IA, 51250",4,200,2984
191670010519,"3523 US 75 AVE, SIOUX CENTER, IA, 51250",0,0,0
191670010523,"3525 US 75 AVE, SIOUX CENTER, IA, 51250",0,200,3440
191670031383,"3533 US 75 AVE, SIOUX CENTER, IA, 51250",0,100,1416
191670010530,"3028 360TH ST, SIOUX CENTER, IA, 51250",0,100,1300
191670010532,"3590 GRANT AVE, SIOUX CENTER, IA, 51250",0,100,1644
191670010559,"2934 360TH ST, SIOUX CENTER, IA, 51250",0,100,1190
191670010560,"2930 360TH ST, SIOUX CENTER, IA, 51250",0,200,1836
191670010561,"2938 360TH ST, SIOUX CENTER, IA, 51250",0,0,0
191670036312,"3080 360TH ST, SIOUX CENTER, IA, 51250",0,200,1260
191670010525,"3545 US 75 AVE, SIOUX CENTER, IA, 51250",0,100,2141
191670010526,"3541 US 75 AVE, SIOUX CENTER, IA, 51250",0,200,1290
191670010527,"3543 US 75 AVE, SIOUX CENTER, IA, 51250",0,0,0
191670031381,"3537 US 75 AVE, SIOUX CENTER, IA, 51250",0,200,1568
191670010534,"3020 360TH ST, SIOUX CENTER, IA, 51250",0,100,1232
191670010538,"3573 US 75 AVE, SIOUX CENTER, IA, 51250",0,100,1232
191670010540,"3054 360TH ST, SIOUX CENTER, IA, 51250",0,200,1867
191670010580,"3660 GOLDFINCH AVE, SIOUX CENTER, IA, 51250",0,100,1832
191670033130,"3070 360TH ST, SIOUX CENTER, IA, 51250",0,200,2328
191670033131,"3080 360TH ST, SIOUX CENTER, IA, 51250",0,200,1260
191670010545,"2931 350TH ST, HULL, IA, 51239",0,200,1632
191670010551 01,"3515 GRANT AVE, SIOUX CENTER, IA, 51250",0,100,1834
191670010551 02,"3515 GRANT AVE, SIOUX CENTER, IA, 51250",0,100,1834
191670034350,"2953 360TH ST, SIOUX CENTER, IA, 51250",0,100,1577
191670010566,"3579 GRANT AVE, SIOUX CENTER, IA, 51250",0,200,3264
191670010567,"3575 GRANT AVE, SIOUX CENTER, IA, 51250",0,100,1720
191670010568,"3577 GRANT AVE, SIOUX CENTER, IA, 51250",0,0,0
191670010589,"3681 GRANT AVE, SIOUX CENTER, IA, 51250",0,100,1294
191670031386,"3035 360TH ST, SIOUX CENTER, IA, 51250",0,300,4083
191670033133,"3611 US 75 AVE, SIOUX CENTER, IA, 51250",0,200,2104
191670010625,"3145 360TH ST, SIOUX CENTER, IA, 51250",0,0,0
191670010627,"3648 US 75 AVE, SIOUX CENTER, IA, 51250",0,0,0
191670010601,"3664 GRANT AVE, SIOUX CENTER, IA, 51250",0,200,2135
191670036335,"3664 GRANT AVE, SIOUX CENTER, IA, 51250",0,200,2135
191670010618,"3096 370TH ST, SIOUX CENTER, IA, 51250",0,200,1840
191670010619,"3098 370TH ST, SIOUX CENTER, IA, 51250",0,400,1556
191670010621,"3098 370TH ST, SIOUX CENTER, IA, 51250",0,400,1556
191670010622,"3098 370TH ST, SIOUX CENTER, IA, 51250",0,400,1556
191670010614,"3691 US 75 AVE, SIOUX CENTER, IA, 51250",0,100,2605
191670010616,"3092 370TH ST, SIOUX CENTER, IA, 51250",0,300,1620
191670010617,"3094 370TH ST, SIOUX CENTER, IA, 51250",0,200,1600
191670010636,"3668 US 75 AVE, SIOUX CENTER, IA, 51250",0,200,2564
191670010637,"3670 US 75 AVE, SIOUX CENTER, IA, 51250",0,0,0
191670010639,"3672 US 75 AVE, SIOUX CENTER, IA, 51250",0,100,1816
191670010640,"3670 US 75 AVE, SIOUX CENTER, IA, 51250",0,200,1600
191670010610,"3671 US 75 AVE, SIOUX CENTER, IA, 51250",0,200,2475
191670010612,"3673 US 75 AVE, SIOUX CENTER, IA, 51250",0,300,3376
191670010655,"3126 370TH ST, SIOUX CENTER, IA, 51250",0,200,1196
191670010656,"3128 370TH ST, SIOUX CENTER, IA, 51250",0,100,1268
191670010657,"3134 370TH ST, SIOUX CENTER, IA, 51250",0,300,2944
191670010658,"3148 370TH ST, SIOUX CENTER, IA, 51250",0,100,1344
191670010659,"3140 370TH ST, SIOUX CENTER, IA, 51250",0,200,1136
191670010660,"3150 370TH ST, SIOUX CENTER, IA, 51250",0,100,1334
191670010661,"3142 370TH ST, SIOUX CENTER, IA, 51250",0,200,1188
191670010662,"3152 370TH ST, SIOUX CENTER, IA, 51250",0,200,1620
191670010663,"3130 370TH ST, SIOUX CENTER, IA, 51250",0,200,1464
191670010667,"3168 370TH ST, SIOUX CENTER, IA, 51250",0,200,1685
191670010670,"3190 370TH ST, SIOUX CENTER, IA, 51250",0,200,1144
191670010671,"3192 370TH ST, SIOUX CENTER, IA, 51250",0,100,1372
191670010672,"3606 HARRISON AVE, SIOUX CENTER, IA, 51250",0,100,1092
191670033136,"3241 360TH ST, SIOUX CENTER, IA, 51250",0,100,1877
191670033137,"3241 360TH ST, SIOUX CENTER, IA, 51250",0,0,0
191670010649,"3116 370TH ST, SIOUX CENTER, IA, 51250",0,100,2354
191670010650,"3120 370TH ST, SIOUX CENTER, IA, 51250",0,300,1496
191670010651,"3124 370TH ST, SIOUX CENTER, IA, 51250",0,200,1610
191670010644,"3684 US 75 AVE, SIOUX CENTER, IA, 51250",0,100,1963
191670010645,"3106 370TH ST, SIOUX CENTER, IA, 51250",0,300,1828
191670010647,"3108 370TH ST, SIOUX CENTER, IA, 51250",0,200,1536
191670010648,"3112 370TH ST, SIOUX CENTER, IA, 51250",0,100,1300
191670033139,"3271 360TH ST, SIOUX CENTER, IA, 51250",0,100,2136
191670010719 01,"3666 HICKORY AVE, SIOUX CENTER, IA, 51250",0,100,2434
191670010719 02,"3666 HICKORY AVE, SIOUX CENTER, IA, 51250",0,100,2434
191670010720,"3666 HICKORY AVE, SIOUX CENTER, IA, 51250",0,0,0
191670010722,"3676 HICKORY AVE, SIOUX CENTER, IA, 51250",0,100,1621
191670010718,"3664 HICKORY AVE, SIOUX CENTER, IA, 51250",0,100,946
