,clean fda company name,original fda company,fda row,corporate family,clean ndc row,clean ndc company,original ndc company,fuzz ratio
21,alkermes,"ALKERMES, ALKERMES INC","62, 63",alkermes,[274],['alkermes'],"['Alkermes, Inc.']",[100]
22,allegis,ALLEGIS,64,allegis,"[287, 288, 289]","['allegis', 'allegis', 'allegis']","['Allegis Holdings LLC', 'Allegis Holdings, LLC', 'Allegis Pharmaceuticals, LLC']","[100, 100, 100]"
23,allergan,"ALLERGAN, ALLERGAN HOLDINGS","65, 66",allergan,"[290, 291]","['allergan', 'allergan']","['Allergan', 'Allergan, Inc.']","[100, 100]"
24,altaire,ALTAIRE PHARMS INC,70,altaire,[319],['altaire'],['Altaire Pharmaceuticals Inc.'],[100]
25,altathera,ALTATHERA PHARMS LLC,71,altathera,[320],['altathera'],"['ALTATHERA Pharmaceuticals, LLC']",[100]
26,alvogen,"ALVOGEN, ALVOGEN INC","72, 73",alvogen,"[332, 333, 334]","['alvogen', 'alvogen', 'alvogen']","['Alvogen', 'Alvogen Inc.', 'Alvogen, Inc.']","[100, 100, 100]"
27,amag,"AMAG PHARMA USA, AMAG PHARMS INC","75, 76",amag,[336],['amag'],"['AMAG Pharmaceuticals, Inc.']",[100]
28,amarin,AMARIN PHARMS,77,amarin,[338],['amarin'],['Amarin Pharma Inc.'],[100]
29,amedra,AMEDRA PHARMS LLC,78,amedra,[353],['amedra'],['Amedra Pharmaceuticals LLC'],[100]
30,amerigen,AMERIGEN PHARMS LTD,80,amerigen,"[382, 383]","['amerigen', 'amerigen']","['Amerigen Pharmaceuticals Inc.', 'Amerigen Pharmaceuticals, Inc.']","[100, 100]"
31,amgen,"AMGEN, AMGEN INC","81, 82",amgen,"[397, 398]","['amgen', 'amgen']","['Amgen Inc', 'Amgen USA Inc.']","[100, 100]"
32,amneal,"AMNEAL PHARM, AMNEAL PHARMS, AMNEAL PHARMS CO, AMNEAL PHARMS LLC","83, 84, 85, 86",amneal,"[407, 408, 409, 410, 415]","['amneal', 'amneal', 'amneal', 'amneal', 'amneal']","['Amneal Biosciences', 'Amneal Biosciences LLC', 'Amneal Pharmaceuticals', 'Amneal Pharmaceuticals LLC', 'Amneal Pharmaceuticals, LLC']","[100, 100, 100, 100, 100]"
33,amneal ny,AMNEAL PHARMS NY,87,amneal ny,"[411, 414]","['amneal ny', 'amneal ny']","['Amneal Pharmaceuticals NY LLC', 'Amneal Pharmaceuticals of NY LLC']","[100, 100]"
34,amphastar,"AMPHASTAR PHARM, AMPHASTAR PHARMS INC","88, 89",amphastar,[424],['amphastar'],"['Amphastar Pharmaceuticals, Inc.']",[100]
35,amring,AMRING PHARMS,90,amring,"[425, 426]","['amring', 'amring']","['Amring Pharmaceuticals Inc.', 'Amring Pharmaceuticals, Inc.']","[100, 100]"
36,anbex,ANBEX,92,anbex,[439],['anbex'],['Anbex Inc.'],[100]
37,ani,"ANI PHARMS, ANI PHARMS INC","98, 99",ani,[641],['ani'],"['ANI Pharmaceuticals, Inc.']",[100]
38,antares,ANTARES PHARMA INC,100,antares,[645],['antares'],"['Antares Pharma, Inc.']",[100]
39,apopharma,APOPHARMA INC,105,apopharma,[677],['apopharma'],"['ApoPharma USA, Inc.']",[100]
40,apotex,"APOTEX, APOTEX CORP, APOTEX INC, APOTEX TECHNOLOGIES","106, 107, 108, 109",apotex,"[678, 679]","['apotex', 'apotex']","['Apotex Corp', 'Apotex Corp.']","[100, 100]"
41,appco,APPCO PHARMA LLC,111,appco,[687],['appco'],['Appco Pharma LLC'],[100]
42,aprecia,APRECIA PHARMS,112,aprecia,[692],['aprecia'],"['Aprecia Pharmaceuticals, LLC']",[100]
43,aqua,"AQUA PHARMS, AQUA PHARMS LLC","113, 114",aqua,"[695, 696]","['aqua', 'aqua']","['Aqua Pharmaceuticals', 'Aqua Pharmaceuticals, LLC']","[100, 100]"
44,aralez,"ARALEZ PHARMS, ARALEZ PHARMS INC","115, 116",aralez,[698],['aralez'],['Aralez Pharmaceuticals US Inc.'],[100]
45,arbor,ARBOR PHARMS LLC,117,arbor,"[701, 702, 703]","['arbor', 'arbor', 'arbor']","['Arbor Pharmaceuticals', 'Arbor Pharmaceuticals, Inc.', 'Arbor Pharmaceuticals, LLC']","[100, 100, 100]"
46,ariad,ARIAD,118,ariad,"[718, 719]","['ariad', 'ariad']","['ARIAD Pharmaceuticals Inc.', 'ARIAD Pharmaceuticals, Inc.']","[100, 100]"
47,aspen air,ASPEN AIR,121,aspen air,[770],['aspen air'],"['Aspen Air U.S., LLC']",[100]
48,aspen global,ASPEN GLOBAL INC,122,aspen global,[771],['aspen global'],['Aspen Global Inc.'],[100]
49,astellas,ASTELLAS,123,astellas,"[776, 777]","['astellas', 'astellas']","['Astellas Pharma US Inc.', 'Astellas Pharma US, Inc.']","[100, 100]"
50,astrazeneca,"ASTRAZENECA, ASTRAZENECA AB, ASTRAZENECA LP, ASTRAZENECA PHARMS","124, 125, 126, 127",astrazeneca,[778],['astrazeneca'],['AstraZeneca Pharmaceuticals LP'],[100]
51,aton,ATON,129,aton,"[799, 800]","['aton', 'aton']","['Aton Pharma, Inc', 'Aton Pharma, Inc.']","[100, 100]"
52,aurobindo,"AUROBINDO, AUROBINDO PHARMA, AUROBINDO PHARMA LTD","131, 132, 133",aurobindo,[805],['aurobindo'],['Aurobindo Pharma Limited'],[100]
53,aurolife,AUROLIFE PHARMA LLC,134,aurolife,"[807, 808]","['aurolife', 'aurolife']","['Aurolife Pharma LLC', 'Aurolife Pharma, LLC']","[100, 100]"
54,austarpharma,AUSTARPHARMA LLC,135,austarpharma,[810],['austarpharma'],['AustarPharma LLC'],[100]
55,avadel legacy,AVADEL LEGACY,139,avadel legacy,[818],['avadel legacy'],"['Avadel Legacy Pharmaceuticals, LLC']",[100]
56,avanir,AVANIR PHARMS,141,avanir,[823],['avanir'],"['Avanir Pharmaceuticals, Inc.']",[100]
57,avent,AVENT,144,avent,[829],['avent'],"['Avent, Inc.']",[100]
58,aytu bioscience,AYTU BIOSCIENCE INC,147,aytu bioscience,[848],['aytu bioscience'],"['Aytu BioScience, Inc.']",[100]
59,bajaj,BAJAJ MEDICAL LLC,150,bajaj,[863],['bajaj'],"['Bajaj Medical, LLC']",[100]
60,barr,"BARR, BARR LABS INC","151, 153",barr,[878],['barr'],['Barr Laboratories Inc.'],[100]
61,baxter,"BAXTER HLTHCARE, BAXTER HLTHCARE CORP","156, 157",baxter,"[901, 902, 903, 905, 906]","['baxter', 'baxter', 'baxter', 'baxter', 'baxter']","['Baxter Healthcare Company', 'Baxter Healthcare CORP', 'Baxter Healthcare Corporation', 'Baxter Laboratories', 'Baxter Laboratories Pty. Ltd.']","[100, 100, 100, 100, 100]"
62,bayer,"BAYER, BAYER HEALTHCARE LLC, BAYER HEALTHCARE PHARMS, BAYER HLTHCARE","158, 159, 160, 161",bayer,"[911, 912, 914, 915, 916, 917]","['bayer', 'bayer', 'bayer', 'bayer', 'bayer', 'bayer']","['Bayer Health Care LLC', 'Bayer Health Care LLC.', 'Bayer HealthCare LLC', 'Bayer HealthCare LLC.', 'Bayer HealthCare Pharmaceuticals Inc.', 'Bayer HealthCare, LLC']","[100, 100, 100, 100, 100, 100]"
63,bayshore,BAYSHORE PHARMS LLC,162,bayshore,"[919, 920, 921]","['bayshore', 'bayshore', 'bayshore']","['BAYSHORE PHARMACEUTICALS LLC', 'Bayshore Pharmaceuticals LLC (NJ)', 'Bayshore Pharmaceuticals, LLC']","[100, 100, 100]"
64,becton dickinson,BECTON DICKINSON CO,164,becton dickinson,"[945, 946]","['becton dickinson', 'becton dickinson']","['Becton Dickinson and Company', 'Becton, Dickinson and Company']","[100, 100]"
65,bedford,BEDFORD,165,bedford,[948],['bedford'],['Bedford Laboratories'],[100]
66,belcher,"BELCHER PHARMS, BELCHER PHARMS LLC","166, 167",belcher,"[962, 963]","['belcher', 'belcher']","['Belcher Pharmaceuticals LLC', 'Belcher Pharmaceuticals, LLC']","[100, 100]"
67,bio-pharm,BIO-PHARM INC,170,bio-pharm,[1040],['bio-pharm'],"['Bio-Pharm, Inc.']",[100]
68,biocon,BIOCON LIMITED,171,biocon,"[1056, 1057, 1058]","['biocon', 'biocon', 'biocon']","['Biocon Pharma Inc', 'Biocon Pharma Inc,', 'Biocon Pharma Inc.,']","[100, 100, 100]"
69,biogen,BIOGEN,173,biogen,"[1072, 1073]","['biogen', 'biogen']","['Biogen', 'Biogen Inc.']","[100, 100]"
70,biomarin,"BIOMARIN, BIOMARIN PHARM","176, 177",biomarin,[1079],['biomarin'],['BioMarin Pharmaceutical Inc.'],[100]
71,bionpharma,BIONPHARMA INC,179,bionpharma,"[1088, 1089]","['bionpharma', 'bionpharma']","['Bionpharma Inc.', 'BionPharma Inc.,']","[100, 100]"
72,boehringer ingelheim,BOEHRINGER INGELHEIM,181,boehringer ingelheim,"[1167, 1168]","['boehringer ingelheim', 'boehringer ingelheim']","['Boehringer Ingelheim Pharmaceuticals Inc.', 'Boehringer Ingelheim Pharmaceuticals, Inc.']","[100, 100]"
73,braintree,"BRAINTREE, BRAINTREE LABS","184, 185",braintree,[1197],['braintree'],"['Braintree Laboratories, Inc.']",[100]
74,braun,"B BRAUN, B BRAUN MEDICAL INC","148, 149",braun,[853],['braun'],['B. Braun Medical Inc.'],[100]
75,breckenridge,BRECKENRIDGE PHARM,186,breckenridge,"[1212, 1213]","['breckenridge', 'breckenridge']","['Breckenridge Pharmaceutical, Inc', 'Breckenridge Pharmaceutical, Inc.']","[100, 100]"
76,bristol-myers squibb,BRISTOL-MYERS SQUIBB,190,bristol-myers squibb,"[1222, 1223, 1224]","['bristol-myers squibb', 'bristol-myers squibb', 'bristol-myers squibb']","['Bristol-Myers Squibb', 'Bristol-Myers Squibb Company', 'Bristol-Myers Squibb Pharma Company']","[100, 100, 100]"
77,btg,BTG INTERNATIONAL INC,191,btg,[1239],['btg'],['BTG International Inc.'],[100]
78,cadila,CADILA PHARMS LTD,192,cadila,"[1286, 1287]","['cadila', 'cadila']","['Cadila Healthcare Limited', 'Cadila Pharmaceuticals Limited']","[100, 100]"
79,cardinal,CARDINAL HEALTH 414,194,cardinal,"[2, 1340, 1341, 1342, 1343, 1344, 1345, 1346, 1347, 1348, 1349, 1350, 1351, 1352]","['cardinal', 'cardinal', 'cardinal', 'cardinal', 'cardinal', 'cardinal', 'cardinal', 'cardinal', 'cardinal', 'cardinal', 'cardinal', 'cardinal', 'cardinal', 'cardinal']","['.Cardinal Health', 'Cardinal Health', 'Cardinal Health (Leader)', 'Cardinal Health (Leader) 37205', 'Cardinal Health (Leader) 49781', 'Cardinal Health (Leader) 70000', 'Cardinal Health 200, Inc.', 'Cardinal Health 414, LLC', 'Cardinal Health 418, Inc', 'Cardinal Health Inc.', 'Cardinal Health LLC', 'Cardinal Health, Inc', 'Cardinal Health, Inc.', 'Cardinal Health.']","[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]"
80,carefusion,CAREFUSION 2200,195,carefusion,"[1359, 1360, 1361]","['carefusion', 'carefusion', 'carefusion']","['CareFusion 213 LLC', 'CareFusion 213, LLC', 'CareFusion 2200 Inc']","[100, 100, 100]"
81,casper,CASPER PHARMA LLC,198,casper,[1387],['casper'],['Casper Pharma LLC'],[100]
82,celgene,"CELGENE, CELGENE CORP","202, 203",celgene,"[1406, 1407]","['celgene', 'celgene']","['Celgene', 'Celgene Corporation']","[100, 100]"
83,cephalon,CEPHALON,207,cephalon,[1434],['cephalon'],"['Cephalon, Inc.']",[100]
84,chartwell rx,CHARTWELL RX,212,chartwell rx,"[1476, 1477]","['chartwell rx', 'chartwell rx']","['Chartwell RX LLC', 'Chartwell RX, LLC.']","[100, 100]"
85,chattem,CHATTEM,213,chattem,[1478],['chattem'],"['Chattem, Inc.']",[100]
86,chiesi,CHIESI USA INC,216,chiesi,[1489],['chiesi'],"['Chiesi USA, Inc.']",[100]
87,chirhoclin,CHIRHOCLIN,218,chirhoclin,[1497],['chirhoclin'],"['ChiRhoClin, Inc.']",[100]
88,cipla,"CIPLA, CIPLA LIMITED, CIPLA LTD","221, 222, 223",cipla,"[1514, 1515, 1516, 1517, 1518]","['cipla', 'cipla', 'cipla', 'cipla', 'cipla']","['Cipla Ltd.', 'Cipla USA Inc.', 'Cipla USA Inc.,', 'CIPLA USA, Inc', 'Cipla USA, Inc.']","[100, 100, 100, 100, 100]"
89,clinigen,CLINIGEN HLTHCARE,225,clinigen,"[1553, 1554, 1555]","['clinigen', 'clinigen', 'clinigen']","['Clinigen Group PLC', 'Clinigen Healthcare Ltd', 'Clinigen Healthcare Ltd.']","[100, 100, 100]"
90,concordia,CONCORDIA PHARMS INC,229,concordia,[1618],['concordia'],['Concordia Pharmaceuticals Inc.'],[100]
91,coopersurgical,COOPERSURGICAL,230,coopersurgical,[1641],['coopersurgical'],"['CooperSurgical, Inc.']",[100]
92,corepharma,COREPHARMA,233,corepharma,[1644],['corepharma'],"['CorePharma, LLC']",[100]
93,covis,COVIS PHARMA BV,234,covis,[1694],['covis'],['Covis Pharma'],[100]
94,crown,CROWN LABS,239,crown,[1713],['crown'],['Crown Laboratories'],[100]
95,cumberland,CUMBERLAND PHARMS,244,cumberland,[1724],['cumberland'],['Cumberland Pharmaceuticals Inc.'],[100]
96,cypress,CYPRESS PHARM,247,cypress,[1756],['cypress'],"['Cypress Pharmaceutical, Inc.']",[100]
97,daiichi sankyo,"DAIICHI SANKYO, DAIICHI SANKYO INC","249, 250",daiichi sankyo,"[1769, 1770]","['daiichi sankyo', 'daiichi sankyo']","['Daiichi Sankyo Inc.', 'Daiichi Sankyo, Inc.']","[100, 100]"
98,dava,DAVA PHARMS INC,252,dava,[1786],['dava'],['DAVA Pharmaceuticals Inc'],[100]
99,dentsply,DENTSPLY PHARM,253,dentsply,"[1861, 1862]","['dentsply', 'dentsply']","['DENTSPLY Pharmaceutical', 'Dentsply Pharmaceutical Inc.']","[100, 100]"
100,depomed,DEPOMED INC,254,depomed,[1867],['depomed'],"['Depomed, Inc.']",[100]
101,dr reddys,"DR REDDYS LABS INC, DR REDDYS LABS INTL, DR REDDYS LABS LTD, DR REDDYS LABS SA","263, 264, 265, 266",dr reddys,"[2008, 2009, 2032, 2033, 2034, 2035, 2036, 2037, 2038, 2045, 2046]","['dr reddys', 'dr reddys', 'dr reddys', 'dr reddys', 'dr reddys', 'dr reddys', 'dr reddys', 'dr reddys', 'dr reddys', 'dr reddys', 'dr reddys']","[""Dr Reddy's Laboratories Limited"", 'Dr Reddys Laboratories Inc', ""Dr. Reddy's Laboratories Inc"", ""Dr. Reddy's Laboratories Inc."", ""Dr. Reddy's Laboratories Inc.,"", ""Dr. Reddy's Laboratories Limited"", ""Dr. Reddy's Laboratories Ltd"", ""Dr. Reddy's Laboratories Ltd."", ""Dr. Reddy's Laboratories, Inc."", 'Dr. Reddys Laboratories Inc', 'Dr. Reddys Laboratories Limited']","[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]"
102,duchesnay,DUCHESNAY,268,duchesnay,[2074],['duchesnay'],"['Duchesnay USA, Inc.']",[100]
103,dusa,DUSA,271,dusa,[2081],['dusa'],"['DUSA Pharmaceuticals, Inc.']",[100]
104,eagle,EAGLE PHARMS,273,eagle,"[2109, 2111, 2112]","['eagle', 'eagle', 'eagle']","['Eagle Home Medical Corp.', 'Eagle Pharmaceuticals, Inc', 'Eagle Pharmaceuticals, Inc.']","[100, 100, 100]"
105,eci,ECI PHARMS LLC,274,eci,"[2126, 2127]","['eci', 'eci']","['ECI Pharmaceuticals LLC', 'ECI Pharmaceuticals, LLC']","[100, 100]"
106,ecolab,ECOLAB,276,ecolab,"[2133, 2137]","['ecolab', 'ecolab']","['Ecolab', 'Ecolab Inc.']","[100, 100]"
107,ecr,ECR PHARMA,277,ecr,[2142],['ecr'],"['ECR Pharmaceuticals Co., Inc.']",[100]
108,edenbridge,EDENBRIDGE PHARMS,278,edenbridge,"[2144, 2145, 2146]","['edenbridge', 'edenbridge', 'edenbridge']","['Edenbridge Pharmaceuticals LLC', 'Edenbridge Pharmaceuticals LLC.', 'Edenbridge Pharmaceuticals, LLC']","[100, 100, 100]"
109,egalet,EGALET US INC,280,egalet,[2161],['egalet'],['Egalet US Inc.'],[100]
110,eisai,EISAI INC,281,eisai,[2167],['eisai'],['Eisai Inc.'],[100]
111,eli lilly,"ELI LILLY AND CO, ELI LILLY CO","283, 284",eli lilly,[2176],['eli lilly'],['Eli Lilly and Company'],[100]
112,elite,ELITE LABS INC,285,elite,"[2178, 2179]","['elite', 'elite']","['Elite Laboratories, Inc', 'Elite Laboratories, Inc.']","[100, 100]"
113,emd serono,"EMD SERONO, EMD SERONO INC","289, 290",emd serono,[2197],['emd serono'],"['EMD Serono, Inc.']",[100]
114,endo,"ENDO PHARM, ENDO PHARMS, ENDO PHARMS INC","292, 293, 294",endo,"[2222, 2223]","['endo', 'endo']","['Endo Pharmaceuticals Inc.', 'Endo Pharmaceuticals, Inc.']","[100, 100]"
115,epic,"EPIC PHARMA, EPIC PHARMA LLC","297, 298",epic,"[2246, 2247]","['epic', 'epic']","['Epic Pharma LLC', 'Epic Pharma, LLC']","[100, 100]"
116,essential isotopes,ESSENTIAL ISOTOPES,299,essential isotopes,"[2272, 2273]","['essential isotopes', 'essential isotopes']","['Essential Isotopes', 'Essential Isotopes LLC']","[100, 100]"
117,exelixis,EXELIXIS,307,exelixis,[2315],['exelixis'],"['Exelixis, Inc.']",[100]
118,exeltis,EXELTIS USA INC,308,exeltis,[2317],['exeltis'],"['Exeltis USA, Inc.']",[100]
119,fdc,FDC LTD,309,fdc,[2364],['fdc'],['FDC Limited'],[100]
120,ferring,"FERRING, FERRING PHARMS INC","312, 313",ferring,[2371],['ferring'],['Ferring Pharmaceuticals Inc.'],[100]
121,fosun,FOSUN PHARMA,318,fosun,"[2446, 2447]","['fosun', 'fosun']","['Fosun Pharma USA Inc', 'Fosun Pharma USA Inc.']","[100, 100]"
122,fougera,"FOUGERA PHARMS, FOUGERA PHARMS INC","319, 320",fougera,[2448],['fougera'],['Fougera Pharmaceuticals Inc.'],[100]
123,fresenius,FRESENIUS,321,fresenius,[2476],['fresenius'],"['Fresenius Medical Care Holdings, Inc.']",[100]
124,fresenius kabi,FRESENIUS KABI USA,323,fresenius kabi,"[2471, 2474, 2475]","['fresenius kabi', 'fresenius kabi', 'fresenius kabi']","['Fresenius Kabi', 'Fresenius Kabi USA, LLC', 'Fresenius Kabi, LLC']","[100, 100, 100]"
125,g,"G AND W LABS, G AND W LABS INC","326, 327",g,"[2500, 2508]","['g', 'g']","['G M International, Inc.', 'G2 Products LLC']","[100, 100]"
126,galderma,"GALDERMA LABS, GALDERMA LABS LP","328, 329",galderma,"[2511, 2512]","['galderma', 'galderma']","['GALDERMA LABORATORIES, L.P', 'Galderma Laboratories, L.P.']","[100, 100]"
127,ge,"GE HEALTHCARE, GE HLTHCARE INC","337, 338",ge,"[2533, 2534]","['ge', 'ge']","['GE Healthcare', 'GE Healthcare Inc.']","[100, 100]"
128,gemini,GEMINI LABS LLC,340,gemini,"[2550, 2551]","['gemini', 'gemini']","['Gemini Laboratories, LLC', 'Gemini Pharmaceuticals, Inc.']","[100, 100]"
129,genentech,"GENENTECH, GENENTECH INC","341, 342",genentech,"[2555, 2556, 2557]","['genentech', 'genentech', 'genentech']","['Genentech Inc.', 'Genentech, Inc', 'Genentech, Inc.']","[100, 100, 100]"
130,genus lifesciences,GENUS LIFESCIENCES,343,genus lifesciences,[2603],['genus lifesciences'],['Genus Lifesciences Inc.'],[100]
131,genzyme,"GENZYME, GENZYME CORP","344, 345",genzyme,[2608],['genzyme'],['Genzyme Corporation'],[100]
132,gilead sciences,GILEAD SCIENCES INC,347,gilead sciences,"[2631, 2632, 2633]","['gilead sciences', 'gilead sciences', 'gilead sciences']","['Gilead Sciences, Inc', 'Gilead Sciences, Inc.', 'Gilead Sciences, LLC']","[100, 100, 100]"
133,gland,GLAND PHARMA LTD,348,gland,[2642],['gland'],['Gland Pharma Limited'],[100]
134,glaxosmithkline,"GLAXOSMITHKLINE, GLAXOSMITHKLINE LLC","351, 354",glaxosmithkline,[2649],['glaxosmithkline'],['GlaxoSmithKline LLC'],[100]
135,glenmark,"GLENMARK PHARMS, GLENMARK PHARMS INC, GLENMARK PHARMS LTD","356, 357, 358",glenmark,"[2653, 2654, 2656, 2657, 2658]","['glenmark', 'glenmark', 'glenmark', 'glenmark', 'glenmark']","['Glenmark Pharmaceuticals Inc. USA', 'Glenmark Pharmaceuticals Inc., USA', 'Glenmark Pharmaceuticals Limited Inc., USA', 'Glenmark Pharmaceuticals, Inc', 'Glenmark Pharmaceuticals, Inc., USA']","[100, 100, 100, 100, 100]"
136,granules india,"GRANULES INDIA, GRANULES INDIA LTD","360, 361",granules india,"[2712, 2713]","['granules india', 'granules india']","['Granules India Limited', 'Granules India Ltd']","[100, 100]"
137,guerbet,GUERBET,363,guerbet,[2769],['guerbet'],['Guerbet LLC'],[100]
138,hameln plus,HAMELN PHARMA PLUS,366,hameln plus,[2830],['hameln plus'],['hameln pharma plus gmbh'],[100]
139,harris,HARRIS PHARM,369,harris,"[2880, 2881]","['harris', 'harris']","['Harris Pharmaceutical, Inc', 'Harris Pharmaceutical, Inc.']","[100, 100]"
140,heritage,"HERITAGE PHARMA, HERITAGE PHARMS INC","373, 374",heritage,"[2967, 2968, 2969, 2971]","['heritage', 'heritage', 'heritage', 'heritage']","['Heritage Pharmaceuticals', 'Heritage Pharmaceuticals Inc', 'Heritage Pharmaceuticals Inc.', 'Heritage Pharmaceuticals, Inc.']","[100, 100, 100, 100]"
141,hi-tech pharmacal,HI-TECH PHARMACAL,382,hi-tech pharmacal,"[2987, 2988]","['hi-tech pharmacal', 'hi-tech pharmacal']","['Hi-Tech Pharmacal Co. Inc.', 'Hi-Tech Pharmacal Co., Inc.']","[100, 100]"
142,hikma,"HIKMA, HIKMA INTL PHARMS, HIKMA PHARM CO LTD, HIKMA PHARMS","384, 386, 387, 388",hikma,"[2992, 2993, 2994]","['hikma', 'hikma', 'hikma']","['Hikma Pharmaceutical', 'Hikma Pharmaceuticals USA Inc', 'Hikma Pharmaceuticals USA Inc.']","[100, 100, 100]"
143,hill dermaceuticals,HILL DERMACEUTICALS,389,hill dermaceuticals,[2997],['hill dermaceuticals'],"['HILL DERMACEUTICALS, INC.']",[100]
144,hisamitsu,HISAMITSU PHARM CO,390,hisamitsu,[3003],['hisamitsu'],"['Hisamitsu Pharmaceutical Co., Inc.']",[100]
145,hope,HOPE PHARMS,394,hope,[3042],['hope'],['Hope Pharmaceuticals'],[100]
146,horizon,"HORIZON PHARMA, HORIZON PHARMA INC, HORIZON PHARMA USA","395, 396, 397",horizon,"[3047, 3048]","['horizon', 'horizon']","['Horizon Pharma Inc.', 'Horizon Pharma, Inc.']","[100, 100]"
147,hospira,"HOSPIRA, HOSPIRA INC","399, 400",hospira,"[3052, 3053]","['hospira', 'hospira']","['Hospira, Inc', 'Hospira, Inc.']","[100, 100]"
148,icu,ICU MEDICAL INC,409,icu,[3130],['icu'],['ICU Medical Inc.'],[100]
149,imclone,IMCLONE,411,imclone,[3141],['imclone'],['ImClone LLC'],[100]
150,immunex,IMMUNEX,412,immunex,[3145],['immunex'],['Immunex Corporation'],[100]
151,incyte,INCYTE CORP,416,incyte,[3157],['incyte'],['Incyte Corporation'],[100]
152,indivior,INDIVIOR INC,418,indivior,[3163],['indivior'],['Indivior Inc.'],[100]
153,indoco remedies,INDOCO REMEDIES,419,indoco remedies,[3165],['indoco remedies'],['Indoco Remedies Limited'],[100]
154,ingenus nj,INGENUS PHARMS NJ,420,ingenus nj,[3180],['ingenus nj'],"['Ingenus Pharmaceuticals NJ, LLC']",[100]
155,innogenix,INNOGENIX,421,innogenix,[3196],['innogenix'],"['Innogenix, Inc.']",[100]
156,insight,INSIGHT PHARMS,422,insight,"[3212, 3213]","['insight', 'insight']","['Insight Pharmaceuticals', 'Insight Pharmaceuticals LLC']","[100, 100]"
157,intellipharmaceutics,INTELLIPHARMACEUTICS,426,intellipharmaceutics,[3226],['intellipharmaceutics'],['IntelliPharmaCeutics Corp.'],[100]
