"","fam","certification","number","x1","x2","name_cert"
"29","13","Adjuster License",4,"Adjuster License","Adjuster License","Adjuster License"
"30","13","Ahip Certified",5,"Ahip Certified","Ahip ","Ahip "
"31","13","Alabama Bar",1,"Alabama Bar","Alabama Bar","Alabama Bar"
"32","13","American Board for Engineering and Technology (ABET) Accredited",1,"American Board for Engineering and Technology (ABET) Accredited","American Board for Engineering and Technology (ABET) Accredited","American Board for Engineering and Technology (ABET) Accredited"
"33","13","Anesthesiologist",1,"Anesthesiologist","Anesthesiologist","Anesthesiologist"
"34","13","Appraisal License",1,"Appraisal License","Appraisal License","Appraisal License"
"35","13","Architecture License",2,"Architecture License","Architecture License","Architecture License"
"36","13","Automation Certification",2,"Automation ","Automation ","Automation "
"37","13","Back-Flow Certification",1,"Back-Flow ","Back-Flow ","Back-Flow "
"38","13","Back-Flow Prevention Certificate",1,"Back-Flow Prevention Certificate","Back-Flow Prevention Certificate","Back-Flow Prevention "
"39","13","Backflow Prevention Certification",1,"Backflow Prevention ","Backflow Prevention ","Backflow Prevention "
"40","13","Bar Code Certification",1,"Bar Code ","Bar Code ","Bar Code "
"41","13","Basic Cardiac Life Support Certification",2,"Basic Cardiac Life Support ","Basic Cardiac Life Support ","Basic Cardiac Life Support "
"42","13","Basic Life Saving (BLS)",4,"Basic Life Saving (BLS)","Basic Life Saving (BLS)","Basic Life Saving (BLS)"
"43","13","Board Certified/Board Eligible",9,"Board Certified/Board Eligible","Board /Board Eligible","Board /Board Eligible"
"44","13","Budgeting Certification",2,"Budgeting ","Budgeting ","Budgeting "
"45","13","Business Analysis Certificate",1,"Business Analysis Certificate","Business Analysis Certificate","Business Analysis "
"46","13","Business License",254,"Business License","Business License","Business License"
"47","13","Business Registration Certificate",24,"Business Registration Certificate","Business Registration Certificate","Business Registration "
"48","13","California Bar",11,"California Bar","California Bar","California Bar"
"49","13","Capability Model Maturity Integration (CMMI) Certification",1,"Capability Model Maturity Integration (CMMI) ","Capability Model Maturity Integration (CMMI) ","Capability Model Maturity Integration (CMMI) "
"50","13","Casino Gaming License",10,"Casino Gaming License","Casino Gaming License","Casino Gaming License"
"51","13","Cdl Class C",9,"Cdl Class C","Cdl Class C","Cdl Class C"
"52","13","CDL Class D",112,"CDL Class D","CDL Class D","CDL Class D"
"53","13","Certificate in Accounting",8,"Certificate in Accounting","Certificate in Accounting"," in Accounting"
"54","13","Certified A+ Technician",2,"Certified A+ Technician"," A+ Technician"," A+ Technician"
"55","13","Certified Appraiser",1,"Certified Appraiser"," Appraiser"," Appraiser"
"56","13","Certified Business Intelligence Professional",13,"Certified Business Intelligence Professional"," Business Intelligence Professional"," Business Intelligence Professional"
"57","13","Certified Compensation Professional (CCP)",4,"Certified Compensation Professional (CCP)"," Compensation Professional (CCP)"," Compensation Professional (CCP)"
"58","13","Certified Court Reporter",6,"Certified Court Reporter"," Court Reporter"," Court Reporter"
"59","13","Certified Economic Developer",10,"Certified Economic Developer"," Economic Developer"," Economic Developer"
"60","13","Certified Equity Professional",1,"Certified Equity Professional"," Equity Professional"," Equity Professional"
"61","13","Certified Financial Planner (CFP)",80,"Certified Financial Planner (CFP)"," Financial Planner (CFP)"," Financial Planner (CFP)"
"62","13","Certified Fire Protection Specialist",1,"Certified Fire Protection Specialist"," Fire Protection Specialist"," Fire Protection Specialist"
"63","13","Certified Food and Beverage Executive",1,"Certified Food and Beverage Executive"," Food and Beverage Executive"," Food and Beverage Executive"
"64","13","Certified Fraud Examiner (CFE)",3,"Certified Fraud Examiner (CFE)"," Fraud Examiner (CFE)"," Fraud Examiner (CFE)"
"65","13","Certified Healthcare Access Associate",7,"Certified Healthcare Access Associate"," Healthcare Access Associate"," Healthcare Access Associate"
"66","13","Certified Information Security Manager (CISM)",1,"Certified Information Security Manager (CISM)"," Information Security Manager (CISM)"," Information Security Manager (CISM)"
"67","13","Certified Information Systems Auditor (CISA)",1,"Certified Information Systems Auditor (CISA)"," Information Systems Auditor (CISA)"," Information Systems Auditor (CISA)"
"68","13","Certified Information Systems Security Professional (CISSP)",30,"Certified Information Systems Security Professional (CISSP)"," Information Systems Security Professional (CISSP)"," Information Systems Security Professional (CISSP)"
"69","13","Certified Information Technology Professional",3,"Certified Information Technology Professional"," Information Technology Professional"," Information Technology Professional"
"70","13","Certified Instructor Trainer",6,"Certified Instructor Trainer"," Instructor Trainer"," Instructor Trainer"
"71","13","Certified Internal Auditor (CIA)",5,"Certified Internal Auditor (CIA)"," Internal Auditor (CIA)"," Internal Auditor (CIA)"
"72","13","Certified Management Accountant (CMA)",1,"Certified Management Accountant (CMA)"," Management Accountant (CMA)"," Management Accountant (CMA)"
"73","13","Certified Medication Aide",1,"Certified Medication Aide"," Medication Aide"," Medication Aide"
"74","13","Certified Outpatient Coding (COC)",4,"Certified Outpatient Coding (COC)"," Outpatient Coding (COC)"," Outpatient Coding (COC)"
"75","13","Certified Patient Account Technician",4,"Certified Patient Account Technician"," Patient Account Technician"," Patient Account Technician"
"76","13","Certified Payroll Professional (CPP)",229,"Certified Payroll Professional (CPP)"," Payroll Professional (CPP)"," Payroll Professional (CPP)"
"77","13","Certified Professional Coder",1,"Certified Professional Coder"," Professional Coder"," Professional Coder"
"78","13","Certified Protection Professional (CPP)",205,"Certified Protection Professional (CPP)"," Protection Professional (CPP)"," Protection Professional (CPP)"
"79","13","Certified Public Accountant (CPA)",11312,"Certified Public Accountant (CPA)"," Public Accountant (CPA)"," Public Accountant (CPA)"
"80","13","Certified Public Finance Officer (CPFO)",1,"Certified Public Finance Officer (CPFO)"," Public Finance Officer (CPFO)"," Public Finance Officer (CPFO)"
"81","13","Certified Purchasing Professional",2,"Certified Purchasing Professional"," Purchasing Professional"," Purchasing Professional"
"82","13","Certified Residential Appraiser",1,"Certified Residential Appraiser"," Residential Appraiser"," Residential Appraiser"
"83","13","Certified ScrumMaster (CSM)",1,"Certified ScrumMaster (CSM)"," ScrumMaster (CSM)"," ScrumMaster (CSM)"
"84","13","Certified Secure Software Lifecycle Professional (CSSLP)",3,"Certified Secure Software Lifecycle Professional (CSSLP)"," Secure Software Lifecycle Professional (CSSLP)"," Secure Software Lifecycle Professional (CSSLP)"
"85","13","Certified Software Quality Analyst (CSQA)",27,"Certified Software Quality Analyst (CSQA)"," Software Quality Analyst (CSQA)"," Software Quality Analyst (CSQA)"
"86","13","Certified Software Tester",3,"Certified Software Tester"," Software Tester"," Software Tester"
"87","13","Certified Treasury Professional (CTP)",3,"Certified Treasury Professional (CTP)"," Treasury Professional (CTP)"," Treasury Professional (CTP)"
"88","13","Certified Trust and Financial Advisor (CTFA)",6,"Certified Trust and Financial Advisor (CTFA)"," Trust and Financial Advisor (CTFA)"," Trust and Financial Advisor (CTFA)"
"89","13","Certified Volunteer",3,"Certified Volunteer"," Volunteer"," Volunteer"
"90","13","Chartered Accountant",1,"Chartered Accountant","Chartered Accountant","Chartered Accountant"
"91","13","Chartered Financial Analyst (CFA)",20,"Chartered Financial Analyst (CFA)","Chartered Financial Analyst (CFA)","Chartered Financial Analyst (CFA)"
"92","13","Chartered Global Management Accountant (CGMA)",4,"Chartered Global Management Accountant (CGMA)","Chartered Global Management Accountant (CGMA)","Chartered Global Management Accountant (CGMA)"
"93","13","Cisco Certified Network Associate (CCNA)",1,"Cisco Certified Network Associate (CCNA)","Cisco  Network Associate (CCNA)","Cisco  Network Associate (CCNA)"
"94","13","Citrix Certified Advanced Administrator (CCAA)",2,"Citrix Certified Advanced Administrator (CCAA)","Citrix  Advanced Administrator (CCAA)","Citrix  Advanced Administrator (CCAA)"
"95","13","CompTIA comptia comptia security+",1,"CompTIA comptia comptia security+","CompTIA comptia comptia security+","CompTIA comptia comptia security+"
"96","13","CompTIA Project+",5,"CompTIA Project+","CompTIA Project+","CompTIA Project+"
"97","13","CompTIA Security+",2,"CompTIA Security+","CompTIA Security+","CompTIA Security+"
"98","13","Contractors License",1,"Contractors License","Contractors License","Contractors License"
"99","13","Credit Business Fellow (CBF)",7,"Credit Business Fellow (CBF)","Credit Business Fellow (CBF)","Credit Business Fellow (CBF)"
"100","13","Criminal Offender Record Information (CORI) Certified",1,"Criminal Offender Record Information (CORI) Certified","Criminal Offender Record Information (CORI) ","Criminal Offender Record Information (CORI) "
"101","13","Domestic Violence",1,"Domestic Violence","Domestic Violence","Domestic Violence"
"102","13","Driver's License",895,"Driver's License","Driver's License","Driver's License"
"103","13","Electrician Certification",1,"Electrician ","Electrician ","Electrician "
"104","13","Engineer in Training Certification",4,"Engineer in Training ","Engineer in Training ","Engineer in Training "
"105","13","Epic Certification",1,"Epic ","Epic ","Epic "
"106","13","Financial Accounting Standards Board (FASB)",24,"Financial Accounting Standards Board (FASB)","Financial Accounting Standards Board (FASB)","Financial Accounting Standards Board (FASB)"
"107","13","Financial Risk Manager (FRM)",2,"Financial Risk Manager (FRM)","Financial Risk Manager (FRM)","Financial Risk Manager (FRM)"
"108","13","Fire Inspector II",1,"Fire Inspector II","Fire Inspector II","Fire Inspector II"
"109","13","Fire Inspector III",1,"Fire Inspector III","Fire Inspector III","Fire Inspector III"
"110","13","First Aid Cpr Aed",2,"First Aid Cpr Aed","First Aid Cpr Aed","First Aid Cpr Aed"
"111","13","Forklift Operator Certification",1,"Forklift Operator ","Forklift Operator ","Forklift Operator "
"112","13","Fundamental Payroll Certification",57,"Fundamental Payroll ","Fundamental Payroll ","Fundamental Payroll "
"113","13","Gaming & Vending Technician (GVT)",4,"Gaming & Vending Technician (GVT)","Gaming & Vending Technician (GVT)","Gaming & Vending Technician (GVT)"
"114","13","General Business",1,"General Business","General Business","General Business"
"115","13","GIAC Security Leadership (GSLC)",2,"GIAC Security Leadership (GSLC)","GIAC Security Leadership (GSLC)","GIAC Security Leadership (GSLC)"
"116","13","Global Food Safety Initiative (GFSI)",1,"Global Food Safety Initiative (GFSI)","Global Food Safety Initiative (GFSI)","Global Food Safety Initiative (GFSI)"
"117","13","Global Professional in Human Resources",1,"Global Professional in Human Resources","Global Professional in Human Resources","Global Professional in Human Resources"
"118","13","Good Conduct",1,"Good Conduct","Good Conduct","Good Conduct"
"119","13","Income Tax Certificate",34,"Income Tax Certificate","Income Tax Certificate","Income Tax "
"120","13","Information Systems Certification",4,"Information Systems ","Information Systems ","Information Systems "
"121","13","Information Technology Certification",1,"Information Technology ","Information Technology ","Information Technology "
"122","13","Insurance Agent Certification",120,"Insurance Agent ","Insurance Agent ","Insurance Agent "
"123","13","Insurance License",119,"Insurance License","Insurance License","Insurance License"
"124","13","Investment Advisor",45,"Investment Advisor","Investment Advisor","Investment Advisor"
"125","13","IPC Certification",1,"IPC ","IPC ","IPC "
"126","13","IRS Enrolled Agent",5,"IRS Enrolled Agent","IRS Enrolled Agent","IRS Enrolled Agent"
"127","13","IT Infrastructure Library (ITIL) Certification",2,"IT Infrastructure Library (ITIL) ","IT Infrastructure Library (ITIL) ","IT Infrastructure Library (ITIL) "
"128","13","ITIL Certification",1,"ITIL ","ITIL ","ITIL "
"129","13","ITIL Foundation",1,"ITIL Foundation","ITIL Foundation","ITIL Foundation"
"130","13","Land Title",1,"Land Title","Land Title","Land Title"
"131","13","Lean Six Sigma Certification",2,"Lean Six Sigma ","Lean Six Sigma ","Lean Six Sigma "
"132","13","Legal Assistant",1,"Legal Assistant","Legal Assistant","Legal Assistant"
"133","13","Licensed Attorney",91,"Licensed Attorney","Licensed Attorney","Licensed Attorney"
"134","13","Licensed Clinical Social Worker (LCSW)",3,"Licensed Clinical Social Worker (LCSW)","Licensed Clinical Social Worker (LCSW)","Licensed Clinical Social Worker (LCSW)"
"135","13","Licensed Professional Engineer",9,"Licensed Professional Engineer","Licensed Professional Engineer","Licensed Professional Engineer"
"136","13","Licensed Real Estate Broker",4,"Licensed Real Estate Broker","Licensed Real Estate Broker","Licensed Real Estate Broker"
"137","13","Life and Health Insurance License",1,"Life and Health Insurance License","Life and Health Insurance License","Life and Health Insurance License"
"138","13","Life Insurance License",98,"Life Insurance License","Life Insurance License","Life Insurance License"
"139","13","Management Accounting",4,"Management Accounting","Management Accounting","Management Accounting"
"140","13","Mbe Certified",7,"Mbe Certified","Mbe ","Mbe "
"141","13","Medical Billing and Coding Certification",1,"Medical Billing and Coding ","Medical Billing and Coding ","Medical Billing and Coding "
"142","13","Microsoft Access Certification (Legacy)",6,"Microsoft Access  (Legacy)","Microsoft Access  (Legacy)","Microsoft Access  (Legacy)"
"143","13","Microsoft Certified Professional (MCP)",2,"Microsoft Certified Professional (MCP)","Microsoft  Professional (MCP)","Microsoft  Professional (MCP)"
"144","13","Microsoft Certified Solutions Developer (MCSD)",27,"Microsoft Certified Solutions Developer (MCSD)","Microsoft  Solutions Developer (MCSD)","Microsoft  Solutions Developer (MCSD)"
"145","13","Microsoft Certified Solutions Expert (MCSE)",5,"Microsoft Certified Solutions Expert (MCSE)","Microsoft  Solutions Expert (MCSE)","Microsoft  Solutions Expert (MCSE)"
"146","13","Microsoft Certified Systems Engineer (Legacy)",2,"Microsoft Certified Systems Engineer (Legacy)","Microsoft  Systems Engineer (Legacy)","Microsoft  Systems Engineer (Legacy)"
"147","13","Microsoft Office Specialist (MOS): Excel",1,"Microsoft Office Specialist (MOS): Excel","Microsoft Office Specialist (MOS): Excel","Microsoft Office Specialist (MOS): Excel"
"148","13","Mortgage Lending Certificate",1,"Mortgage Lending Certificate","Mortgage Lending Certificate","Mortgage Lending "
"149","13","Mortgage Loan Officer",1,"Mortgage Loan Officer","Mortgage Loan Officer","Mortgage Loan Officer"
"150","13","National Career Readiness Certificate (NCRC)",4,"National Career Readiness Certificate (NCRC)","National Career Readiness Certificate (NCRC)","National Career Readiness  (NCRC)"
"151","13","Notary License",2,"Notary License","Notary License","Notary License"
"152","13","Nurse Anesthetist",2,"Nurse Anesthetist","Nurse Anesthetist","Nurse Anesthetist"
"153","13","Office Technology",1,"Office Technology","Office Technology","Office Technology"
"154","13","Oklahoma Bar",1,"Oklahoma Bar","Oklahoma Bar","Oklahoma Bar"
"155","13","Oracle Certification",14,"Oracle ","Oracle ","Oracle "
"156","13","Oregon Bar",9,"Oregon Bar","Oregon Bar","Oregon Bar"
"157","13","Paralegal Certification",18,"Paralegal ","Paralegal ","Paralegal "
"158","13","PMI Certified Associate in Project Management (CAPM)",7,"PMI Certified Associate in Project Management (CAPM)","PMI  Associate in Project Management (CAPM)","PMI  Associate in Project Management (CAPM)"
"159","13","Police Officer",4,"Police Officer","Police Officer","Police Officer"
"160","13","Private Investigation",2,"Private Investigation","Private Investigation","Private Investigation"
"161","13","Professional in Human Resources",3,"Professional in Human Resources","Professional in Human Resources","Professional in Human Resources"
"162","13","Project Management Certification",48,"Project Management ","Project Management ","Project Management "
"163","13","Project Management Professional (PMP)",25,"Project Management Professional (PMP)","Project Management Professional (PMP)","Project Management Professional (PMP)"
"164","13","Property and Casualty License",3,"Property and Casualty License","Property and Casualty License","Property and Casualty License"
"165","13","Purchasing Certification",2,"Purchasing ","Purchasing ","Purchasing "
"166","13","Quickbooks Certification",1,"Quickbooks ","Quickbooks ","Quickbooks "
"167","13","Real Estate Certification",11,"Real Estate ","Real Estate ","Real Estate "
"168","13","Registered Architect",4,"Registered Architect","Registered Architect","Registered Architect"
"169","13","Registered Behavior Technician",2,"Registered Behavior Technician","Registered Behavior Technician","Registered Behavior Technician"
"170","13","Registered Cardiovascular Invasive Specialist",5,"Registered Cardiovascular Invasive Specialist","Registered Cardiovascular Invasive Specialist","Registered Cardiovascular Invasive Specialist"
"171","13","Registered Health Information Administrator",4,"Registered Health Information Administrator","Registered Health Information Administrator","Registered Health Information Administrator"
"172","13","Registered Health Information Technician",4,"Registered Health Information Technician","Registered Health Information Technician","Registered Health Information Technician"
"173","13","Registered Respiratory Therapist",1,"Registered Respiratory Therapist","Registered Respiratory Therapist","Registered Respiratory Therapist"
"174","13","Registered Tax Return Preparer (RTRP)",1,"Registered Tax Return Preparer (RTRP)","Registered Tax Return Preparer (RTRP)","Registered Tax Return Preparer (RTRP)"
"175","13","SANS/GIAC Certification",2,"SANS/GIAC ","SANS/GIAC ","SANS/GIAC "
"176","13","SAP Certification",14,"SAP ","SAP ","SAP "
"177","13","Seating and Mobility Specialist",2,"Seating and Mobility Specialist","Seating and Mobility Specialist","Seating and Mobility Specialist"
"178","13","Security Clearance",44,"Security Clearance","Security Clearance","Security Clearance"
"179","13","Senior Professional in Human Resources",3,"Senior Professional in Human Resources","Senior Professional in Human Resources","Senior Professional in Human Resources"
"180","13","Series 6",2,"Series 6","Series 6","Series 6"
"181","13","Series 7",5,"Series 7","Series 7","Series 7"
"182","13","ServSafe",9,"ServSafe","ServSafe","ServSafe"
"183","13","Six Sigma Black Belt Certification",3,"Six Sigma Black Belt ","Six Sigma Black Belt ","Six Sigma Black Belt "
"184","13","Six Sigma Certification",5,"Six Sigma ","Six Sigma ","Six Sigma "
"185","13","Six Sigma Green Belt Certification",11,"Six Sigma Green Belt ","Six Sigma Green Belt ","Six Sigma Green Belt "
"186","13","Six Sigma Master Black Belt",5,"Six Sigma Master Black Belt","Six Sigma Master Black Belt","Six Sigma Master Black Belt"
"187","13","Social Work License",3,"Social Work License","Social Work License","Social Work License"
"188","13","Tax Collector's License",7,"Tax Collector's License","Tax Collector's License","Tax Collector's License"
"189","13","Tax Preparation Certificate",36,"Tax Preparation Certificate","Tax Preparation Certificate","Tax Preparation "
"190","13","Tax Professional",7,"Tax Professional","Tax Professional","Tax Professional"
"191","13","Taxation Certification",1047,"Taxation ","Taxation ","Taxation "
"192","13","Typing Certification",1,"Typing ","Typing ","Typing "
"193","13","Virginia Bar",1,"Virginia Bar","Virginia Bar","Virginia Bar"
"194","13","Washington Bar",2,"Washington Bar","Washington Bar","Washington Bar"
"195","13","Wastewater Treatment Plant Operator",1,"Wastewater Treatment Plant Operator","Wastewater Treatment Plant Operator","Wastewater Treatment Plant Operator"
"196","17","2M Certified Technician",3,"2M Certified Technician","2M  Technician","2M  Technician"
"197","17","5-S",17,"5-S","5-S","5-S"
"198","17","8 Discipline",2,"8 Discipline","8 Discipline","8 Discipline"
"199","17","AAMA Certified Medical Assistant",4,"AAMA Certified Medical Assistant","AAMA  Medical Assistant","AAMA  Medical Assistant"
"200","17","Access Management",1,"Access Management","Access Management","Access Management"
"201","17","Aci Field Testing Technician",23,"Aci Field Testing Technician","Aci Field Testing Technician","Aci Field Testing Technician"
"202","17","Acquired Immune Deficiency Syndrome (AIDS) Certification",13,"Acquired Immune Deficiency Syndrome (AIDS) ","Acquired Immune Deficiency Syndrome (AIDS) ","Acquired Immune Deficiency Syndrome (AIDS) "
"203","17","Acute Care Nurse Practitioner",2,"Acute Care Nurse Practitioner","Acute Care Nurse Practitioner","Acute Care Nurse Practitioner"
"204","17","Adjuster License",9,"Adjuster License","Adjuster License","Adjuster License"
"205","17","Adobe Illustrator Certification",1,"Adobe Illustrator ","Adobe Illustrator ","Adobe Illustrator "
"206","17","Adobe Photoshop Certificate",2,"Adobe Photoshop Certificate","Adobe Photoshop Certificate","Adobe Photoshop "
"207","17","Adult Education Certificate",2,"Adult Education Certificate","Adult Education Certificate","Adult Education "
"208","17","Advanced Cardiac Life Support (ACLS) Certification",15,"Advanced Cardiac Life Support (ACLS) ","Advanced Cardiac Life Support (ACLS) ","Advanced Cardiac Life Support (ACLS) "
"209","17","Advanced Engineering Certificate",1,"Advanced Engineering Certificate","Advanced Engineering Certificate","Advanced Engineering "
"210","17","Advanced Programming",1,"Advanced Programming","Advanced Programming","Advanced Programming"
"211","17","Advanced Programming in C++ Certificate",3,"Advanced Programming in C++ Certificate","Advanced Programming in C++ Certificate","Advanced Programming in C++ "
"212","17","Aerial Lift Certification",17,"Aerial Lift ","Aerial Lift ","Aerial Lift "
"213","17","Aerial Platform Certification",61,"Aerial Platform ","Aerial Platform ","Aerial Platform "
"214","17","Aggregate Technician Certification",8,"Aggregate Technician ","Aggregate Technician ","Aggregate Technician "
"215","17","Agile Certification",2,"Agile ","Agile ","Agile "
"216","17","Air Brake Certified",35,"Air Brake Certified","Air Brake ","Air Brake "
"217","17","Air Conditioning (AC) Certification",1,"Air Conditioning (AC) ","Air Conditioning (AC) ","Air Conditioning (AC) "
"218","17","Air Traffic Control",57,"Air Traffic Control","Air Traffic Control","Air Traffic Control"
"219","17","Airframe and Powerplant (A and P) Certification",118,"Airframe and Powerplant (A and P) ","Airframe and Powerplant (A and P) ","Airframe and Powerplant (A and P) "
"220","17","Allen Bradley Certificate",24,"Allen Bradley Certificate","Allen Bradley Certificate","Allen Bradley "
"221","17","Allen Bradley PLC",9,"Allen Bradley PLC","Allen Bradley PLC","Allen Bradley PLC"
"222","17","Amateur Radio License",1,"Amateur Radio License","Amateur Radio License","Amateur Radio License"
"223","17","Amateur Radio Operators License",1,"Amateur Radio Operators License","Amateur Radio Operators License","Amateur Radio Operators License"
"224","17","American Academy of Dermatology (AAD)",2,"American Academy of Dermatology (AAD)","American Academy of Dermatology (AAD)","American Academy of Dermatology (AAD)"
"225","17","American Association For Laboratory Animal Science (AALAS)",3,"American Association For Laboratory Animal Science (AALAS)","American Association For Laboratory Animal Science (AALAS)","American Association For Laboratory Animal Science (AALAS)"
"226","17","American Board for Engineering and Technology (ABET) Accredited",1047,"American Board for Engineering and Technology (ABET) Accredited","American Board for Engineering and Technology (ABET) Accredited","American Board for Engineering and Technology (ABET) Accredited"
"227","17","American Concrete Institute (ACI)",57,"American Concrete Institute (ACI)","American Concrete Institute (ACI)","American Concrete Institute (ACI)"
"228","17","American Council of Pharmaceutical Education (ACPE)",1,"American Council of Pharmaceutical Education (ACPE)","American Council of Pharmaceutical Education (ACPE)","American Council of Pharmaceutical Education (ACPE)"
"229","17","American Heart Association Certification",86,"American Heart Association ","American Heart Association ","American Heart Association "
"230","17","American Institute of Architects",5,"American Institute of Architects","American Institute of Architects","American Institute of Architects"
"231","17","American Institute of Certified Planners",23,"American Institute of Certified Planners","American Institute of  Planners","American Institute of  Planners"
"232","17","American Physical Therapy Association (APTA) Certification",1,"American Physical Therapy Association (APTA) ","American Physical Therapy Association (APTA) ","American Physical Therapy Association (APTA) "
"233","17","American Power Conversion",2,"American Power Conversion","American Power Conversion","American Power Conversion"
"234","17","American Production and Inventory Control Society (APICS) Certification",1,"American Production and Inventory Control Society (APICS) ","American Production and Inventory Control Society (APICS) ","American Production and Inventory Control Society (APICS) "
"235","17","American Registry For Diagnostic Medical Sonography (ARDMS)",274,"American Registry For Diagnostic Medical Sonography (ARDMS)","American Registry For Diagnostic Medical Sonography (ARDMS)","American Registry For Diagnostic Medical Sonography (ARDMS)"
"236","17","American Registry of Radiologic Technologists (ARRT) Certification",39,"American Registry of Radiologic Technologists (ARRT) ","American Registry of Radiologic Technologists (ARRT) ","American Registry of Radiologic Technologists (ARRT) "
"237","17","American Society For Quality (ASQ) Certification",222,"American Society For Quality (ASQ) ","American Society For Quality (ASQ) ","American Society For Quality (ASQ) "
"238","17","American Society for Testing and Materials (ASTM)",20,"American Society for Testing and Materials (ASTM)","American Society for Testing and Materials (ASTM)","American Society for Testing and Materials (ASTM)"
"239","17","American Society of Mechanical Engineers (ASME) Certified",37,"American Society of Mechanical Engineers (ASME) Certified","American Society of Mechanical Engineers (ASME) ","American Society of Mechanical Engineers (ASME) "
"240","17","AMSE Pressure Piping",1,"AMSE Pressure Piping","AMSE Pressure Piping","AMSE Pressure Piping"
"241","17","Anesthesiologist",22,"Anesthesiologist","Anesthesiologist","Anesthesiologist"
"242","17","Apple Certified Macintosh Technician",218,"Apple Certified Macintosh Technician","Apple  Macintosh Technician","Apple  Macintosh Technician"
"243","17","Applicators License",13,"Applicators License","Applicators License","Applicators License"
"244","17","Applied Science",17,"Applied Science","Applied Science","Applied Science"
"245","17","Architecting Microsoft Azure Solutions",1,"Architecting Microsoft Azure Solutions","Architecting Microsoft Azure Solutions","Architecting Microsoft Azure Solutions"
"246","17","Architectural Technology",3,"Architectural Technology","Architectural Technology","Architectural Technology"
"247","17","Architecture License",34,"Architecture License","Architecture License","Architecture License"
"248","17","Asbestos Worker",2,"Asbestos Worker","Asbestos Worker","Asbestos Worker"
"249","17","ASME Pressure Vessel Section VIII",10,"ASME Pressure Vessel Section VIII","ASME Pressure Vessel Section VIII","ASME Pressure Vessel Section VIII"
"250","17","Associate Business Continuity Professional",32,"Associate Business Continuity Professional","Associate Business Continuity Professional","Associate Business Continuity Professional"
"251","17","Association of Energy Engineers (AEE)",1,"Association of Energy Engineers (AEE)","Association of Energy Engineers (AEE)","Association of Energy Engineers (AEE)"
"252","17","Athletic Trainer Certification",3,"Athletic Trainer ","Athletic Trainer ","Athletic Trainer "
"253","17","Atp License",1,"Atp License","Atp License","Atp License"
