"","Var1","Freq"
"387","Certified Asthma Educator",44
"388","Certified Audio Engineering",14
"389","Certified Authorization Professional (CAP)",5
"390","Certified Automation Professional (CAP)",16
"391","Certified Automotive Engineer",14
"392","Certified Avian Specialist",4
"393","Certified Back-Flow Tester",54
"394","Certified Backhoe Operator",3
"395","Certified Behavioral Analyst",1
"396","Certified Benefits Professional",18
"397","Certified Blueprint Reader",45
"398","Certified Body Technician",1
"399","Certified Boilermaker",52
"400","Certified Boom Lift",3
"401","Certified Brain Injury Specialist",3
"402","Certified Brazer",12
"403","Certified Broadcast Engineer",6
"404","Certified Broadcast Networking Engineer",13
"405","Certified Broadcast Networking Technologist",288
"406","Certified Broadcast Radio Engineer",5
"407","Certified Broadcast Television Engineer",7
"408","Certified Builder",2
"409","Certified Building Commissioning Professional",42
"410","Certified Building Inspector",691
"411","Certified Building Maintenance",2
"412","Certified Building Official",220
"413","Certified Building Plans Examiner",2
"414","Certified Business Analysis Professional (CBAP)",14
"415","Certified Business Analysis Thought Leader (CBATL)",1
"416","Certified Business Architect",4
"417","Certified Business Continuity Professional",8
"418","Certified Business Intelligence Professional",13
"419","Certified Business Manager",2
"420","Certified Cable Installer",29
"421","Certified Cable Technician",1
"422","Certified Calibration Technician (CCT)",228
"423","Certified Car Inspector",208
"424","Certified Cardiographic Technician",272
"425","Certified Cardiovascular Technologist",1
"426","Certified Career Development Facilitator",178
"427","Certified Cargo Security Professional",33
"428","Certified Case Manager (CCM)",12
"429","Certified Central Service Vendor Program (CCSVP)",3
"430","Certified Chef",114
"431","Certified Child Care Provider",7
"432","Certified Child Care Worker",4
"433","Certified Chiropractic Professional Coder",8
"434","Certified Climber",20
"435","Certified Clinical Document Specialist",38
"436","Certified Clinical Exercise Physiologist (CEP)",1
"437","Certified Clinical Perfusionist",22
"438","Certified Clinical Research Associate (CRA)",2
"439","Certified Clinical Research Professional",6
"440","Certified Clinical Supervisor",2
"441","Certified Clinical Transplant Coordinator",12
"442","Certified Cloud Security Professional (CCSP)",8
"443","Certified Coding Associate",1
"444","Certified Coding Specialist",489
"445","Certified Coding Specialist - Hospital",4
"446","Certified Commercial Applicator",3
"447","Certified Commercial Diver",14
"448","Certified Commercial Investment Member (CCIM)",5
"449","Certified Compensation Professional (CCP)",60
"450","Certified Compliance & Ethics Professional",2
"451","Certified Composite Technician",7
"452","Certified Computer Examiner",1
"453","Certified Concrete Technician",32
"454","Certified Construction Contract Administrator",5
"455","Certified Construction Manager",324
"456","Certified Construction Specifier",20
"457","Certified Control Systems Technician",309
"458","Certified Control Systems Technician (CCST)",259
"459","Certified Corporate Trust Specialist (CCTS)",2
"460","Certified Correctional Officer",16
"461","Certified Cost Professional (CCP)",3
"462","Certified Court Interpreter",1
"463","Certified Court Reporter",154
"464","Certified Crane Inspector",11
"465","Certified Crane Operator",252
"466","Certified Crestron Programmer",4
"467","Certified Crop Advisor",4
"468","Certified Cross Connection",2
"469","Certified Culinarian",1
"470","Certified Culinary Administrator",8
"471","Certified Culinary Educator",4
"472","Certified Custom Framer",2
"473","Certified Customer Service Specialist (CSS)",2
"474","Certified Cyber Forensics Professional (CCFP)",10
"475","Certified Cytotechnologist",2
"476","Certified Data Management Professional",3
"477","Certified Dealer",52
"478","Certified Defense Financial Manager (CDFM)",20
"479","Certified Dental Assistant",53
"480","Certified Dental Technician",192
"481","Certified Detailer",8
"482","Certified Diabetes Educator (CDE)",1
"483","Certified Dialysis Nurse",1
"484","Certified Dietary Manager",289
"485","Certified Disability Management Specialist",4
"486","Certified Divemaster",1
"487","Certified Diver",19
"488","Certified Document Imaging Architect",3
"489","Certified Dog Trainer",3
"490","Certified Driver",91
"491","Certified Economic Developer",10
"492","Certified Electrical Maintenance",2
"493","Certified Electrical Technician",14
"494","Certified Electrical Worker",9
"495","Certified Electronic Operator",2
"496","Certified Electronic Recorder",2
"497","Certified Electronics Technician Associate",54
"498","Certified Electronics Technician Journeyman",7
"499","Certified Emergency Department Coder",13
"500","Certified Emergency Manager",33
"501","Certified Emergency Nurse",4
"502","Certified Emergency Responder",1
"503","Certified Employee Assistance Professional",23
"504","Certified Employee Benefit Specialist (CEBS)",13
"505","Certified Energy Auditor",30
"506","Certified Energy Manager",323
"507","Certified Energy Professional",22
"508","Certified Engine Repair",1
"509","Certified Engineering Manager",4
"510","Certified Engineering Technologist",6
"511","Certified Entomologist",8
"512","Certified Environmental Professional",2
"513","Certified Equipment Operator",2
"514","Certified Equity Professional",10
"515","Certified Erector",4
"516","Certified Erosion, Sediment and Storm Water Inspector",85
"517","Certified Escort",2
"518","Certified Esthetician",3
"519","Certified Estimating Professional (CEP)",5
"520","Certified Estimator",6
"521","Certified Ethical Hacker (CEH)",17
"522","Certified Euthanasia Technician",9
"523","Certified Evaluation and Management Coder",32
"524","Certified Event Planner",27
"525","Certified Exchange Specialist",1
"526","Certified Executive Chef",163
"527","Certified Exercise Specialist",1
"528","Certified Facility Manager (CFM)",294
"529","Certified Family Life Educator",2
"530","Certified Fertilizer",9
"531","Certified Fiber",32
"532","Certified Fiber Installer",2
"533","Certified Fiber Optics Installer",8
"534","Certified Fiber Optics Specialist",4
"535","Certified Fiber Optics Technician",67
"536","Certified Field Service Manager",3
"537","Certified Field Service Professional",12
"538","Certified Field Support Technician",2
"539","Certified Financial Counselor",2
"540","Certified Financial Planner (CFP)",427
"541","Certified Financial Services Auditor",2
"542","Certified Fire Protection Specialist",5
"543","Certified Fire Service Instructor",1
"544","Certified First Assistant",91
"545","Certified First Responder",551
"546","Certified Fitness Instructor",6
"547","Certified Fitness Trainer",1
"548","Certified Fitter",21
"549","Certified Flagger",102
"550","Certified Flight Attendant",1
"551","Certified Flight Instructor",7
"552","Certified Flight Instructor (CFII)",2
"553","Certified Flight Registered Nurse",15
"554","Certified Floodplain Manager",20
"555","Certified Fluid Power",91
"556","Certified Food and Beverage Executive",6
"557","Certified Food Protection Professional",11
"558","Certified Forester",3
"559","Certified Framer",96
"560","Certified Fraud Examiner (CFE)",83
"561","Certified Functional Safety Expert",10
"562","Certified Fund Raising Executive (CFRE)",14
"563","Certified Fundraising Executive",3
"564","Certified Gemologist",4
"565","Certified General Appraiser",1
"566","Certified General Contractor",40
"567","Certified General Surgery Coder",6
"568","Certified Golf Course Superintendent",2
"569","Certified Government Auditing Professional (CGAP)",2
"570","Certified Government Contractor",1
"571","Certified Government Financial Manager (CGFM)",25
"572","Certified Graphic Designer",1
"573","Certified Gunsmith",2
"574","Certified Hair Stylist",135
"575","Certified Hand Therapist",1
"576","Certified Hazardous Materials Manager",60
"577","Certified Health Education Specialist",29
"578","Certified Health Physicist",5
"579","Certified Healthcare Access Associate",51
"580","Certified Healthcare Access Manager",2
"581","Certified Healthcare Financial Professional",1
"582","Certified Healthcare Safety Professional",4
"583","Certified Heavy Duty Truck",6
"584","Certified Heavy Equipment Mechanic",2
"585","Certified Heavy Equipment Operator",54
"586","Certified Hemodialysis Technician",276
"587","Certified Hi-Lo Driver",1
"588","Certified Hipaa Professional",57
"589","Certified Home Inspector",504
"590","Certified Horticulturist",4
"591","Certified Hospice",3
"592","Certified Hospice and Palliative Nurse (CHPN)",3
"593","Certified Housing Specialist",8
"594","Certified Hr Professional",1
"595","Certified Hyperbaric Registered Nurse",2
"596","Certified in Backflow Prevention",2
"597","Certified in Business",1
"598","Certified in Confined Spaces",4
"599","Certified in Construction",21
"600","Certified in Health Care Compliance",1
"601","Certified in Healthcare Privacy and Security",47
"602","Certified in Hydraulics",1
"603","Certified in Integrated Resource Management (CIRM)",6
"604","Certified in Lean Manufacturing",18
"605","Certified in Lean Project Management",1
"606","Certified in Production and Inventory Management (CPIM)",73
"607","Certified in Propane",1
"608","Certified in Red Cross",14
"609","Certified in Refrigerant Recovery",11
"610","Certified in Risk and Information Systems Control",54
"611","Certified in Small Engine Repair",62
"612","Certified in Teaching English To Speakers of Other Languages",1
"613","Certified in The Governance of Enterprise IT (CGEIT)",9
"614","Certified Inclusive Fitness Trainer (CIFT)",2
"615","Certified Industrial Hygienist",89
"616","Certified Industrial Maintenance Mechanic",7
"617","Certified Infection Control",58
"618","Certified Information Privacy Professional (CIPP)",23
"619","Certified Information Security Manager (CISM)",146
"620","Certified Information Systems Auditor (CISA)",253
"621","Certified Information Systems Security Professional (CISSP)",612
"622","Certified Information Technology Professional",11
"623","Certified Installation Technician",7
"624","Certified Installer",87
"625","Certified Institutional Review Board (IRB) Professional",4
"626","Certified Instructor Trainer",6
"627","Certified Instrument Specialist (CIS)",98
"628","Certified Integrator",23
"629","Certified Internal Auditor (CIA)",70
"630","Certified Internet Recruiter",1
"631","Certified Interpretive Guide",8
"632","Certified Interviewer",1
"633","Certified Investigator",3
"634","Certified Investment Management Analyst (CIMA)",4
"635","Certified IRA Services Professional (CISP)",2
"636","Certified Ironworker",4
"637","Certified Irrigation Auditor",2
"638","Certified Irrigation Contractor",1
"639","Certified Janitorial",4
"640","Certified Knowledge Manager",2
"641","Certified Lab Technician",1
"642","Certified Laboratory Assistant",1
"643","Certified Labview Associate Developer",1
"644","Certified Labview Developer",1
"645","Certified Lactation Consultant",7
"646","Certified Lactation Counselor",2
"647","Certified Landscape Irrigation Auditor",5
"648","Certified Landscape Technician",7
"649","Certified Lead Inspector",25
"650","Certified Legal Document Preparer",2
"651","Certified Life Care Planner",3
"652","Certified Lifeguard",10
"653","Certified Locksmith",70
"654","Certified Loss Control Professional",1
"655","Certified Lube Technician",395
"656","Certified Maintenance Manager",66
"657","Certified Maintenance Mechanic",6
"658","Certified Maintenance Specialist",21
"659","Certified Maintenance Technician",706
"660","Certified Management Accountant (CMA)",40
"661","Certified Manager (CM)",38
"662","Certified Manager of Community Associations (CMCA)",19
"663","Certified Manager of Quality Organizational Excellence (CMQ/OE)",185
"664","Certified Manager of Software Quality",1
"665","Certified Manager of Software Testing",23
"666","Certified Manlift",1
"667","Certified Manufacturing Engineer (CMfgE)",15
"668","Certified Manufacturing Specialist",4
"669","Certified Marine Mechanic",9
"670","Certified Marine Technician",4
"671","Certified Marriage and Family Therapist",8
"672","Certified Mastectomy Fitter",2
"673","Certified Master Chef",6
"674","Certified Master Trainer",1
"675","Certified Materials and Resource Professional (CMRP)",274
"676","Certified Mechanical Contractor",4
"677","Certified Mechanical Inspector",135
"678","Certified Medical Administrative Assistant",56
"679","Certified Medical Assistant",684
"680","Certified Medical Illustrator",2
"681","Certified Medical Laboratory Technician",683
"682","Certified Medical Office Specialist",1
"683","Certified Medical Practice Executive",1
"684","Certified Medical Representative",2
"685","Certified Medical Secretary",4
"686","Certified Medical Technician",11
"687","Certified Medical Technologist",42
"688","Certified Medical Transcriptionist",1
"689","Certified Medication Administration",1
"690","Certified Medication Aide",18
"691","Certified Medication Technician",14
"692","Certified Meeting Planner",92
"693","Certified Meeting Professional (CMP)",2
"694","Certified Microstation",1
"695","Certified Military",19
"696","Certified Millwright",17
"697","Certified Mine Foreman",3
"698","Certified Mlt",1
"699","Certified Mold Inspector",64
"700","Certified Mold Maker",5
"701","Certified Mold Technician",4
"702","Certified Molder",2
"703","Certified Mortgage Banker",2
"704","Certified Motorcycle Mechanic",3
"705","Certified Municipal Clerk",5
"706","Certified Municipal Finance Officer (CMFO)",2
"707","Certified Nail Technician",2
"708","Certified Nephrology Nurse",1
"709","Certified Network Administrator",25
"710","Certified Network Engineer",1
"711","Certified Non-Destructive Testing",26
"712","Certified Nuclear Medicine Technologist",6
"713","Certified Nurse Educator",6
"714","Certified Nurse Operating Room (CNOR)",89
"715","Certified Nursery Certificate",14
"716","Certified Nurseryman",2
"717","Certified Nursing Assistant",494
"718","Certified Occupancy Specialist",41
"719","Certified Occupational Health Nurse",37
"720","Certified Occupational Safety Specialist",2
"721","Certified Occupational Therapy Assistant (COTA)",73
"722","Certified Office Administrator",30
"723","Certified Officer",2
"724","Certified Oncology Nurse",5
"725","Certified OpenStack Administrator (COA)",2
"726","Certified Ophthalmic Assistant",30
"727","Certified Ophthalmic Technician",20
"728","Certified Orthodontic Assistant",1
"729","Certified Orthopaedic Surgery Coder",4
"730","Certified Orthopedic Technologist",1
"731","Certified Orthotist",5
"732","Certified Outpatient Coding (COC)",470
"733","Certified Overhead Crane Operator",200
"734","Certified Painter",1
"735","Certified Parks and Recreation Professional (CPRP)",4
"736","Certified Passport Agent",2
"737","Certified Patient Account Representative",13
"738","Certified Patient Account Technician",617
"739","Certified Payroll Professional (CPP)",357
"740","Certified Peace Officer",6
"741","Certified Pediatric Nurse",1
"742","Certified Pedorthist",1
"743","Certified Peer Specialist",13
"744","Certified Peer Support Specialist",6
"745","Certified Personnel Consultant (CPC)",12
"746","Certified Pest Control",650
"747","Certified Pharmacy Technician",201
"748","Certified Photogrammetrist",8
"749","Certified Physical Therapy Assistant",1
"750","Certified Picture Framer",3
"751","Certified Pilates Instructor",2
"752","Certified Pipelayer",6
"753","Certified Plans Examiner",22
"754","Certified Plant Engineer",2
"755","Certified Plant Maintenance Manager",3
"756","Certified Plant Operator",5
"757","Certified Plant Professional",1
"758","Certified Plastic and Reconstructive Surgery Coder",3
"759","Certified Playground Safety Inspector",60
"760","Certified Polysomnographic Technologist",6
"761","Certified Pool/Spa Operator",6532
"762","Certified Post Anesthesia Nurse",6
"763","Certified Power Engineer",1
"764","Certified Power Quality Professional",2
"765","Certified Pre-Award Research Administrator (CPRA)",4
"766","Certified Premier Partner",2
"767","Certified Premises Cabling Technician",2
"768","Certified Prevention Consultant",1
"769","Certified Prevention Specialist",4
"770","Certified Private Pilot",23
"771","Certified Proadvisor",3
"772","Certified Procurement Transplant Coordinator",16
"773","Certified Production Technician (CPT)",56
"774","Certified Professional - Food Safety",231
"775","Certified Professional Coder",406
"776","Certified Professional Coder in Dermatology",2
"777","Certified Professional Collector (CPC)",2
"778","Certified Professional Environmental Auditor",2
"779","Certified Professional Ergonomist",1
"780","Certified Professional Food Manager",31
"781","Certified Professional in Erosion and Sediment Control",52
"782","Certified Professional in Healthcare Quality",6
"783","Certified Professional in Supply Management (CPSM)",28
"784","Certified Professional Locksmith",20
"785","Certified Professional Medical Auditor",362
"786","Certified Professional Salesperson",1
"787","Certified Professional Secretary",202
"788","Certified Professional Services Marketer",1
"789","Certified Professional Utilization Review",1
"790","Certified Program Assistant",20
"791","Certified Programmer",10
"792","Certified Prosthetist",3
"793","Certified Protection Professional (CPP)",306
"794","Certified Psychiatric Rehabilitation Practitioner",88
"795","Certified Public Accountant (CPA)",11542
"796","Certified Public Finance Officer (CPFO)",5
"797","Certified Public Purchasing Officer (CPPO)",4
"798","Certified Pulmonary Function Technologist",431
"799","Certified Pump Operator",3
"800","Certified Purchasing Professional",2
"801","Certified Quality Auditor (CQA)",173
"802","Certified Quality Engineer (CQE)",45
"803","Certified Quality Improvement Associate (CQIA)",2
"804","Certified Quality Inspector (CQI)",12
"805","Certified Quality Process Analyst (CQPA)",8
"806","Certified Quality Technician (CQT)",150
"807","Certified Radiographic Interpreter",2
"808","Certified Radiology Technician",12
"809","Certified Recreational Therapist",9
"810","Certified Recruiter",2
"811","Certified Refinish Technician",1
"812","Certified Refrigeration Technician",8
