Timestamp,Please copy and paste the Document ID of the article you are submitting responses for. ,Does this article mention a new or improved drug that differs from the company’s previous drugs (regardless of whether or not a similar drug is already being sold by another company)?,"Based on the article, what is the current stage of the drug?","Please copy and paste the names of any new drugs mentioned in the article. Be sure that the commas separate the products. If a product name contains a comma, please remove it. ","Please copy and paste the names of any companies that introduced the new drug(s). Be sure that the commas separate the company names. If a company name contains a comma, please remove it. ","Based on the article, is the drug new to the market? (The company introduced the drug before other companies, and no similar drugs are already being sold either by this company or by other companies)",Based on the article is this drug new only to the company? (The company introduced a drug that was already available from other companies with little or no additional modification)
7/24/2019 11:19:40,BHLD000020151023eban0003h ,Yes,Unsure,,Merrimack,Unsure,Unsure
7/24/2019 11:19:41,CHPR000020151023ebag00008 ,No,,,,,
7/24/2019 11:19:46,MTEU000020150414eb4e000gp,No,,,,,
7/24/2019 11:19:57,BIWK000020150417eb4m000ps,No,,,,,
7/24/2019 11:20:03,DRGW000020151127ebbr0002q ,No,,,,,
7/24/2019 11:20:03,PRESSA0020150504eb54000jh,Yes,Available to consumers (has been launched on the market),Nevisense,SciBase,Unsure,Yes
7/24/2019 11:20:20,DJDN000020150615eb6f003t8,Yes,Undergoing clinical trials,Rhopressa,Aerie Pharmaceuticals,No,Yes
7/24/2019 11:20:41,PBRELS0020150811eb8400007,No,,,,,
7/24/2019 11:20:44,FLYWAL0020150304eb340033j,No,,,,,
7/24/2019 11:20:46,OKLD000020151215ebc9000b6,Unsure,Unsure,Peninsula Wellness Centre in Mountain View,,,
7/24/2019 11:20:49,PZON000020150128eb1s0002p,Yes,Undergoing clinical trials,APC-5000 DPI,Adamis Pharmaceuticals Corporation,Unsure,Unsure
7/24/2019 11:21:16,BIWK000020150306eb3b000hh,No,,,,,
7/24/2019 11:21:26,NBPPBS0020150508eb5900043,No,,,,,
7/24/2019 11:21:42,HAMW000020151106ebb6000jz,No,,,,,
7/24/2019 11:21:45,ATPHAM0020151009eba80008e,Yes,Undergoing clinical trials,N/A,N/A,Yes,No
7/24/2019 11:22:00,PBRELS0020150811eb8400007,No,,,,,
7/24/2019 11:22:08,BOSBJO0020151002eba20008e ,No,,,,,
7/24/2019 11:22:22,XNWP000020160212ebcj001hj ,No,,,,,
7/24/2019 11:22:22,DJDN000020151124ebbo0048a,Yes,Undergoing clinical trials,EPI-506,ESSA Pharma Inc.,Yes,No
7/24/2019 11:22:32,DATMON0020150114eb1c003gl,No,,,,,
7/24/2019 11:22:40,PHBW000020150612eb6f00037,Yes,Available to consumers (has been launched on the market),guanfacine,teva,No,Yes
7/24/2019 11:22:49,DJDN000020150805eb85003sc ,No,,,,,
7/24/2019 11:22:58,PCWI000020150815eb8f0002y,Yes,Unsure,OxyContin,Purdue Pharma,Unsure,Unsure
7/24/2019 11:23:00,HAMW000020150130eb26001ab,Yes,Undergoing clinical trials,ThermoDox,Celsion,Unsure,Unsure
7/24/2019 11:23:09,LFSW000020150130eb23001n2,No,Undergoing clinical trials,,,No,No
7/24/2019 11:23:09,STLBJO0020150611eb6b0002w,Yes,Undergoing clinical trials,No name yet,NeuroLutions,Unsure,Unsure
7/24/2019 11:23:17,PRGRSS0020150725eb7p0001h,Unsure,,,,,
7/24/2019 11:23:18,BIWK000020150909eb99000fr,No,,,,,
7/24/2019 11:23:36,RTTNEW0020151027ebar001ur,Yes,Undergoing clinical trials,"KEYTRUDA, Fovista, IV Meloxicam, YELIVA ","Merck, Ophthotech Corp., Recro Pharma Inc., RedHill Biopharma Ltd.'s",Unsure,Unsure
7/24/2019 11:23:51,PZON000020150630eb6u0003c,No,,,,,
7/24/2019 11:23:55,HAMW000020150820eb8k000bg,No,,,Hollister Incorporated,,
7/24/2019 11:24:01,MPRMPR0020150929eb9s0000b,,Approved by FDA and scheduled to be launched,Betaconnect autoinjector,Bayer,Yes,Unsure
7/24/2019 11:24:11,DJDN000020150331eb3v003pl ,No,,,,,
7/24/2019 11:24:12,DJDN000020150108eb18001mg,Yes,Unsure,"Tri-Moxi, Pred-Moxi",Imprimis Pharmaceuticals Inc.,Yes,No
7/24/2019 11:24:12,WSJO000020151215ebcf003s7,No,,,,,
7/24/2019 11:24:19,BWR0000020151019ebaj000g3,Yes,FDA application submission and/or FDA testing,Cotempla XR-ODT,Neos Therapeutics,Unsure,Unsure
7/24/2019 11:24:23,DJDN000020150713eb7d0021i,No,,,,,
7/24/2019 11:24:37,INDFED0020150805eb850020a,Unsure,Unsure,CoolSculpting System,ZELTIQ Aesthetics Inc.,Unsure,Unsure
7/24/2019 11:24:40, HTACCF0020150319eb3j000a1,No,,,,,
7/24/2019 11:24:41,PZON000020150803eb830005r,No,,,,,
7/24/2019 11:24:50,CTRW000020150529eb6100017,No,,,,,
7/24/2019 11:24:51,BNZNGA0020150610eb6a000jh,Unsure,Available to consumers (has been launched on the market),"Praluent, Repatha ","Regeron, Sanofi, Amgen",Unsure,Unsure
7/24/2019 11:24:53,MRKWN00020151106ebb60006x,No,,,,,
7/24/2019 11:24:58,KHALEJ0020151106ebb50005q,Yes,Approved by FDA and scheduled to be launched,Phentolamine,Hikma,No,Yes
7/24/2019 11:25:03,ALRAQNEG20151001eb9u0002u,No,,,,,
7/24/2019 11:25:12,BHLD000020150518eb5d00011,Yes,FDA application submission and/or FDA testing,Orkambi,Vertex,Unsure,Unsure
7/24/2019 11:25:14,MPRMPR0020150929eb9s0000b ,No,,,,,
7/24/2019 11:25:20,BTBW000020150206eb290001v,No,,,,,
7/24/2019 11:25:32,DJDN000020151104ebb400426,No,,,,,
7/24/2019 11:25:32,ATPHAM0020150902eb910008k,No,,,,,
7/24/2019 11:25:50,HAMW000020150213eb2k00405,No,,,,,
7/24/2019 11:25:52,CCT0000020150520eb5i0000a,Yes,Undergoing clinical trials,Glaxo vaccine,Merck ,Yes,No
7/24/2019 11:25:55,DJDN000020151005eba5001ap,No,,,,,
7/24/2019 11:26:15,OBWK000020150730eb7u001j0,Unsure,Undergoing clinical trials,N/A,UQ's Institute for Molecular Bioscience (IMB),Unsure,Unsure
7/24/2019 11:26:16,KRTDR00020150715eb7f0005l,No,,,,,
7/24/2019 11:26:39,ENPNEW0020150914eb9e00078,Yes,Available to consumers (has been launched on the market),DaTscan,GE Healthcare,Yes,Yes
7/24/2019 11:26:51,MAWK000020150102eb1500004,No,,,,,
7/24/2019 11:26:54,BNZNGA0020150326eb3q0005m,No,,,,,
7/24/2019 11:26:55,CTRW000020150619eb6m000g9,No,,,,,
7/24/2019 11:26:59,LONGNJ0020151117ebbg0002w,No,,,,,
7/24/2019 11:27:13,PZON000020150917eb9h0002q ,Yes,Available to consumers (has been launched on the market),QSpex blu-bloQ,QSpex,Unsure,Unsure
7/24/2019 11:27:19,DJDN000020150707eb77002sk,No,,,,,
7/24/2019 11:27:22,NCIW000020150515eb5j00055 ,No,,,,,
7/24/2019 11:27:29,BHLD000020151023eban0003h,Yes,Undergoing clinical trials,,Dana Farber's gastrointestinal cancer center,Yes,No
7/24/2019 11:27:32,GLOMCP0020151105ebb500ky4,No,,,,,
7/24/2019 11:27:33,ATPHAB0020151019ebaj00036,No,,,,,
7/24/2019 11:27:36,BOSBJO0020150508eb580002u,Yes,FDA application submission and/or FDA testing,lumacaftor and Kalydeco,Vertex,Yes,No
7/24/2019 11:27:37,NCIW000020150709eb79000dw,Unsure,Unsure,Formula I,,Unsure,Unsure
7/24/2019 11:27:49,GRAY000020150901eb910002v,Yes,Approved by FDA but not scheduled to be launched,,Augment,Yes,No
7/24/2019 11:28:06,CTRW000020150424eb4r000ga,No,,,,,
7/24/2019 11:28:09,LBA0000020151106ebb600nel,Unsure,,,,,
7/24/2019 11:28:13,ECTDEL0020151027ebar0000r,Yes,Undergoing clinical trials,"no name - new generic drugs, marketed products, pipeline products",Cipla,No,Unsure
7/24/2019 11:28:15,OBWK000020150522eb5u000dt,No,,,,,
7/24/2019 11:28:20,ATPHAM0020151030ebat0006f,No,,,,,
7/24/2019 11:28:30,PBRELS0020150601eb5p00002,No,,,,,
7/24/2019 11:28:34,KRTLM00020150927eb9r00002,No,,,,,
7/24/2019 11:28:55,INDFED0020150805eb850020a,No,,,,,
7/24/2019 11:28:57,BWR0000020151030ebau0000k ,Yes,Approved by FDA and scheduled to be launched,"Utibron Neohaler, Seebri Neohaler",Sosei Group Corporation,Yes,No
7/24/2019 11:29:08,NEWSTMES20150806eb750003a,No,,,,,
7/24/2019 11:29:16,ATPHAM0020151030ebat0006f,No,,,,,
7/24/2019 11:29:17,MHWK000020150612eb6f0001v,Yes,Available to consumers (has been launched on the market),"Guanfacine,",Teva Pharmaceutical Industries,No,Yes
7/24/2019 11:29:32,DRGW000020150417eb4o000f5,No,,,,,
7/24/2019 11:29:37,MHWK000020150612eb6f0001v,Yes,Unsure,INTUNIV(R),North America Generic Medicines,Unsure,Yes
7/24/2019 11:29:46,HAMW000020150130eb26001ab,No,Available to consumers (has been launched on the market),,,No,Yes
7/24/2019 11:29:47,BIWK000020150612eb6h00021,No,,,,,
7/24/2019 11:29:53,HAMW000020150529eb65001p3 ,Yes,Undergoing clinical trials,SB010,,Unsure,Unsure
7/24/2019 11:30:04,SFBJO00020150408eb4700001,Yes,Undergoing clinical trials,F/TAF,"Gilead, Janssen Sciences Ireland UC",Yes,No
7/24/2019 11:30:04,RTTNEW0020151130ebbu00461,No,,,,,
7/24/2019 11:30:08,ENPNEW0020150914eb9e00078,Yes,Approved by FDA and scheduled to be launched,DaTscan,GE Healthcare,Yes,Yes
7/24/2019 11:30:11,CTRW000020150109eb1c000bj,Unsure,Undergoing clinical trials,Adaptive CRT Algorithm,Harvard School of Medicine,Yes,No
7/24/2019 11:30:13,GRAY000020150901eb910002v,Yes,FDA application submission and/or FDA testing,human bone morphogenetic protein,"BioMimetic Therapeutics Inc., Medtronic",No,Unsure
7/24/2019 11:30:17,DJDN000020150123eb1n002vd,No,,,,,
7/24/2019 11:30:22,PHBW000020150709eb790000o,No,,,,,
7/24/2019 11:30:23,ATPHAM0020150115eb1e000eq ,Yes,Approved by FDA and scheduled to be launched,Maestro System and VBLOC Therapy ,EnteroMedics Inc.,Yes,No
7/24/2019 11:30:24,ATPHAM0020150206eb24000eq,No,,,,,
7/24/2019 11:30:37,ATPHAM0020151023ebal000bg,No,,,,,
7/24/2019 11:30:46,MTPW000020150911eb9a001xj,No,,,,,
7/24/2019 11:30:54,WSJO000020151216ebcg000p3,No,,,,,
7/24/2019 11:31:03,UWIR000020151023eban000z2,No,,,,,
7/24/2019 11:31:08,MTPW000020151207ebc7004ph ,No,,,,,
7/24/2019 11:31:22,GLOMCP0020151103ebb30004l,Yes,Undergoing clinical trials,AZ-002,"Alexza Pharmaceuticals, Inc.",Yes,No
7/24/2019 11:31:22,DJDN000020151012ebac0001t,No,,,,,
7/24/2019 11:31:24,BWR0000020150305eb350006b,Yes,Approved by FDA and scheduled to be launched,Akynzeo ,,Yes,Yes
7/24/2019 11:31:25,NBPPBS0020151217ebci001lp,No,,,,,
7/24/2019 11:31:25,ATPHAM0020150115eb1c0008g,No,,,,,
7/24/2019 11:31:30,WSJO000020151215ebcf003s7,No,Unsure,,,No,Unsure
7/24/2019 11:31:50,MPRMPR0020150401eb3v00006,Yes,Approved by FDA but not scheduled to be launched,Movantic,Nektar Therapeutics,No,Unsure
7/24/2019 11:31:59,DJDN000020150604eb64003sw,Yes,Approved by FDA but not scheduled to be launched,Flibanserin,,No,No
7/24/2019 11:32:01,CTRW000020150626eb6t000a0,No,,,,,
7/24/2019 11:32:09,DRGW000020150417eb4o000f5,No,,,,,
7/24/2019 11:32:17,ATPHAB0020150415eb4f0005n ,Yes,Approved by FDA but not scheduled to be launched,Cefixime,,No,Unsure
7/24/2019 11:32:19,APRS000020151119ebbj00acv,No,,,,,
7/24/2019 11:32:21,DJDN000020150609eb69001qd,Yes,Available to consumers (has been launched on the market),AccuPoint(R) ATP Hygiene Monitoring System,Neogen ,Yes,No
7/24/2019 11:32:29,DJDN000020150430eb4u0027o,No,,,,,
7/24/2019 11:32:33,WSJO000020150612eb6c008et,No,,,,,
7/24/2019 11:32:34,DJDN000020150707eb77002sk,No,,,,,
7/24/2019 11:32:39,BIOELSE020150831eb8o0000e,Yes,Undergoing clinical trials,,Epizyme,Unsure,Unsure
7/24/2019 11:33:00,MDST000020151120ebbk0001r,Yes,Available to consumers (has been launched on the market),EMPOWR 3D Knee,DJO Global,Yes,Yes
7/24/2019 11:33:15,DRIDY00020150623eb6n00002,Yes,Available to consumers (has been launched on the market),Fycompa,Eisai,Unsure,Unsure
7/24/2019 11:33:18,MDST000020150529eb67000iw,Yes,Undergoing clinical trials,Lithoplasty(R) System ,Shockwave Medical ,Unsure,Unsure
7/24/2019 11:33:28,SEPI000020150113eb1c0000g,Yes,Undergoing clinical trials,SGM-1019,Second Genome,Unsure,Unsure
7/24/2019 11:33:36,PZON000020150402eb420000l,No,,,,,
7/24/2019 11:33:40,CTRW000020150501eb54000m3,Unsure,Unsure,,,,
7/24/2019 11:33:41,AMHL000020150513eb5d00005,Yes,Undergoing clinical trials,Cimavax,Center for Molecular Immunology,Yes,Unsure
7/24/2019 11:33:43,DJDN000020150806eb86003ei,No,,,,,
7/24/2019 11:33:46,PZON000020150917eb9h0002q,No,Unsure,,,No,Yes
7/24/2019 11:33:48,RAUNEW0020150406eb4300003,Yes,Undergoing clinical trials,SpaceOAR ,Augmenix,Unsure,Unsure
7/24/2019 11:33:50,HAMW000020150508eb5f0049t,Yes,Unsure,lactobacillus acidophilus and lactobacillus bulgaricus,Becton Dickinson,Unsure,Unsure
7/24/2019 11:33:50,PHBW000020150709eb790000o,No,,,,,
7/24/2019 11:34:01,ATPHAM0020150515eb5e0007f,No,,,,,
7/24/2019 11:34:04,RTTNEW0020151130ebbu00461,Yes,Available to consumers (has been launched on the market),Proclaim Elite SCS system,St. Jude Medical,Unsure,Unsure
7/24/2019 11:34:06,DTMNTR0020150616eb6f0004l ,Yes,Unsure,Precision Novi SCS System,Boston Scientific,Yes,No
7/24/2019 11:34:19,CHPR000020150713eb770001c,No,,,,,
7/24/2019 11:34:24,DJDN000020150812eb8c001oy ,Yes,Undergoing clinical trials,Thymosin beta 4,RegeneRx Biopharmaceuticals Inc,Yes,No
7/24/2019 11:34:31,ATPHAM0020150515eb5e0007f,No,,,,,
7/24/2019 11:34:36,RDFN000020150718eb7e0001q,Yes,FDA application submission and/or FDA testing,Cabozantinib,Dana-Farber Cancer Institute,Yes,No
7/24/2019 11:34:43,STHST00020160410ebcd004eb,Yes,Approved by FDA and scheduled to be launched,Alecensa,Pfizer,Yes,Yes
7/24/2019 11:34:56,DJDN000020150520eb5k00188,No,,,,,
7/24/2019 11:35:08,ATPHAM0020150121eb1l000e1,No,,,,,
7/24/2019 11:35:09,GLOMCP0020150730eb7u004vk ,,,,"Joyant Pharmaceuticals, Sanderling Ventures, ",No,
7/24/2019 11:35:21,JACBJO0020151023eban00005,No,,,,,
7/24/2019 11:35:38,PZON000020151103ebb300021,Yes,Undergoing clinical trials,OTIPRIO,Otonomy,Yes,No
7/24/2019 11:35:41,DRGW000020151127ebbr0002q,No,,,,,
7/24/2019 11:35:45,DJDN000020151012ebac0024y,No,,,,,
7/24/2019 11:35:46,GLOMCP0020151112ebbc001dj,No,,,,,
7/24/2019 11:35:50,MTPW000020150330eb3u0066b,Yes,Undergoing clinical trials,Medtronic CoreValve system ,Medtronic,Yes,No
7/24/2019 11:35:57,OKLD000020151215ebc9000b6,Yes,Available to consumers (has been launched on the market),whole-body cryotherapy,The Performist,No,Yes
7/24/2019 11:35:57,FNWIR00020150618eb6i000mc,Yes,Approved by FDA and scheduled to be launched,SAPIEN 3,,Yes,Yes
7/24/2019 11:35:59,POLGOV0020150320eb3q002jy,No,,,,,
7/24/2019 11:36:01,MDST000020151120ebbk0001r,Yes,Available to consumers (has been launched on the market),"EMPOWR 3D Knee(TM), EMPOWR 3D Knee, 3DKnee(TM), 3DKnee",DJO Surgical,Unsure,Unsure
7/24/2019 11:36:04,CTRW000020150306eb39000ad ,No,,,,,
7/24/2019 11:36:06,BWR0000020150609eb69000gh,No,,,,,
7/24/2019 11:36:11,DJDN000020151214ebce001wg,No,,,,,
7/24/2019 11:36:12,DJDN000020150512eb5c002r8,No,,,,,
7/24/2019 11:36:13,ATPHAM0020150627eb6p00093,No,,,,,
7/24/2019 11:36:29,ATPHAM0020150602eb5t00030,No,,,,,
7/24/2019 11:36:32,HNFRDSNT20150502eb35000qq,Yes,Available to consumers (has been launched on the market),contrave,,Unsure,Yes
7/24/2019 11:36:36,NANLEB0020150807eb85000q2,Yes,Available to consumers (has been launched on the market),Ovation iX ,"TriVascular Technologies, Inc",Yes,Yes
7/24/2019 11:36:44,BNZNGA0020150326eb3q0005m,No,,,,,
7/24/2019 11:36:46,DRGW000020150619eb6q00057 ,No,,,,,
7/24/2019 11:36:52,DJDN000020150310eb3a000ok,No,,,,,
7/24/2019 11:36:53,HAMW000020150529eb65001p3,Yes,Undergoing clinical trials,SB010,,Yes,No
7/24/2019 11:36:58,ECTDEL0020151027ebar0000r,No,,,,,
7/24/2019 11:37:01,PHBW000020150612eb6f00037,Yes,Unsure,Guanfacine extended-release tablets,Teva Pharmaceutical Industries Ltd.,No,Unsure
7/24/2019 11:37:03,PZON000020150630eb6u0003c,No,,,,,
7/24/2019 11:37:27,HAMW000020150306eb3d0029j,No,,,,,
7/24/2019 11:37:29,ATPHAM0020151112ebba0005o ,Yes,Available to consumers (has been launched on the market),PRX302 ,,Unsure,Yes
7/24/2019 11:37:35,HAMW000020150723eb7n000ai ,No,,,,,
7/24/2019 11:37:38,LBA0000020150814eb8e00dej,No,,,,,
7/24/2019 11:37:38,HAMW000020151002eba20010j,Unsure,Unsure,,Diagnostics Operations,No,No
7/24/2019 11:37:55,DJDN000020150812eb8c001oy,Yes,Undergoing clinical trials,"Thymosin beta 4, RGN-259","RegeneRx Biopharmaceuticals Inc
",Yes,No
7/24/2019 11:38:00,APRS000020151116ebbg00a3k,No,,,,,
7/24/2019 11:38:04,MTPW000020150911eb9a001xj,No,,,,,
7/24/2019 11:38:13,DEALNEW020150316eb390000a,No,,,,,
7/24/2019 11:38:15,ATPHAM0020150831eb8u000bn,No,,,,,
7/24/2019 11:38:42,JNWP000020150325eb3p0000f ,No,,,,,
7/24/2019 11:38:47,ATPHAM0020150115eb1e000eq,Yes,Approved by FDA and scheduled to be launched,Maestro System,EnteroMedics,Yes,No
7/24/2019 11:39:04,LFSW000020150213eb2h0034x,Unsure,Unsure,,,Unsure,Unsure
7/24/2019 11:39:18,WDAN000020150828eb8s0001w,Yes,Approved by FDA and scheduled to be launched,Synjardy ,,Yes,No
7/24/2019 11:39:32,BOSBJO0020150319eb3j0008e,Yes,FDA application submission and/or FDA testing,remicade,Epirus,No,Yes
7/24/2019 11:39:32,ATPHAM0020150521eb5j0003c,No,,,,,
7/24/2019 11:39:35,ATPHAB0020150415eb4f0005n,Yes,Available to consumers (has been launched on the market),Cefixime,,No,No
7/24/2019 11:39:37,MPRMPR0020150903eb9200006,Yes,Undergoing clinical trials,Simponi Aria,,Unsure,Unsure
7/24/2019 11:39:38,BSFLVO0020151030ebau0005m ,Yes,,IMLYGIC,Amgen,Yes,Yes
7/24/2019 11:39:39,SEPI000020150113eb1c0000g,Yes,Undergoing clinical trials,SGM-1019,Second Genome,Unsure,Yes
7/24/2019 11:39:48,DJDN000020150728eb7s002si,Yes,Unsure,Senza(R) SCS system,Nevro,Yes,No
7/24/2019 11:40:01,PBRELS0020150424eb4l00001,No,,,,,
7/24/2019 11:40:11,GNVL000020160213ebbo000hp,No,,,,,
7/24/2019 11:40:12,APRS000020150513eb5d00d72,No,,,,,
7/24/2019 11:40:16,DJDN000020151228ebcs00258 ,No,,,,,
7/24/2019 11:40:20,DJDN000020150311eb3b004c0,Yes,FDA application submission and/or FDA testing,Nuplazid,Acadia ,Yes,Yes
7/24/2019 11:40:36,DJDN000020151102ebb2001w5,No,,,,,
7/24/2019 11:40:37,GLOMCP0020151218ebci00i2y,No,,,,,
7/24/2019 11:40:39,FREG000020151222ebcm00023,Yes,Unsure,na,na,Unsure,Unsure
7/24/2019 11:40:40,ATPHAM0020150701eb6u0009g,Yes,Unsure,Cogenzia,Innocoll,Yes,No
7/24/2019 11:40:43,KUWNA00020151215ebce000b8,Yes,Available to consumers (has been launched on the market),NINLARO ,Takeda Oncology,Yes,No
7/24/2019 11:40:54,PHBW000020150619eb6m000ho,No,Unsure,,,,
7/24/2019 11:40:58,WSJO000020151216ebcg000p3,No,,,,,
7/24/2019 11:41:04,CHEMEC0020150515eb5m0002h ,No,,,,,
7/24/2019 11:41:05,PRESSA0020150727eb7r003mm,Yes,Undergoing clinical trials,MANTA 18F,Essential Medical Inc.,Yes,No
7/24/2019 11:41:22,DJDN000020151012ebac0024y,No,,,,,
7/24/2019 11:41:26,CHEMEC0020150501eb58002ae,No,,,,,
7/24/2019 11:41:26,BIOELSE020150903eb8s0001l,No,,,,,
7/24/2019 11:41:30,J000000020150819eb8j0002z,No,,,,,
7/24/2019 11:41:36,DJDN000020150105eb15001vz,No,,,,,
7/24/2019 11:41:37,BWR0000020150209eb290004b,Yes,FDA application submission and/or FDA testing,LJPC-501,La Jolla,Yes,No
7/24/2019 11:41:55,WPCOM00020150615eb6f007hj,No,,,,,
7/24/2019 11:41:57,MENAFI0020150527eb5q0002t,Yes,Approved by FDA and scheduled to be launched,dolutegravir,"Aurobindo Pharma,ViiV Healthcare,CHAI",No,Yes
7/24/2019 11:42:00,DJDN000020150812eb8c001oy,Yes,Undergoing clinical trials,RGN-259,RegeneRx Biopharmaceuticals Inc,Yes,No
7/24/2019 11:42:00,NAIRAQ0020150924eb9n0008h,No,,,,,
7/24/2019 11:42:02,DJDN000020150805eb85003sc,No,,,,,
7/24/2019 11:42:12,NBPPBS0020150508eb5900043,No,,,,,
7/24/2019 11:42:15,ATPHAM0020150602eb5t00030,No,,,,,
7/24/2019 11:42:21,DJDN000020150728eb7s002si,Yes,Approved by FDA and scheduled to be launched,Senza(R) SCS system,Nevro Corporation,Yes,Yes
7/24/2019 11:42:23,INDFED0020150826eb8q001nj,No,,,,,
7/24/2019 11:42:26,STLBJO0020150618eb6i00002,No,,,,,
7/24/2019 11:42:43,ATPHAM0020150303eb320005r ,Yes,Unsure,"Depofoam, EXPAREL","EXPAREL, Pacira Pharmaceuticals ",Yes,Unsure
7/24/2019 11:42:48,DJDN000020151209ebc9002np,No,,,,,
7/24/2019 11:42:53, MPRMPR0020150929eb9s0000b,Yes,Approved by FDA and scheduled to be launched,Betaconnect autoinjector,Bayer,Yes,Yes
7/24/2019 11:43:00,JNWP000020150325eb3p0000f,No,Unsure,,,Unsure,Unsure
7/24/2019 11:43:05,DJDN000020150116eb1g002ak,No,,,,,
7/24/2019 11:43:07,HNASNI0020150805eb85000rx,Yes,Approved by FDA but not scheduled to be launched,ZipDose,Aprecia,Yes,No
7/24/2019 11:43:12,PHBW000020150123eb1q0000g,Yes,Available to consumers (has been launched on the market),Tarina Fe 1/20,Afaxys,Unsure,Unsure
7/24/2019 11:43:13,CHPR000020150916eb990001v,No,,,,,
7/24/2019 11:43:15,MTPW000020150330eb3u0066b ,Yes,,CoreValve system,Medtronic ,Yes,No
7/24/2019 11:43:17,OBWK000020150619eb6r001es,No,,,,,
7/24/2019 11:43:24,RTWK000020150501eb540003w,No,,,,,
7/24/2019 11:43:42,DJDN000020151214ebce001wg,No,,,,,
7/24/2019 11:43:47,MTEU000020150107eb17000gr ,No,,,,,
7/24/2019 11:43:51,CHPR000020150819eb8b0001n,No,,,,,
7/24/2019 11:43:53, CTRW000020150501eb54000m3,No,,,,,
7/24/2019 11:43:59,GNVL000020160213ebbo000hp,No,Unsure,,,Unsure,Unsure
7/24/2019 11:44:02,FBCOM00020151027ebar000xh,Yes,Available to consumers (has been launched on the market),,Theranos,Unsure,Unsure
7/24/2019 11:44:10,FLYWAL0020150304eb340033j,No,,,,,
7/24/2019 11:44:26,APRS000020150401eb41008qa,No,,,,,
7/24/2019 11:44:40,JORTI00020150626eb6q0008i,Yes,FDA application submission and/or FDA testing,antimicrobial coated stents,,Unsure,Unsure
7/24/2019 11:45:07,POLGOV0020150313eb3j001nc,Unsure,Unsure,,,Unsure,Unsure
7/24/2019 11:45:51,ATPHAM0020150518eb5d0003g ,Yes,Undergoing clinical trials,NEOD001,,Unsure,Unsure
7/24/2019 11:45:51,CHEMEC0020151225ebcp000sm ,No,,,,,
7/24/2019 11:46:11,BIWK000020150109eb1e001cc,No,,,,,
7/24/2019 11:46:20,BIOELSE020151117ebb90001r,Yes,Undergoing clinical trials,STELLAR (Safety and Therapeutic Efficacy of Live-attenuated Listeria/GVAX with Anti-PD1 Regimen),Aduro,Unsure,Unsure
7/24/2019 11:46:24,DRGW000020150619eb6q00057,Unsure,Undergoing clinical trials,MMV665852,,Unsure,Unsure
7/24/2019 11:46:24,ATPHAM0020150724eb7n0006d,No,,,,,
7/24/2019 11:46:25,LBA0000020151208ebc800rby,Yes,Approved by FDA but not scheduled to be launched,"Vonvendi, Kanuma"," Baxalta Inc's, Alexion Pharmaceutical Inc's",Yes,Yes
7/24/2019 11:46:28,KHALEJ0020151106ebb50005q,Yes,Approved by FDA and scheduled to be launched,Phentolamine,Hikma,Yes,No
