"","full_address","must_inc_number_address","bedrooms","bathrooms","sqft","text","source"
"23","1482 130TH ST, DRAYTON, MN, 58225","""1482"" 130TH ST, DRAYTON, MN, 58225",NA,NA,NA,NA,NA
"24","1290 160TH AVE, DRAYTON, MN, 58225","""1290"" 160TH AVE, DRAYTON, MN, 58225",NA,NA,NA,NA,NA
"25","1270 160TH AVE, , MN,","""1270"" 160TH AVE, , MN,",NA,NA,NA,NA,NA
"26","1392 170TH AVE, DRAYTON, MN, 58225","""1392"" 170TH AVE, DRAYTON, MN, 58225",NA,NA,NA,"1392 170th Ave, Drayton, ND 58225 - Zillowwww.zillow.com › ... › Kittson County › Drayton › 582251392 170th Ave, Drayton, ND 58225 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property. This home was built in null and ...","zillow"
"27","1722 130TH ST, DRAYTON, MN, 58225","""1722"" 130TH ST, DRAYTON, MN, 58225",NA,NA,NA,NA,NA
"28","1210 160TH AVE, DRAYTON, MN, 58225","""1210"" 160TH AVE, DRAYTON, MN, 58225",NA,NA,NA,NA,NA
"29","1210 160TH AVE, DRAYTON, MN, 58225","""1210"" 160TH AVE, DRAYTON, MN, 58225",NA,NA,NA,NA,NA
"30","1741 130TH ST, DRAYTON, MN, 58225","""1741"" 130TH ST, DRAYTON, MN, 58225",NA,NA,NA,NA,NA
"31","1242 180TH AVE, DRAYTON, MN, 58225","""1242"" 180TH AVE, DRAYTON, MN, 58225",NA,NA,NA,NA,NA
"32","1194 140TH AVE, DRAYTON, MN, 58225","""1194"" 140TH AVE, DRAYTON, MN, 58225",NA,NA,NA,NA,NA
"33","1062 150TH AVE, DRAYTON, MN, 58225","""1062"" 150TH AVE, DRAYTON, MN, 58225",NA,NA,NA,NA,NA
"34","1248 180TH AVE, DRAYTON, MN, 58225","""1248"" 180TH AVE, DRAYTON, MN, 58225",NA,NA,NA,NA,NA
"35","1461 STATE HIGHWAY 11, DRAYTON, MN, 58225","""1461"" STATE HIGHWAY 11, DRAYTON, MN, 58225",NA,NA,NA,NA,NA
"36","1365 150TH AVE, DRAYTON, MN, 58225","""1365"" 150TH AVE, DRAYTON, MN, 58225",NA,NA,NA,"1365 150th Ave, Drayton, ND 58225 - Zillowwww.zillow.com › ... › Kittson County › Drayton › 582251365 150th Ave, Drayton, ND 58225 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property. This home was built in null and ...","zillow"
"37","1561 110TH ST, DRAYTON, MN, 58225","""1561"" 110TH ST, DRAYTON, MN, 58225",NA,NA,NA,"1561 110th St, Drayton, ND 58225 - Zillowwww.zillow.com › ... › Kittson County › Drayton › 582251561 110th St, Drayton, ND 58225 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property. This home was built in null and ...È±ÉÙ×Ö´Ê£º  MN, | ±ØÐë°üº¬£ºMN,","zillow"
"38","1464 110TH ST, DRAYTON, MN, 58225","""1464"" 110TH ST, DRAYTON, MN, 58225",NA,NA,NA,NA,NA
"39","1445 110TH ST, DRAYTON, MN, 58225","""1445"" 110TH ST, DRAYTON, MN, 58225",NA,NA,NA,NA,NA
"40","1455 STATE HIGHWAY 11, DRAYTON, MN, 58225","""1455"" STATE HIGHWAY 11, DRAYTON, MN, 58225",NA,NA,NA,NA,NA
"41","1144 140TH AVE, DRAYTON, MN, 58225","""1144"" 140TH AVE, DRAYTON, MN, 58225",NA,NA,NA,"1144 140th Ave, Drayton, ND 58225 | Zillowwww.zillow.com › ... › Kittson County › Drayton › 582251144 140th Ave, Drayton, ND 58225 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property. This home was built in null and ...","zillow"
"42","1062 150TH AVE, DRAYTON, MN, 58225","""1062"" 150TH AVE, DRAYTON, MN, 58225",NA,NA,NA,NA,NA
"43","1035 STATE HIGHWAY 220, DRAYTON, MN, 58225","""1035"" STATE HIGHWAY 220, DRAYTON, MN, 58225",NA,NA,NA,NA,NA
"44","1653 110TH ST, DRAYTON, MN, 58225","""1653"" 110TH ST, DRAYTON, MN, 58225",NA,NA,NA,"1653 110th St, Drayton, ND 58225 - Zillowwww.zillow.com › ... › Kittson County › Drayton › 582251653 110th St, Drayton, ND 58225 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property. This home was built in null and ...","zillow"
"45","1030 STATE HIGHWAY 220, STEPHEN, MN, 56757","""1030"" STATE HIGHWAY 220, STEPHEN, MN, 56757",NA,NA,NA,"1030 State Highway 220, Stephen, MN 56757 - Realtor.comwww.realtor.com › ... › Marshall County › Stephen › State Highway 220View detailed information about property 1030 State Highway 220, Stephen, MN 56757 including listing details, property photos, school and neighborhood data, ...","realtor"
"46","27069 440TH AVE NW, ALVARADO, MN, 56710","""27069"" 440TH AVE NW, ALVARADO, MN, 56710",NA,NA,"1,568","27069 440th Ave NW, Alvarado, MN 56710 | realtor.com®www.realtor.com › Minnesota › Marshall County › Alvarado › 440th Ave27069 440th Ave NW, is a single family home, at 1,568 sqft. This home is currently not for sale, but it was last sold for $168K in 2012.","realtor"
"47","44870 240TH ST NW, ALVARADO, MN, 56710","""44870"" 240TH ST NW, ALVARADO, MN, 56710",NA,NA,NA,"44870 240th St NW, Alvarado, MN 56710 | Zillowwww.zillow.com › Minnesota › Marshall County › Alvarado › 5671044870 240th St NW, Alvarado, MN 56710 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property. This home was built in null ...","zillow"
"48","44458 240TH ST NW, ALVARADO, MN, 56710","""44458"" 240TH ST NW, ALVARADO, MN, 56710",NA,NA,NA,NA,NA
"49","43598 240TH ST NW, ALVARADO, MN, 56710","""43598"" 240TH ST NW, ALVARADO, MN, 56710","5","3","2670","43598 240th St NW, Alvarado, MN 56710 | Zillowwww.zillow.com › Minnesota › Marshall County › Alvarado › 5671043598 240th St NW, Alvarado, MN 56710 is currently not for sale. The 2670 Square Feet single family home is a 5 beds, 3 baths property.","zillow"
"50","27142 420TH AVE NW, WARREN, MN, 56762","""27142"" 420TH AVE NW, WARREN, MN, 56762",NA,NA,NA,"27142 420th Ave NW, Warren, MN 56762 - Zillowwww.zillow.com › Minnesota › Marshall County › Warren › 5676227142 420th Ave NW, Warren, MN 56762 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property. This home was built in 2003 ...","zillow"
"51","41178 260TH ST NW, WARREN, MN, 56762","""41178"" 260TH ST NW, WARREN, MN, 56762",NA,NA,NA,NA,NA
"52","26787 430TH AVE NW, WARREN, MN, 56762","""26787"" 430TH AVE NW, WARREN, MN, 56762",NA,NA,NA,NA,NA
"53","26904 440TH AVE NW, ALVARADO, MN, 56710","""26904"" 440TH AVE NW, ALVARADO, MN, 56710",NA,NA,NA,"26904 440th Ave NW, Alvarado, MN 56710 | Zillowwww.zillow.com › Minnesota › Marshall County › Alvarado › 5671026904 440th Ave NW, Alvarado, MN 56710 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property.","zillow"
"54","43240 240TH ST NW, ALVARADO, MN, 56710","""43240"" 240TH ST NW, ALVARADO, MN, 56710",NA,NA,NA,"43240 240th St NW, Alvarado, MN 56710 | Zillowwww.zillow.com › Minnesota › Marshall County › Alvarado › 5671043240 240th St NW, Alvarado, MN 56710 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property. This home was built in null ...","zillow"
"55","24623 420TH AVE NW, WARREN, MN, 56762","""24623"" 420TH AVE NW, WARREN, MN, 56762","2","1","2112","24623 420th Ave NW, Warren, MN 56762 - Zillowwww.zillow.com › Minnesota › Marshall County › Warren › 5676224623 420th Ave NW, Warren, MN 56762 is currently not for sale. The 2112 Square Feet single family home is a 2 beds, 1 bath property.","zillow"
"56","27346 440TH AVE NW, ALVARADO, MN, 56710","""27346"" 440TH AVE NW, ALVARADO, MN, 56710",NA,NA,NA,NA,NA
"57","27703 440TH AVE NW, ALVARADO, MN, 56710","""27703"" 440TH AVE NW, ALVARADO, MN, 56710",NA,NA,NA,"27703 440th Ave NW, Alvarado, MN 56710 | Zillowwww.zillow.com › For Sale › Minnesota › Marshall County › Alvarado27703 440th Ave NW, Alvarado, MN 56710 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property.","zillow"
"58","43868 260TH ST NW, ALVARADO, MN, 56710","""43868"" 260TH ST NW, ALVARADO, MN, 56710","4","2","2360","43868 260th St NW, Alvarado, MN 56710 | Zillowwww.zillow.com › Minnesota › Marshall County › Warren › 5671043868 260th St NW, Alvarado, MN 56710 is currently not for sale. The 2360 Square Feet single family home is a 4 beds, 2 baths property.","zillow"
"59","26817 420TH AVE NW, WARREN, MN, 56762","""26817"" 420TH AVE NW, WARREN, MN, 56762",NA,NA,NA,"26817 420th Ave NW, Warren, MN 56762 | Zillowwww.zillow.com › Minnesota › Marshall County › Warren › 5676226817 420th Ave NW, Warren, MN 56762 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property. This home was built in null ...","zillow"
"60","26798 430TH AVE NW, WARREN, MN, 56762","""26798"" 430TH AVE NW, WARREN, MN, 56762","3","1","1824","26798 430th Ave NW, Warren, MN 56762 | Zillowwww.zillow.com › Minnesota › Marshall County › Warren › 5676226798 430th Ave NW, Warren, MN 56762 is currently not for sale. The 1824 Square Feet single family home is a 3 beds, 1 bath property.","zillow"
"61","26214 450TH AVE NW, ALVARADO, MN, 56710","""26214"" 450TH AVE NW, ALVARADO, MN, 56710",NA,NA,NA,"26214 450th Ave NW, Alvarado, MN 56710 | Zillowwww.zillow.com › Minnesota › Marshall County › Alvarado › 5671026214 450th Ave NW, Alvarado, MN 56710 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property.","zillow"
"62","9TH ST S, , MN,","""9TH"" ST S, , MN,",NA,NA,NA,NA,NA
"63","25127 440TH AVE NW, ALVARADO, MN, 56710","""25127"" 440TH AVE NW, ALVARADO, MN, 56710",NA,NA,NA,NA,NA
"64","44734 240TH ST NW, ALVARADO, MN, 56710","""44734"" 240TH ST NW, ALVARADO, MN, 56710",NA,NA,NA,"44734 240th St NW, Alvarado, MN 56710 | Zillowwww.zillow.com › For Sale › Minnesota › Marshall County › Alvarado44734 240th St NW, Alvarado, MN 56710 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property. This home was built in null ...","zillow"
"65","25272 420TH AVE NW, ALVARADO, MN, 56710","""25272"" 420TH AVE NW, ALVARADO, MN, 56710",NA,NA,NA,"25272 420th Ave NW, Alvarado, MN 56710 | Zillowwww.zillow.com › Minnesota › Marshall County › Warren › 5671025272 420th Ave NW, Alvarado, MN 56710 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property.","zillow"
"66","25219 420TH AVE NW, WARREN, MN, 56762","""25219"" 420TH AVE NW, WARREN, MN, 56762","4","3","3016","25219 420th Ave NW, Warren, MN 56762 | Zillowwww.zillow.com › Minnesota › Marshall County › Warren › 5676225219 420th Ave NW, Warren, MN 56762 is currently not for sale. The 3016 Square Feet single family home is a 4 beds, 3 baths property.","zillow"
"67","27498 410TH AVE NW, WARREN, MN, 56762","""27498"" 410TH AVE NW, WARREN, MN, 56762",NA,NA,NA,"27498 410th Ave NW, Warren, MN 56762 | Zillowwww.zillow.com › For Sale › Minnesota › Marshall County › Warren27498 410th Ave NW, Warren, MN 56762 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property. This home was built in null ...","zillow"
"68","42836 260TH ST NW, WARREN, MN, 56762","""42836"" 260TH ST NW, WARREN, MN, 56762",NA,NA,NA,NA,NA
"69","25379 430TH AVE NW, ALVARADO, MN, 56710","""25379"" 430TH AVE NW, ALVARADO, MN, 56710",NA,NA,NA,"25379 430th Ave NW, Alvarado, MN 56710 | Zillowwww.zillow.com › Minnesota › Marshall County › Alvarado › 5671025379 430th Ave NW, Alvarado, MN 56710 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property.","zillow"
"70","25907 440TH AVE NW, ALVARADO, MN, 56710","""25907"" 440TH AVE NW, ALVARADO, MN, 56710",NA,NA,NA,"25907 440th Ave NW, Alvarado, MN 56710 | Zillowwww.zillow.com › Minnesota › Marshall County › Alvarado › 5671025907 440th Ave NW, Alvarado, MN 56710 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property.","zillow"
"71","25915 420TH AVE NW, WARREN, MN, 56762","""25915"" 420TH AVE NW, WARREN, MN, 56762",NA,NA,"980","25915 420th Ave NW, Warren, MN 56762 - Zillowwww.zillow.com › Minnesota › Marshall County › Warren › 5676225915 420th Ave NW, Warren, MN 56762 is currently not for sale. The 980 Square Feet single family home is a -- beds, -- baths property.","zillow"
"72","44288 230TH ST NW, ALVARADO, MN, 56710","""44288"" 230TH ST NW, ALVARADO, MN, 56710",NA,NA,NA,NA,NA
"73","22924 450TH AVE NW, ALVARADO, MN, 56710","""22924"" 450TH AVE NW, ALVARADO, MN, 56710","2","1","1352","22924 450th Ave NW, Alvarado, MN 56710 | Zillowwww.zillow.com › Minnesota › Marshall County › Alvarado › 5671022924 450th Ave NW, Alvarado, MN 56710 is currently not for sale. The 1352 Square Feet single family home is a 2 beds, 1 bath property.","zillow"
"74","23688 430TH AVE NW, ALVARADO, MN, 56710","""23688"" 430TH AVE NW, ALVARADO, MN, 56710",NA,NA,NA,"23688 430th Ave NW, Alvarado, MN 56710 | Zillowwww.zillow.com › Minnesota › Marshall County › Warren › 5671023688 430th Ave NW, Alvarado, MN 56710 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property.","zillow"
"75","22222 450TH AVE NW, ALVARADO, MN, 56710","""22222"" 450TH AVE NW, ALVARADO, MN, 56710",NA,NA,NA,"22222 450th Ave NW, Alvarado, MN 56710 | Zillowwww.zillow.com › Minnesota › Marshall County › Alvarado › 5671022222 450th Ave NW, Alvarado, MN 56710 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property.","zillow"
"76","22232 450TH AVE NW, ALVARADO, MN, 56710","""22232"" 450TH AVE NW, ALVARADO, MN, 56710",NA,NA,NA,"22232 450th Ave NW, Alvarado, MN 56710 | Zillowwww.zillow.com › Minnesota › Marshall County › Alvarado › 5671022232 450th Ave NW, Alvarado, MN 56710 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property.","zillow"
"77","43424 230TH ST NW, ALVARADO, MN, 56710","""43424"" 230TH ST NW, ALVARADO, MN, 56710",NA,NA,"2162","43424 230th St NW, Alvarado, MN 56710 | Zillowwww.zillow.com › Minnesota › Marshall County › Alvarado › 5671043424 230th St NW, Alvarado, MN 56710 is currently not for sale. The 2162 Square Feet single family home is a -- beds, -- baths property.","zillow"
"78","44242 STATE HIGHWAY 1 NW, ALVARADO, MN, 56710","""44242"" STATE HIGHWAY 1 NW, ALVARADO, MN, 56710",NA,NA,NA,"44242 State Highway 1 NW, Alvarado, MN 56710 | Zillowwww.zillow.com › Minnesota › Marshall County › Alvarado › 5671044242 State Highway 1 NW, Alvarado, MN 56710 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property.","zillow"
"79","44266 STATE HIGHWAY 1 NW, ALVARADO, MN, 56710","""44266"" STATE HIGHWAY 1 NW, ALVARADO, MN, 56710",NA,NA,NA,"44266 State Highway 1 NW, Alvarado, MN 56710 | Zillowwww.zillow.com › ... › Marshall County › Alvarado › 5671044266 State Highway 1 NW, Alvarado, MN 56710 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property.","zillow"
"80","43978 STATE HIGHWAY 1 NW, ALVARADO, MN, 56710","""43978"" STATE HIGHWAY 1 NW, ALVARADO, MN, 56710",NA,NA,NA,NA,NA
"81","43390 STATE HIGHWAY 1 NW, ALVARADO, MN, 56710","""43390"" STATE HIGHWAY 1 NW, ALVARADO, MN, 56710",NA,NA,"1224","43390 State Highway 1 NW, Alvarado, MN 56710 | Zillowwww.zillow.com › Minnesota › Marshall County › Alvarado › 5671043390 State Highway 1 NW, Alvarado, MN 56710 is currently not for sale. The 1224 Square Feet single family home is a -- beds, -- baths property.","zillow"
"82","21625 STATE HIGHWAY 220 NW, ALVARADO, MN, 56710","""21625"" STATE HIGHWAY 220 NW, ALVARADO, MN, 56710","4","2","3632","21625 State Highway 220 NW, Alvarado, MN 56710 | Zillowwww.zillow.com › Minnesota › Marshall County › Alvarado › 5671021625 State Highway 220 NW, Alvarado, MN 56710 is currently not for sale. The 3632 Square Feet single family home is a 4 beds, 2 baths property.","zillow"
"83","255 3RD AVE E, ALVARADO, MN, 56710","""255"" 3RD AVE E, ALVARADO, MN, 56710",NA,NA,"1034","255 3rd Ave E, Alvarado, MN 56710 - Zillowwww.zillow.com › Minnesota › Marshall County › Alvarado › 56710Nov 18, 2021 · 255 3rd Ave E, Alvarado, MN 56710 is currently not for sale. The 1034 Square Feet single family home is a -- beds, -- baths property.","zillow"
"84","135 THOMPSON ST, ALVARADO, MN, 56710","""135"" THOMPSON ST, ALVARADO, MN, 56710",NA,NA,NA,"135 Thompson St, Alvarado, MN 56710 | Zillowwww.zillow.com › ... › Marshall County › Alvarado › 56710135 Thompson St, Alvarado, MN 56710 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property. This home was built in 1977 ...","zillow"
"85","205 MAIN ST, ALVARADO, MN, 56710","""205"" MAIN ST, ALVARADO, MN, 56710","3","2","2250","205 Main St, Alvarado, MN 56710 | Zillowwww.zillow.com › Minnesota › Marshall County › Alvarado › 56710May 12, 2021 · 205 Main St, Alvarado, MN 56710 is currently not for sale. The 2250 Square Feet single family home is a 3 beds, 2 baths property.","zillow"
"86","225 MAIN ST, ALVARADO, MN, 56710","""225"" MAIN ST, ALVARADO, MN, 56710","3","2","2080","225 Main St, Alvarado, MN 56710 | Zillowwww.zillow.com › Minnesota › Marshall County › Alvarado › 56710225 Main St, Alvarado, MN 56710 is currently not for sale. The 2080 Square Feet single family home is a 3 beds, 2 baths property. This home was built in ...","zillow"
"87","140 MAIN ST, ALVARADO, MN, 56710","""140"" MAIN ST, ALVARADO, MN, 56710","4","2","2266","140 Boundary St, Alvarado, MN 56710 | Zillowwww.zillow.com › Minnesota › Marshall County › Alvarado › 56710140 Boundary St, Alvarado, MN 56710 is currently not for sale. The 2266 Square Feet single family home is a 4 beds, 2 baths property. This home was built in ...","zillow"
"88","212 MAIN ST, ALVARADO, MN, 56710","""212"" MAIN ST, ALVARADO, MN, 56710",NA,NA,NA,"212 Main St, Alvarado, MN 56710 | Zillowwww.zillow.com › Minnesota › Marshall County › Alvarado › 56710212 Main St, Alvarado, MN 56710 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property. This home was built in null and ...","zillow"
"89","255 MAIN ST, ALVARADO, MN, 56710","""255"" MAIN ST, ALVARADO, MN, 56710","2","1","2504","255 Main St, Alvarado, MN 56710 | Zillowwww.zillow.com › Minnesota › Marshall County › Alvarado › 56710255 Main St, Alvarado, MN 56710 is currently not for sale. The 2504 Square Feet single family home is a 2 beds, 1 bath property. This home was built in 1972 ...","zillow"
"90","150 THOMPSON ST, ALVARADO, MN, 56710","""150"" THOMPSON ST, ALVARADO, MN, 56710",NA,NA,"1,256","150 Boundary St, Alvarado, MN 56710 | realtor.com®www.realtor.com › ... › Alvarado › Boundary St150 Boundary St, is a single family home, at 1,256 sqft. This home is currently not for sale, but it was last sold for $65K in 2015, this home is estimated ...","realtor"
"91","105 1ST AVE W, ALVARADO, MN, 56710","""105"" 1ST AVE W, ALVARADO, MN, 56710",NA,NA,NA,"105 1st Ave W, Alvarado, MN 56710 | realtor.com®www.realtor.com › Minnesota › Marshall County › Alvarado › 1st AveSee 105 1st Ave W, Alvarado, MN 56710, a single family home. View property details, similar homes, and the nearby school and neighborhood information. Use our ...","realtor"
"92","135 MAIN ST, ALVARADO, MN, 56710","""135"" MAIN ST, ALVARADO, MN, 56710","3","1","1428","135 Main St, Alvarado, MN 56710 | Zillowwww.zillow.com › Minnesota › Marshall County › Alvarado › 56710Jul 27, 2022 · 135 Main St, Alvarado, MN 56710 is currently not for sale. The 1428 Square Feet single family home is a 3 beds, 1 bath property.","zillow"
"93","155 MAIN ST, ALVARADO, MN, 56710","""155"" MAIN ST, ALVARADO, MN, 56710",NA,NA,NA,"155 Fering St, Alvarado, MN 56710 | Zillowwww.zillow.com › Minnesota › Marshall County › Alvarado › 56710155 Fering St, Alvarado, MN 56710 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property. This home was built in null and ...","zillow"
"94","175 MAIN ST, ALVARADO, MN, 56710","""175"" MAIN ST, ALVARADO, MN, 56710",NA,NA,"576","175 Main St, Alvarado, MN 56710 | Zillowwww.zillow.com › Minnesota › Marshall County › Alvarado › 56710175 Main St, Alvarado, MN 56710 is currently not for sale. The 576 Square Feet single family home is a -- beds, -- baths property. This home was built in ...","zillow"
"95","110 PARRAL AVE, ALVARADO, MN, 56710","""110"" PARRAL AVE, ALVARADO, MN, 56710",NA,NA,"810","110 Parral Ave, Alvarado, MN 56710 - Zillowwww.zillow.com › Minnesota › Marshall County › Alvarado › 56710110 Parral Ave, Alvarado, MN 56710 is currently not for sale. The 810 Square Feet single family home is a -- beds, -- baths property.","zillow"
"96","FIRST AVE, ALVARADO, MN, 56710","""FIRST"" AVE, ALVARADO, MN, 56710",NA,NA,NA,"Recently Sold Homes in 56710 - 8 Transactions - Zillowwww.zillow.com › Sold › Minnesota › Polk County135 Main St, Alvarado, MN 56710. $160,000 ... 255 3rd Ave E, Alvarado, MN 56710. $142,000 ... Save your search and be the first to know. Get Started.","zillow"
"97","165 MARSHALL ST, ALVARADO, MN, 56710","""165"" MARSHALL ST, ALVARADO, MN, 56710","3","1","1250","165 Fering St, Alvarado, MN 56710 | Zillowwww.zillow.com › Minnesota › Marshall County › Alvarado › 56710165 Fering St, Alvarado, MN 56710 is currently not for sale. The 1250 Square Feet single family home is a 3 beds, 1 bath property.","zillow"
