"","full_address","must_inc_number_address","bedrooms","bathrooms","sqft","text","source"
"617","221 22ND ST NE, REYNOLDS, ND, 58275","""221"" 22ND ST NE, REYNOLDS, ND, 58275","0","0.0",NA,"Zillowhttps://www.zillow.com/homedetails/221-22nd-St-NE...221 22nd St NE, Reynolds, ND 58275 | ZillowWeb221 22nd St NE , Reynolds, ND 58275-9487 is currently not for sale. The sq. ft. single-family home is a 0 bed, 0.0 bath property. This home was built in and last sold on for. View …","zillow"
"618","231 18TH ST NE, REYNOLDS, ND, 58275","""231"" 18TH ST NE, REYNOLDS, ND, 58275","3","2.5","3,044","realtor.comhttps://www.realtor.com/realestateandhomes-detail/...231 18th St NE, Reynolds, ND 58275 | realtor.com®WebOff Market 231 18th St NE, Reynolds, ND 58275 3 bed 2.5+ bath 3,044 sqft 10.36 acre lot 231 18th St NE, is a single family home, built in 1955, with 3 beds and 2.5 bath, at 3,044 …Location: 231 18th St NE, Reynolds, 58275, ND","realtor"
"619","244 24TH ST NE, HATTON, ND, 58240","""244"" 24TH ST NE, HATTON, ND, 58240",NA,NA,NA,"Zillowhttps://www.zillow.com/homedetails/244-24th-St-NE...244 24th St NE, Hatton, ND 58240 | ZillowWeb244 24th St NE, Hatton, ND 58240 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property. This home was built in null and last sold on -- for $--. View …","zillow"
"620","256 36TH ST NE, NORTHWOOD, ND, 58267","""256"" 36TH ST NE, NORTHWOOD, ND, 58267","4","1","2,375","realtor.comhttps://www.realtor.com/realestateandhomes-detail/...256 36th St NE, Northwood, ND 58267 | realtor.com®Web256 36th St NE, is a single family home, built in 1950, with 4 beds and 1 bath, at 2,375 sqft. This home is currently not for sale, this home is estimated to be valued at $298,000.","realtor"
"621","262 27TH ST NE, HATTON, ND, 58240","""262"" 27TH ST NE, HATTON, ND, 58240","3","2","2,172","realtor.comhttps://www.realtor.com/realestateandhomes-detail/...262 27th St NE, Hatton, ND 58240 | realtor.com®WebSee sales history and home details for 262 27th St NE, Hatton, ND 58240, a 3 bed, 2 bath, 2,172 Sq. Ft. single family home built in 1921 that was last sold on 10/02/2007.","realtor"
"622","286 26TH ST NE, HATTON, ND, 58240","""286"" 26TH ST NE, HATTON, ND, 58240","3","1","2,475","realtor.comhttps://www.realtor.com/realestateandhomes-detail/...286 26th St NE, Hatton, ND 58240 | realtor.com®WebSee sales history and home details for 286 26th St NE, Hatton, ND 58240, a 3 bed, 1 bath, 2,475 Sq. Ft. single family home built in 1940 that was last sold on 11/08/2010.","realtor"
"623","3181 3RD AVE NE, NORTHWOOD, ND, 58267","""3181"" 3RD AVE NE, NORTHWOOD, ND, 58267",NA,NA,NA,"Zillowhttps://www.zillow.com/homedetails/3181-3rd-Ave-NE...3181 3rd Ave NE, Northwood, ND 58267 | ZillowWeb3181 3rd Ave NE, Northwood, ND 58267 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property. This home was built in null and last sold on -- for $--. …","zillow"
"624","3181 3RD AVE NE, NORTHWOOD, ND, 58267","""3181"" 3RD AVE NE, NORTHWOOD, ND, 58267","0","0.0",NA,"Zillowhttps://www.zillow.com/homedetails/3181-3rd-Ave-NE...3181 3rd Ave NE, Northwood, ND 58267 | ZillowWeb3181 3rd Ave NE , Northwood, ND 58267-9537 is currently not for sale. The sq. ft. single-family home is a 0 bed, 0.0 bath property. This home was built in and last sold on for. …","zillow"
"625","2171 3RD AVE NE, REYNOLDS, ND, 58275","""2171"" 3RD AVE NE, REYNOLDS, ND, 58275","2","1","2,078","realtor.comhttps://www.realtor.com/realestateandhomes-detail/...2171 3rd Ave NE, Reynolds, ND 58275 | realtor.com®WebSee sales history and home details for 2171 3rd Ave NE, Reynolds, ND 58275, a 2 bed, 1 bath, 2,078 Sq. Ft. single family home built in 1931 that was last sold on 11/18/2008.","realtor"
"626","2172 3RD AVE NE, REYNOLDS, ND, 58275","""2172"" 3RD AVE NE, REYNOLDS, ND, 58275","3",NA,NA,"Zillowhttps://www.zillow.com/homedetails/2172-3rd-Ave-NE...2172 3rd Ave NE, Reynolds, ND 58275 | MLS #23-848 WebThis home is under contract. Beautiful rural property, located on 4.65 Acres. Easy commute to Grand Forks and GFAFB. 3 bedrooms, with an additional office space, or non …","zillow"
"627","2454 3RD AVE NE, HATTON, ND, 58240","""2454"" 3RD AVE NE, HATTON, ND, 58240","2","2","3,450","realtor.comhttps://www.realtor.com/realestateandhomes-detail/...2454 3rd Ave NE, Hatton, ND 58240 | realtor.com®WebSee sales history and home details for 2454 3rd Ave NE, Hatton, ND 58240, a 2 bed, 2 bath, 3,450 Sq. Ft. single family home built in 2000 that was last sold on 05/18/2016. …","realtor"
"628","314 21ST ST NE, REYNOLDS, ND, 58275","""314"" 21ST ST NE, REYNOLDS, ND, 58275","5","2","3,087","realtor.comhttps://www.realtor.com/realestateandhomes-detail/...314 21st St NE, Reynolds, ND 58275 | realtor.com®Web3,087 sqft. 4.92 acre lot. 314 21st St NE, a single family home located in Reynolds, ND has 5 beds, 2 baths, and is 3,087 square feet. It was built in 1914 and was last sold in 2022. …","realtor"
"629","3218 3RD AVE NE, NORTHWOOD, ND, 58267","""3218"" 3RD AVE NE, NORTHWOOD, ND, 58267","0","0.0",NA,"Zillowhttps://www.zillow.com/homedetails/3218-3rd-Ave-NE...3218 3rd Ave NE, Northwood, ND 58267 | ZillowWeb3218 3rd Ave NE , Northwood, ND 58267-9596 is currently not for sale. The sq. ft. single-family home is a 0 bed, 0.0 bath property. This home was built in and last sold on for. …","zillow"
"630","325 39TH ST NE, NORTHWOOD, ND, 58267","""325"" 39TH ST NE, NORTHWOOD, ND, 58267",NA,NA,NA,"Zillowhttps://www.zillow.com/homedetails/325-39th-St-NE...325 39th St NE, Northwood, ND 58267 | ZillowWeb325 39th St NE, Northwood, ND 58267 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property. This home was built in null and last sold on -- for $- …","zillow"
"631","345 22ND ST NE, REYNOLDS, ND, 58275","""345"" 22ND ST NE, REYNOLDS, ND, 58275","3","1","2,241","realtor.comhttps://www.realtor.com/realestateandhomes-detail/...345 22nd St NE, Reynolds, ND 58275 | realtor.com®Web345 22nd St NE, is a single family home, built in 1948, with 3 beds and 1 bath, at 2,241 sqft. This home is currently not for sale, this home is estimated to be valued at $201,000.","realtor"
"632","2775 4TH AVE NE, NORTHWOOD, ND, 58267","""2775"" 4TH AVE NE, NORTHWOOD, ND, 58267","0","0.0",NA,"Zillowhttps://www.zillow.com/homedetails/2775-4th-Ave-NE...2775 4th Ave NE, Northwood, ND 58267 | ZillowWeb2775 4th Ave NE , Northwood, ND 58267-9512 is currently not for sale. The sq. ft. single-family home is a 0 bed, 0.0 bath property. This home was built in and last sold on for. …","zillow"
"633","3674 4TH AVE NE, NORTHWOOD, ND, 58267","""3674"" 4TH AVE NE, NORTHWOOD, ND, 58267","0","0.0",NA,"Zillowhttps://www.zillow.com/homedetails/3674-4th-Ave-NE...3674 4th Ave NE, Northwood, ND 58267 | ZillowWeb3674 4th Ave NE , Northwood, ND 58267-9556 is currently not for sale. The sq. ft. single-family home is a 0 bed, 0.0 bath property. This home was built in and last sold on for. …","zillow"
"634","1902 4TH AVE NE, THOMPSON, ND, 58278","""1902"" 4TH AVE NE, THOMPSON, ND, 58278","5","3","2,174","Zillowhttps://www.zillow.com/homedetails/1902-4th-Ave-NE...1902 4th Ave NE, Thompson, ND 58278 | ZillowWeb1902 4th Ave NE, Thompson, ND 58278 is currently not for sale. The 2,174 Square Feet single family home is a 5 beds, 3 baths property. This home was built in 2004 and last …","zillow"
"635","3248 4TH AVE NE, NORTHWOOD, ND, 58267","""3248"" 4TH AVE NE, NORTHWOOD, ND, 58267","3","3","3,682","realtor.comhttps://www.realtor.com/realestateandhomes-detail/...3248 NE 4th Ave, Northwood Twp, ND 58200 | realtor.com®WebSee sales history and home details for 3248 NE 4th Ave, Northwood Twp, ND 58200, a 3 bed, 3 bath, 3,682 Sq. Ft. single family home built in 2012 that was last sold on 08/23/1996. Realtor.com ...","realtor"
"636","423 20TH ST NE, THOMPSON, ND, 58278","""423"" 20TH ST NE, THOMPSON, ND, 58278",NA,NA,NA,"Zillowhttps://www.zillow.com/homedetails/423-20th-St-NE...423 20th St NE, Thompson, ND 58278 | ZillowWebThompson Home values; Sellers guide; Selling options. Find a seller's agent; Post For Sale by Owner","zillow"
"637","3671 5TH AVE NE, NORTHWOOD, ND, 58267","""3671"" 5TH AVE NE, NORTHWOOD, ND, 58267","4","3","2,261","realtor.comhttps://www.realtor.com/realestateandhomes-detail/...3671 5th Ave NE, Northwood, ND 58267 | realtor.com®WebSee sales history and home details for 3671 5th Ave NE, Northwood, ND 58267, a 4 bed, 3 bath, 2,261 Sq. Ft. single family home built in 1984 that was last sold on 06/08/2020. …Location: 3671 5th Ave NE, Northwood, 58267, ND","realtor"
"638","427 19TH ST NE, THOMPSON, ND, 58278","""427"" 19TH ST NE, THOMPSON, ND, 58278","0","0.0",NA,"Zillowhttps://www.zillow.com/homedetails/427-19th-St-NE...427 19th St NE, Thompson, ND 58278 | ZillowWeb427 19th St NE , Thompson, ND 58278-9216 is currently not for sale. The sq. ft. single-family home is a 0 bed, 0.0 bath property. This home was built in and last sold on for. …Location: 1902 4th Ave NE, Thompson, 58278, ND","zillow"
"639","453 37TH ST NE, NORTHWOOD, ND, 58267","""453"" 37TH ST NE, NORTHWOOD, ND, 58267","2","2","1,652","realtor.comhttps://www.realtor.com/realestateandhomes-detail/...453 NE 37th St, Lind Twshp, ND 58201 | realtor.com®WebSee sales history and home details for 453 NE 37th St, Lind Twshp, ND 58201, a 2 bed, 2 bath, 1,652 Sq. Ft. single family home built in 2011 that was last sold on 10/26/2007.","realtor"
"640","2905 5TH AVE NE, NORTHWOOD, ND, 58267","""2905"" 5TH AVE NE, NORTHWOOD, ND, 58267",NA,NA,NA,NA,NA
"641","2375 5TH AVE NE, NORTHWOOD, ND, 58267","""2375"" 5TH AVE NE, NORTHWOOD, ND, 58267","0","0.0",NA,"Zillowhttps://www.zillow.com/homedetails/2375-5th-Ave-NE...2375 5th Ave NE, Northwood, ND 58267 | ZillowWeb2375 5th Ave NE , Northwood, ND 58267-9723 is currently not for sale. The sq. ft. single-family home is a 0 bed, 0.0 bath property. This home was built in and last sold on for. …Location: 2375 5th Ave NE, Northwood, 58267, ND","zillow"
"642","3671 5TH AVE NE, NORTHWOOD, ND, 58267","""3671"" 5TH AVE NE, NORTHWOOD, ND, 58267","4","3","2,261","realtor.comhttps://www.realtor.com/realestateandhomes-detail/...3671 5th Ave NE, Northwood, ND 58267 | realtor.com®WebSee sales history and home details for 3671 5th Ave NE, Northwood, ND 58267, a 4 bed, 3 bath, 2,261 Sq. Ft. single family home built in 1984 that was last sold on 06/08/2020. …Location: 3671 5th Ave NE, Northwood, 58267, ND","realtor"
"643","4051 5TH AVE NE, NORTHWOOD, ND, 58267","""4051"" 5TH AVE NE, NORTHWOOD, ND, 58267",NA,NA,NA,"Zillowhttps://www.zillow.com/homedetails/4051-5th-Ave-NE...4051 5th Ave NE, Northwood, ND 58267 | ZillowWeb4051 5th Ave NE, Northwood, ND 58267 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property. This home was built in null and last sold on -- for $--. …","zillow"
"644","496 25TH ST NE, NORTHWOOD, ND, 58267","""496"" 25TH ST NE, NORTHWOOD, ND, 58267",NA,NA,NA,"Zillowhttps://www.zillow.com › homedetails › 496-25th-St-NE...496 25th St NE, Northwood, ND 58267 | ZillowWeb496 25th St NE, Northwood, ND 58267 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property. This home was built in null and last sold on -- for $- …","zillow"
"645","2890 5TH AVE NE, NORTHWOOD, ND, 58267","""2890"" 5TH AVE NE, NORTHWOOD, ND, 58267",NA,NA,NA,"Zillowhttps://www.zillow.com/homedetails/2890-5th-Ave-NE...2890 5th Ave NE, Northwood, ND 58267 | ZillowWeb2890 5th Ave NE, Northwood, ND 58267 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property. This home was built in null and last sold on -- for $--. …","zillow"
"646","3030 5TH AVE NE, NORTHWOOD, ND, 58267","""3030"" 5TH AVE NE, NORTHWOOD, ND, 58267","5","3","4,000","Zillowhttps://www.zillow.com/homedetails/3030-5th-Ave-NE...3030 5th Ave NE, Northwood, ND 58267 Web3030 5th Ave NE, Northwood, ND 58267 is currently not for sale. The 4,000 Square Feet single family home is a 5 beds, 3 baths property. This home was built in 1950 and last …","zillow"
"647","2116 5TH AVE NE, THOMPSON, ND, 58278","""2116"" 5TH AVE NE, THOMPSON, ND, 58278","0","0.0",NA,"Zillowhttps://www.zillow.com/homedetails/2116-5th-Ave-NE...2116 5th Ave NE, Thompson, ND 58278 | ZillowWeb2116 5th Ave NE , Thompson, ND 58278-9392 is currently not for sale. The sq. ft. single-family home is a 0 bed, 0.0 bath property. This home was built in and last sold on for. …","zillow"
"648","2222 5TH AVE NE, THOMPSON, ND, 58278","""2222"" 5TH AVE NE, THOMPSON, ND, 58278","3","1","2,288","realtor.comhttps://www.realtor.com/realestateandhomes-detail/...2222 5th Ave NE, Thompson, ND 58278 | realtor.com®WebSee sales history and home details for 2222 5th Ave NE, Thompson, ND 58278, a 3 bed, 1 bath, 2,288 Sq. Ft. single family home built in 1964 that was last sold on 07/31/2007.Location: 2222 5th Ave NE, Thompson, 58278, ND","realtor"
"649","502 25TH ST NE, NORTHWOOD, ND, 58267","""502"" 25TH ST NE, NORTHWOOD, ND, 58267","0","0.0",NA,"Zillowhttps://www.zillow.com/homedetails/502-25th-St-NE...502 25th St NE, Northwood, ND 58267 | ZillowWeb502 25th St NE , Northwood, ND 58267-9721 is currently not for sale. The sq. ft. single-family home is a 0 bed, 0.0 bath property. This home was built in and last sold on for. …","zillow"
"650","2340 5TH AVE NE, NORTHWOOD, ND, 58267","""2340"" 5TH AVE NE, NORTHWOOD, ND, 58267",NA,NA,NA,"Zillowhttps://www.zillow.com/homedetails/2340-5th-Ave-NE...2340 5th Ave NE, Northwood, ND 58267 | ZillowWeb2340 5th Ave NE, Northwood, ND 58267 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property. This home was built in null and last sold on -- for $--. …","zillow"
"651","2094 5TH AVE NE, THOMPSON, ND, 58278","""2094"" 5TH AVE NE, THOMPSON, ND, 58278",NA,NA,NA,"Zillowhttps://www.zillow.com/homedetails/2094-5th-Ave-NE...2094 5th Ave NE, Thompson, ND 58278 | ZillowWeb2094 5th Ave NE, Thompson, ND 58278 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property. This home was built in null and last sold on -- for $--. …","zillow"
"652","3132 5TH AVE NE, NORTHWOOD, ND, 58267","""3132"" 5TH AVE NE, NORTHWOOD, ND, 58267","3","2","2,025","realtor.comhttps://www.realtor.com/realestateandhomes-detail/...3132 5th Ave NE, Northwood, ND 58267 | realtor.com®WebSee sales history and home details for 3132 5th Ave NE, Northwood, ND 58267, a 3 bed, 2 bath, 2,025 Sq. Ft. single family home built in 2013 that was last sold on 04/30/1997.","realtor"
"653","527 28TH ST NE, NORTHWOOD, ND, 58267","""527"" 28TH ST NE, NORTHWOOD, ND, 58267","4","1.5","4,638","Zillowhttps://www.zillow.com/homedetails/527-28th-St-NE...527 28th St NE, Northwood, ND 58267 | ZillowWebThe 4,638 sq. ft. single-family home is a 4 bed, 1.5 bath property. This home was built in 1909 and last sold on for. View more property details, sales history and Zestimate data …","zillow"
"654","545 20TH ST NE, THOMPSON, ND, 58278","""545"" 20TH ST NE, THOMPSON, ND, 58278",NA,NA,NA,"Zillowhttps://www.zillow.com/homedetails/545-20th-St-NE...545 20th St NE, Thompson, ND 58278 | ZillowWeb545 20th St NE, Thompson, ND 58278 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property. This home was built in null and last sold on -- for $- …","zillow"
"655","553 22ND ST NE, THOMPSON, ND, 58278","""553"" 22ND ST NE, THOMPSON, ND, 58278","0","0.0",NA,"Zillowhttps://www.zillow.com/homedetails/553-22nd-St-NE...553 22nd St NE, Thompson, ND 58278 Web553 22nd St NE , Thompson, ND 58278-9398 is currently not for sale. The sq. ft. single-family home is a 0 bed, 0.0 bath property. This home was built in and last sold on for. …","zillow"
