"","lemma","verb_count","item2","cooccurence_count"
"170","focus",170,"g",73
"171","assess",168,"description",161
"172","assess",168,"routine",161
"173","assess",168,"note",160
"174","assess",168,"dj",158
"175","assess",168,"aug",39
"176","report",163,"priority",292
"177","report",163,"note",285
"178","report",163,"routine",278
"179","report",163,"date",277
"180","report",163,"dj",274
"181","produce",156,"description",169
"182","produce",156,"note",161
"183","produce",156,"priority",160
"184","produce",156,"date",159
"185","produce",156,"dj",157
"186","complete",154,"note",160
"187","complete",154,"description",154
"188","complete",154,"date",152
"189","complete",154,"routine",146
"190","complete",154,"dj",144
"191","desire",152,"priority",117
"192","desire",152,"date",113
"193","desire",152,"note",112
"194","desire",152,"description",111
"195","desire",152,"dj",110
"196","accomplish",150,"note",129
"197","accomplish",150,"description",127
"198","accomplish",150,"dj",119
"199","accomplish",150,"routine",118
"200","accomplish",150,"sep",33
"201","perform",149,"note",144
"202","perform",149,"routine",141
"203","perform",149,"aug",39
"204","perform",149,"sep",26
"205","perform",149,"knowledge",19
"206","respond",141,"dj",96
"207","respond",141,"note",96
"208","respond",141,"description",93
"209","respond",141,"routine",93
"210","respond",141,"sep",29
"211","approve",138,"note",97
"212","approve",138,"date",91
"213","approve",138,"description",89
"214","approve",138,"dj",88
"215","approve",138,"routine",84
"216","exist",135,"description",86
"217","exist",135,"dj",83
"218","exist",135,"note",82
"219","exist",135,"routine",80
"220","exist",135,"include",70
"221","prepare",132,"note",121
"222","prepare",132,"description",120
"223","prepare",132,"dj",113
"224","prepare",132,"routine",109
"225","prepare",132,"designate",22
"226","protect",132,"note",149
"227","protect",132,"description",147
"228","protect",132,"dj",144
"229","protect",132,"routine",138
"230","protect",132,"take",36
"231","review",128,"priority",235
"232","review",128,"date",209
"233","review",128,"routine",204
"234","review",128,"note",203
"235","review",128,"dj",200
"236","operate",127,"note",181
"237","operate",127,"description",175
"238","operate",127,"date",173
"239","operate",127,"dj",167
"240","operate",127,"priority",166
"241","attack",124,"note",456
"242","attack",124,"description",448
"243","attack",124,"jp",444
"244","attack",124,"approval",434
"245","attack",124,"priority",420
"246","select",123,"note",98
"247","select",123,"description",92
"248","select",123,"routine",92
"249","select",123,"dj",88
"250","select",123,"sn",43
"251","share",123,"dj",106
"252","share",123,"note",104
"253","share",123,"description",101
"254","share",123,"routine",101
"255","share",123,"ccmd",52
"256","submit",120,"note",81
"257","submit",120,"dj",77
"258","submit",120,"description",76
"259","submit",120,"routine",76
"260","submit",120,"incorporate",20
"261","direct",119,"description",261
"262","direct",119,"priority",256
"263","direct",119,"date",256
"264","direct",119,"dj",254
"265","direct",119,"routine",253
"266","disseminate",118,"note",117
"267","disseminate",118,"priority",111
"268","disseminate",118,"provide",109
"269","disseminate",118,"description",108
"270","disseminate",118,"date",106
"271","disseminate",118,"dj",106
"272","employ",113,"description",152
"273","employ",113,"note",150
"274","employ",113,"priority",149
"275","employ",113,"date",149
"276","employ",113,"dj",149
"277","incorporate",112,"note",67
"278","incorporate",112,"routine",63
"279","incorporate",112,"comprehensive",22
"280","incorporate",112,"across",20
"281","incorporate",112,"expert",20
"282","collect",108,"note",96
"283","collect",108,"description",95
"284","collect",108,"routine",93
"285","collect",108,"dj",92
"286","collect",108,"ensure",33
"287","obtain",108,"description",81
"288","obtain",108,"routine",81
"289","obtain",108,"dj",78
"290","obtain",108,"note",78
"291","obtain",108,"within",34
"292","affect",107,"description",90
"293","affect",107,"note",89
"294","affect",107,"date",86
"295","affect",107,"dj",86
"296","affect",107,"routine",82
"297","authorize",106,"note",96
"298","authorize",106,"description",92
"299","authorize",106,"dj",89
"300","authorize",106,"routine",86
"301","authorize",106,"non",24
"302","enable",106,"note",117
"303","enable",106,"routine",109
"304","enable",106,"sep",27
"305","enable",106,"perform",26
"306","enable",106,"aug",21
"307","phase",106,"date",171
"308","phase",106,"note",155
"309","phase",106,"description",151
"310","phase",106,"priority",150
"311","phase",106,"datum",135
"312","fill",101,"note",53
"313","fill",101,"routine",46
"314","fill",101,"ready",20
"315","fill",101,"expert",17
"316","fill",101,"perform",16
"317","manage",101,"routine",201
"318","manage",101,"description",199
"319","manage",101,"dj",198
"320","manage",101,"note",193
"321","manage",101,"sn",85
"322","request",101,"note",338
"323","request",101,"priority",337
"324","request",101,"date",337
"325","request",101,"description",334
"326","request",101,"approval",331
"327","evaluate",99,"priority",94
"328","evaluate",99,"description",93
"329","evaluate",99,"date",86
"330","evaluate",99,"dj",86
"331","evaluate",99,"routine",86
"332","follow",98,"note",99
"333","follow",98,"dj",95
"334","follow",98,"routine",94
"335","follow",98,"description",93
"336","follow",98,"objective",42
"337","update",97,"description",82
"338","update",97,"dj",78
"339","update",97,"routine",78
"340","update",97,"note",77
"341","update",97,"assess",24
"342","update",97,"aug",24
"343","associate",96,"note",83
"344","associate",96,"description",82
"345","associate",96,"dj",80
"346","associate",96,"routine",79
"347","associate",96,"non",23
"348","associate",96,"aug",23
"349","combine",94,"note",70
"350","combine",94,"command",66
"351","combine",94,"priority",65
"352","combine",94,"approval",64
"353","combine",94,"date",63
"354","combine",94,"description",63
"355","combine",94,"dj",63
"356","combine",94,"routine",63
"357","need",94,"note",164
"358","need",94,"description",158
"359","need",94,"dj",153
"360","need",94,"routine",149
"361","need",94,"sn",71
"362","force",91,"percent",3272
"363","force",91,"operation",3039
"364","force",91,"support",2804
"365","force",91,"joint",2771
"366","force",91,"measure",2704
"367","take",89,"note",77
"368","take",89,"mar",15
"369","take",89,"aug",13
"370","take",89,"mitigate",12
"371","take",89,"preserve",11
"372","assist",86,"note",76
"373","assist",86,"description",74
"374","assist",86,"provide",72
"375","assist",86,"priority",72
"376","assist",86,"include",72
"377","address",85,"dj",113
"378","address",85,"description",112
"379","address",85,"routine",110
"380","address",85,"note",109
"381","address",85,"expert",36
"382","deliver",84,"description",70
"383","deliver",84,"note",70
"384","deliver",84,"dj",69
"385","deliver",84,"routine",68
"386","deliver",84,"delivery",28
"387","target",83,"percent",1152
"388","target",83,"note",1020
"389","target",83,"jp",1019
"390","target",83,"measure",1008
"391","target",83,"priority",993
"392","target",83,"description",993
"393","implement",81,"note",74
"394","implement",81,"routine",67
"395","implement",81,"sep",17
"396","implement",81,"reduce",11
"397","implement",81,"knowledge",11
"398","subordinate",80,"priority",214
"399","subordinate",80,"note",199
"400","subordinate",80,"description",193
"401","subordinate",80,"date",189
"402","subordinate",80,"dj",187
"403","control",78,"note",495
"404","control",78,"approval",475
"405","control",78,"jp",472
"406","control",78,"date",468
"407","control",78,"description",467
"408","detect",78,"dj",61
"409","detect",78,"note",59
"410","detect",78,"routine",58
"411","detect",78,"accurate",21
"412","detect",78,"mar",15
"413","result",78,"note",144
"414","result",78,"description",139
"415","result",78,"dj",135
"416","result",78,"routine",130
"417","result",78,"objective",60
"418","validate",77,"note",92
"419","validate",77,"description",88
"420","validate",77,"dj",80
"421","validate",77,"routine",79
"422","validate",77,"satisfy",27
"423","prioritize",75,"approval",101
"424","prioritize",75,"date",101
"425","prioritize",75,"jp",100
"426","prioritize",75,"note",100
"427","prioritize",75,"priority",99
"428","analyze",74,"description",87
"429","analyze",74,"priority",86
"430","analyze",74,"note",83
"431","analyze",74,"date",82
"432","analyze",74,"dj",82
"433","arrive",74,"description",47
"434","arrive",74,"note",47
"435","arrive",74,"routine",42
"436","arrive",74,"dj",41
"437","arrive",74,"destination",28
"438","facilitate",74,"note",74
"439","facilitate",74,"routine",72
"440","facilitate",74,"sep",14
"441","facilitate",74,"perform",12
"442","facilitate",74,"aug",12
"443","facilitate",74,"knowledge",12
"444","create",71,"description",56
"445","create",71,"note",56
"446","create",71,"dj",54
"447","create",71,"routine",54
"448","create",71,"employment",11
"449","create",71,"aug",11
"450","create",71,"mar",11
"451","create",71,"perception",11
"452","publish",71,"description",43
"453","publish",71,"note",39
"454","publish",71,"routine",37
"455","publish",71,"dj",36
"456","publish",71,"update",18
"457","reduce",71,"note",70
"458","reduce",71,"routine",68
"459","reduce",71,"sep",23
"460","reduce",71,"take",12
"461","reduce",71,"knowledge",11
"462","reduce",71,"typically",11
"463","disrupt",70,"note",87
"464","disrupt",70,"description",83
"465","disrupt",70,"dj",77
"466","disrupt",70,"routine",72
"467","disrupt",70,"protect",29
"468","exploit",70,"routine",57
"469","exploit",70,"note",56
"470","exploit",70,"utilize",16
"471","exploit",70,"relationship",13
"472","exploit",70,"native",13
"473","exploit",70,"translate",13
"474","form",70,"dj",72
"475","form",70,"routine",72
"476","form",70,"description",68
"477","form",70,"note",67
"478","form",70,"include",48
"479","delay",69,"note",111
"480","delay",69,"description",101
"481","delay",69,"dj",93
"482","delay",69,"routine",93
"483","delay",69,"disrupt",55
"484","allow",68,"dj",54
"485","allow",68,"note",53
"486","allow",68,"routine",52
"487","allow",68,"description",51
"488","allow",68,"dec",13
"489","combatant",67,"priority",621
"490","combatant",67,"date",611
"491","combatant",67,"note",598
"492","combatant",67,"description",595
"493","combatant",67,"dj",585
"494","move",67,"description",60
"495","move",67,"note",60
"496","move",67,"dj",58
"497","move",67,"routine",58
"498","move",67,"destination",21
"499","locate",66,"priority",54
"500","locate",66,"date",51
"501","locate",66,"description",51
"502","locate",66,"note",50
"503","locate",66,"routine",48
"504","enhance",65,"description",76
"505","enhance",65,"note",74
"506","enhance",65,"dj",70
"507","enhance",65,"routine",70
"508","enhance",65,"sn",27
"509","classify",64,"joint",239
"510","classify",64,"measure",234
"511","classify",64,"yes",225
"512","classify",64,"electronic",204
"513","classify",64,"jel",202
"514","classify",64,"library",202
"515","classify",64,"plus",202
"516","classify",64,"sipr",202
"517","engage",64,"description",61
"518","engage",64,"dj",61
"519","engage",64,"routine",61
"520","engage",64,"note",61
"521","engage",64,"assess",17
"522","allocate",63,"priority",67
"523","allocate",63,"date",64
"524","allocate",63,"routine",64
"525","allocate",63,"dj",63
"526","allocate",63,"description",59
"527","define",62,"note",48
"528","define",62,"description",46
"529","define",62,"dj",46
"530","define",62,"routine",45
"531","define",62,"sep",13
"532","issue",62,"description",178
"533","issue",62,"routine",177
"534","issue",62,"note",177
"535","issue",62,"dj",175
"536","issue",62,"sn",87
"537","personnel",62,"percent",1352
"538","personnel",62,"priority",1009
"539","personnel",62,"approval",973
"540","personnel",62,"date",965
"541","personnel",62,"routine",957
"542","specify",62,"dj",66
"543","specify",62,"routine",65
"544","specify",62,"description",64
"545","specify",62,"note",62
"546","specify",62,"st",20
"547","specify",62,"validate",20
"548","specify",62,"dec",20
"549","impact",61,"note",123
"550","impact",61,"description",118
"551","impact",61,"dj",118
"552","impact",61,"routine",115
"553","impact",61,"sn",55
"554","begin",60,"description",48
"555","begin",60,"note",48
"556","begin",60,"routine",47
"557","begin",60,"dj",46
"558","begin",60,"unnamed",19
"559","participate",60,"note",54
"560","participate",60,"routine",53
"561","participate",60,"dec",21
"562","participate",60,"aug",12
"563","participate",60,"knowledge",12
"564","secure",60,"priority",90
"565","secure",60,"date",90
"566","secure",60,"dj",90
"567","secure",60,"description",88
"568","secure",60,"note",84
"569","apply",59,"note",49
"570","apply",59,"aug",11
"571","apply",59,"nov",11
"572","apply",59,"limitation",9
"573","apply",59,"link",8
"574","capture",59,"routine",49
"575","capture",59,"description",48
"576","capture",59,"dj",48
"577","capture",59,"note",47
"578","capture",59,"aug",14
"579","advise",58,"note",30
"580","advise",58,"expert",18
"581","advise",58,"sf",11
"582","advise",58,"concern",10
"583","advise",58,"knowledge",10
"584","sustain",58,"note",74
"585","sustain",58,"aug",20
"586","sustain",58,"sep",19
"587","sustain",58,"oct",12
"588","sustain",58,"equip",10
"589","prevent",57,"note",67
"590","prevent",57,"routine",64
"591","prevent",57,"sep",16
"592","prevent",57,"take",15
"593","prevent",57,"reduce",11
"594","prevent",57,"dec",11
"595","prevent",57,"mar",11
"596","counter",56,"priority",193
"597","counter",56,"approval",182
"598","counter",56,"description",174
"599","counter",56,"conduct",172
"600","counter",56,"routine",171
"601","gain",55,"note",54
"602","gain",55,"description",50
"603","gain",55,"date",46
"604","gain",55,"dj",45
"605","gain",55,"priority",44
"606","utilize",55,"2",26
"607","utilize",55,"view",25
"608","utilize",55,"socio",15
"609","utilize",55,"decentralize",7
"610","utilize",55,"unity",7
"611","improve",54,"note",50
"612","improve",54,"routine",46
"613","improve",54,"sep",20
"614","improve",54,"reduce",18
"615","improve",54,"institution",13
"616","improve",54,"relationship",13
"617","improve",54,"contact",13
"618","learn",54,"lesson",56
"619","learn",54,"dj",39
"620","learn",54,"description",38
"621","learn",54,"routine",38
"622","learn",54,"note",37
"623","deny",51,"note",63
"624","deny",51,"description",62
"625","deny",51,"dj",59
"626","deny",51,"routine",53
"627","deny",51,"include",48
"628","monitor",51,"note",103
"629","monitor",51,"description",102
"630","monitor",51,"dj",101
"631","monitor",51,"routine",98
"632","monitor",51,"sn",38
"633","monitor",51,"status",38
"634","send",51,"dj",36
"635","send",51,"description",35
"636","send",51,"routine",35
"637","send",51,"note",32
"638","send",51,"transmit",14
"639","warn",50,"note",237
"640","warn",50,"provide",234
"641","warn",50,"description",233
"642","warn",50,"priority",223
"643","warn",50,"date",223
"644","contain",49,"include",40
"645","contain",49,"description",35
"646","contain",49,"approval",34
"647","contain",49,"date",34
"648","contain",49,"priority",33
"649","contain",49,"dj",33
"650","equip",49,"note",41
"651","equip",49,"sep",11
"652","equip",49,"posture",8
"653","equip",49,"fulfill",6
"654","equip",49,"hand",5
"655","equip",49,"homeland",5
"656","equip",49,"knowledge",5
"657","equip",49,"limit",5
"658","equip",49,"matter",5
"659","equip",49,"specialize",5
"660","equip",49,"typically",5
"661","equip",49,"utilize",5
"662","transmit",49,"routine",33
"663","transmit",49,"dj",31
"664","transmit",49,"note",31
"665","transmit",49,"description",30
"666","transmit",49,"intercontinental",16
"667","emerge",48,"note",36
"668","emerge",48,"description",35
"669","emerge",48,"dj",33
"670","emerge",48,"routine",29
"671","emerge",48,"situation",28
"672","initiate",48,"note",42
"673","initiate",48,"routine",35
"674","initiate",48,"minimum",8
"675","initiate",48,"sep",8
"676","initiate",48,"must",7
"677","initiate",48,"knowledge",7
"678","launch",48,"description",77
"679","launch",48,"note",74
"680","launch",48,"routine",70
"681","launch",48,"dj",69
"682","launch",48,"sn",39
"683","neutralize",47,"note",54
"684","neutralize",47,"sep",7
"685","neutralize",47,"occur",5
"686","neutralize",47,"passage",5
"687","neutralize",47,"penetrate",5
"688","neutralize",47,"preserve",5
"689","neutralize",47,"purpose",5
"690","neutralize",47,"self",5
"691","neutralize",47,"throughout",5
"692","neutralize",47,"wartime",5
"693","neutralize",47,"fratricide",5
"694","neutralize",47,"great",5
"695","neutralize",47,"jun",5
"696","neutralize",47,"radio",5
"697","process",47,"note",507
"698","process",47,"date",504
"699","process",47,"description",497
"700","process",47,"dj",495
"701","process",47,"routine",487
"702","promote",47,"description",35
"703","promote",47,"note",35
"704","promote",47,"dj",34
"705","promote",47,"routine",34
"706","promote",47,"relationship",22
"707","recommend",47,"note",64
"708","recommend",47,"description",62
"709","recommend",47,"dj",62
"710","recommend",47,"routine",60
"711","recommend",47,"sn",32
"712","document",46,"note",111
"713","document",46,"routine",109
"714","document",46,"description",108
"715","document",46,"dj",107
"716","document",46,"include",81
"717","contribute",45,"note",40
"718","contribute",45,"knowledge",9
"719","contribute",45,"sep",9
"720","contribute",45,"culture",8
"721","contribute",45,"native",7
"722","acquire",44,"description",38
"723","acquire",44,"routine",38
"724","acquire",44,"note",38
"725","acquire",44,"dj",37
"726","acquire",44,"perform",14
"727","compare",44,"dj",29
"728","compare",44,"routine",29
"729","compare",44,"description",28
"730","compare",44,"note",26
"731","compare",44,"objective",15
"732","fix",44,"description",39
"733","fix",44,"dj",39
"734","fix",44,"routine",39
"735","fix",44,"note",38
"736","fix",44,"ensure",13
"737","fix",44,"prepare",13
"738","occur",44,"sep",11
"739","occur",44,"throughout",7
"740","occur",44,"timely",7
"741","occur",44,"phenomenon",7
"742","occur",44,"perception",6
"743","occur",44,"self",6
"744","occur",44,"combination",6
"745","occur",44,"naturally",6
"746","propose",43,"sep",10
"747","propose",43,"timely",4
"748","propose",43,"originate",4
"749","propose",43,"reject",4
"750","propose",43,"retain",3
"751","propose",43,"way",3
"752","propose",43,"competent",3
"753","propose",43,"dotmlpf",3
"754","propose",43,"highlight",3
"755","propose",43,"loac",3
"756","propose",43,"rejection",3
"757","propose",43,"representation",3
"758","propose",43,"separately",3
"759","propose",43,"tas",3
"760","ally",42,"description",138
"761","ally",42,"note",138
"762","ally",42,"date",127
"763","ally",42,"dj",127
"764","ally",42,"routine",124
"765","build",42,"description",68
"766","build",42,"note",68
"767","build",42,"date",66
"768","build",42,"dj",66
"769","build",42,"priority",65
"770","build",42,"routine",65
"771","give",42,"routine",28
"772","give",42,"note",27
"773","give",42,"dec",8
"774","give",42,"limit",7
"775","give",42,"aug",6
"776","give",42,"contact",6
"777","restore",42,"description",41
"778","restore",42,"routine",41
"779","restore",42,"dj",40
"780","restore",42,"note",40
"781","restore",42,"accomplish",11
"782","restore",42,"reestablish",11
"783","pass",41,"routine",28
"784","pass",41,"note",25
"785","pass",41,"classification",9
"786","pass",41,"reliability",8
"787","pass",41,"sufficient",7
"788","pass",41,"tool",7
"789","pass",41,"aug",7
"790","pass",41,"sep",7
"791","cover",40,"note",35
"792","cover",40,"sep",7
"793","cover",40,"knowledge",5
"794","cover",40,"culture",4
"795","cover",40,"sabotage",4
"796","cover",40,"addition",4
"797","cover",40,"apr",4
"798","improvise",40,"device",99
"799","improvise",40,"ied",99
"800","improvise",40,"establish",88
"801","improvise",40,"task",68
"802","improvise",40,"counter",67
"803","modify",40,"note",39
"804","modify",40,"routine",34
"805","modify",40,"relationship",11
"806","modify",40,"dec",10
"807","modify",40,"new",6
"808","modify",40,"sep",6
"809","modify",40,"throughout",6
"810","satisfy",40,"note",49
"811","satisfy",40,"aug",19
"812","satisfy",40,"sufficient",13
"813","satisfy",40,"tool",13
"814","satisfy",40,"accurate",12
"815","construct",39,"description",28
"816","construct",39,"routine",28
"817","construct",39,"note",28
"818","construct",39,"gravity",23
"819","construct",39,"option",22
"820","exercise",39,"command",217
"821","exercise",39,"conduct",184
"822","exercise",39,"state",178
"823","exercise",39,"include",178
"824","exercise",39,"priority",159
"825","forward",39,"note",49
"826","forward",39,"dj",47
"827","forward",39,"description",45
"828","forward",39,"routine",45
"829","forward",39,"objective",20
"830","limit",39,"note",67
"831","limit",39,"sep",10
"832","limit",39,"nov",9
"833","limit",39,"occur",8
"834","limit",39,"neutralize",7
"835","limit",39,"normally",7
"836","return",39,"routine",34
"837","return",39,"note",32
"838","return",39,"aug",11
"839","return",39,"wound",9
"840","return",39,"sep",8
"841","schedule",39,"note",51
"842","schedule",39,"description",50
"843","schedule",39,"routine",47
"844","schedule",39,"dj",45
"845","schedule",39,"commercial",16
"846","damage",38,"percent",239
"847","damage",38,"note",184
"848","damage",38,"jp",182
"849","damage",38,"description",171
"850","damage",38,"priority",163
"851","influence",38,"note",112
"852","influence",38,"description",111
"853","influence",38,"dj",111
"854","influence",38,"routine",107
"855","influence",38,"objective",51
"856","design",37,"description",78
"857","design",37,"note",78
"858","design",37,"dj",76
"859","design",37,"routine",76
"860","design",37,"sn",44
"861","lead",37,"note",61
"862","lead",37,"description",59
"863","lead",37,"dj",54
"864","lead",37,"routine",53
"865","lead",37,"relate",20
"866","op",37,"routine",381
"867","op",37,"dj",365
"868","op",37,"description",350
"869","op",37,"note",328
"870","op",37,"within",105
"871","accept",36,"note",26
"872","accept",36,"dec",13
"873","accept",36,"propose",9
"874","accept",36,"sep",8
"875","accept",36,"originate",6
"876","accept",36,"rejection",6
"877","generate",36,"description",25
"878","generate",36,"dj",25
"879","generate",36,"routine",25
"880","generate",36,"note",23
"881","generate",36,"sn",14
"882","inform",36,"note",36
"883","inform",36,"perception",12
"884","inform",36,"typically",11
"885","inform",36,"cognition",11
"886","inform",36,"knowledge",10
"887","inform",36,"driver",10
"888","inform",36,"jcoie",10
"889","know",36,"note",36
"890","know",36,"routine",34
"891","know",36,"value",9
"892","know",36,"aug",8
"893","know",36,"perform",7
"894","know",36,"prevent",7
"895","know",36,"accurate",7
"896","know",36,"utilize",7
"897","contract",35,"priority",226
"898","contract",35,"requirement",217
"899","contract",35,"task",215
"900","contract",35,"include",211
"901","contract",35,"service",202
"902","suspect",35,"note",21
"903","suspect",35,"assembly",13
"904","suspect",35,"precise",13
"905","suspect",35,"fabrication",13
"906","suspect",35,"posture",11
"907","continue",34,"note",28
"908","continue",34,"sep",6
"909","continue",34,"dec",5
"910","continue",34,"occur",5
"911","continue",34,"effective",4
"912","continue",34,"expert",4
"913","continue",34,"jan",4
"914","continue",34,"limit",4
"915","continue",34,"link",4
"916","continue",34,"minimum",4
"917","continue",34,"timely",4
"918","distribute",34,"note",30
"919","distribute",34,"limit",7
"920","distribute",34,"nov",6
"921","distribute",34,"feb",4
"922","distribute",34,"oct",4
"923","distribute",34,"sep",4
"924","distribute",34,"timely",4
"925","distribute",34,"supplier",4
"926","estimate",34,"priority",131
"927","estimate",34,"date",126
"928","estimate",34,"routine",120
"929","estimate",34,"description",118
"930","estimate",34,"dj",117
"931","notify",34,"routine",23
"932","notify",34,"note",22
"933","notify",34,"return",7
"934","notify",34,"ready",6
"935","notify",34,"dec",6
"936","notify",34,"jtru",6
"937","synthesize",34,"utilize",28
"938","synthesize",34,"2",28
"939","synthesize",34,"view",27
"940","synthesize",34,"terrain",15
"941","synthesize",34,"socio",14
"942","cancel",32,"note",19
"943","cancel",32,"disrupt",11
"944","cancel",32,"description",11
"945","cancel",32,"routine",10
"946","cancel",32,"dj",9
"947","exert",32,"mnfs",7
"948","exert",32,"interrogate",4
"949","exert",32,"traditional",3
"950","exert",32,"expression",2
"951","exert",32,"flag",2
"952","exert",32,"fo",2
"953","exert",32,"four",2
"954","exert",32,"governmental",2
"955","exert",32,"igos",2
"956","exert",32,"jun",2
"957","exert",32,"moas",2
"958","exert",32,"opords",2
"959","exert",32,"respective",2
"960","exert",32,"socio",2
"961","exert",32,"systematic",2
"962","exert",32,"view",2
"963","reach",32,"note",28
"964","reach",32,"description",22
"965","reach",32,"dj",22
"966","reach",32,"routine",22
"967","reach",32,"receive",11
"968","reach",32,"g",11
"969","reach",32,"pod",11
"970","reach",32,"first",11
"971","command",31,"note",935
"972","command",31,"priority",927
"973","command",31,"description",921
"974","command",31,"date",919
"975","command",31,"dj",893
"976","do",31,"easy",4
"977","do",31,"feel",4
"978","do",31,"for",4
"979","do",31,"makes",4
"980","do",31,"strongly",4
"981","do",31,"well",4
"982","track",31,"note",64
"983","track",31,"description",60
"984","track",31,"dj",57
"985","track",31,"routine",57
"986","track",31,"sn",32
"987","warning",31,"mwtty",4
"988","warning",31,"teletype",4
"989","warning",31,"counterforce",2
"990","warning",31,"cue",2
"991","warning",31,"phenomenology",2
"992","warning",31,"relay",2
"993","warning",31,"threatcon",2
"994","warning",31,"unknown",2
"995","close",30,"date",59
"996","close",30,"description",52
"997","close",30,"note",52
"998","close",30,"dj",50
"999","close",30,"routine",49
"1000","defend",30,"description",33
