Most Mentioned Sources
1392 documents  for All Dates

Source,Document Count,Circulation,Unique Visitors/Month,Publisher,Source Website
Household & Personal Products Industry,2,,,Rodman Media Co.,http://www.happi.com
Investment Weekly News,2,,,"NewsRX, LLC",http://www.newsrx.com/NewsRxCorp/#!/home
"The Herald-Sun (Tribune Content Agency)(Durham, N.C.)",2,,,Tribune Content Agency,http://www.heraldsun.com
Medical Design Technology,2,,,Advantage Business Media LLC,http://www.mdtmag.com/
Memphis Business Journal Online (Tenn.),2,,,American City Business Journals,http://www.bizjournals.com/memphis
"MMM, Medical Marketing & Media",2,,,Haymarket Media Inc (US),http://www.mmm-online.com
Marketing Weekly News,2,,,"NewsRX, LLC",http://www.marketingweek.com
Plastics News,2,,,"Crain Communications, Inc.",http://plasticsnews.com
"Rubber & Plastics News (U.S., Abstracts)",2,"11,735",,Elsevier Science Ltd.,http://rubbernews.com
The San Mateo Daily Journal (Calif.),2,"14,800",,The San Mateo Daily Journal,http://mercurynews.com/peninsula
San Diego Business Journal,2,,,San Diego Business Journal,http://www.sdbj.com
San Francisco Business Times Online,2,,,American City Business Journals,http://www.bizjournals.com/sanfrancisco
Moody's Investors Service - All sources,2,,,,
American News (S.D.),1,"11,281",,"Schurz Communications, Inc.",http://www.aberdeennews.com
American Health Line,1,,,The Advisory Board Company/American Health Line,http://www.americanhealthline.com
"The Sun Chronicle (Attleboro, Mass.)",1,"11,122",,United Communications Corp.,http://www.thesunchronicle.com
BEEF,1,,,Penton Business Media,https://beefmagazine.com
Benzinga.com,1,,"410,597",Benzinga.com,http://benzinga.com
Chemical Engineering Progress (Abstracts),1,,,Elsevier Science Ltd.,http://www.aiche.org
Business Courier of Cincinnati Online,1,,,American City Business Journals,http://www.bizjournals.com/cincinnati
"The Californian, Salinas (Calif.)",1,"4,344",,"Gannett Co., Inc. - Newspaper Division",http://www.thecalifornian.com
Convenience Store News,1,,,"Stagnito Partners, LLC",http://www.csnews.com/
Corvallis Gazette-Times (Ore.),1,"7,393",,Mid-Valley Media,http://www.gazettetimes.com
Dayton Business Journal Online (Ohio),1,,,American City Business Journals,http://www.bizjournals.com/dayton
Defense & Aerospace Week,1,,,"NewsRX, LLC",http://www.newsrx.com/NewsRxCorp
"Democrat & Chronicle (Rochester, N.Y.)",1,"97,080",,"Gannett Co., Inc. - Newspaper Division",http://www.democratandchronicle.com
Food Weekly News,1,,,"NewsRX, LLC",http://www.newsrx.com/NewsRxCorp
Food & Beverage Close-Up,1,,,"Close-Up Media, Inc.",http://www.closeupmedia.com
Health Data Management Online,1,,"21,520","SourceMedia, Inc.",http://www.healthdatamanagement.com
Indianapolis Business Journal,1,,,IBJ Corporation,http://www.ibj.com
Idaho State Journal,1,"10,790",,Pioneer News Group,http://www.idahostatejournal.com
Idaho Press-Tribune,1,"12,442",,Pioneer News Group,http://www.idahopress.com
FDA Week,1,,,Inside Washington Publishers,http://insidehealthpolicy.com
InsideHealthPolicy.com's Daily Briefing,1,,,Inside Washington Publishers,http://insidehealthpolicy.com
Inside Health Reform,1,,"1,732",Inside Washington Publishers,http://insidehealthpolicy.com
Investor's Business Daily (U.S.),1,"101,600",,Investor's Business Daily,http://www.investors.com
Kalamazoo Gazette (Mich.),1,"25,174",,"Advance Publications, Inc.",http://mlive.com/kalamazoo
"The Gazette (Tribune Content Agency) (Colorado Springs, Colo.)",1,"39,165",,Tribune Content Agency,http://www.gazette.com
"Press-Telegram (Long Beach, Calif.)",1,"17,025",,MediaNews Group Inc.,http://www.presstelegram.com
Minneapolis/St. Paul Business Journal,1,,,American City Business Journals,http://www.bizjournals.com/twincities
Star-Tribune (Minneapolis-St. Paul),1,"181,779",,The Star Tribune Company,http://www.startribune.com
Minneapolis/St. Paul Business Journal Online,1,,,American City Business Journals,http://www.bizjournals.com/twincities
CE NoticiasFinancieras (Latin America),1,,,Content Engine LLC,http://www.finanzas.com/noticias
National Hog Farmer,1,,,Penton Business Media,http://www.nationalhogfarmer.com
The Daily News of Newburyport (Mass.),1,"5,610",,"Community Newspaper Holdings, Inc.",http://newburyportnews.com
"The Northwest Herald (McHenry County, Ill.)",1,"23,310",,Shaw Media,http://www.nwherald.com
Orange County Business Journal (Calif.),1,,,"CBJ, L. P.",http://www.ocbj.com
The Orange County Register (Calif.),1,"116,250",,MediaNews Group Inc.,http://www.ocregister.com
The Oklahoman,1,"97,969",,The Oklahoma Publishing Co.,http://newsok.com
Philadelphia Business Journal,1,,,American City Business Journals,http://www.bizjournals.com/philadelphia
"Plastics News (U.S., Abstracts)",1,"45,268",,Elsevier Science Ltd.,http://plasticsnews.com
Politics & Government Week,1,,,"NewsRX, LLC",http://www.newsrx.com/Butter/#!Search:results
Portland Press Herald (Maine),1,"29,919",,MaineToday Media,http://www.pressherald.com
"Triangle Business Journal Online (Raleigh/Durham, N.C.)",1,,,American City Business Journals,http://www.bizjournals.com/triangle
San Diego Union-Tribune,1,"97,374",,Union-Tribune Publishing Company,http://sandiegouniontribune.com
The Boston Globe - All sources,1,,,,
Chicago Daily Herald - All sources,1,,,,
Chicago Tribune - All sources,1,,,,
Miami Herald - All sources,1,,,,
The New York Times - All sources,1,,,,
Platts - All sources,1,,,,
Reuters - All sources,1,,,,
San Antonio Express-News - All sources,1,,,,


Search Summary,
Text,ns=C22 and (hlp=((new device or new devices or new drug or new drugs or new product or new products) and (announced the launch or announces the launch or launch or launches or launched or announced new or announces new or announces launch or introduce or introduces or introduced)) or ns=(CDINN or CGVFIL)) and in=(I257 or I372) and fmt=article and date from 01/01/2013 to 12/31/2016 and roo=USA and re=USA and la=en not (ns=(CMARKR or c01 or CIPROF or C41 or C18 or C133 or NRMF or NNAM or NOBT or NLIST or NHOC or C1521 or NAMT) or in=IDDTECH or Drug Administration announced approval)
Date,All Dates
Source,Not US Food and Drug Administration News (Abstracts)
Author,All Authors
Company, Not U.S. Food and Drug Administration
Subject,All Subjects
Industry,All Industries
Region,United States Not China Not Japan Not Europe
Language,English
Results Found,"1,392"
Timestamp,30 April 2019 15:14
"© 2019 Factiva, Inc.  All rights reserved."
