"","ONET Certification","VA Certification"
"2466","stamping level ii - operate with deep draw dies ii","stamping level ii: operate deep draw dies ii"
"727","comptia a+ certification","comptia a+ certification"
"2383","machining level i - cnc milling: programming setup & operations","machining level i: cnc turning: programming setup & operations"
"2306","undercar specialist: exhaust systems","automotive service excellence (ase) - x1 undercar specialist exhaust systems test"
"2179","auto maintenance and light repair certification","automotive service excellence (ase) - g1 auto maintenance and light repair certification"
"1233","microsoft office specialist: microsoft excel 2016 expert","microsoft office specialist (mos) - excel 2016"
"2469","stamping level ii - operate with progressive dies ii","stamping level ii: operate with transfer dies ii"
"1293","microsoft office specialist: microsoft excel 2016 expert","microsoft office specialist (mos) - excel expert 2013"
"1294","microsoft office specialist: microsoft word 2016 expert","microsoft office specialist (mos) - word expert 2013"
"1318","microsoft office specialist: microsoft excel 2016 expert","microsoft office specialist (mos) - excel expert 2010"
"1370","microsoft office specialist: microsoft word 2016 expert","microsoft office specialist (mos) - word expert 2010"
"869","student electronics technician","student electronics technician certification"
"2463","screw machining level iii - set up & operate with multiple spindles iii","screw machining level iii: setup & operate with multiple spindles iii"
"2852","pmmi mechatronics: industrial electricity 1","mechatronics - industrial electricity 1"
"143","certified working pastry chef","certified working pastry chef (cwpc)"
"950","reel technology certification","reel technology certification"
"5","adobe photoshop cc 2015","adobe certified associate - photoshop cc"
"1252","microsoft office specialist: microsoft office 2016 master specialist","microsoft office specialist (mos) - access 2016"
"1231","microsoft office specialist: microsoft access expert (access and access 2019)","microsoft office specialist (mos) - access 2019  "
"1237","microsoft office specialist: microsoft excel expert (excel and excel 2019)","microsoft office specialist (mos) - excel 2019"
"1238","microsoft office specialist: microsoft word expert (word and word 2019)","microsoft office specialist (mos) - word 2019"
"1235","microsoft office specialist: microsoft outlook 2016","microsoft office specialist (mos) - outlook 2019"
"1236","microsoft office specialist: powerpoint associate 2019","microsoft office specialist (mos) - powerpoint 2019"
"1240","microsoft office specialist: microsoft powerpoint 2016","microsoft office specialist (mos) - powerpoint 2013"
"1265","microsoft office specialist: microsoft word 2016","microsoft office specialist (mos) - word 2013"
"1296","microsoft office specialist: microsoft word 2016","microsoft office specialist (mos) - word 2010"
"1299","microsoft office specialist: microsoft powerpoint 2016","microsoft office specialist (mos) - powerpoint 2010"
"1312","microsoft office specialist: microsoft outlook 2016","microsoft office specialist (mos) - outlook 2013"
"1316","microsoft office specialist: microsoft outlook 2016","microsoft office specialist (mos) - outlook 2010"
"937","arcgis desktop entry 10.4","arcgis desktop entry"
"2973","leed ap building design + construction","leed ap interior design + construction"
"2462","screw machining level iii - set up & operate with single spindles iii","screw machining level iii: setup & operate with single spindle iii"
"951","system diagnostics & troubleshooting certification","esco system diagnostics & troubleshooting (air conditioning )"
"885","computer service technician","computer service technician"
"1289","microsoft office specialist: microsoft office 2016 master specialist","microsoft office specialist (mos) - master 2013"
"1390","microsoft office specialist: microsoft office 2016 master specialist","microsoft office specialist (mos) - master 2010"
"2909","certified home energy rater","home energy rating system (hers) rater"
"2882","certified associate in project management","certified associate in project management (capm)"
"1550","certified respiratory therapist","certified respiratory therapist (crt)"
"2119","medium/heavy truck technician: preventive maintenance inspection","ase entry-level medium/heavy truck inspection maintenance & minor repair"
"2240","automobile service consultant (b6)","automotive service excellence (ase) - c1 automobile service consultant"
"142","certified sous chef","certified sous chef (csc)"
"1555","certified respiratory therapist","registered respiratory therapist (rrt)"
"2851","pmmi mechatronics: programmable logic controllers 1","mechatronics - programmable logic controllers (plcs) 2"
"819","comptia it fundamentals","comptia healthcare it technician"
"618","ciw web security associate","certified internet web (ciw) internet business associate"
"622","ciw web security associate","certified internet web (ciw) network technology associate"
"150","architectural apprentice drafter","architectural drafter"
"2151","collision repair and refinish: non-structural analysis and damage repair","ase entry-level certification - non-structural analysis and damage repair"
"1241","microsoft office specialist: microsoft access expert (access and access 2019)","microsoft office specialist (mos) - access 2013"
"1262","microsoft office specialist: microsoft excel expert (excel and excel 2019)","microsoft office specialist (mos) - excel 2013"
"1302","microsoft office specialist: microsoft excel expert (excel and excel 2019)","microsoft office specialist (mos) - excel 2010"
"1303","microsoft office specialist: microsoft access expert (access and access 2019)","microsoft office specialist (mos) - access 2010"
"1157","life support technician","international trauma life support provider"
"1158","life support technician","pediatric international trauma life support (pitls)"
"1525","life support technician","advanced medical life support (amls)"
"185","life support technician","pediatric advanced life support (pals)"
"193","life support technician","advanced cardiovascular life support (acls)"
"195","life support technician","advanced cardiac life support (acls) for instructors"
"239","life support technician","basic life support (cpr) instructor"
"255","life support technician","prehospital trauma life support"
"262","life support technician","advanced cardiac life support for the experienced provider (acls-ep)"
"318","certified stormwater manager","certified stormwater manager"
"864","certified satellite installer","certified satellite dish installer"
"2702","solar heating installer","solar heating - entry level"
"2256","truck equipment specialist installation and repair","automotive service excellence (ase) - e1 truck equipment installation &amp; repair"
"1927","fluid power pneumatic mechanic","fundamentals of fluid power - pneumatics"
"1511","epa section 608 certification - refrigerant handling","epa section 609 refrigerant recovery certification"
"1556","certified surgical technologist","certified surgical technologist"
"2394","machining level i - cnc milling: programming setup & operations","machining level i:  cnc mill operations"
"148","mechanical certified drafter","mechanical drafter"
"2250","transit bus - heating ventilation and air conditioning (hvac) (h7)","automotive service excellence (ase) - h7 heating ventilation &amp; air conditioning (hvac)"
"1677","project management institute","construction project management"
"2883","project management institute","project management professional (pmp)"
"1346","microsoft office specialist: microsoft office 2016 master specialist","microsoft office specialist (mos) - sharepoint 2013"
"1402","microsoft office specialist: microsoft office 2016 master specialist","microsoft office specialist (mos) - sharepoint 2010"
"1436","microsoft office specialist: microsoft office 2016 master specialist","microsoft office specialist (mos) - onenote 2013"
"1439","microsoft office specialist: microsoft office 2016 master specialist","microsoft office specialist (mos) - onenote 2010"
"587","certified energy auditor","energy auditor"
"1591","solar heating installer","solar photovoltaic system installer"
"645","ciw web security specialist","certified internet web (ciw) advanced html5 & css3 specialist"
"939","compact diesel technician certification","compact diesel engine certification"
"2907","universal r-410a certification","universal r-410 safety certification"
"2252","transit bus - preventive maintenance and inspection (pmi) (h8)","automotive service excellence (ase) - h8 preventive maintenance &amp; inspection (pmi)"
"2117","master medium/heavy truck specialist","ase entry-level medium/heavy truck brakes"
"2118","master medium/heavy truck specialist","ase entry-level medium/heavy truck suspension & steering"
"2120","master medium/heavy truck specialist","ase entry-level medium/heavy truck electrical/electronic systems"
"2121","master medium/heavy truck specialist","ase entry-level medium/heavy truck diesel engines"
"2246","transit bus - drive train (h3)","automotive service excellence (ase) - h3 drive train"
"2254","transit bus - diesel engines (h2)","automotive service excellence (ase) - h2 diesel engines"
"2243","automobile and light truck certification:  light vehicle diesel engines  (a9)","automotive service excellence (ase) - a9 light vehicle diesel engines"
"515","apple certified support professional (acsp) 10.15","apple certified support professional (acsp)"
"2847","pmmi mechatronics: industrial electricity 1","mechatronics - industrial electricity 2"
"404","quality control inspector","certified quality inspector (cqi)"
"2967","epa section 608 certification - refrigerant handling","epa section 608 technician certification"
"839","site development associate","child development associate (cda)"
"2957","certified maintenance and reliability technician","certified maintenance and reliability technician (cmrt)"
"2386","machining level i - cnc milling: programming setup & operations","machining level i: cnc milling: operator"
"652","certtec basic electricity and electronics certification","basic electricity and electronics"
"1042","hdi certified customer service representative","customer service representative"
"2148","collision repair and refinish: non-structural analysis and damage repair","automotive service excellence (ase) - b3 non-structural analysis &amp; damage repair"
"2176","automobile and light truck certification:  manual drive train and axles  (a3)","automotive service excellence (ase) - a3 manual drive train and axles"
"2150","collision repair and refinish: non-structural analysis and damage repair","ase entry-level certification - structural analysis and damage repair"
"2129","auto maintenance and light repair certification","ase student certification - maintenance/light repair"
"2921","coating inspector program level 2","siemens mechatronic systems certification program level 2"
"2194","transit bus technician: heating ventilation & air conditioning","automotive service excellence (ase) - t7 heating, ventilation, and air conditioning systems"
"2458","diemaking level iii","press brake level iii: setup and operate cnc drive iii"
"2459","diemaking level iii","press brake level iii: setup and operate non-cnc mechanical iii"
"2470","diemaking level iii","stamping level iii: parts inspection and quality control"
"1100","certified administrative professional","certified administrative professional (cap)"
"2474","level iii machine lubricant analyst","machine building level iii: mechancial assembly"
"861","associate electronics technician - comprehensive","electronics, certified electronics technician (cet) associate"
"12","adobe photoshop cc 2015","visual design using adobe photoshop"
"13","adobe illustrator cc 2015","adobe certified associate in multiplatform animation using adobe animate cc"
"16","adobe photoshop cc 2015","adobe certified associate - photoshop cs5"
"29","adobe photoshop cc 2015","adobe certified associate - photoshop cs4"
"30","adobe photoshop cc 2015","adobe certified associate - photoshop cs3"
"40","adobe photoshop cc 2015","visual communication using adobe photoshop"
"85","master trainer","personal trainer certification"
"486","sae fabricator","certified welding fabricator (cwf)"
"525","autodesk, inc.","autodesk autocad certified user"
"526","autodesk, inc.","autodesk certified user: fusion 360"
"528","autodesk, inc.","autodesk certified professional: revit"
"529","autodesk, inc.","autodesk certified professional: inventor"
"530","autodesk, inc.","autodesk certified professional: 3ds max  "
"531","autodesk, inc.","autodesk certified user: inventor"
"532","autodesk, inc.","autodesk revit architecture"
"533","autodesk, inc.","autodesk inventor"
"537","autodesk, inc.","autodesk certified user: autocad"
"540","autodesk, inc.","autodesk certified user: revit architecture"
"722","comptia ctt+","comptia linux+ certification"
"724","comptia ctt+","comptia security+ certification"
"726","comptia ctt+","comptia network+ certification"
"732","comptia ctt+","comptia server+ certification"
"742","comptia ctt+","comptia cloud+"
"1172","master trainer","mt1 certified trainer "
"2248","transit bus - suspension and steering (h5)","automotive service excellence (ase) - h5 suspension &amp; steering"
"2834","oracle corporation","oracle certified professional, java se 7 programmer"
"2835","oracle corporation","oracle certified associate, java se 7 programmer"
"2718","heat pump certification","residential heat pumps"
"2450","diemaking level ii","machining level ii: manual milling skills ii"
"2451","diemaking level ii","machining level ii: drill press skills ii"
"2452","diemaking level ii","machining level ii: grinding ii"
"2453","diemaking level ii","machining level ii: cnc milling skills ii"
"2454","diemaking level ii","machining level ii: cnc turning skills ii"
"2455","diemaking level ii","machining level ii: edm - 2-axis wire"
"2456","diemaking level ii","machining level ii: edm-plunge"
"2464","diemaking level ii","slide forming level ii: slide forming operations ii"
"2478","diemaking level ii","press brake level ii: operate non-cnc drive press brake skills ii"
"2482","diemaking level ii","press brake level ii: cnc punch (turret) press level ii"
"7","adobe illustrator cc 2015","adobe certified associate - illustrator"
"643","certified internet web professionals","certified internet web (ciw) user interface designer"
"1016","advanced engine performance specialist","mopar level 1: engine repair and performance"
"1019","advanced engine performance specialist","mopar level 2: engine repair and performance"
"1022","advanced engine performance specialist","mopar level 3: engine repair and performance"
"1239","microsoft corporation","microsoft technology associate (mta) - html5 application development fundamentals"
"1242","microsoft corporation","microsoft technology associate (mta) - software development fundamentals"
"1243","microsoft corporation","microsoft technology associate (mta) - security fundamentals"
"1244","microsoft corporation","microsoft technology associate (mta) - windows operating system fundamentals"
"1245","microsoft corporation","microsoft technology associate (mta) - network fundamentals"
"1272","microsoft corporation","microsoft technology associate cloud fundamentals exam 98-369"
"1320","microsoft corporation","microsoft technology associate (mta) - database fundamentals"
"1329","microsoft corporation","microsoft technology associate (mta) - windows server administration fundamentals"
"1335","microsoft corporation","microsoft certified solutions associate (mcsa) - sql server 2012"
"1338","microsoft corporation","microsoft certified solutions expert (mcse) - data platform"
"1359","microsoft corporation","microsoft certified solutions associate (mcsa) - server"
"1364","microsoft corporation","microsoft certified solutions associate (mcsa) - windows server 2012"
"1437","microsoft corporation","microsoft technology associate security fundamentals"
"1438","microsoft corporation","microsoft technology associate windows server administration fundamentals"
"2132","advanced engine performance specialist","ase student certification - engine performance"
"2174","advanced engine performance specialist","automotive service excellence (ase) - a8 engine performance"
"689","wireless communications","cisco certified network associate (ccna) wireless"
"1161","linux professional institute","lpic-1 linux server professional "
"2878","energy risk professional","professional risk manager (prm)"
"411","certified administrative professional","professional administrative certification of excellence (pace)"
"2128","automobile and light truck certification:  manual drive train and axles  (a3)","ase student certification - manual drive train and axles"
"2832","certified web developer associate","oracle certified expert, java ee 6 web component developer"
"616","certification board for sterile processing and distribution","certified sterile processing and distribution technician"
"1960","fluid power pneumatic mechanic","applied fluid power"
"1","kcs foundation","astqb certified tester foundation level "
"398","energy auditor","certified quality auditor (cqa)"
"2621","kcs principles","principles of food and beverage management 2.0"
"2676","kcs foundation","foundation retail management"
"1957","system diagnostics & troubleshooting certification","battery, starting & charging system diagnostic certification - eesc750"
"873","associate electronics technician - comprehensive","electronics module - comprehensive (ems)"
"874","associate electronics technician - analog","electronics module - analog (em3)"
"2850","mechatronics: fluid power 1","mechatronics - mechanical components 1"
"871","associate electronics technician - digital","electronics module - digital (em4)"
"1515","certified apartment maintenance technician","certificate for apartment maintenance technicians (camt) "
"2175","automobile and light truck certification: heating and air conditioning  (a7)","automotive service excellence (ase) - a7 heating and air conditioning"
"2193","transit bus technician: preventive maintenance & inspection","automotive service excellence (ase) - t8 preventive inspection maintenance"
"2695","pv installation professional","photovoltiac installation professional certification"
"75","light commercial refrigeration service","hvac light commercial heating and air conditioning"
"1082","transit bus - heating ventilation and air conditioning (hvac) (h7)","hvac residential air conditioning and heating certification"
"2147","national institute for automotive service excellence","automotive service excellence (ase) - b4 structural analysis &amp; damage repair"
"2149","national institute for automotive service excellence","automotive service excellence (ase) - b2 painting &amp; refinishing"
"2171","national institute for automotive service excellence","automotive service excellence (ase) - a4 suspension and steering"
"2172","national institute for automotive service excellence","automotive service excellence (ase) - a5 brakes"
"2173","national institute for automotive service excellence","automotive service excellence (ase) - a6 electrical/electronic systems"
"2177","national institute for automotive service excellence","automotive service excellence (ase) - a1 engine repair"
"2178","national institute for automotive service excellence","automotive service excellence (ase) - a2 automatic transmissions/transaxle"
"2189","national institute for automotive service excellence","automotive service excellence (ase) - t6 electrical/electronic systems"
"2190","national institute for automotive service excellence","automotive service excellence (ase) - t5 suspension and steering"
"2191","national institute for automotive service excellence","automotive service excellence (ase) - t2 diesel engines"
"2195","national institute for automotive service excellence","automotive service excellence (ase) - t3 drive train"
"2196","national institute for automotive service excellence","automotive service excellence (ase) - t4 brakes"
"2221","national institute for automotive service excellence","automotive service excellence (ase) - l2 electronic diesel engine diagnosis specialist"
"2223","national institute for automotive service excellence","automotive service excellence (ase) - f1 alternate fuels certification"
"2241","national institute for automotive service excellence","automotive service excellence (ase) - b6 damage analysis &amp; estimating"
"2242","national institute for automotive service excellence","automotive service excellence (ase) - l3 light duty hybrid/electric vehicle specialist"
"2244","national institute for automotive service excellence","automotive service excellence (ase) - p4 general motors parts consultant"
"2245","national institute for automotive service excellence","automotive service excellence (ase) - p2 automobile parts specialist"
"2247","national institute for automotive service excellence","automotive service excellence (ase) - h4 brakes"
"2249","national institute for automotive service excellence","automotive service excellence (ase) - h6 electrical/electronic systems"
"2251","national institute for automotive service excellence","automotive service excellence (ase) - p1 medium-heavy truck parts specialist"
"2253","national institute for automotive service excellence","automotive service excellence (ase) - e2 electrical/electronic systems installation &amp; repair"
"2255","national institute for automotive service excellence","automotive service excellence (ase) - e3 auxiliary power systems installation &amp; repair"
"2257","national institute for automotive service excellence","automotive service excellence (ase) - b5 mechanical &amp; electrical components"
"2278","national institute for automotive service excellence","automotive service excellence (ase) - t1 gasoline engines"
"1608","industrial electronics","industrial maintenance mechanic - level 3"
"1609","industrial electronics","industrial maintenance mechanic - level 2"
"1610","industrial electronics","industrial maintenance mechanic - level 1"
"1717","industrial electronics","industrial maintenance electrical and instrumentation - level 3"
"2719","air distribution installation certification","residential air distribution"
"2135","automobile service consultant (b6)","ase student certification - automobile service technology"
"354","registered radiation protection technologist","registered technologist in radiography rt(r) "
"570","registered radiation protection technologist","registered polysomnographic technologist (rpsgt)"
"305","laboratory animal technician","medical laboratory technician (mlt)"
"665","cisco certified devnet associate","cisco certified network associate (ccna)"
"682","cisco certified devnet associate","cisco certified design associate (ccda)"
"2378","machining level i - cnc milling: programming setup & operations","machining level i: manual milling skills i"
"2385","machining level i - cnc milling: programming setup & operations","machining level i: cnc turning: operator"
"2397","machining level i - cnc milling: programming setup & operations","machining level 1: milling i"
"403","building analyst","certified quality process analyst (cqpa)"
"2692","entry level tender diver","photovoltaic - entry level"
"2396","machining level i - cnc milling: programming setup & operations","machining level i: turning operations: turning between centers"
"2406","machining level i - cnc milling: programming setup & operations","machining level i: turning operations: turning chucking skills"
"1822","general communications technician - level 3","electronic systems technician - level 3"
"2127","school bus technician: suspension and steering","ase student certification - suspension and steering"
"2130","automobile and light truck certification: heating and air conditioning  (a7)","ase student certification - heating and air conditioning"
"1821","general communications technician - level 2","electronic systems technician - level 2"
"1012","photovoltaic installer - level 1","mopar level 1: electrical and body systems"
"2004","photovoltaic installer - level 1","service information level 1 certification"
"2133","transit bus technician: electrical/electronic systems","ase student certification - electrical/electronic systems"
"1163","epa section 608 certification - refrigerant handling","hvac epa 608 universal certification  "
"1164","epa section 608 certification - refrigerant handling","hvac epa 608 type iii certification"
"1165","epa section 608 certification - refrigerant handling","hvac epa 608 type ii certification"
"1166","epa section 608 certification - refrigerant handling","hvac epa 608 type i certification  "
"1508","electrical certification","nfpa 70e electrical safety"
"2745","electrical certification","osha electrical supply"
"2972","leed ap building design + construction","leed ap operations + maintenance (o+m)"
"927","piping inspector certification","lead safe inspector certification"
"1522","neonatal/pediatric respiratory care specialist","emergency pediatric care"
"1928","mechanical systems certification test","fundamentals of mechanical systems"
"1958","mechanical systems certification test","applied mechanical systems"
"1982","mechanical systems certification test","mechanical systems"
"159","american health information management association","registered health information technician (rhit)"
"940","electrical generator systems technician certification","electrical systems certification"
"2824","microsoft office specialist: associate (office 365 and office 2019)","office proficiency assessment and certification (opac)"
"2905","avid certified system administrator: inews","red hat certified system administrator (rhcsa)"
"517","avid certified system administrator: inews","apple certified system administrator (acsa)"
"1602","cathodic protection 2 -  technician maritime","maritime pipefitting - level 2"
"1603","cathodic protection 2 -  technician maritime","maritime structural fitter - level 2 "
"667","cisco certified devnet professional","cisco certified network professional (ccnp)"
"681","cisco certified devnet professional","cisco certified design professional (ccdp)"
"1607","fluid power industrial hydraulic mechanic","industrial maintenance mechanic - level 4"
"2391","fluid power industrial hydraulic mechanic","industrial technology maintenance: basic hydraulic systems"
"2018","national inspection, testing and certification corporation","ami - surface finish inspection and hardness testing"
"2136","automobile and light truck certification:  automatic transmission/transaxle  (a2)","ase student certification - automatic transmission /transaxle repair"
"843","certified preventative functions dental assistant","national entry level dental assistant (nelda)"
"2922","coating inspector program level 1 - nuclear specialty","siemens mechatronic systems certification program level 1"
"2152","collision repair and refinish: painting and refinishing technician","ase entry-level certification - painting and refinishing"
"2877","master trainer","trainsmart pro-cut master technician certification"
"2479","certtec aviation mechanical assembly certification","machine building level ii: mechanical assembly"
"231","hdi desktop advanced support technician","pediatric advanced life support (pals) instructor"
"984","ciw web development professional","professional development certificate of achievement"
"2","water distribution operator class iii","water works operator"
"2920","international food service executives association","food service manager certification"
"2938","system diagnostics & troubleshooting certification","automotive scanner diagnostics certification"
"2945","system diagnostics & troubleshooting certification","diesel scanner diagnostics certification"
"941","driveline/hydro technician certification","driveline/hydraulics certification"
"2720","air conditioning contractors of america","residential air conditioning"
"1006","medium/heavy truck technician: heating, ventilation, & a/c","mopar level 1: a/c and heating"
"1013","medium/heavy truck technician: heating, ventilation, & a/c","mopar level 2: a/c and heating"
"1020","medium/heavy truck technician: heating, ventilation, & a/c","mopar level 3: a/c and heating"
"2625","hdi certified customer service representative","managefirst - customer service"
"2660","hdi certified customer service representative","advanced customer service and sales certification"
"547","ciw web security specialist","aws security specialist"
"125","compact diesel technician certification","abyc marine diesel engine certification"
"149","certified design drafter","certified drafter"
"2040","certified personal chef","certified personal trainer (cpt)"
"663","linux server professional certification - level 1","chesapeake bay landscape professional level 1"
"87","certified realtime reporter","certified electronic court reporter"
"478","certified welding engineer","certified welding supervisor (cws)"
"657","certified executive chef","certified fund raising executive"
"358","optical gas imaging certification","magnetic resonance imaging certification"
"2917","professional scrum master level i","certified scrum master"
"2919","professional scrum master level i","scrum master certified"
"1203","associate constructor","certified logistics associate"
"158","associate constructor","certified coding associate"
"903","associate constructor","emc proven professional associate"
"2717","certified master specialist hands-on - residential gas furnace","residential gas furnaces"
"583","certified building energy simulation analyst","building analyst"
"1021","general communications technician - level 3","mopar level 3: chassis systems"
"1577","general communications technician - level 3","electrical - level 3"
"1598","general communications technician - level 3","hvac - level 3"
"1611","general communications technician - level 3","pipefitting - level 3"
"1614","general communications technician - level 3","plumbing - level 3"
"1681","general communications technician - level 3","carpentry - level 3"
"1696","general communications technician - level 3","welding - level 3"
"1912","general communications technician - level 3","millwright - level 3"
"474","coating inspector program level 2","welding (sense) training program (level one)"
"317","carbon monoxide safety certification","nuclear gauge safety certification"
"1168","concrete laboratory testing technician - level 1","manufacturing technician level 1"
"2906","certified welding engineer","red hat certified engineer (rhce)"
"1014","general communications technician - level 2","mopar level 2: chassis systems"
"1015","general communications technician - level 2","mopar level 2: electrical and body systems"
"1040","general communications technician - level 2","google certified educator level 2"
"1642","general communications technician - level 2","power line worker: distribution level 2"
"1781","general communications technician - level 2","carpentry - level 2: commercial framing & finishing"
"555","ibm certified associate developer - rational application developer v8","aws certified developer (associate)"
"2833","ibm certified associate developer - rational application developer v8","oracle pl/sql developer certified associate"
"6","adobe analytics developer","adobe certified associate - indesign"
"15","adobe analytics developer","adobe certified associate - dreamweaver cs6"
"19","adobe analytics developer","adobe certified associate - premiere cs5"
"21","adobe analytics developer","adobe certified associate - flash cs5"
"25","adobe analytics developer","adobe certified associate - dreamweaver cs3"
"26","adobe analytics developer","adobe certified associate - dreamweaver cs4"
"33","adobe analytics developer","adobe certified associate - flash cs4"
"35","adobe analytics developer","adobe certified associate - dreamweaver cs5"
"42","adobe analytics developer","web authoring using adobe dreamweaver"
"70","adobe analytics developer","adobe certified associate - lightroom"
"165","clinical chemistry technologist","clinical documentation improvement practitioner (cdip)"
"286","clinical chemistry technologist","clinical medical assistant"
"292","certified administrative professional","medical administrative assistant (cmaa)"
"313","fundamental payroll certification","certified payroll professional (cpp)"
"352","certified respiratory therapist","registered radiation therapist"
"516","apple computer, inc.","apple certified technical coordinator (actc)"
"519","apple computer, inc.","apple certified specialist"
"520","apple computer, inc.","apple certified associate - mac integration"
"521","clinical chemistry technologist","certified clinical documentation specialist (ccds)"
"848","healthy home evaluator","conventional onsite soil evaluator license"
"973","green awareness certification","terrorism awareness for emergency first responders "
"977","green awareness certification","mass prophylaxis awareness for public health emergencies (awr-314-w)"
"989","green awareness certification","public information officer awareness"
"1002","certified respiratory therapist","physical therapist assistant (pta)"
"1559","microsoft office specialist: associate (office 365 and office 2019)","medical office assistant (ncmoa)"
"2011","diplomate, navigation engineering","verus edge navigation & scanner operation certification"
"2134","automobile technician: brakes","ase student certification - brakes"
"2532","certified personal chef","personal survival techniques (tidecc-363)"
"2533","certified personal chef","personal safety & social responsibility (tidecc-359)"
"2536","registered roof observer","radar observer recertification (tidecc-4o2)"
"2873","microsoft office specialist: associate (office 365 and office 2019)","certified medical office manager (cmom)"
"8","ciw web design specialist","adobe certified associate - visual design specialist"
"581","certificate of merit","html5 certificate"
"963","certificate of merit","light sport pilot certificate"
"985","wso - certified hazardous materials technician i","introduction to hazardous materials"
"1630","comptia it fundamentals","power industry fundamentals"
"1940","comptia it fundamentals","fundamentals of sensor technology"
"1948","comptia it fundamentals","alignment fundamentals"
"1954","comptia it fundamentals","fundamentals of plcs - allen-bradley"
"2656","certificate of merit","controlling foodservice costs certificate"
"2663","comptia it fundamentals","retail industry fundamentals"
"2793","wso - certified hazardous materials technician i","hazardous materials certification"
"2923","comptia it fundamentals","seimens automation fundamentals certificate"
"2924","comptia it fundamentals","sce automation fundamentals: plc"
"2986","certificate of merit","html developer certificate "
"2987","certificate of merit","java script developer certificate"
"2989","certificate of merit","java script certificate"
"1119","certified cyber security professional - associate/practitioner","systems security certified practitioner (sscp)"
"1112","certified registered locksmith","certified registered central service technician"
"2716","oil heat certification","residential oil furnaces"
"845","electric vehicle technician","vehicle emissions inspector"
"948","mobile crane operator","mobile generators certification"
"1116","dental assisting national board","funeral services national board"
"39","avid certified user: media composer","interactive media using adobe flash professional"
"1956","saca certified industry 4.0 systems professional","fi4.0cp level 1 - industry 4.0 fundamentals"
"1961","saca certified industry 4.0 systems professional","applied industry 4.0"
"402","quality control inspector","certified quality technician (cqt)"
"1581","iapmo plumbing inspector","plumbing - level 1"
"1597","star hvac mastery","hvac - level 4"
"1599","star hvac mastery","hvac - level 2"
"1600","star hvac mastery","hvac - level 1"
"1613","iapmo plumbing inspector","plumbing - level 4"
