"","soc","certificate","confidence_entry","confidence_cert","confidence","SOC","Raw"
"185","American Heart Association","basic life support (cpr) instructor",0.644647953553527,0.554390630940211,0.426594567343796,"29-2055","basic cardiac life support certification"
"186","National Board of Surgical Technology and Surgical Assisting (NBSTSA)","certified surgical technologist",0.375235151966666,0.728824916534764,0.326440141712188,"29-2055","certified surgical technologist"
"195","North American Technician Excellence","hvacr certification",0.518435889556923,0,0,"49-9021","north american technician excellence"
"196","National Association of Paralegal Associations","core registered paralegal",0.171616503705143,0.333333333333333,0.0682833194319712,"43-6014","paralegal certification"
"197"," American Software Testing Qualifications Board ","astqb certified tester foundation level ",0.0425601045717532,0.0495990812688696,0.00251972501966218,"49-1011","certified lifeguard"
"201","aws.amazon.com","aws security specialist",0.150942735871892,0.29317836108045,0.0528227442626031,"49-9071","security clearance"
"203","Occupational Safety & Health Administration","osha confined space safety",0.748026817003668,0.202348464832371,0.180673272742712,"47-2181","occupational safety and health administration certification"
"205","Accreditation Council for Accountancy and Taxation","accredited business accountant (aba)",0.171616503705143,0,0,"13-2081","taxation certification"
"208","National Institute for Automotive Service Excellence (ASE)","automotive service excellence (ase) - a5 brakes",0.509192391474935,0.440733259843645,0.267876466274053,"49-9041","automotive service excellence certification"
"209","American Council for Accredited Certification (ACAC)","council/certified indoor air quality manager",0.18860778804595,0.183167881073956,0.0412368775477189,"49-3031","air brake certified"
"212","ESCO Group","esco system diagnostics & troubleshooting (air conditioning )",0.35736343009222,0.293283414690083,0.125104935121801,"49-3031","air conditioning certification"
"219","National Center for Construction Education and Research (NCCER)","solar photovoltaic system installer",0.713676009824685,0.246093821197321,0.209642165892833,"47-2231","residential and commercial photovoltaic systems certificate"
"220","North American Board of Certified Energy Practitioners (NABCEP)","photovoltaic - entry level",0.805661794355683,0,0,"47-2231","north american board of energy practitioners"
"221","Occupational Safety & Health Administration","osha confined space safety",0.748026817003668,0.202348464832371,0.180673272742712,"47-2231","occupational safety and health administration certification"
"222","National Board for Certification in Occupational Therapy","certified occupational therapy assistant (cota)",0.526094097632683,0.61310431837788,0.38501232678285,"47-2152","certified occupational therapy assistant"
"223","National Board of Respiratory Care (NRBC)","registered respiratory therapist (rrt)",0.478638940663234,0.697250745600773,0.398358277576937,"29-1126","registered respiratory therapist"
"234","Department of Environmental Quality","vehicle emissions inspector",0.24558599008054,0,0,"49-9071","department of transportation medical certification"
"235","Department of Professional and Occupational Regulation (DPOR)","alternative onsite soil evaluators license",0.168935044709291,0.196875056957857,0.0396997048302166,"49-9071","boiler operator license"
"237","National Board for Respiratory Care (NBRC)","certified respiratory therapist (crt)",0.327423554121429,0.246093821197321,0.0961805947032008,"29-1126","respiratory care practitioner"
"239","National Board for Respiratory Care (NBRC)","certified respiratory therapist (crt)",0.37515136176079,0.546496627162013,0.244720777110324,"29-1126","certified respiratory therapist"
"240","American Welding Society (AWS)","welding (sense) training program (level one)",0.168935044709291,0.164062547464881,0.0330830873585138,"29-1126","neonatal resuscitation program"
"242","American Aerobic Association International and International Sports Medicine Association (AAAI/ISMA)","personal trainer certification",0.0553697847493156,0.107545571189057,0.00710791450816234,"47-2111","electrician certification"
"243","National Center for Construction Education and Research (NCCER)","plumbing - level 1",0.171616503705143,0.333333333333333,0.0682833194319712,"47-2061","plumbing license"
"245","National Center for Construction Education and Research (NCCER)","plumbing - level 1",0.171616503705143,0.333333333333333,0.0682833194319712,"47-2061","plumbing certification"
"252","American Heart Association","heartsaver first aid/cpr/aed",0.358625603193426,0,0,"29-2055","american heart association certification"
"258","Federal Aviation Administration (FAA)","aviation mechanic powerplant (amp) certificate",0.398602792159601,0.2,0.0951584067821586,"49-9071","airframe and powerplant certification"
"262","Certified Internet Web (CIW)","certified internet web (ciw) site development associate",0.201048613983891,0.167357042877844,0.0401626080389336,"27-4011","certified career development facilitator"
"264","National Center for Construction Education and Research (NCCER)","instructor training class (ictp)",0.272296396449739,0.238403954378604,0.0774875944252253,"49-1011","training for intervention procedures certification"
"268","American Aerobic Association International and International Sports Medicine Association (AAAI/ISMA)","personal trainer certification",0.0553697847493156,0.107545571189057,0.00710791450816234,"49-3023","back-flow certification"
"269"," American Software Testing Qualifications Board ","astqb certified tester foundation level ",0.171616503705143,0.2,0.0409699916591827,"49-3023","backflow tester certification"
"270"," American Software Testing Qualifications Board ","astqb certified tester foundation level ",0.214176608276896,0.24959908126887,0.063810456137732,"49-3023","certified back-flow tester"
"273","National Institute for Automotive Service Excellence (ASE)","automotive service excellence (ase) - a5 brakes",0.509192391474935,0.440733259843645,0.267876466274053,"49-3031","automotive service excellence certification"
"279","Association of Energy Engineers (AEE)","certified energy managers (cem)",0.206216317051499,0.300402805964691,0.0739441534204834,"49-9012","certified energy manager"
"280","Federal Emergency Management Agency (FEMA)","leadership and influence",0.398382060876515,0.494788676005435,0.235286145674657,"49-9012","leadership in energy and environmental design certified"
"281","Siemens","seimens automation fundamentals certificate",0.226986288454458,0.25,0.0677355189037198,"49-9012","automation certification"
"283","North American Board of Certified Energy Practitioners (NABCEP)","photovoltiac installation professional certification",0.301530582538476,0.138847755648748,0.0499743392641893,"49-9012","certified energy professional"
"287","National Institute for Metal Working Skills (NIMS)","industrial technology maintenance: maintenance piping",0.319712416841546,0.35761304995457,0.13647392813505,"49-9071","building maintenance"
"293","Commercial Food Equipment Service Association","commercial food equipment service technician",0.163656212479746,0.190723163502883,0.0372574191451404,"49-1011","global food safety initiative"
"294","Department of Environmental Quality","certified emissions repair technician ",0.288146094652293,0.0619988515860871,0.021324222864316,"49-3023","department of transportation certified"
"295","Federal Aviation Administration (FAA)","aviation mechanic powerplant (amp) certificate",0.398602792159601,0.2,0.0951584067821586,"17-3023","airframe and powerplant certification"
"299","American Aerobic Association International and International Sports Medicine Association (AAAI/ISMA)","personal trainer certification",0.0553697847493156,0.107545571189057,0.00710791450816234,"47-2152","back-flow certification"
"300","S/P2","mechanical pollution prevention",0.171616503705143,0.333333333333333,0.0682833194319712,"47-2152","back-flow prevention certificate"
"306","American Aerobic Association International and International Sports Medicine Association (AAAI/ISMA)","personal trainer certification",0.0553697847493156,0.107545571189057,0.00710791450816234,"49-9021","electrician certification"
"310","aws.amazon.com","aws security specialist",0.150942735871892,0.29317836108045,0.0528227442626031,"43-6014","security clearance"
"313","aws.amazon.com","aws security specialist",0.150942735871892,0.29317836108045,0.0528227442626031,"49-3011","security clearance"
"319","","",0,0,0,"33-2011","airport firefighter"
"320","","",0,0,0,"33-2011","firefighter"
"321","Federal Emergency Management Agency (FEMA)","public information officer awareness",0.171616503705143,0.25,0.0512124895739784,"33-2011","fire officer"
"322","National Maritime Center","basic fire fighting (tidecc-53) ",0.171616503705143,0.25,0.0512124895739784,"33-2011","fire inspector ii"
"323","Federal Emergency Management Agency (FEMA)","introduction to incident command system",0.274586405928228,0.32,0.104883178647508,"33-2011","hazmat incident commander"
"324","aws.amazon.com","aws security specialist",0.150942735871892,0.29317836108045,0.0528227442626031,"33-2011","security clearance"
"328","aws.amazon.com","aws security specialist",0.150942735871892,0.29317836108045,0.0528227442626031,"47-2152","security clearance"
"330","aws.amazon.com","aws security specialist",0.150942735871892,0.29317836108045,0.0528227442626031,"49-1011","security clearance"
"331","aws.amazon.com","aws security specialist",0.150942735871892,0.29317836108045,0.0528227442626031,"47-3013","security clearance"
"332","National Center for Construction Education and Research (NCCER)","pipelayer - level i",0.335216708269497,0.322971392553048,0.129230951836003,"33-2011","fire instructor i"
"335","National Registry of Emergency Medical Technicians (NREMT)","emergency medical technician (emt)",0.402372932719272,0.586151279207092,0.281523922828295,"33-2011","emergency medical technician"
"337","Federal Emergency Management Agency (FEMA)","public information officer awareness",0.171616503705143,0.25,0.0512124895739784,"33-2011","fire officer i"
"338","National Maritime Center","basic fire fighting (tidecc-53) ",0.171616503705143,0.25,0.0512124895739784,"33-2011","fire inspector i"
"343","aws.amazon.com","aws security specialist",0.150942735871892,0.29317836108045,0.0528227442626031,"47-2061","security clearance"
"352","aws.amazon.com","aws security specialist",0.150942735871892,0.29317836108045,0.0528227442626031,"49-3042","security clearance"
"358","National Restaurant Association","servsafe food handler",0.387961041938353,0.645997034101234,0.299154452440593,"35-1011","food handler certification"
"366","American Association of Veterinary State Boards","veterinary technician",0.271721662630189,0.791653648582185,0.256765287795541,"29-2056","certified veterinary technician"
"369"," Board for Waterworks and Wastewaterworks Operators and On-Site Sewage System Professionals ","water works operator",0.155945961868708,0.302896202680369,0.0563825601750029,"49-1011","certified pool/spa operator"
"381","Home Builders Institute","facilities maintenance technician",0.168935044709291,0,0,"47-4011","home inspection"
"384","American Aerobic Association International and International Sports Medicine Association (AAAI/ISMA)","personal trainer certification",0.0553697847493156,0.107545571189057,0.00710791450816234,"49-9071","electrician certification"
"385","American Boat and Yacht Council (ABYC)","american boat and yacht council marine electrical certification",0.201417468223513,0.14670607420832,0.0352713480364534,"49-9071","electrical certification"
"389","Occupational Safety & Health Administration","osha confined space safety",0.748026817003668,0.202348464832371,0.180673272742712,"47-2111","occupational safety and health administration certification"
"393","American Association of Veterinary State Boards","veterinary technician",0.102786617920897,0.299466006187543,0.0367418429866919,"49-9052","bicsi technician"
"398","CompTIA","comptia a+ certification",0.266442830400643,0.317871939171472,0.101095787525562,"49-2022","certified a+ technician"
"400","CompTIA","comptia network+ certification",0.335272716184889,0.651205272504806,0.26061112497264,"49-2022","comptia network+"
"401","Environmental Protection Agency (EPA)","hvac 608 certification",0.327340207249976,0.322971392553048,0.126194445305214,"49-9071","epa 608"
"411","","",0,0,0,"43-6014","conflict resolution"
"415","National Center for Construction Education and Research (NCCER)","construction project management",0.30784038896783,0.59792304803959,0.219708937280577,"49-2022","project management certification"
"417","Department of Professional and Occupational Regulation (DPOR)","alternative onsite soil evaluators license",0.168935044709291,0.196875056957857,0.0396997048302166,"51-8021","blue seal license"
"419","Department of Professional and Occupational Regulation (DPOR)","alternative onsite soil evaluators license",0.168935044709291,0.196875056957857,0.0396997048302166,"51-8021","stationary engineer license"
"424","CompTIA","comptia a+ certification",0.266442830400643,0.317871939171472,0.101095787525562,"49-9071","certified a+ technician"
"425","aws.amazon.com","aws security specialist",0.150942735871892,0.29317836108045,0.0528227442626031,"27-3042","security clearance"
"442","Occupational Safety & Health Administration","osha confined space safety",0.748026817003668,0.202348464832371,0.180673272742712,"49-9052","occupational safety and health administration certification"
"459","National Center for Construction Education and Research (NCCER)","plumbing - level 1",0.171616503705143,0.333333333333333,0.0682833194319712,"53-7072","plumbing license"
"460","American Aerobic Association International and International Sports Medicine Association (AAAI/ISMA)","personal trainer certification",0.0553697847493156,0.107545571189057,0.00710791450816234,"53-7072","back-flow certification"
"461","National Center for Construction Education and Research (NCCER)","plumbing - level 1",0.171616503705143,0.333333333333333,0.0682833194319712,"53-7072","plumbing certification"
"462","American Aerobic Association International and International Sports Medicine Association (AAAI/ISMA)","personal trainer certification",0.0553697847493156,0.107545571189057,0.00710791450816234,"53-7072","electrician certification"
"467","National Board for Certification of the National Association of Dental Laboratories","dental laboratory technology, recognized graduate (rg)",0.393699316407876,0.144199187001788,0.0677648220871097,"17-3023","american board for engineering and technology accredited"
"479","Board for Critical Care Transport Paramedic Certification (BCCTPS) ","flight paramedic (fp-c)",0.224304829458607,0.328125094929762,0.0878526569864222,"33-2011","paramedic certification"
"481","Mainstream Engineering Corporation","hvac epa 608 type i certification  ",0.166281663560206,0.161485696276524,0.0320520086329998,"33-2011","firefighter i"
"482","American Health Information Management Association (AHIMA)","registered health information technician (rhit)",0.145346722492651,0.119786402475017,0.0207821078832073,"33-2011","certified patient account technician"
"486","National Council of State Boards of Nursing","registered nurse",0.171616503705143,0.5,0.102424979147957,"29-2055","licensed practical nurse"
"490","American Health Information Management Association (AHIMA)","registered health information technician (rhit)",0.145346722492651,0.119786402475017,0.0207821078832073,"29-2055","certified scrub technician"
"498","CompTIA","comptia network+ certification",0.335272716184889,0.651205272504806,0.26061112497264,"49-9071","comptia network+"
"502","Autodesk","autocad 2010 certified professional",0.171616503705143,0.25,0.0512124895739784,"17-3011","autocad certification"
"503","American Design Drafter Association (ADDA)","mechanical drafter",0.261458411635223,0.3,0.093626912732612,"17-3011","drafting and design"
"505","National Center for Construction Education and Research (NCCER)","carpentry - level 2",0.33010501311728,0.307834631266853,0.121295985076479,"49-9071","class 2 certification"
"508","","",0,0,0,"33-2011","wildland firefighter"
"520","American Boat and Yacht Council (ABYC)","american boat and yacht council marine electrical certification",0.201417468223513,0.14670607420832,0.0352713480364534,"49-3031","electrical certification"
"521","National Center for Construction Education and Research (NCCER)","construction project management",0.30784038896783,0.59792304803959,0.219708937280577,"49-3031","project management certification"
"524","American Boat and Yacht Council (ABYC)","american boat and yacht council marine electrical certification",0.201417468223513,0.14670607420832,0.0352713480364534,"47-1011","electrical certification"
"528","American Heart Association","heartsaver first aid/cpr/aed",0.628868942561691,0.732877000736667,0.550133472142197,"49-9021","first aid cpr aed"
"529","American Heart Association","heartsaver first aid/cpr/aed",0.628868942561691,0.732877000736667,0.550133472142197,"43-6014","first aid cpr aed"
"537","American Welding Society (AWS)","certified welding inspector (cwi)",0.372497980611705,0.542631350379478,0.241271283191699,"49-9098","certified welding inspector"
"550","Commercial Food Equipment Service Association","commercial food equipment service technician",0.721374191887551,0.73171242693787,0.630054128373997,"49-9071","commercial food equipment service association"
"555","American Heart Association","pediatric advanced life support (pals)",0.639752901155832,0.548685990311818,0.418998979620577,"29-1126","advanced cardiac life support certification"
"571","Department of Environmental Quality","vehicle emissions inspector",0.24558599008054,0,0,"49-9021","department of transportation medical certification"
"589","National Coalition of Certification Centers (NC-3)","introduction to plc programming",0.211315746618023,0.227172152010277,0.0573012086535173,"49-9071","programming certification"
"590","Occupational Safety & Health Administration","osha 10 construction",0.482138351668824,0.666666666666667,0.383669476613627,"49-9071","osha safety 10 hour"
"609","National Center for Competency Testing (NCCT)","insurance and coding specialist",0.171616503705143,0.25,0.0512124895739784,"43-6014","insurance license"
"610","National Center for Competency Testing (NCCT)","insurance and coding specialist",0.171616503705143,0.25,0.0512124895739784,"43-6014","insurance agent certification"
"612","Commonwealth Environmental Solutions, LLC","forklift operator certification",0.377597410178229,0.733413166422474,0.330563226709382,"49-1011","forklift operator certification"
"613","National Safety Council (NSC)","lift truck operator",0.226986288454458,0.333333333333333,0.0903140252049597,"49-1011","aerial lift certification"
"616","American Heart Association","heartsaver first aid/cpr/aed",0.628868942561691,0.732877000736667,0.550133472142197,"49-2021","first aid cpr aed"
"617","Mainstream Engineering Corporation","hvac epa 608 universal certification  ",0.171616503705143,0,0,"27-4012","certified audio engineering"
"618","Fiat and Chrysler Auto","mopar level 0",0.171616503705143,0,0,"49-3023","chrysler certified"
"635","National Coalition of Certification Centers (NC-3)","battery maintenance and engine starting certification",0.208800538030655,0.202778223075599,0.0505393621410858,"49-9071","maintenance certification"
"638","American Heart Association","heartsaver first aid/cpr/aed",0.628868942561691,0.732877000736667,0.550133472142197,"49-9071","first aid cpr aed"
"647","American Heart Association","heartsaver first aid/cpr/aed",0.628868942561691,0.732877000736667,0.550133472142197,"47-2111","first aid cpr aed"
"648","Commonwealth Environmental Solutions, LLC","forklift operator certification",0.377597410178229,0.733413166422474,0.330563226709382,"47-2111","forklift operator certification"
"652","American Aerobic Association International and International Sports Medicine Association (AAAI/ISMA)","personal trainer certification",0.0553697847493156,0.107545571189057,0.00710791450816234,"49-1011","epic certification"
"662","National Institute for Automotive Service Excellence (ASE)","automotive service excellence (ase) - e1 truck equipment installation &amp; repair",0.382682209708807,0.0953615817514417,0.0435600679939788,"49-9071","power generation equipment certification"
"668","National Safety Council (NSC)","lift truck operator",0.226986288454458,0.333333333333333,0.0903140252049597,"49-9062","aerial lift certification"
"673","Department of Professional and Occupational Regulation (DPOR)","alternative onsite soil evaluators license",0.168935044709291,0.196875056957857,0.0396997048302166,"49-9021","stationary engineer license"
"674","Environmental Protection Agency (EPA)","lead safe rrp certification",0.388044832144228,0.330659178391793,0.153157869410717,"47-2031","epa lead certification"
"686","AAPC","certified professional biller (cpb)",0.13787437005873,0.200846607234835,0.0330540645579031,"43-6014","certified professional secretary"
"694","National Roofing Contractors Association","asphalt shingle systems installer",0.171616503705143,0,0,"49-9071","contractors license"
"696","American Registry of Radiologic Technologists (ARRT)","registered technologist in radiography rt(r) ",0.307106227163967,0.298248537226555,0.109331114419088,"29-1126","registered pulmonary function technologist"
"700","American Culinary Federation","certified fundamentals cook (cfc)",0.2402631051872,0.25,0.0716974854035698,"49-1011","epa cfc/hcfc certification"
"701","United States Green Building Council (USGBC)","leed ap interior design + construction",0.343233007410286,0.4,0.163879966636731,"17-3011","leed ap"
"702","Mainstream Engineering Corporation","hvac epa 608 universal certification  ",0.171616503705143,0,0,"17-3011","civil engineering certificate"
"703","American Society for Quality (ASQ)","certified quality engineer (cqe)",0.166281663560206,0.242228544414786,0.0480780129494997,"17-3011","licensed professional engineer"
"704","American Safety & Health Institute","basic first aid",0.204000369051277,0.107834631266853,0.0262582658279825,"49-9095","home health aide"
"707","CFA Institute","investment foundation (cfa)",0.171616503705143,0.333333333333333,0.0682833194319712,"51-8011","investment advisor"
"712","American Council for Accredited Certification (ACAC)","council/certified indoor air quality manager",0.18860778804595,0.183167881073956,0.0412368775477189,"49-3023","air brake certified"
"719","Commonwealth Environmental Solutions, LLC","forklift operator certification",0.377597410178229,0.733413166422474,0.330563226709382,"17-3023","forklift operator certification"
"724","Federal Aviation Administration (FAA)","aviation mechanic powerplant (amp) certificate",0.398602792159601,0.2,0.0951584067821586,"49-3023","airframe and powerplant certification"
"725","Environmental Protection Agency (EPA)","hvac 608 certification",0.551728383580036,0.107545571189057,0.0708263216114809,"49-2022","environmental protection agency certification"
"733","CompTIA","comptia security+ certification",0.322559239577035,0.626511694413784,0.241221213775763,"17-3023","comptia security+"
"734","Building Performance Institute (BPI)","energy auditor",0.329937876039952,0.961264997586781,0.378575175999698,"17-3023","certified energy auditor"
"735","CompTIA","comptia security+ certification",0.322559239577035,0.626511694413784,0.241221213775763,"17-3023","comptia comptia comptia security+"
"738","Department of Environmental Quality","certified emissions repair technician ",0.163656212479746,0.238403954378604,0.0465717739314255,"49-9071","appliance repair certificate"
"749","Department of Environmental Quality","certified emissions repair technician ",0.309002934972396,0.450135809058463,0.166028635060647,"49-9071","certified repair technician"
"752","Cisco","cisco certified network associate (ccna)",0.5031597183191,0.586376843084495,0.352175797109595,"17-3023","cisco certified network associate"
"756","Commonwealth Environmental Solutions, LLC","forklift operator certification",0.377597410178229,0.733413166422474,0.330563226709382,"49-9071","forklift operator certification"
"760","National Institute for Automotive Service Excellence (ASE)","automotive service excellence (ase) - a5 brakes",0.509192391474935,0.440733259843645,0.267876466274053,"49-3092","automotive service excellence certification"
"762","Federal Aviation Administration (FAA)","aviation mechanic powerplant (amp) certificate",0.168935044709291,0.196875056957857,0.0396997048302166,"49-3023","master mechanic"
"769","American Institute of CPAs","certified public accountant",0.200169506453521,0,0,"47-4011","american concrete institute"
"775","American Boat and Yacht Council (ABYC)","american boat and yacht council marine electrical certification",0.201417468223513,0.14670607420832,0.0352713480364534,"49-9098","electrical certification"
"776","aws.amazon.com","aws security specialist",0.150942735871892,0.29317836108045,0.0528227442626031,"51-8011","security clearance"
"781","Occupational Safety & Health Administration","osha confined space safety",0.748026817003668,0.202348464832371,0.180673272742712,"47-2061","occupational safety and health administration certification"
"796","National Institute for Automotive Service Excellence (ASE)","automotive service excellence (ase) - a5 brakes",0.509192391474935,0.440733259843645,0.267876466274053,"49-9021","automotive service excellence certification"
"797","American Heart Association","basic life support (cpr) instructor",0.317224399432098,0.369689852180099,0.139984820036354,"29-1126","basic life saving"
"819","National Roofing Contractors Association","asphalt shingle systems installer",0.171616503705143,0,0,"47-2061","contractors license"
"824","aws.amazon.com","aws security specialist",0.150942735871892,0.29317836108045,0.0528227442626031,"49-3023","security clearance"
"830","Department of Professional and Occupational Regulation (DPOR)","alternative onsite soil evaluators license",0.168935044709291,0.196875056957857,0.0396997048302166,"47-2111","master electrician license"
"837","Occupational Safety & Health Administration","osha 30 construction",0.482138351668824,0.666666666666667,0.383669476613627,"47-2181","osha safety 30 hour"
"838","Occupational Safety & Health Administration","osha 10 construction",0.482138351668824,0.666666666666667,0.383669476613627,"47-2181","osha safety 10 hour"
"843","American Boat and Yacht Council (ABYC)","american boat and yacht council marine electrical certification",0.146047683474197,0.106376485012423,0.0185445858410519,"47-2111","electrical contractor"
"853","Occupational Safety & Health Administration","osha confined space safety",0.748026817003668,0.202348464832371,0.180673272742712,"49-9021","occupational safety and health administration certification"
"871","American Aerobic Association International and International Sports Medicine Association (AAAI/ISMA)","personal trainer certification",0.0553697847493156,0.107545571189057,0.00710791450816234,"49-9043","electrician certification"
"872","Cisco","cisco certified network associate (ccna)",0.5031597183191,0.586376843084495,0.352175797109595,"49-2098","cisco certified network associate"
"877","Occupational Safety & Health Administration","osha 30 construction",0.482138351668824,0.666666666666667,0.383669476613627,"49-9071","osha safety 30 hour"
"943","American Association of Medical Assistants (AAMA)","certified medical assistant (cma)",0.143640352929667,0.209246124103044,0.0358765535026118,"43-6014","medical secretary"
"946","aws.amazon.com","aws security specialist",0.150942735871892,0.29317836108045,0.0528227442626031,"49-2011","security clearance"
"952","American Heart Association","heartsaver first aid/cpr/aed",0.628868942561691,0.732877000736667,0.550133472142197,"49-1011","first aid cpr aed"
"956","American Society for Quality (ASQ)","certified quality inspector (cqi)",0.206216317051499,0.300402805964691,0.0739441534204834,"47-4011","certified home inspector"
"962","American Heart Association","heartsaver first aid/cpr/aed",0.358625603193426,0,0,"29-1126","american heart association certification"
