,clean NDC company,original NDC company,NDC row,corporate family,clean DNA row,clean DNA company,original DNA company,fuzz ratio
103,big lots,Big Lots,1024,big lots,[14066],['big lots'],['Big Lots Inc'],[100]
104,big lots stores,"Big Lots Stores, Inc.",1025,big lots stores,[7327],['big lots stores'],['Big Lots Stores Inc.'],[100]
105,bio-pharm,"Bio-Pharm, Inc.",1040,bio-pharm,[7512],['bio-pharm'],['Bio-Pharm Incorporated'],[100]
106,biocodex,BIOCODEX INC.,1052,biocodex,[50181],['biocodex'],['Biocodex AS'],[100]
107,biocompatibles,"Biocompatibles, Inc.",1055,biocompatibles,[7302],['biocompatibles'],['Biocompatibles International Limited'],[100]
108,biocon,"Biocon Pharma Inc, Biocon Pharma Inc,, Biocon Pharma Inc.,","1056, 1057, 1058",biocon,"[6665, 7418]","['biocon', 'biocon']","['Biocon Ltd', 'Biocon, Inc.']","[100, 100]"
109,biodelivery sciences,"BioDelivery Sciences International Inc, BioDelivery Sciences International, Inc.","1061, 1062",biodelivery sciences,[9289],['biodelivery sciences'],['BioDelivery Sciences International Inc'],[100]
110,biofrontera,Biofrontera Inc.,1071,biofrontera,[7511],['biofrontera'],['Biofrontera AG'],[100]
111,biogen,"Biogen, Biogen Inc.","1072, 1073",biogen,[28069],['biogen'],['Biogen Inc.'],[100]
112,biopelle,"Biopelle, Inc.",1090,biopelle,[8689],['biopelle'],['Biopelle Inc'],[100]
113,biota,B'IOTA Laboratories,856,biota,[7545],['biota'],['Biota Holdings Ltd'],[100]
114,biotics research,Biotics Research Corporation,1098,biotics research,[7546],['biotics research'],['Biotics Research Corporation'],[100]
115,bioverativ therapeutics,Bioverativ Therapeutics Inc.,1102,bioverativ therapeutics,[55097],['bioverativ therapeutics'],['Bioverativ Therapeutics Inc.'],[100]
116,blistex,"Blistex Inc, Blistex Inc.","1132, 1133",blistex,[7863],['blistex'],['Blistex Inc'],[100]
117,blue cross,"Blue Cross Laboratories, Blue Cross Laboratories, Inc, Blue Cross Laboratories, Inc.","1135, 1136, 1137",blue cross,[10296],['blue cross'],['Capital Blue Cross'],[100]
118,bluemercury,Bluemercury,1142,bluemercury,[8031],['bluemercury'],['bluemercury Inc'],[100]
119,bn,"BN070012, BN811104, BN820915, BN900223","1149, 1150, 1151, 1152",bn,[8257],['bn'],['BN Group'],[100]
120,boehringer ingelheim,"Boehringer Ingelheim Pharmaceuticals Inc., Boehringer Ingelheim Pharmaceuticals, Inc.","1167, 1168",boehringer ingelheim,"[8433, 8434, 8436, 8437, 8443, 8447]","['boehringer ingelheim', 'boehringer ingelheim', 'boehringer ingelheim', 'boehringer ingelheim', 'boehringer ingelheim', 'boehringer ingelheim']","['Boehringer Ingelheim AB', 'Boehringer Ingelheim Corporation', 'Boehringer Ingelheim GmbH', 'Boehringer Ingelheim Ltd', 'Boehringer Ingelheim International GmbH', 'Boehringer Ingelheim Pty Ltd']","[100, 100, 100, 100, 100, 100]"
121,boelter companies,Boelter Companies Inc.,1169,boelter companies,[8429],['boelter companies'],['The Boelter Companies Inc'],[100]
122,boiron,BOIRON,1171,boiron,[32932],['boiron'],['Boiron SA'],[100]
123,bozeman deaconess,Bozeman Deaconess Health Services,1188,bozeman deaconess,[8649],['bozeman deaconess'],['Bozeman Deaconess Health Services'],[100]
124,bracco diagnostics,"Bracco Diagnostics Inc, Bracco Diagnostics Inc.","1192, 1193",bracco diagnostics,[8785],['bracco diagnostics'],['Bracco Diagnostics Inc'],[100]
125,bradford soap works,"Bradford Soap Works, Inc.",1194,bradford soap works,[42163],['bradford soap works'],"['Bradford Soap Works, Inc.']",[100]
126,braun,B. Braun Medical Inc.,853,braun,"[6478, 6479, 8751, 8765]","['braun', 'braun', 'braun', 'braun']","['B. Braun Medical Inc', 'B. Braun Medical Ltd', 'Braun GmbH', 'The Braun Corporation']","[100, 100, 100, 100]"
127,brigham womens hospital,"Brigham and Women's Hospital, Inc., The, BRIGHAM AND WOMEN`S HOSPITAL, INC., THE","1217, 1218",brigham womens hospital,[9747],['brigham womens hospital'],"[""Brigham and Women's Hospital""]",[100]
128,bristol-myers squibb,"Bristol-Myers Squibb, Bristol-Myers Squibb Company, Bristol-Myers Squibb Pharma Company","1222, 1223, 1224",bristol-myers squibb,"[8926, 9147]","['bristol-myers squibb', 'bristol-myers squibb']","['Bristol-Myers Squibb AB', 'Bristol-Myers Squibb Co']","[100, 100]"
129,btg,BTG International Inc.,1239,btg,[9441],['btg'],['BTG PLC'],[100]
130,buckeye,"Buckeye International, Inc.",1243,buckeye,"[7664, 9554]","['buckeye', 'buckeye']","['Buckeye Technologies Inc', 'Buckeye Partners LP']","[100, 100]"
131,bunzl,BUNZL,1250,bunzl,[8382],['bunzl'],['Bunzl PLC'],[100]
132,burberry,Burberry Limited,1253,burberry,"[9624, 9626]","['burberry', 'burberry']","['Burberry Ltd', 'Burberry Group PLC']","[100, 100]"
133,burts bees,"Burt's Bees, Burt's Bees, Inc.","1262, 1263",burts bees,[9649],['burts bees'],"[""Burt's Bees Inc""]",[100]
134,buzz,BUZZ PRODUCTS (HK) CO. LIMITED,1268,buzz,[18786],['buzz'],['Buzz Capital Inc.'],[100]
135,c,"6c23, Llc, C3 Co., Ltd.","30, 1283",c,"[10665, 12186, 25055]","['c', 'c', 'c']","['C1 Bank', 'C3 LLC', 'C3 Energy']","[100, 100, 100]"
136,caldwell,Caldwell Health LLC,1293,caldwell,[12458],['caldwell'],['Caldwell Partners International Inc'],[100]
137,california,"California Pharmaceutical LLC, California Pharmaceutical, LLC, California Pharmaceuticals, LLC","1297, 1298, 1299",california,[12600],['california'],['California Medical Association'],[100]
138,camber,"Camber Pharmaceutical Inc, Camber Pharmaceuticals, Camber Pharmaceuticals Inc, Camber Pharmaceuticals Inc., Camber Pharmaceuticals, Inc, Camber Pharmaceuticals, Inc.","1310, 1311, 1312, 1313, 1314, 1315",camber,"[9968, 45602]","['camber', 'camber']","['Camber Corporation', 'Camber Energy Inc.']","[100, 100]"
139,cameron,"Cameron Pharmaceuticals, LLC",1317,cameron,"[13015, 13016, 14281]","['cameron', 'cameron', 'cameron']","['Cameron Health Inc.', 'Cameron International, Inc.', 'Cameron International Corporation']","[100, 100, 100]"
140,cangene biopharma,Cangene BioPharma,1321,cangene biopharma,[11645],['cangene biopharma'],['Cangene bioPharma Inc'],[100]
141,cape,"Cape Medical Supply, Inc",1325,cape,"[10303, 10318]","['cape', 'cape']","['Cape Bank', 'Cape PLC']","[100, 100]"
142,cara,"Cara, Incorporated",1334,cara,[10360],['cara'],['Cara Group Ltd'],[100]
143,cardinal,".Cardinal Health, Cardinal Health, Cardinal Health (Leader), Cardinal Health (Leader) 37205, Cardinal Health (Leader) 49781, Cardinal Health (Leader) 70000, Cardinal Health 200, Inc., Cardinal Health 414, LLC, Cardinal Health 418, Inc, Cardinal Health Inc., Cardinal Health LLC, Cardinal Health, Inc, Cardinal Health, Inc., Cardinal Health.","2, 1340, 1341, 1342, 1343, 1344, 1345, 1346, 1347, 1348, 1349, 1350, 1351, 1352",cardinal,"[9896, 10970, 11719, 12082, 18921, 32394]","['cardinal', 'cardinal', 'cardinal', 'cardinal', 'cardinal', 'cardinal']","['Cardinal Partners', 'Cardinal Health Inc', 'Cardinal Health 409 Inc', 'Cardinal Health 200 Inc', 'Cardinal Capital Partners Inc.', 'Cardinal Energy Group Inc.']","[100, 100, 100, 100, 100, 100]"
144,carefusion,"CareFusion 213 LLC, CareFusion 213, LLC, CareFusion 2200 Inc","1359, 1360, 1361",carefusion,"[14558, 46867]","['carefusion', 'carefusion']","['CareFusion Corporation', 'Carefusion 203 Inc.']","[100, 100]"
145,carlsbad technology,"Carlsbad Technology, Inc, Carlsbad Technology, Inc.","1373, 1374",carlsbad technology,[14616],['carlsbad technology'],['Carlsbad Technology Inc.'],[100]
146,cas,Cas Group International,1384,cas,[10490],['cas'],['CAS Medical Systems Inc'],[100]
147,catalyst,"Catalyst Pharmaceuticals, Inc.",1389,catalyst,"[15245, 27072, 42571]","['catalyst', 'catalyst', 'catalyst']","['Catalyst Inc.', 'Health Catalyst Inc', 'Catalyst Capital Group Inc']","[100, 100, 100]"
148,cb fleet,"C.B. Fleet Company, Inc.",1273,cb fleet,[10605],['cb fleet'],"['C.B. Fleet Company, Inc.']",[100]
149,cca industries,"CCA Industries Inc., CCA Industries LLC, CCA Industries, Inc.","1394, 1395, 1396",cca industries,[10721],['cca industries'],['CCA Industries Inc'],[100]
150,celgene,"Celgene, Celgene Corporation","1406, 1407",celgene,"[11119, 12504]","['celgene', 'celgene']","['Celgene Corporation', 'Celgene Ltd']","[100, 100]"
151,celltrion,"CELLTRION USA, INC.",1416,celltrion,[43098],['celltrion'],['Celltrion Inc'],[100]
152,centrix,"CENTRIX PHARMACEUTICAL, INC,, Centrix, Inc.","1428, 1429",centrix,[11213],['centrix'],['Centrix Inc'],[100]
153,centura,"CENTURA PHARMACEUTICALS INC, Centura Pharmaceuticals, Inc","1430, 1431",centura,[11187],['centura'],['Centura Health Corporation'],[100]
154,century,"Century Pharmaceuticals, Inc.",1433,century,"[15274, 32871]","['century', 'century']","['Century Group Inc', 'Century Corp']","[100, 100]"
155,cephalon,"Cephalon, Inc.",1434,cephalon,"[14212, 36039, 50834, 63619]","['cephalon', 'cephalon', 'cephalon', 'cephalon']","['Cephalon Inc', 'Cephalon Ltd', 'Cephalon Srl', 'Cephalon GmbH']","[100, 100, 100, 100]"
156,cerecor,"Cerecor, Inc.",1435,cerecor,[60570],['cerecor'],['Cerecor Inc'],[100]
157,chain drug marketing,"Chain Drug Marketing, Chain Drug Marketing Association, Chain Drug Marketing Association (CDMA), CHAIN DRUG MARKETING ASSOCIATION INC, CHAIN DRUG MARKETING ASSOCIATION INC., Chain Drug Marketing Association, Inc.","1457, 1460, 1461, 1462, 1463, 1464",chain drug marketing,[10982],['chain drug marketing'],['Chain Drug Marketing Association Inc.'],[100]
158,chattem,"Chattem, Inc.",1478,chattem,[12078],['chattem'],['Chattem Inc'],[100]
159,chemi,Chemi Pharma LLC,1483,chemi,[11677],['chemi'],['Chemi SpA'],[100]
160,chemical,"Medical Chemical Corporation, National Chemical Laboratories, Inc.","3998, 4289",chemical,[3077],['chemical'],['American International Chemical Inc.'],[100]
161,chiesi,"Chiesi USA, Inc.",1489,chiesi,"[11761, 55512]","['chiesi', 'chiesi']","['Chiesi SA', 'Chiesi Ltd']","[100, 100]"
162,church&dwight,"Church & Dwight Co., Inc.",1506,church&dwight,[11640],['church&dwight'],['Church & Dwight Co Inc'],[100]
163,cima labs,CIMA LABS INC.,1508,cima labs,[12188],['cima labs'],['Cima Labs Inc.'],[100]
164,cintas,"Cintas, Cintas Corp., Cintas Corporation","1509, 1510, 1511",cintas,[13368],['cintas'],['Cintas Corporation'],[100]
165,cipla,"Cipla Ltd., Cipla USA Inc., Cipla USA Inc.,, CIPLA USA, Inc, Cipla USA, Inc.","1514, 1515, 1516, 1517, 1518",cipla,[12244],['cipla'],['Cipla Ltd'],[100]
166,cit,"Cit Co., Ltd.",1520,cit,[12288],['cit'],['CIT Group Inc'],[100]
