"","ONET Certification","Confidence of Match","Burning Glass Certification"
"6271","professional broadcast engineer",0.642209158328716,"certified broadcast engineer"
"1027","certified satellite installer",0.640366068143643,"certified satellite installer"
"178","certified energy auditor",0.639593711516344,"certified energy auditor"
"2616","traffic control supervisor",0.63245585722863,"air traffic control"
"45","certified surgical technologist",0.629938186430618,"certified surgical technologist"
"2694","clinical chemistry technologist",0.628428774339896,"clinical laboratory technologist"
"665","mobile crane operator",0.628089144305124,"certified overhead crane operator"
"786","mobile crane operator",0.628089144305124,"certified crane operator"
"3006","certified engineering technologist",0.625183324895945,"certified engineering technologist"
"8111","certified ira services professional",0.62387272813921,"certified ira services professional"
"91","airport fire officer",0.623478360776499,"fire officer"
"100","airport fire officer",0.623478360776499,"fire officer i"
"1069","airport fire officer",0.623478360776499,"fire officer iii"
"1498","airport fire officer",0.623478360776499,"fire officer ii"
"4422","airport fire officer",0.623478360776499,"fire officer iv"
"441","microsoft office specialist: microsoft office 2016 master specialist",0.622386231019108,"microsoft office specialist"
"258","bicsi installer 1",0.619349561278367,"bicsi installer"
"1605","bicsi installer 1",0.619349561278367,"bicsi installer i"
"3024","bicsi installer 1",0.619349561278367,"bicsi installer ii"
"2061","certified radio operator",0.618335843205037,"radio operator"
"4440","certified radio operator",0.618335843205037,"marine radio operator permit"
"3537","air conditioning and heat pump professional",0.616029712579155,"nate heat pump/air conditioning"
"6599","laboratory animal technologist",0.613725059676412,"medical laboratory technologist"
"644","photovoltaic installer/designer",0.609497991589539,"photovoltaic installer"
"646","photovoltaic installer/designer",0.609497991589539,"photovoltaic installer certification"
"4062","inspection and testing of water-based systems i",0.604671202467474,"nicet inspection and testing of water-based systems"
"8047","fiber optics installer",0.604645846614883,"certified fiber installer"
"8672","certified premises cabling technician",0.604146663528968,"certified premises cabling technician"
"3972","certified wireless technology specialist",0.599309090546377,"certified wireless technology specialist"
"1987","certified master chef",0.596859271869163,"certified master chef"
"7112","certified fire protection specialist",0.594986534863614,"certified fire protection specialist"
"3204","fluid power mobile hydraulic mechanic",0.594089058186703,"mobile hydraulic mechanic"
"3710","certified systems integrator",0.585849618765902,"certified systems integrator"
"1528","certified building operator",0.585722452480221,"building operator certification"
"2074","certified building commissioning professional",0.584782364014683,"certified building commissioning professional"
"6109","certified senior broadcast radio engineer",0.583261189658253,"certified senior radio engineer"
"1034","certified service manager",0.579969019534392,"certified service manager"
"4277","certified service manager",0.579969019534392,"certified field service manager"
"5623","certified service manager",0.579969019534392,"certified assistant service manager"
"339","certified biomedical equipment technician",0.577466772471643,"biomedical equipment technician"
"8602","giac certified web application defender",0.576591486270536,"giac web application penetration tester"
"2355","biomedical imaging electronics technician",0.573900626320638,"biomedical electronics technician"
"2947","quality control inspector",0.570190925523862,"certified quality inspector"
"872","site development associate",0.564833111900626,"child development associate"
"3436","air distribution installation certification",0.563530888908346,"air distribution certification"
"554","light commercial refrigeration certification",0.563315326045449,"commercial refrigeration certification"
"2008","masonry field testing technician",0.556320369637666,"aci field testing technician"
"1625","certified home energy rater",0.553125113523002,"home energy raters certification"
"816","commercial mechanical inspector",0.546656747860575,"certified mechanical inspector"
"2092","construction site safety technician",0.545405075314007,"construction health and safety technician"
"384","residential building inspector",0.537577534799046,"certified building inspector"
"5805","certification in electrical power testing",0.526549278803379,"nicet electrical power testing"
"542","certified administrative professional",0.513200685515764,"certified administrative professional"
"2793","certified professional locksmith",0.513200685515764,"certified professional locksmith"
"4980","certified working pastry chef",0.512049569976409,"certified working chef"
"5363","certified secondary culinary educator",0.512049569976409,"certified culinary educator"
"7087","master certified food executive",0.512049569976409,"certified food and beverage executive"
"4943","certified landscape irrigation auditor",0.508373702882336,"certified irrigation auditor"
"4111","broadband telecomcenter specialist",0.501465388255541,"broadband distribution specialist"
"1627","associate electronics technician - comprehensive",0.501238270418655,"certified electronics technician associate"
"14","bicsi technician",0.5,"bicsi certification"
"113","comptia ctt+",0.5,"comptia network+"
"177","comptia ctt+",0.5,"comptia security+"
"179","comptia ctt+",0.5,"comptia comptia comptia security+"
"324","master trainer",0.5,"personal fitness trainer certification"
"565","comptia ctt+",0.5,"comptia csa+"
"606","comptia ctt+",0.5,"comptia comptia security+"
"754","comptia ctt+",0.5,"comptia project+"
"799","master trainer",0.5,"train the trainer"
"875","comptia ctt+",0.5,"comptia linux+"
"1000","comptia ctt+",0.5,"comptia server+"
"1223","master trainer",0.5,"certified fitness trainer"
"1655","fundamental locksmith",0.5,"certified locksmith"
"1913","adobe photoshop cc 2015",0.5,"adobe photoshop certificate"
"2446","comptia ctt+",0.5,"comptia cloud+"
"2869","master trainer",0.5,"athletic trainer certification"
"2982","comptia ctt+",0.5,"ctt+ certification"
"3340","adult critical care specialty",0.5,"critical care registered nurse"
"7043","master trainer",0.5,"certified inclusive fitness trainer"
"8782","master trainer",0.5,"certified dog trainer"
"10078","permit technician",0.5,"baton permit"
"503","certified surgical first assistant",0.497565912917037,"certified first assistant"
"4437","microsoft office specialist: microsoft access expert (access and access 2019)",0.497029751861962,"microsoft access certification"
"1783","adobe illustrator cc 2015",0.496287189827452,"adobe illustrator certification"
"710","wireless communications",0.492574379654905,"registered communications distribution designer"
"4624","wireless communications",0.492574379654905,"certified wireless security professional"
"6535","wireless communications",0.492574379654905,"wireless network technician"
"8418","advanced engine performance specialist",0.492574379654905,"automotive service excellence engine performance"
"7490","energy risk professional",0.492184178650488,"pmi risk management professional"
"1139","certified of medical illustrator",0.490323160810388,"certified medical illustrator"
"73","backflow prevention assembly tester certification",0.488209653448064,"backflow tester certification"
"375","backflow prevention assembly repairer certification",0.488209653448064,"backflow prevention certification"
"445","fluid power pneumatic mechanic",0.48525940382984,"fluid power certification"
"1369","fluid power pneumatic mechanic",0.48525940382984,"certified fluid power"
"512","energy auditor",0.485222645466758,"certified quality auditor"
"3967","air diver",0.485222645466758,"certified commercial diver"
"4592","air diver",0.485222645466758,"certified diver"
"8201","kcs foundation",0.485222645466758,"certified tester foundation level"
"1633","certified refrigeration compliance manager",0.483661523328138,"certified regulatory compliance manager"
"5052","certified community transit manager",0.483661523328138,"certified manager of community associations"
"803","certified surgical first assistant",0.482935591836121,"certified surgical assistant"
"3306","master ground water contractor",0.48180353276808,"water well contractor"
"733","business class services specialist",0.481583536735766,"business services certificate"
"2014","green awareness certification",0.48034942241344,"alcohol awareness certification"
"8006","fundamental payroll certification",0.48034942241344,"adp payroll certification"
"2356","biomedical imaging electronics technician",0.478090722595532,"biomedical electronics certificate"
"2425","certified associate in project management",0.476868941104236,"associate in risk management"
"365","combustion analysis certification",0.475399008850043,"hazard analysis and critical control point certification"
"7610","combustion analysis certification",0.475399008850043,"certification of capability in business analysis"
"1524","oil heating (air) service",0.474414855501459,"oil heating certification"
"170","professional broadcast engineer",0.472677083875935,"licensed professional engineer"
"634","certified dental technician",0.472244808809923,"certified dental technician"
"7190","certified operator class i",0.471066858228843,"class 4 operator"
"7410","certified operator class i",0.471066858228843,"class 1 operator"
"3652","certified community transit manager",0.467899143179181,"professional community association manager"
"279","infection control & water quality certification",0.467683167785242,"quality control certification"
"3353","certified electrical safety worker",0.467077621471613,"certified electrical worker"
"15","service plumbing certification",0.465645707749956,"plumbing certification"
"345","green awareness certification",0.465645707749956,"six sigma green belt certification"
"570","certified operator class iv",0.463751882403778,"wastewater treatment plant operator grade iv"
"255","industrial electronics",0.463607065536159,"mobile electronics certified professional"
"676","instructor certification",0.463607065536159,"fire instructor"
"2089","instructor certification",0.463607065536159,"certified flight instructor"
"6181","industrial electronics",0.463607065536159,"certified electronics technician journeyman"
"6376","instructor certification",0.463607065536159,"driving instructor"
"1424","aerospace/aircraft assembly maintenance certification",0.462296669913963,"aircraft maintenance technician certification"
"2240","hdi desktop advanced support technician",0.461973417977315,"microsoft certified desktop support technician"
"9967","broadband premises technician",0.461079871633475,"broadband communications technician"
"268","industrial electronics",0.456547181667958,"certified industrial hygienist"
"827","industrial electronics",0.456547181667958,"industrial technology"
"2106","industrial electronics",0.456547181667958,"nccer industrial pipefitter"
"5260","industrial electronics",0.456547181667958,"nccer industrial boilermaker"
"553","light commercial refrigeration certification",0.453053259235369,"commercial refrigeration certificate"
"60","medical gas certification",0.451380876858745,"department of transportation medical certification"
"1236","medical gas certification",0.451380876858745,"medical billing and coding certification"
"3973","electric vehicle technician",0.451228301944647,"mobility assistance vehicle technician"
"1105","tech in surgery - certified",0.450849389103097,"subspecialty certification in cardiac surgery"
"166","registered radiation protection technologist",0.449595171588901,"registered pulmonary function technologist"
"494","registered radiation protection technologist",0.449595171588901,"registered radiologic technologist"
"617","registered radiation protection technologist",0.449595171588901,"registered polysomnographic technologist"
"2197","registered radiation protection technologist",0.449595171588901,"registered vascular technologist"
"3391","construction site safety orientation",0.449595171588901,"construction safety course"
"5814","construction site safety orientation",0.449595171588901,"construction health and safety technologist"
"4061","certified video technician",0.446376156969991,"nicet video security systems technician"
"2331","associate in information technology",0.443534413278032,"specialist in poison information"
"182","cisco certified devnet associate",0.439387214074426,"cisco certified network associate"
"1338","cisco certified devnet associate",0.439387214074426,"cisco certified design associate"
"506","certified operator class iii",0.435940147779703,"wastewater treatment plant operator grade iii"
"514","building analyst",0.42902434191755,"certified quality process analyst"
"2242","building analyst",0.42902434191755,"certified software quality analyst"
"245","certified service technician",0.417183366928958,"certified service technician"
"574","certified operator class ii",0.41656054767375,"wastewater treatment plant operator grade ii"
"2309","apple certified support professional (acsp) 10.15",0.413513462037272,"apple certified support professional"
"1131","giac certified web application defender",0.412609904119166,"giac certified enterprise defender"
"954","certified operator class i",0.410374552326854,"wastewater treatment plant operator grade i"
"62","neonatal/pediatric respiratory care specialist",0.4,"respiratory care practitioner"
"168","leed ap building design + construction",0.4,"leed ap"
"227","master medium/heavy truck specialist",0.4,"heavy truck"
"1119","pmmi mechatronics: industrial electricity 1",0.4,"pmmi mechatronics certification"
"5934","master medium/heavy truck specialist",0.4,"certified heavy duty truck"
"5980","backflow prevention assembly repairer certification",0.4,"certified in backflow prevention"
"539","piping inspector certification",0.398577395934119,"brake inspector certification"
"428","auto maintenance and light repair certification",0.397014313759946,"auto repair certification"
"8515","fluid power mobile hydraulic mechanic",0.394089058186703,"mobile hydraulic technician"
"675","wso - certified hazardous materials technician i",0.392256188920007,"hazardous materials technician"
"850","certified preventative functions dental assistant",0.392141788520332,"certified dental assistant"
"1966","certified surgical instrument specialist",0.391861421340613,"certified instrument specialist"
"9885","microsoft office specialist: associate (office 365 and office 2019)",0.389377351640736,"certified medical office specialist"
"2909","infection control & water quality certification",0.388295743135268,"certified infection control"
"1107","avid certified system administrator: inews",0.386522697026981,"certified system administrator"
"1109","avid certified system administrator: inews",0.386522697026981,"apple certified system administrator"
"957","principles of small engine technology",0.38532549499723,"small engine"
"252","cisco certified devnet professional",0.384900514136823,"cisco certified network professional"
"253","cisco certified devnet professional",0.384900514136823,"cisco certified internetwork professional"
"254","cisco certified devnet professional",0.384900514136823,"cisco certified design professional"
"755","cisco certified devnet professional",0.384900514136823,"cisco certified voice professional"
"10579","cisco certified devnet professional",0.384900514136823,"cisco certified security professional"
"792","certified building official - legal module",0.384219640886186,"certified building official"
"2678","fluid power industrial hydraulic mechanic",0.382618872667183,"industrial hydraulic technician"
"2710","fluid power industrial hydraulic mechanic",0.382618872667183,"certified industrial maintenance mechanic"
"7867","fluid power industrial hydraulic mechanic",0.382618872667183,"nccer industrial maintenance mechanic"
"402","industry radiography radiation safety personnel",0.379648624529145,"radiation safety certified"
"404","industry radiography radiation safety personnel",0.379648624529145,"radiation safety certification"
"3152","pmmi mechatronics: industrial electricity 1",0.379648624529145,"industrial electricity certificate"
"8125","certified ira services professional",0.37387272813921,"certified retirement services professional"
"10381","certified ira services professional",0.37387272813921,"certified professional services marketer"
"7193","certificate of added qualification in neonatal pediatric transport",0.369430784741179,"neonatal pediatric transport"
"1351","ciw web development professional",0.369138133987866,"professional development"
"521","water distribution operator class iii",0.365266560935576,"certified water operator"
"2336","water distribution operator class iii",0.365266560935576,"certified storm water operator"
"8230","water distribution operator class iii",0.365266560935576,"storm water management operator"
"1828","ibm certified associate developer - rational application developer v8",0.364538243536408,"certified application developer"
"341","certified hemodialysis bio-medical technician",0.361572283874063,"certified hemodialysis technician"
"880","certtec aviation structures certification",0.36026206681008,"federal aviation administration certification"
"6636","total body photography certification",0.36026206681008,"total productive maintenance certification"
"1525","certified ira services professional",0.358110347990253,"professional medical services management"
"5119","hdi certified customer service representative",0.358081944920087,"customer service certification"
"210","compact diesel technician certification",0.356549256637532,"diesel mechanic certification"
"9920","total body photography certification",0.356549256637532,"photography certification"
"4558","building commissioning professional certification",0.354507812906951,"commissioning process management professional"
"308","certified photogrammetrist (asprs)",0.354349840198609,"certified photogrammetrist"
"889","certified respiratory therapist",0.354349840198609,"certified marriage and family therapist"
"898","certified respiratory therapist",0.354349840198609,"certified respiratory therapy assistant"
"1205","certified maintenance employee",0.354349840198609,"certified employee benefit specialist"
"1213","certified coating applicator",0.354349840198609,"certified applicator"
"1384","certified respiratory therapist",0.354349840198609,"certified therapist"
"1481","citrix sharefile certified",0.354349840198609,"citrix certified integration architect"
"1962","certified maintenance employee",0.354349840198609,"certified employee assistance professional"
"2013","certified administrative professional",0.354349840198609,"certified medical administrative assistant"
"2136","citrix sharefile certified",0.354349840198609,"citrix certified administrator"
"3603","citrix sharefile certified",0.354349840198609,"citrix certified enterprise architect"
"4153","certified coating applicator",0.354349840198609,"certified commercial applicator"
"4280","certified systems integrator",0.354349840198609,"certified integrator"
"4457","certified respiratory therapist",0.354349840198609,"certified recreational therapist"
"7586","citrix sharefile certified",0.354349840198609,"citrix certified associate - virtualization"
"7587","citrix sharefile certified",0.354349840198609,"citrix certified professional - virtualization"
"8433","orthopaedic technologist-surgery certified",0.354349840198609,"certified orthopaedic surgery coder"
"8509","certified fraud examiner",0.354349840198609,"certified anti-money laundering and fraud professional"
"9901","certified graduate builder",0.354349840198609,"certified builder"
"10163","citrix sharefile certified",0.354349840198609,"citrix certified enterprise administrator"
"6710","big data foundation certification",0.352873389543459,"prince2 foundation certification"
"7740","big data foundation certification",0.352873389543459,"apmp foundation level certification"
"2259","ciw web security professional",0.350941666755946,"certified cargo security professional"
"5691","ciw web security professional",0.350941666755946,"certified cloud security professional"
"4160","certified associate in project management",0.350578978083026,"certified in integrated resource management"
"558","certified master chef",0.349399426635213,"certified chef"
"846","certified executive chef",0.349399426635213,"certified fund raising executive"
"869","certified realtime reporter",0.349399426635213,"certified court reporter"
"1113","certified master chef",0.349399426635213,"acf certified chef"
"3540","certified welding engineer",0.349399426635213,"aws certified robotic arc welding"
"6987","certified executive chef",0.349399426635213,"certified medical practice executive"
"8545","certified executive chef",0.349399426635213,"certified fundraising executive"
"718","big data foundation certification",0.349234280812467,"data warehouse certification"
"3756","big data foundation certification",0.349234280812467,"all data certification"
"4576","certified building energy simulation analyst",0.348667001370958,"building energy modeling professional"
"6764","linux server professional certification - level 1",0.347392042370591,"manufacturing technician level 1 certification"
"760","associate constructor",0.347249667850939,"vmware certified associate"
"2313","associate constructor",0.347249667850939,"aruba certified mobility associate"
"2387","associate constructor",0.347249667850939,"aruba certified clearpass associate"
"6015","associate constructor",0.347249667850939,"certified accounts payable associate"
"8918","associate constructor",0.347249667850939,"certified coding associate"
"518","certified energy auditor",0.344498270509781,"certified information systems auditor"
"3702","certified energy auditor",0.344498270509781,"certified internal auditor"
"6058","certified energy auditor",0.344498270509781,"certified professional environmental auditor"
"9183","certified energy auditor",0.344498270509781,"certified professional medical auditor"
"1664","certified building energy simulation analyst",0.34321947353404,"bpi building analyst"
"6072","certified fraud examiner",0.339646125535126,"encase certified examiner"
"354","wso - certified hazardous materials technician i",0.338891173202575,"certified hazardous materials manager"
"17","carbon monoxide safety certification",0.338535657644059,"occupational safety and health administration certification"
"1489","carbon monoxide safety certification",0.338535657644059,"food safety manager certification"
"1972","certified associate in project management",0.337969073963861,"certification in risk management assurance"
"4070","juniper networks certified certified data center design professional",0.335904002056005,"data center design consultant"
"355","system diagnostics & troubleshooting certification",0.33504173521147,"brake system certification"
"5526","light commercial refrigeration certification",0.33504173521147,"commercial pest control certification"
"1753","certified welding engineer",0.334842745424056,"red hat certified engineer"
"5966","certified welding engineer",0.334842745424056,"certified automotive engineer"
"8657","certified welding engineer",0.334842745424056,"aws certified devops engineer"
"9880","ibm certified associate developer - rational application developer v8",0.3336658210396,"certified labview associate developer"
"1","life support technician",0.333333333333333,"basic life saving"
"3","star plumber mastery",0.333333333333333,"master plumber license"
"21","site development associate",0.333333333333333,"certified career development facilitator"
"90","airport master firefighter",0.333333333333333,"firefighter"
"128","airport master firefighter",0.333333333333333,"firefighter i"
"136","airport master firefighter",0.333333333333333,"wildland firefighter"
"265","life support technician",0.333333333333333,"life and health insurance license"
"272","airport master firefighter",0.333333333333333,"firefighter ii"
"322","fundamental payroll certification",0.333333333333333,"certified payroll professional"
"407","certified coating applicator",0.333333333333333,"pest control applicator"
"421","certified solidworks advanced professional sheet metal",0.333333333333333,"sheet metal certification"
"460","microsoft office specialist: associate (office 365 and office 2019)",0.333333333333333,"office technology"
"461","microsoft office specialist: associate (office 365 and office 2019)",0.333333333333333,"office occupations"
"772","clinical chemistry technologist",0.333333333333333,"clinical documentation improvement practitioner"
"796","certified administrative professional",0.333333333333333,"administrative office certificate"
"900","certified respiratory therapist",0.333333333333333,"licensed marriage and family therapist"
"944","clinical chemistry technologist",0.333333333333333,"certified clinical document specialist"
"1017","universal r-410a certification",0.333333333333333,"r-410a"
"1070","green awareness certification",0.333333333333333,"hazmat awareness"
"1379","clinical chemistry technologist",0.333333333333333,"clinical laboratory scientist"
"1407","life support technician",0.333333333333333,"life insurance license"
"1543","microsoft office specialist: associate (office 365 and office 2019)",0.333333333333333,"certified office administrator"
"1632","energy risk professional",0.333333333333333,"fiduciary investment risk specialist"
"2154","star steamfitting-pipefitting mastery",0.333333333333333,"5 star"
"2170","clinical chemistry technologist",0.333333333333333,"clinical nurse specialist license"
"2299","certified coating applicator",0.333333333333333,"chemical applicator license"
"2527","green awareness certification",0.333333333333333,"awareness and operations"
"2753","clinical chemistry technologist",0.333333333333333,"certified clinical perfusionist"
"2781","life support technician",0.333333333333333,"chartered life underwriter"
"2790","electrified hardware consultant",0.333333333333333,"hardware technician"
"2868","certified respiratory therapist",0.333333333333333,"massage therapist certification"
"3112","ophthalmic surgical assisting",0.333333333333333,"certified ophthalmic technician"
"3380","ophthalmic surgical assisting",0.333333333333333,"certified ophthalmic assistant"
"3567","life support technician",0.333333333333333,"life skills"
"3602","airport master firefighter",0.333333333333333,"wildland firefighter i"
"3643","certified entertainment electrician",0.333333333333333,"entertainment technician certification"
"3748","graduate master builder",0.333333333333333,"nccer scaffold builder"
"3989","site development associate",0.333333333333333,"cross-cultural language and academic development"
"4178","clinical chemistry technologist",0.333333333333333,"certified clinical supervisor"
"4813","energy risk professional",0.333333333333333,"certified risk manager"
"4933","airport master firefighter",0.333333333333333,"wildland firefighter ii"
"4951","certified personal chef",0.333333333333333,"personal protection"
"5167","clinical chemistry technologist",0.333333333333333,"certified clinical exercise physiologist"
"5168","clinical chemistry technologist",0.333333333333333,"clinical exercise physiologist"
"5169","clinical chemistry technologist",0.333333333333333,"registered clinical exercise physiologist"
"5343","certified elevator technician",0.333333333333333,"elevator journeyman"
"5345","microsoft office specialist: associate (office 365 and office 2019)",0.333333333333333,"office technician"
"6398","avionics electronics technician",0.333333333333333,"avionics license"
"6648","clinical chemistry technologist",0.333333333333333,"certified clinical research professional"
"7325","clinical chemistry technologist",0.333333333333333,"certified clinical transplant coordinator"
"7365","graduate master builder",0.333333333333333,"salesforce platform app builder"
"7662","certified lead carpenter",0.333333333333333,"nccer industrial carpenter"
"7736","certified reporting instructor",0.333333333333333,"fair credit reporting act certification"
"8739","adobe analytics developer",0.333333333333333,"adobe indesign"
"9445","microsoft office specialist: associate (office 365 and office 2019)",0.333333333333333,"medical front office"
"9478","chief engineer (unlimited)",0.333333333333333,"chief financial officer certification"
"9596","certified solidworks advanced professional sheet metal",0.333333333333333,"precision sheet metal operator certification"
"9947","microsoft office specialist: associate (office 365 and office 2019)",0.333333333333333,"office services certificate"
"9995","piping inspector certification",0.333333333333333,"amse pressure piping"
"10019","clinical chemistry technologist",0.333333333333333,"clinical exercise specialist"
"10358","clinical chemistry technologist",0.333333333333333,"clinical medical assistant"
"10527","site development associate",0.333333333333333,"childhood development certification"
"114","epa section 608 certification - refrigerant handling",0.330858126551635,"epa 608"
"2405","certified fire alarmtechnician - level ii",0.330481968021825,"fire instructor ii"
"1224","hdi certified instructor",0.330087883889382,"certified fitness instructor"
"5405","hdi certified instructor",0.330087883889382,"certified pilates instructor"
"7117","certified engineering technologist",0.330087883889382,"certified engineering manager"
"33","comptia it fundamentals",0.328382919769937,"it infrastructure library certification"
"65","certified entertainment electrician",0.328382919769937,"electrician certification"
"194","certified entertainment electrician",0.328382919769937,"master electrician license"
"300","wso - certified hazardous materials technician i",0.328382919769937,"hazardous materials certification"
"367","certificate of merit",0.328382919769937,"building trade certificate"
"491","aircraft electronics technician",0.328382919769937,"aircraft mechanic certification"
"585","upc journeyman plumber",0.328382919769937,"journeyman millwright"
"607","certificate of merit",0.328382919769937,"allen bradley certificate"
"614","airport fire officer",0.328382919769937,"police officer"
"736","certificate of merit",0.328382919769937,"l.s. certificate"
"747","certificate of merit",0.328382919769937,"vocational technical certificate"
"976","certificate of merit",0.328382919769937,"ceu's certificate"
"1082","certificate of merit",0.328382919769937,"national career readiness certificate"
"1174","certificate of merit",0.328382919769937,"chemical engineering certificate"
"1469","site development associate",0.328382919769937,"communication site installer"
"1609","data cabling installer",0.328382919769937,"network cabling certification"
"1756","physical security professional",0.328382919769937,"physical fitness"
"1766","wso - certified hazardous materials technician i",0.328382919769937,"workplace hazardous materials information system"
"1893","certificate of merit",0.328382919769937,"biotechnology certificate"
"1970","certificate of merit",0.328382919769937,"chemical operator certificate"
"1993","laboratory animal technologist",0.328382919769937,"animal science"
"2237","broadband transport specialist",0.328382919769937,"airline transport pilot license"
"2272","certificate of merit",0.328382919769937,"mortgage lending certificate"
"2471","certificate of merit",0.328382919769937,"child welfare certificate"
"2479","certified executive chef",0.328382919769937,"regisistered executive housekeeper"
"2503","airport fire officer",0.328382919769937,"certified correctional officer"
"2785","certificate of merit",0.328382919769937,"branch manager certificate"
"2929","certificate of merit",0.328382919769937,"basic computers certificate"
"3130","cable splicing certification",0.328382919769937,"cable systems certificate"
"3210","certified mail manager",0.328382919769937,"mail clerk"
"3343","certificate of merit",0.328382919769937,"composite repair certificate"
"3359","computer service technician",0.328382919769937,"computer information systems certificate"
"3458","certificate of merit",0.328382919769937,"business registration certificate"
"3465","certificate of merit",0.328382919769937,"airman's certificate"
"3933","certificate of merit",0.328382919769937,"certified nursery certificate"
"4192","certificate of merit",0.328382919769937,"dea certificate"
"4251","airport fire officer",0.328382919769937,"certified peace officer"
"4425","certificate of merit",0.328382919769937,"basic wiring certificate"
"4568","certificate of merit",0.328382919769937,"mine safety certificate"
"4622","airport fire officer",0.328382919769937,"mortgage loan officer"
"5092","certified entertainment electrician",0.328382919769937,"nccer industrial electrician"
"5518","data cabling installer",0.328382919769937,"structured cabling certification"
"5783","certificate of merit",0.328382919769937,"brick mason certificate"
"5957","electrical plans examiner",0.328382919769937,"control plans"
"6178","certificate of merit",0.328382919769937,"boot camp certificate"
"6289","comptia it fundamentals",0.328382919769937,"retail industry fundamentals"
"7251","airport fire officer",0.328382919769937,"corrections officer"
"7606","combustion analysis certification",0.328382919769937,"certified business analysis thought leader"
"8154","certificate of merit",0.328382919769937,"advanced engineering certificate"
"8508","upc journeyman plumber",0.328382919769937,"journeyman ironworker"
"8521","combustion analysis certification",0.328382919769937,"business analysis certificate"
"8554","certificate of merit",0.328382919769937,"business assistant certificate"
"8575","airport fire officer",0.328382919769937,"certified officer"
"9615","certificate of merit",0.328382919769937,"cmm operation certificate"
"9666","certificate of merit",0.328382919769937,"business writing certificate"
"10033","certified entertainment electrician",0.328382919769937,"nccer commercial electrician"
"10080","airport fire officer",0.328382919769937,"accredited airport executive"
"10487","upc journeyman plumber",0.328382919769937,"journeyman painter"
"10494","certificate of merit",0.328382919769937,"ems certificate"
"678","registered construction inspector - fire doors",0.327994048716345,"fire inspector"
