an,title,Is this article about a new product drug or medical device that is being launched or will be launched,If not about a launch is this article about FDA submission approval review process of a drug or medical device
DJDN000020141112eabc004gf,Press Release: FDA Approves New Styles of Allergan's NATRELLE(R) 410 Highly Cohesive Anatomically Shaped Silicone-Filled Breast Implants,no,yes
ATPHAM0020180714ee7d000bl,Sangamo Therapeutics Announces Technology Leadership Changes,no,no
BIOELSE020160518ec5b00003,Bay Area's ChemoCentryx (CCXI) inks $85 M deal with Vifor Pharma for lead product candidate.,yes,no
TMSTRBPA20171111edbb0000d,Stay Current On Vaccine For Mumps,no,no
PHYWK00020140314ea3i00022,Chemical Physics; Findings from North Carolina State University Update Understanding of Chemical Physics,no,no
PHBW000020130222e92p0005a,"Engineering Services; Biopharma Manufacturing Solutions Inc. Files SEC Form S-1, General Form For Registration of Securities Under The Securities Act of 1933 [Amend] (Feb. 11, 2013)",no,yes
DJDN000020141002eaa2000ie,Bayer Sells $7 Billion Bond,no,no
FLYWAL0020160525ec5p002uv,07:56 EDT FDA Endocrinologic & Metabolic Drugs Advisory Committee to hold a...,no,no
ATPHAM0020130312e93c000m9,Accumetrics: Clinical Utility of Platelet Reactivity Strongly Advocated at ACC.13,yes,no
PHBW000020130503e9560008m,"Biological Products, (No Diagnostic Substances); Onyx Pharmaceuticals Inc. Files SEC Form 4, Statement of Changes in Beneficial Ownership of Securities (Apr. 24, 2013)",no,no
LFSW000020130322e93q002ez,Immunology; Research Findings from Genentech Update Understanding of Immunoglobulins,yes,no
DJDN000020171109edb9003tt,*S&PGR Report Highlights Pharma Talk At 2017 Health Conference,no,no
ATPHAM0020160514ec5d0008u,"ALS Association, Target ALS Partner to Uncover Connection Between Ancient Retroviruses, ALS",no,no
DJDN000020180725ee7p001xm,"Albireo Pharma Files 8K - Director, Officer or Compensation Filing >ALBO",no,no
MDST000020140905ea9e000f7,"NuVasive, Inc. Researchers Submit Patent Application, ""Surgical Access System and Related Methods"", for Approval",yes,no
PHBW000020140704ea7700094,"Pharmaceutical Preparations; Isis Pharmaceuticals Inc. Files SEC Form 4, Statement of Changes in Beneficial Ownership of Securities (Jun. 20, 2014)",,
BWR0000020131002e9a2000h9,Codexis Named Finalist for CPhI Pharma Award for Best Innovation in Process Development,no,yes
PHBW000020171016edag0008y,"Pharmaceutical Companies; Valeant And One Of Its Subsidiaries Commence Cash Tender Offers For Up To $1,000,000,000 Outstanding Principal Amount",no,no
XREP000020180419ee4i0000n,New Arthritis Painkiller Works on Contact and Numbs the Pain in Minutes; New cream works faster and is more targeted than oral medications. Key ingredients penetrate the skin within minutes to relieve joint arthritis pain. Users report significant immediate relief.,yes,no
BBPUB00020181220eeck000ba,New York Tightens Its Grip On CBD Even As The Feds Ease Industrial Hemp Restrictions,no,no
USFOD00020151211ebbr0000j,"New and generic drug approvals: Omega-3-Acid Ethyl Esters, oral capsule, Amneal Pharmaceuticals.",no,yes
ATPHAM0020161106ecb40001s,"United States Market Report for Hemostasis Devices 2017: Hemostasis Probes, Ligation Devices, Sclerotherapy Needles, Electrosurgical Generators - Research and Markets",no,no
MDST000020151030ebau000dr,"Patents; Researchers Submit Patent Application, ""Method and Cloud Server for Personal Profile Matching Using Exercise Information"", for Approval (USPTO 20150296044)",yes,no
ELECWK0020140207ea2c0016j,"Bruker Daltonics, Inc. Patent Issued for Stabilized Electron Multiplier Anode",yes,no
SOMECJ0020181122eebk00001,Eastern Oklahoma State College board prohibits medical marijuana,no,no
POLGOV0020151105ebb5000cs,"Abbott Cardiovascular Systems Inc. ""Radially Expandable Polymer Prosthesis and Method of Making Same"" in Patent Application Approval Process (USPTO 20150297372)",no,yes
RTDJGE0020140730ea7u000qf,"PRESS RELEASE: Novavax to Host Conference Call to Discuss Second Quarter 2014 Financial Results on August 6, 2014",no,no
DJDN000020170509ed590023w,Press Release: Corbus Pharmaceuticals Reports 2017 First Quarter Financial Results and Provides Business Update,no,no
OFBOAR0020160523ec5k000ks,"McKesson - The organizational chart displays its 27 executives, including John Hammergren and Susan Salka",no,no
DRGW000020140801ea88000e0,"Cipla Limited; ""Process for the Preparation of Paliperidone"" in Patent Application Approval Process",no,yes
OFBOAR0020151019ebaf001s3,"Bruin Biometrics - The organizational chart displays its 9 executives, including Martin Burns and Michael Flesch",no,no
HAMW000020131220e9cr003lj,Pharmaceutical Companies; Patent Issued for Protein a Compositions and Methods of Use,yes,no
BTBW000020180618ee6i0002e,Chiesi Farmaceutici S.p.A. Patent Issued for Animal Model of Krabbe'S Disease (USPTO 9986722),yes,no
RTWK000020131108e9bb00047,Stem Cell Research; Studies from University of Pittsburgh Reveal New Findings on Stem Cells,no,no
ATPHAM0020150811eb8a0005z,"Calithera Biosciences Reports Second Quarter 2015 Financial Results, Recent Highlights",no,no
MARNEW0020130319e93j000dg,"US$ Credit Supply Pipeline - Mar 19, 2013",no,no
CONGDP0020150427eb4o0002v,"Lowey Announces $29,000 Federal Grant for Valhalla Volunteer Ambulance Corps; Grant will be used for mechanical CPR devices to perform cardiac compressions, allowing staff to focus on other lifesaving techniques; Rep. Nita Lowey (D-NY) News Release",no,no
ECOWEK0020160708ec78000f2,"Industrial Instruments for Measurement, Display, and Control; Quarta-rad, Inc. Files SEC Form EFFECT, Notice of Effectiveness (Jun. 23, 2016)",no,yes
PZON000020171010edaa0004o,Rexahn Pharmaceuticals Receives Positive Opinion from European Medicines Agency for Orphan Drug Designation for RX-3117,yes,no
OBWK000020131108e9bg0032e,"Pharmaceutical Preparations; Integrated Biopharma Inc. Files SEC Form DEF 14A, Other Definitive Proxy Statements (Oct. 28, 2013)",no,yes
AMHL000020140115e9c40010v,GOP Targets Reported Doctor-Patient Relationship Problem in Exchanges,no,no
BWR0000020170608ed680009z,"PBYI SHAREHOLDER ALERT: The Law Offices of Vincent Wong Reminds Investors of a Class Action Involving Puma Biotechnology, Inc. and a Lead Plaintiff Deadline of July 7, 2017",no,no
IFDAW00020130614e96e0000l,"FDA Plan B Compromise Aims To Keep Approval, Exclusivity Regulations Intact",no,no
ATPHAM0020180419ee4j0010l,"Tmunity Raises Additional $35 Million in Series A Financing, Bringing Series A Total to $135 Million to Advance Next-Generation T Cell Therapies",no,no
OBWK000020151225ebcp0002k,"ESSA Pharma Inc; ESSA Pharma Inc. Reports Financial Results for the Fourth Quarter and Year Ended September 30, 2015",no,no
DJDN000020130802e982002el,PRESS RELEASE: Cardiome Reports Second Quarter 2013 Financial Results,no,no
DJDN000020170725ed7p00275,SuperValu Thriving off Grocery Bankruptcies -- Market Talk,no,no
PHBW000020170619ed6j0001s,"Pharmaceutical Companies; Anthera Pharmaceuticals Inc. Files SEC Form POS AM, Post-effective Amendments For Registration Statement (Jun. 5, 2017)",no,no
ICROWDN020180417ee4h001p9,"Ivermectin Market Trends, Analysis, Leading Players & Forecast by 2025",no,no
MDST000020150109eb1i000zt,"Surgical and Medical Instruments and Apparatus; Biocurex Inc. Files SEC Form REVOKED, Commission Order Revoking Exchange Act Registration [Section 12(J)] (Dec. 18, 2014)",no,no
PHBW000020140207ea2a0006p,"Pharmaceutical Preparations; Cardiome Pharma Corp. Files SEC Form 6-K, Report of Foreign Issuer [Rules 13A-16 And 15D-16] (Jan. 29, 2014)",no,no
FLYWAL0020180927ee9r00jtx,Cumberland reports effects of amifostine in SMLC featured in publication,no,yes
JOENG00020131129e9c4001qb,"DePuy Synthes Products, LLC; Patent Issued for Clamps Used for Interconnecting a Bone Anchor to a Rod",yes,no
STLBJO0020180301ee310002x,"Ackman gives up Herbalife fight, capping five-year back-and-forth",no,yes
HAMW000020140613ea6k003lf,"Dental Equipment and Supplies; Biolase, Inc. Files SEC Form SD, (Jun. 2, 2014)",no,yes
ATPATN0020180907ee9700004,Dyax Corp Files Patent Application for Immunoassay to Detect Cleaved High Molecular Weight Kininogen,no,yes
BWR0000020161115ecbf000h7,Global Pharmaceutical Contract Manufacturing Market 2016-2020: High Number of US FDA-Approved Manufacturing Facilities in Emerging Countries - Research and Markets,no,yes
DJDN000020170429ed4t000bh,Letters to Barron's -- Barrons.com,no,no
CNSW000020180516ee5g00ayh,MARI Maricann to acquire Maltese licence for $10.1M (U.S.),no,yes
APPLAN0020180801ee8100044,Delcath Systems Inc record date for 500-for-1 rights issue; AP Planner; Future News Item; Delcath Systems Inc,no,no
DRIDY00020161206ecc600001,Briefs,no,no
PZON000020170502ed5200026,Inovio Pharmaceuticals to Participate in Bank of America Merrill Lynch 2017 Healthcare Conference,no,no
