summary_type,main_type,sub_type,sourceforge_count,count_asof,terms,terms_asof,links
Application,Office/Business,Report Generators,186,6/17/21 12:20,,,
Application,Office/Business,Modelling,48,6/17/21 12:20,,,
Application,Office/Business,Insurance,21,6/17/21 12:20,,,
Application,Office/Business,Marketing Automation,8,6/17/21 12:20,,,
Application,Printing,,907,6/17/21 12:20,,,
Application,Text Editors,,5160,6/17/21 12:20,editor|latex|biblatex|latex-template|xelatex|latex-editor|template-latex,,
Application,Text Editors,Text Processing,1725,6/17/21 12:20,,,
Application,Text Editors,Integrated Development Environments,1249,6/17/21 12:20,visual-studio|vscode|vscode-extension|visual-studio-code|visualstudio|visual-studio-extension|visual-studio-code-extension,,
Application,Text Editors,Word Processors,562,6/17/21 12:20,,,
Application,Text Editors,Documentation,371,6/17/21 12:20,,,
Application,Text Editors,Emacs,197,6/17/21 12:20,emacs|emacs-lisp|emacs-configuration|doom-emacs|gnu-emacs|emacs-customizations|emacs-packages|centaur-emacs,,
Application,Text Editors,Computer-Aided Translation,62,6/17/21 12:20,,,
Application,Text Editors,Vi/Vim,40,6/17/21 12:20,vim|neovim|vim-configuration|vim-plugin|nvim|vim-configs|neovim-plugin|vim-plugins|vimperator|neovim-dotfiles|vim-like|vim-mode|vimfiles|gvim,,
Other/Nonlisted Topic,,,5822,6/17/21 12:20,,,
Programming,,,NA,6/17/21 12:20,,,
Programming,,Java,54960,6/17/21 12:20,,,
Programming,,C++,44438,6/17/21 12:20,c++,,
Programming,,PHP,34361,6/17/21 12:20,,,
Programming,,C,32638,6/17/21 12:20,,,
Programming,,C#,18134,6/17/21 12:20,c#,,
Programming,,Python,17464,6/17/21 12:20,python,,
Programming,,JavaScript,15040,6/17/21 12:20,javascript,,
Programming,,Perl,10134,6/17/21 12:20,perl,,
Programming,,Unix Shell,5063,6/17/21 12:20,,,
Programming,,Virtual Basic .NET,4304,6/17/21 12:20,,,
Programming,,Delphi/Kylix,4243,6/17/21 12:20,,,
Programming,,Virtual Basic,3757,6/17/21 12:20,,,
Programming,,Assembly,2824,6/17/21 12:20,,,
Programming,,JSP,2184,6/17/21 12:20,,,
Programming,,Ruby,2128,6/17/21 12:20,,,
Programming,,PL/SQL,1949,6/17/21 12:20,,,
Programming,,ASP.NET,1711,6/17/21 12:20,,,
Programming,,ASP.NET,1711,6/17/21 12:20,,,
Programming,,ActionScript,1700,6/17/21 12:20,,,
Programming,,Objective C,1693,6/17/21 12:20,,,
Programming,,Tcl,1418,6/17/21 12:20,,,
Programming,,Lua,1379,6/17/21 12:20,,,
Programming,,XSL,1270,6/17/21 12:20,,,
Programming,,MATLAB,1041,6/17/21 12:20,,,
Programming,,BASIC,999,6/17/21 12:20,,,
Programming,,Pascal,928,6/17/21 12:20,,,
Programming,,Object Pascal,729,6/17/21 12:20,,,
Programming,,Fortran,673,6/17/21 12:20,,,
Programming,,Lazarus,585,6/17/21 12:20,,,
Programming,,Free Pascal,527,6/17/21 12:20,,,
Programming,,Lisp,464,6/17/21 12:20,,,
Programming,,Groovy,461,6/17/21 12:20,,,
Programming,,S/R,357,6/17/21 12:20,,,
Programming,,VBScript,355,6/17/21 12:20,,,
Programming,,Scheme,323,6/17/21 12:20,,,
Programming,,Visual Basic for Applications,302,6/17/21 12:20,,,
Programming,,AutoIt,299,6/17/21 12:20,,,
Programming,,Flex,287,6/17/21 12:20,,,
Programming,,Ada,274,6/17/21 12:20,,,
Programming,,Prolog,237,6/17/21 12:20,,,
Programming,,AppleScript,232,6/17/21 12:20,,,
Programming,,VHDL/Verilog,232,6/17/21 12:20,,,
Programming,,OCaml,211,6/17/21 12:20,,,
Programming,,AWK,186,6/17/21 12:20,,,
Programming,,D,182,6/17/21 12:20,,,
Programming,,Haskell,180,6/17/21 12:20,,,
Programming,,Cold Fusion,179,6/17/21 12:20,,,
Programming,,REALbasic,176,6/17/21 12:20,,,
Programming,,Common Lisp,172,6/17/21 12:20,,,
Programming,,Zope,169,6/17/21 12:20,,,
Programming,,Project is a Coding Language,163,6/17/21 12:20,,,
Programming,,Go,160,6/17/21 12:20,,,
Programming,,Scala,154,6/17/21 12:20,,,
Programming,,Yacc,149,6/17/21 12:20,,,
Programming,,ALGOL,148,6/17/21 12:20,,,
Programming,,GLSL,147,6/17/21 12:20,,,
Programming,,Erlang,143,6/17/21 12:20,,,
Programming,,Standard ML,142,6/17/21 12:20,,,
Programming,,AspectJ,123,6/17/21 12:20,,,
Programming,,Forth,122,6/17/21 12:20,,,
Programming,,LabVIEW,117,6/17/21 12:20,,,
Programming,,Emacs-Lisp,108,6/17/21 12:20,,,
Programming,,Smalltalk,108,6/17/21 12:20,,,
Programming,,Eiffel,100,6/17/21 12:20,,,
Programming,,IDL,95,6/17/21 12:20,,,
Programming,,TypeScript,86,6/17/21 12:20,,,
Programming,,Rexx,80,6/17/21 12:20,,,
Programming,,System,74,6/17/21 12:20,,,
Programming,,COBOL,67,6/17/21 12:20,,,
Programming,,PROGRESS,55,6/17/21 12:20,,,
Programming,,Swift,53,6/17/21 12:20,,,
Programming,,Visual FoxPro,47,6/17/21 12:20,,,
Programming,,APL,42,6/17/21 12:20,,,
Programming,,Euphoria,41,6/17/21 12:20,,,
Programming,,XBasic,41,6/17/21 12:20,,,
Programming,,Mathematica,40,6/17/21 12:20,,,
Programming,,Gambas,37,6/17/21 12:20,,,
Programming,,MUMPS,37,6/17/21 12:20,,,
Programming,,XBase/Clipper,37,6/17/21 12:20,,,
Programming,,Curl,35,6/17/21 12:20,,,
Programming,,BlitzMax,34,6/17/21 12:20,,,
Programming,,PowerShell,34,6/17/21 12:20,,,
Programming,,Logo,33,6/17/21 12:20,,,
Programming,,Oberon,30,6/17/21 12:20,,,
Programming,,haXe,27,6/17/21 12:20,,,
Programming,,Kotlin,27,6/17/21 12:20,,,
Programming,,REBOL,27,6/17/21 12:20,,,
Programming,,Rust,26,6/17/21 12:20,,,
Programming,,Simulink,26,6/17/21 12:20,,,
Programming,,Pike,24,6/17/21 12:20,,,
Programming,,Boo,22,6/17/21 12:20,,,
Programming,,LPC,22,6/17/21 12:20,,,
Programming,,Scilab,18,6/17/21 12:20,,,
Programming,,Clarion,17,6/17/21 12:20,,,
Programming,,Modula,16,6/17/21 12:20,,,
Programming,,GameMaker,13,6/17/21 12:20,,,
Programming,,OpenCL,11,6/17/21 12:20,,,
Programming,,Vala,11,6/17/21 12:20,,,
Programming,,PL/I,10,6/17/21 12:20,,,
Programming,,R,10,6/17/21 12:20,,,
Programming,,Dart,7,6/17/21 12:20,,,
Programming,,Oz,7,6/17/21 12:20,,,
Programming,,Julia,6,6/17/21 12:20,,,
Programming,,Dylan,5,6/17/21 12:20,,,
Programming,,Kaya,5,6/17/21 12:20,,,
Programming,,Scriptol,5,6/17/21 12:20,,,
Programming,,Transcript/Revolution,5,6/17/21 12:20,,,
Programming,,CoffeeScript,4,6/17/21 12:20,,,
Programming,,Elixer,4,6/17/21 12:20,,,
Programming,,Filemaker Script,4,6/17/21 12:20,,,
Programming,,LotusScript,4,6/17/21 12:20,,,
Programming,,Prism,4,6/17/21 12:20,,,
System,Operating Systems,,NA,6/17/21 12:20,operating system|os|android|docker|linux|kubernetes|macos|containers|docker-compose|docker-image|android-application|android-app|android-library|kotlin-android|dockerfile|docker-container|android-studio|centos|android-development|kubernetes-cluster|android-ui|docker-swarm|android-sdk|docker-images|kubernetes-operator|xamarin-android|dockerfiles|rxandroid|android-game|android-architecture|docker-registry|kubernetes-deployment|docker-machine|kubernetes-setup|centos7|docker-containers|docker-deployment|docker-environment|google-kubernetes-engine|kubernetes-controller|android-animation|android-architecture-components|android-tv-apps|docker-engine|docker-volumes|dockerhub|kubernetes-distribution|centos6|docker-api|docker-cloud|docker-compose-template|docker-for-windows|docker-plugin|docker-terminal|docker-ui|dockerize|kubernetes-applications|aws-kubernetes|azure-kubernetes-services|centos-7|centos8|docker-android|docker-android|docker-boilerplate|docker-book|docker-cli|docker-client|docker-commands|docker-configuration|docker-daemon|docker-desktop|docker-devops|docker-distribution|docker-documentation|docker-drupal|docker-engine-api|docker-group|docker-hub|docker-image-available|docker-java|docker-lab|docker-lamp|docker-laravel|docker-magento2|docker-mailserver|docker-mods|docker-monitoring|docker-nginx-php|docker-node|docker-non-root-container|docker-php|docker-playsms|docker-pod|docker-satis|docker-security|docker-service|docker-stack|docker-swarm-service|docker-swarm-ui|docker-symfony|docker-testing|docker-tls|docker-toolbox|docker-wordpress|dockerd|dockerenteprise|dockerfile-generator|dockerfiles-windows|dockerhub-image|dockerignore|dockerimage|dockerization|existing-kubernetes-cluster|installing-kubernetes|kubenetes|kuberenetes|kubernates|kubernetes-access|kubernetes-admission-webhook|kubernetes-annotations|kubernetes-assertions|kubernetes-clusters|kubernetes-crd|kubernetes-dashboard|kubernetes-deployments|kubernetes-engine|kubernetes-exporter|kubernetes-helm|kubernetes-ingress-controller|kubernetes-ingress|kubernetes-installation|kubernetes-installer|kubernetes-landscape|kubernetes-landscapes|kubernetes-manifests|kubernetes-model|kubernetes-persistent-volume|kubernetes-platform-solution|kubernetes-releases|kubernetes-secrets|kubernetes-sig|kubernetes-ui|kubernetes-volumes|kubernets,,
System,Operating Systems,Windows,211590,6/17/21 12:20,windows|antimicro|scptoolkit|scrollout f1|7-zip|scrcpy|rufus|turbovnc|etcher|desmume|webmin|libusb|gparted|win32 disk imager|windows directory statistics|net-snmp|ds4windows|asuswrt-merlin|gpt fdisk|process hacker|visualboyadvance|darik's book and nuke|opentrack|ventoy|vjoy|s.m.a.r.t. monitoring tools|nullsoft scriptable|ophcrack|v2ray|double commander|catacombae|reactos|ext2|boot-repair-disk|blissos-dev|waircut|nikkho|refind|magisk|ext2read|angry ip scanner|iperf|grub2win|gns3|nestopia|algo vpn,,
System,Operating Systems,Linux,199818,6/17/21 12:20,linux|antimicro|scrollout f1|ubuntuzilla|scrcpy|rufus|turbovnc|autoap|etcher|desmume|webmin|libusb|gparted|intel ethernet|zorin|xz utils|openmediavault|mx-linux|net-snmp|cracklib|asuswrt-merlin|gpt fdisk|visualboyadvance|darik's book and nuke|opentrack|ventoy|s.m.a.r.t. monitoring tools|ext2|hdparm|clonezilla|squashfs|ophcrack|v2ray|double commander|catacombae|reactos|p7zip|boot-repair-disk|blissos-dev|refind|procps-ng|archlinux|debian|manjaro|ubuntu|centos|centos7|centos6|centos-7|centos8,,
System,Operating Systems,Mac,147568,6/17/21 12:20,mac|scrollout f1|scrcpy|turbovnc|info-zip project|webmin|desmume|libusb|gparted|etcher|asuswrt-merlin|gpt fdisk|darik's book and nuke|opentrack|visualboyadvance|s.m.a.r.t. monitoring tools|reactos|double commander|catacombae|v2ray|blissos-dev|boot-repair-disk|angry ip scanner|refind|magisk|iperf|gns3|zabbix|macos|algo vpn|grandperspective|retroarch|docfetcher|iometer|veracrypt|boch x86 pc emulator|ghostscript fonts|drawio-desktop|gsmartcontrol|powershell|lxpup|gutenprint|voodoohda|macintosh os|ios|big sur|catalina|mojave|high sierra|el capitan|yosemite|mavericks|mountain lion,,
System,Operating Systems,Grouping and Descriptive Categories,139512,6/17/21 12:20,,,
System,Operating Systems,Modern,71820,6/17/21 12:20,,,
System,Operating Systems,BSD,42951,6/17/21 12:20,bsd|berkeley software distribution|freebsd,,
System,Operating Systems,Other Operating Systems,9391,6/17/21 12:20,,,
System,Operating Systems,Handheld/Embedded Operating Systems,6550,6/17/21 12:20,,,
System,Operating Systems,Emulation and API Compatability,4930,6/17/21 12:20,,,
System,Operating Systems,Android,4521,6/17/21 12:20,android|android-application|android-app|android-library|kotlin-android|android-studio|android-development|android-ui|android-sdk|xamarin-android|rxandroid|android-game|android-architecture|android-animation|android-architecture-components|android-tv-apps|docker-android,,
System,Operating Systems,Solaris,2932,6/17/21 12:20,solaris|oracle|sunos,,
System,Operating Systems,Virtualization,866,6/17/21 12:20,docker|kubernetes|containers|docker-compose|docker-image|dockerfile|docker-container|kubernetes-cluster|docker-swarm|docker-images|kubernetes-operator|dockerfiles|docker-registry|kubernetes-deployment|docker-machine|kubernetes-setup|docker-containers|docker-deployment|docker-environment|google-kubernetes-engine|kubernetes-controller|docker-engine|docker-volumes|dockerhub|kubernetes-distribution|docker-api|docker-cloud|docker-compose-template|docker-for-windows|docker-plugin|docker-terminal|docker-ui|dockerize|kubernetes-applications|aws-kubernetes|azure-kubernetes-services|docker-android|docker-boilerplate|docker-book|docker-cli|docker-client|docker-commands|docker-configuration|docker-daemon|docker-desktop|docker-devops|docker-distribution|docker-documentation|docker-drupal|docker-engine-api|docker-group|docker-hub|docker-image-available|docker-java|docker-lab|docker-lamp|docker-laravel|docker-magento2|docker-mailserver|docker-mods|docker-monitoring|docker-nginx-php|docker-node|docker-non-root-container|docker-php|docker-playsms|docker-pod|docker-satis|docker-security|docker-service|docker-stack|docker-swarm-service|docker-swarm-ui|docker-symfony|docker-testing|docker-tls|docker-toolbox|docker-wordpress|dockerd|dockerenteprise|dockerfile-generator|dockerfiles-windows|dockerhub-image|dockerignore|dockerimage|dockerization|existing-kubernetes-cluster|installing-kubernetes|kubenetes|kuberenetes|kubernates|kubernetes-access|kubernetes-admission-webhook|kubernetes-annotations|kubernetes-assertions|kubernetes-clusters|kubernetes-crd|kubernetes-dashboard|kubernetes-deployments|kubernetes-engine|kubernetes-exporter|kubernetes-helm|kubernetes-ingress-controller|kubernetes-ingress|kubernetes-installation|kubernetes-installer|kubernetes-landscape|kubernetes-landscapes|kubernetes-manifests|kubernetes-model|kubernetes-persistent-volume|kubernetes-platform-solution|kubernetes-releases|kubernetes-secrets|kubernetes-sig|kubernetes-ui|kubernetes-volumes|kubernets,,
System,Terminals,,1189,6/17/21 12:20,terminal,,
System,Terminals,Terminal Emulators/X Terminals,313,6/17/21 12:20,,,
System,Terminals,Serial,253,6/17/21 12:20,,,
System,Terminals,Telnet,220,6/17/21 12:20,,,
System,,,31992,6/17/21 12:20,android|docker|linux|kubernetes|windows|macos|terminal|containers|networking|docker-compose|docker-image|android-application|android-app|android-library|kotlin-android|dockerfile|docker-container|android-studio|centos|android-development|kubernetes-cluster|android-ui|docker-swarm|android-sdk|docker-images|kubernetes-operator|xamarin-android|dockerfiles|rxandroid|android-game|android-architecture|docker-registry|kubernetes-deployment|docker-machine|kubernetes-setup|centos7|docker-containers|docker-deployment|docker-environment|google-kubernetes-engine|kubernetes-controller|android-animation|android-architecture-components|android-tv-apps|docker-engine|docker-volumes|dockerhub|kubernetes-distribution|centos6|docker-api|docker-cloud|docker-compose-template|docker-for-windows|docker-plugin|docker-terminal|docker-ui|dockerize|kubernetes-applications|aws-kubernetes|azure-kubernetes-services|centos-7|centos8|docker-android|docker-android|docker-boilerplate|docker-book|docker-cli|docker-client|docker-commands|docker-configuration|docker-daemon|docker-desktop|docker-devops|docker-distribution|docker-documentation|docker-drupal|docker-engine-api|docker-group|docker-hub|docker-image-available|docker-java|docker-lab|docker-lamp|docker-laravel|docker-magento2|docker-mailserver|docker-mods|docker-monitoring|docker-nginx-php|docker-node|docker-non-root-container|docker-php|docker-playsms|docker-pod|docker-satis|docker-security|docker-service|docker-stack|docker-swarm-service|docker-swarm-ui|docker-symfony|docker-testing|docker-tls|docker-toolbox|docker-wordpress|dockerd|dockerenteprise|dockerfile-generator|dockerfiles-windows|dockerhub-image|dockerignore|dockerimage|dockerization|existing-kubernetes-cluster|installing-kubernetes|kubenetes|kuberenetes|kubernates|kubernetes-access|kubernetes-admission-webhook|kubernetes-annotations|kubernetes-assertions|kubernetes-clusters|kubernetes-crd|kubernetes-dashboard|kubernetes-deployments|kubernetes-engine|kubernetes-exporter|kubernetes-helm|kubernetes-ingress-controller|kubernetes-ingress|kubernetes-installation|kubernetes-installer|kubernetes-landscape|kubernetes-landscapes|kubernetes-manifests|kubernetes-model|kubernetes-persistent-volume|kubernetes-platform-solution|kubernetes-releases|kubernetes-secrets|kubernetes-sig|kubernetes-ui|kubernetes-volumes|kubernets,,
System,,Networking,7439,6/17/21 12:20,networking,,
System,,Systems Administration,5609,6/17/21 12:20,,,
System,,Storage,4509,6/17/21 12:20,,,
System,,Hardware,2848,6/17/21 12:20,,,
System,,Operating System Kernals,2382,6/17/21 12:20,,,
System,,Filesystems,1712,6/17/21 12:20,,,
System,,Distributed Computing,1663,6/17/21 12:20,,,
System,,Installation/Setup,1610,6/17/21 12:20,,,
System,,Logging,1440,6/17/21 12:20,,,
System,,Software Distributution,1388,6/17/21 12:20,,,
System,,Operating System Distribution,1332,6/17/21 12:20,,,
System,,Emulators,1122,6/17/21 12:20,,,
System,,System Shells,946,6/17/21 12:20,,,
System,,Clustering,748,6/17/21 12:20,,,
System,,Embedded Systems,607,6/17/21 12:20,,,
System,,Search,556,6/17/21 12:20,,,
System,,Boot,514,6/17/21 12:20,,,
System,,Benchmark,492,6/17/21 12:20,,,
System,,Home Automation,286,6/17/21 12:20,,,
System,,Cron and Scheduling,112,6/17/21 12:20,,,
System,,Power,100,6/17/21 12:20,,,
System,,Internet of Things,53,6/17/21 12:20,,,
Topics,Religion/Philosophy,,659,6/17/21 12:20,,,
Topics,Religion/Philosophy,New Age,92,6/17/21 12:20,,,
Topics,Religion/Philosophy,Humanitarianism,30,6/17/21 12:20,,,
Topics,Scientific/Engineering,,27097,6/17/21 12:20,,,
