index,DEPARTMENT,PREDICTIONS,ABSTRACT
989,HHS,HHS,"spaceprovided)No thesis selected.Insulin secretion occurs within Islets of Langerhans of the neuroendocrine pancreas. The series of cellularevents leading to insulin secretion is very complex, reflecting its importance in glucose homeostasis. Proteinsmay be involved in the dynamic translocation of channels and other signaling molecules in glucose stimulatedinsulin secretion, such as ERM proteins. ERM proteins (Ezrin, Radixin, and Moesin) are a family of proteinsthat functionally link the actin cytoskeleton with the plasma membrane. This family of proteins becomesactivated through phosphorylation by Akt2 at a critical threonine on the C- terminus, relieving ERMautoinhibition and allowing them to act as scaffolding molecules. ERM proteins have been implicated in thetranslocation of channels to the plasma membrane upon stimulation in other cell types. Insulin secretion occursthrough the interaction of numerous channels and these channels may translocate as well. ERM proteins havenot been investigated in insulin secreting cells, but may be quite important in their physiology. We haverecently deomonstrated their presence and activation in pancreatic beta cells. This research will address therole of ERM proteins in insulin secretion and beta cell physiology."
997,HHS,NSF,"DESCRIPTION (provided by applicant):    Understanding the genetic basis of drug resistance is essential for using genotypic drug resistance testing to help physicians select optimal therapy for their patients, for designing new antiviral drugs, and for monitoring the spread of drug-resistant viruses. We plan to identify patterns of protease, reverse transcriptase (RT), and perhaps envelope, and integrase mutations developing in HIV-1 isolates from persons receiving antiretroviral therapy. We will use these patterns to create panels of prototypical infectious biological and molecular clones with high-level resistance to each drug class to assist scientists investigating the biophysical and biochemical basis of drug resistance. To determine whether drug resistance can be explained solely by mutations in the molecular targets of drug therapy, we will compare the susceptibility of biological clones obtained directly from a patient sample with those of recombinant molecular clones in which only the target of therapy has been contributed by the biological clone. We will also compare the susceptibility of recombinant and non-recombinant biological clones from subtype A, C, D, F, G, A/E, and A/G isolates with common patterns of drug-resistance mutations. To examine the role of newly identified treatment-associated RT and protease mutations, we will compare the susceptibility and replication of pairs of clones that are isogenic except for mutation at the position of interest. We hypothesize that HIV-1 isolates with high-level class resistance consist of complex mixtures of clones with related but distinct patterns of drug-resistance mutations. The extent of drug resistance in such isolates is likely to be lower than the cumulative amount of drug resistance in the clones that comprise the isolate. Drugs that are only partially active against isolates with high-level class resistance may not be effective for salvage therapy because these isolates may harbor subpopulations that will require only one or two additional mutations to become highly cross-resistant to a new drug. We will examine the susceptibility of clones from high-level class-resistant isolates to drugs in pre-clinical and clinical development and will culture these clones in the presence of increasing concentrations of these drugs to select viruses with high level cross-resistance for use in drug development efforts."
1018,HHS,HHS,"DESCRIPTION (provided by applicant): Neuroimmune communication has been implicated in both physiological defense against infection and pathogenic events contributing to many disorders of the central nervous system (CNS). A key mediator for this communication is interleukin-1. The following evidences indicate IL-1 acts on cells of the blood brain barrier to affect the CNS: 1) The functional 1L-1 receptor (type I IL-1 receptor, IL-1r1) is mostly expressed on CNS endothelial cells, 2) IL-1-responsive immediate early gene IkappaBalpha is induced primarily in CNS endothelium after central IL-1 injection; 3) inflammatory mediators such as the prostaglandins are induced in brain endothelial cells after both peripheral and central immune challenges; and 4) IL-1r1 is essential for mediating the recruitment of leukocytes across the BBB during the development of CNS immune responses. The central hypothesis of this proposal, therefore, is that IL-1 affects the CNS through the activation of CNS endothelial cells. This hypothesis can be tested directly in our recently created transgenic mice with which we can specifically inhibit the expression of IL-1r1 on endothelial cells. The long range goal of this application is to elucidate the role of BBB in mediating neuroimmune crosstalk. Using these transgenic animals, the following specific aims will be tested: 1) Determine the distribution of IL-1r1 protein expression in the CNS in normal and immunologically challenged mice. 2) Determine the role of endothelial IL-1r1 in mediating the activation of the neural circuits and the functional consequences induced by peripheral and central immune challenges. 3) Determine the role of endothelial IL-1r1 in the recruitment of leukocyte across the BBB. 4) Determine the role of endothelial IL-1r1 in mediating the development and progression of experimental autoimmune encephalomyelitis (EAE). The results of this project should provide a definitive analysis to determine the role of endothelial IL-1r1 in several aspects of neuroimmune interaction."
1100,HHS,NSF,"DESCRIPTION (provided by applicant): COUP-TFII is an orphan nuclear receptor that belongs to the steroid receptor superfamily. Ablation of COUP-TFII in mice results in early embryonic lethality due to defects in angiogenesis and heart development. To further understand the biological functions of COUP-TFII in vascular and heart development, LacZ knock-in and floxed COUP-TFII mice were generated. X-Gal staining of the LacZ knock-in mice shows high COUP-TFII expression in the endothelium of the vein but not in the artery. Further, chimera analysis showed that COUP-TFII plays a cell autonomous function in the endothelial cells of the vein but not the artery. These studies show for the first time that COUP-TFII is an essential transcription factor for vein identify. The insertion of loxP site into the COUP-TFII locus reduced the expression of COUP-TFII, rendering the COUP-TFII flox/- mutants genetically hypomorphic. The hypomorphic mutants exhibit atrioventricular septal defects (AVSD) commonly observed in congenital heart disease patients. The atrium malformation displayed by the COUP-TFII null mutant coupled with AVSD elicited by the hypomorphic mutant together suggest that COUP-TFII plays a critical role in cardiogenesis. Whether the heart defects are intrinsic or secondary to the vascular defects is currently unknown. Proper heart development requires the coordinated interactions between the endocardium and myocardium. Whether the endothelial cells in the endocardium or the myocardial cells in the myocardium are the targets of COUP-TFII regulation is also unclear. To elucidate the role of COUP-TFII in the maintenance of vein identity and in heart development, two Specific Aims are proposed. In Aim 1, we will employ gain-of-function and loss-of-function of COUP-TFII in the endothelial cells to examine the role of COUP-TFII in the maintenance of arteriovenous identity. In addition, we will use DMA chip microarray analysis to identify novel downstream targets and signaling pathways that are regulated by COUP-TFII in the arteriovenous decision. In Aim 2, we will use the hypomorphic mutant and the endothelial and myocardial conditional COUP-TFII knockouts to investigate the role of COUP-TFII in heart development. This study will enable us to determine how endothelial COUP-TFII versus myocardial COUP-TFII affects cardiogenesis and how COUP-TFII modulates the interaction between the myocardium and endocardium. Our proposed studies should provide timely new insights into how COUP-TFII impacts cardiovascular development and facilitate the diagnosis and treatment of congenital heart disease."
1130,HHS,NSF,"The conventional framework for understanding reactivity and selectivity in organic reactions fails forreactions influenced by dynamic effects. Our work has identified three types of dynamic effects that weexpect to be common in ordinary organic reactions in solution. We propose their detailed mechanisticinvestigation in diverse reactions. The aim of this research is to identify experimental examples and developexperimentally-based evidence for each type of dynamic effect. This includes the characterization ofobservations associated with dynamic effects and the development of new experimental tests for dynamiceffects. We also aim to establish examples of these types of dynamic effects in enzymatic and organometallicreactions. Overall, our goal is to provide a sufficient experimental phenomenology to foster understanding,allowing other workers to recognize when dynamic effects play a role in their reactions. Finally, mechanisticstudies are proposed with the aim of understanding and controlling selectivity in some important newreactions. The health-relatedness of this work derives from its impact on the understanding of reactionsimportant in the synthesis of medicinally important substances and reactions important in biosyntheticpathways. The synthesis of pharmaceuticals and the manipulation of biological pathways depend on the rationaldesign and control of chemical reactions, which in turn depend on the understanding of chemical reactions.Our research is providing fundamental news ways to understand reactions that should aid in their invention,development, and regulation."
1140,HHS,HHS,"DESCRIPTION (provided by applicant):  The University of Pittsburgh Cancer Center (UPCC) will participate in the clinical trials of the North American Brain Tumor Consortium (NABTC). Member Institutions of the NABTC will include the University of Pittsburgh, University of California, San Francisco (UCSF), the University of Wisconsin, Dana Farber Cancer Center, M D Anderson Cancer Center, the Neuro-Oncology Branch at the National Institutes of Health, the University of California, Los Angeles, Memorial Sloan Kettering Cancer Center and the Pharmacokinetics Center at the University of Texas San Antonio. UCSF will be the Lead Institution and Dr. Michael Prados the Group Leader for the NABTC. The focus of this grant will be to continue to initiate and carefully analyze data generated from investigational phase I/II trials in adult patients with primary brain tumors with the emphasis on malignant glioma. Patients at UPCC will be evaluated and treated by a multidisciplinary team composed of neuro-oncologists, medical oncologists, neurosurgeons, radiation oncologists, neuropathologists, neuroradiologists, and clinical research nurses, with the data monitored and evaluated by dedicated data managers. Tissue obtained from patients at the time of surgery will be collected and stored in a tissue bank for ongoing and future laboratory based studies, as well as for clinical-laboratory correlations as they develop over the period of this grant. Dedicated neuroradiologists and state of the art neuro-imaging capabilities exist to develop imaging projects along with the clinical studies planned. The effort will be multi-institutional with the goals to increase patient accrual for rapid study determinations; to share human tissue specimens between Member Institutions with specialized interest or expertise, and most importantly, to cooperate in a creative effort to maintain the highest level of interest in laboratory based translational clinical research. The UPCC proposal includes translational immunotherapeutics, targeted antiangiogenesis, and molecular neuropathology projects directly relevant to the mission of the consortium. UPCC is currently conducting two cytokine gene-transfer based autologous glioma cell vaccine trials for newly diagnosed and recurrent malignant gliomas and an active program to develop peptide antigen-based dendritic cell glioma vaccines. The UPCC institutional and NABTC multi-institutional effort will be intimately linked with the ongoing interests, needs, and support of the Cancer Therapy Evaluation Program (CTEP) and the Radiation Research Program (RRP) of the Division of Cancer Treatment. The overall goal of this program is to more effectively treat patients with primary brain tumors, especially malignant glioma, with the purpose of increasing the duration and quality of survival."
1160,HHS,NSF,"DESCRIPTION (provided by applicant): InnoSense LLC (ISL) submits this revised application with the intent of developing a cost-effective and highly sensitive polymer nanowire-based electronic biosensor (PNEBD) for the early screening of Alzheimer's disease (AD). This device is expected to have potentially significant implications in the early treatment and possible delay of debilitating symptoms associated with this disease. The Phase I project is focused on the development and verification of a high-throughput device based on silicon photolithography processes and template-free electrodeposition of functionalized conductive polymers between narrow-gap electrode junctions. Six tasks have been proposed to establish the Phase I feasibility of detecting amyloid-¿ derived diffusible ligand (ADDL) antigen, a biomarker for AD, using amyloid-¿ (A¿) oligomer specific antibody to ADDLs. Current evidence strongly suggests a central role for amyloid-¿ (A¿) in the pathogenesis of AD. At the present time there is no definite clinical diagnosis for AD other than autopsy. It has been demonstrated that ADDLs are present at significantly elevated levels in the autopsied brain samples of humans with AD. This association of ADDLs with AD suggests that the PNEBD device could provide a definitive molecular basis for the laboratory diagnosis of AD. For ensuring success, a highly skilled research team, including an expert on AD, has been assembled to execute the project. Development of ultrasensitive detection methods for early screening of Alzheimer's disease (AD) is an important issue in clinical disease diagnosis and mechanistic understanding of Alzheimer's disease (AD). AD is a progressive neurodegenerative disease for which there is neither a cure nor an early diagnostic device. It is the leading cause of dementia in people over age 65 affecting over four million Americans. Despite its utmost importance, no ultrasensitive technologies have been developed for clinical lab diagnostic of AD. InnoSense LLC aims to fill this void by developing a cost-effective and highly-sensitive polymer nanowire-based electronic biosensor device (PNEBD). This device will utilize electrochemically grown polymer nanowires at micro- to nanoscale patterned electrode junctions for detecting amyloid-¿ derived diffusible ligands (ADDLs). ADDL has been established as a biomarker for AD. The purpose of using an electrochemical method is to grow template-free, low-cost and high quality polymer nanowires on to the electrode junctions. This direct, one-step fabrication technique is scalable. This project will advance our knowledge on the detection of Alzheimer's disease."
1175,HHS,NSF,"DESCRIPTION (provided by applicant): This proposal seeks to define angiogenic responses to Wnt secreted growth factors (Wnts) and to probe their roles in vascular development and physiology. Wnts act through the frizzled receptors to activate several distinct signaling cascades including the Wnt/beta-catenin, Wnt/Ca2+ , and Wnt/planar cell polarity (PCP) pathways, the latter two referred to as  non-canonical  pathways. The overall objective is to determine the relative roles of the Wnt/beta-catenin and Wnt/Ca2+ pathways in endothelial and mural cells. Our hypothesis is that Wnt/Frizzled signaling is critical for proper vasculogenesis, angiogenesis, and vascular function. Our general strategy will be to define cellular and physiological consequences of selectively altering Wnt/beta-catenin and Wnt/Ca2+. signaling in vascular cells using in vitro and in vivo approaches. Our preliminary studies suggest that both the canonical and non-canonical pathways can stimulate endothelial cell growth and survival. In addition, mutation of frizzled genes in mice and man implicate the Wnt/beta-catenin and Wnt/Ca2+. pathways in physiological angiogenesis. The Wnt/beta-catenin pathway may also affect angiogenesis indirectly, as this branch of the pathway induces angiogenic genes, such as Vascular Endothelial Growth Factor (VEGF) and Interleukin-8 (IL-8). We will determine whether Wnts and a new Frizzled ligand, Norrin, can act as angiogenic factors by stimulating cultured endothelial cells to grow, survive, and participate in angiogenic morphogenesis. The Wnt/Frizzled cascades that are activated in endothelial and vascular smooth muscle cells in response to Wnts, Norrin, and Frizzleds will be defined. We hypothesize that Wnt/beta-catenin may promote angiogenesis both directly and indirectly, by inducing VEGF or IL-8 in mural cells that, in turn, stimulate endothelial cells. Wnt/beta-catenin function in vascular development will be studied using mouse models that conditionally activate or inactivate signaling in either endothelial or mural cells. A negative regulator of Wnt/beta-catenin signaling, Axin, will be used to interfere with Wnt/beta-catenin signaling in vivo. To activate Wnt/beta-catenin signaling, we will express a stabilized form of beta-catenin specifically and conditionally in the vasculature. Embryonic and adult viability will be assessed and vascular morphogenesis, angiogenesis and vascular function will be analyzed. These studies will define how aberrant Wnt/Frizzled signaling might contribute to vascular pathologies and diseases, such as familial exuditive vitreoretinopathy."
1209,HHS,HHS,"The Child Health Research Career Development Award (CHRCDA) Program at the Mount Sinai Schoolof Medicine is designed to provide mentored, intensive basic research experience for a period of 2-3 yearsnecessary to prepare pediatricians for productive and independent careers in biomedical research andacademic pediatrics. The theme of this proposal,  Molecular and Developmental Biology in Pediatrics,  hasunique relevance to the most common disorders seen in childhood. It encompasses normal developmentalbiology as well as adaptation of the fetus and child to insults occurring during ontogenesis. Themultidisciplinary nature of the program - drawing from the experience of established scientists intheDepartment of Pediatrics, Human Genetics, Internal Medicine, Molecular, Cellular and DevelopmentalBiology, Immunobiology, Pharmacology and Biological Chemistry, and Physiology and Biophysics - hasevolved from common interests, frequent interactions, past training of pediatric scientists, and several areasof ongoing collaborative research of the faculty. The program will provide rigorous and flexible basicresearch experience for young pediatric scientists through collegia! interaction with Center faculty, throughstartup funding as provided by new project development awards, and through the program's educationalcore. The selection of new project development scholars by the Program Executive Committee will be highlycompetitive and only those individuals with exceptional credentials or potential will be accepted by theprogram's Executive Committee. A novel strategy to recruit under-represented minorities to the program willbe implemented. A career plan will be prepared for each scholar that will consider specific long and short-term research career goals and the competencies that will contribute to development as an independentinvestigator. The laboratories of the program's faculty in the Department of Pediatrics and in basic sciencedepartments will serve as sites for pediatric research faculty development. The CHRCDA program will utilizethe Shared Core Laboratories at Mount Sinai School of Medicine such as state of the art methodology forcell and whole animal imaging, for production of transgenic and knockout mouse models, and for high-throughput gene screening and gene expression profiling. All CHRCDA scholars will participate in didacticsessions designed to enhance their mentored program. Regular research seminars and periodic laboratoryworkshops will also promote interactions among young investigators and program faculty. Overall, theprogram is enhanced by centralization of laboratory facilities and faculty, the existing interactions amongstresearch programs within the institution, the many core laboratory resources which are readily available toresearchers, and the recruitment base of highly qualified applicants already attracted to the excellence ofMount Sinai's clinical departments and basic sciences."
1225,HHS,HHS,"DESCRIPTION (provided by applicant): Voltage-gated Ca channels convert electrical signals into intracellular Ca signals that are paramount for a variety of cellular processes, including neurotransmitter release, muscle contraction and gene expression. Ca channels trigger these processes by opening in response to electrical stimulation, thus allowing Ca ions to flow into the cell where they act as signaling molecules that are detected by Ca binding proteins. L-type Ca channels, one subset of the Ca channel superfamily, are the target proteins for a number of drugs including the dihydropyridines (DHPs). DHPs are an important class of drugs, used extensively to treat angina, hypertension and stroke. DHPs modulate Ca channel gating, but the molecular details that link DHP binding to changes in Ca channel gating are not known. We have found that the DHP receptor site and a Ca binding site in the pore exhibit cooperativity and are allosterically coupled. Ca binding to the pore promotes the energetic coupling between two amino acid residues located in the pore and DHP antagonists disrupt this coupling. This finding is intriguing given that gating for several types of ion channels is linked to structural rearrangements in their respective pore regions. We hypothesize that conformational changes that occur upon DHP binding are transduced to the pore where gating is altered. By studying the allosteric interactions between Ca and DHP binding, we intend to identify important molecular interactions that link DHP binding to changes in channel gating. We are integrating several techniques, including whole-cell patch-clamp electrophysiology, kinetic modeling and radioligand binding to develop a deep understanding of how DHPs modulate the gating behavior of L-type Ca channels. Results from these studies are expected to facilitate the rational design of new classes of drugs that modulate the gating behavior of Ca channels. This application is divided into four Specific Aims: 1. Identify interacting amino acid pairs in the Ca channel pore. 2. Identify changes in gating that are dependent on Ca binding to the channel pore. 3. Clarify the relationship between Ca and DHP binding and channel block. 4. Develop an allosteric-kinetic scheme that links DHP- and Ca- binding to Ca channel gating."
1251,HHS,HHS,"The renin-angiotensin system (RAS) is a major regulator of blood pressure and electrolyte balancein animals and humans. Renin is the rate limiting enzyme of the RAS cascade and its synthesis ishighly regulated at both the transcriptional, post-transcriptional and secretory level. Despite yearsof investigation, our understanding of the mechanisms regulating renin gene expression remainedvery incomplete. The purpose of this proposal therefore is to test the overall hypothesis that theenhancers found upstream of the renin gene along with their cognate transcription factors (andspecific ligands), co-activators, and co-repressors play a major role in controlling the cell- andtissue-specificity of expression and the transcriptional responses to physiological cues. To testand expand upon this hypothesis we have developed the following three main specific aims: 1) testthe hypothesis that individual transcription factors identified to bind to the renin enhancer areimportant modulators of renin promoter/enhancer activity and endogenous renin expression atbaseline, and under conditions where renin expression is either stimulated or repressed, 2) test thehypothesis that two enhancers of transcription, the kidney enhancer (KE) and chorionic enhancer(CE) in the human renin 5' flanking region are essential elements controlling tissue- and cell-specific expression and the responses to physiological cues, and 3) test the hypothesis that thetranscription factors Ear2 (a negative regulator) and RARa (a positive regulator) are majordeterminants of renin expression in whole animals. With the development of new innovativetechnologies for interrogation of individual genes and proteins in both cells and whole animals, weare now poised for the first time to make important discoveries linking transcriptional events tospecific physiological responses andpathways."
1278,HHS,NSF,"DESCRIPTION (provided by applicant): A series of recent reports call for the development of new competencies for health care. But how does one assess competency and, even more fundamentally, what does it mean to be 'competent'? Medical schools and licensing agencies are confronted daily with the task of evaluating and certifying professional competence using a set of practices and technologies that have evolved over time. The Competency Project seeks to foster foundational inquiry into the components, cognitive and interactional, underlying such assessments of professional competence. Our interest is in unpacking what is actually measured in consequential practical exams widely used in medical education and licensure. Becoming more articulate about what we mean by clinical competence may lead to suggestions for improving both professional training and its assessment. Subjects, medical students and residents participating as paid volunteers, will be asked to interview and examine a standardized patient (SP) who will be trained to present a case taken from psychiatric practice. Afterwards, they will construct a SOAP (Subjective and Objective findings, Assessment, and Plan) note at a computer station and will participate in a debriefing interview. We will build a collection of samples of graded practice by applying standard methods of assessment for performance-based assessment to the data gathered from the subjects' encounters with the standardized patient. Under the scope of this R03 proposal we seek funding to achieve the following specific aims: 1) To expand our existing collection of graded professional practice by (a) developing a new case in psychiatry, (b) training a standardized patient (SP), and (c) running a set of subjects and 2) to evaluate several promising analytic frameworks for studying this pilot data. Three specific frameworks will be evaluated: an analysis focusing on reasoning patterns (Cognitive Protocol Analysis), an analysis focusing on the sequential organization of the talk (Interactional Analysis), and an analysis that blends the study of cognition and interaction while focusing on knowledge structures (Cognitive Discourse Analysis)."
1287,HHS,NSF,"DESCRIPTION (provided by applicant): Development of the embryonic gonad is the first critical step in determining the reproductive functionality of the adult individual. Sexual ambiguity, infertility, or neoplasia arises when defects occur in early gonad development. The main goal of this proposal is to understand the fundamental process of gonad development, especially as regards the development of the ovary. Development of the mammalian ovary is considered as a default pathway, arising only in the absence of Sry-directed testis pathway. However, our recent findings revealed that the development of the ovary is a product of an active signaling cascade, involving complex cell-cell interaction and cell fate determination. We have identified two novel molecules, WNT4 and follistatin, that play critical roles during early ovary development. Wnt4 and follistatin null mice had identical defects in embryonic ovaries including formation of a testis-specific vasculature and loss of germ cells. Furthermore, we found that follistatin is the direct downstream effector of WNT4 to regulate the vasculature and germ cell development. We therefore hypothesize that WNT4 and follistatin are constituents of a novel signaling cascade to inhibit testis-specific vasculature and to maintain the survival of female germ cells in ovary development. We propose three specific aims to: 1) dissect the intracellular signaling pathways of WNT4; 2) understand the regulation and functions of follistatin in ovary development; and 3) establish the functional relationship between formation of the testis specific vasculature and germ cell loss in follistatin null gonads. By combining transgenic and organ culture techniques, we expect to decipher the molecular and cellular pathways for the development of the ovary and at the same time, identify the critical components susceptible to genetic defects in these pathways."
1301,HHS,HHS,"DESCRIPTION (provided by applicant): We aim to extend our understanding of the structure and function of cytochrome P450 and other heme protein systems by using pump-probe kinetics and time resolved resonance Raman spectroscopy over a wide dynamic range in time (ps-ms). Development of a unique temporally stabilized, and electronically tunable, two-color picosecond laser system will enable both the transient Raman and the kinetic studies. Femtosecond coherence spectroscopy (FCS), which is a direct and unique probe of the coherent protein/cofactor vibrational motion induced by electronic transitions associated with biochemical reactions, will also be utilized in studies of the biochemical reaction coordinates as well as the global protein response. One specific hypothesis to be tested addresses the reason behind the anomalously low femtosecond quantum yield for O2 photolysis and the potential for a transient side-on oxygen binding geometry that arises because of the participation of ligand bending modes in the reaction coordinate for dissociation. Vibrationally hot six coordinate oxymyoglobin species have already been detected using white light continuum probes, and we propose to extend such studies to the P450 system and its catalytic intermediates as well as to expand the probe capability to include picosecond Raman scattering techniques. Experiments at low temperature will also be carried out using newly developed optical techniques. These experiments will include the first picosecond and femtosecond studies of geminate ligand recombination as a function of temperature. Exploratory work with the Raman microscope will continue with spatially specific probes of mitochondria and with studies of P450 embedded in membrane nanodiscs.     Overall this project has a wide range of health related implications involving cytochrome P450 in particular and heme proteins in general. Many chemotherapeutic agents as well as polycyclic carcinogens are metabolized by P450 systems. Moreover, all metabolic disorders involving a P450 protein must relate to this research, since a fundamental understanding of the active site structure and function of P450 at the molecular level will result in a better insight for those concerned with treatment of these disorders at any level."
1307,HHS,HHS,"DESCRIPTION (provided by applicant): Dysfunction of the endothelium dependent relaxation factor/nitric oxide (EDRF/NO) in blood vessels accompanies salt sensitive hypertension, diabetes mellitus (DM) and cardiovascular disease. Asymmetric dimethylarginine (ADMA) impairs EDRF/NO either by competing with the NOS substrate, L-arginine for membrane transport via system y+, or by competitive inhibition of NOS. Therefore, ADMA could underlie defective EDRF/NO responses that contribute to cardiovascular disease. However, the normal regulation of ADMA has not been extensively studied. ADMA is metabolized by dimethylarginine dimethylaminohydrolases (DDAH-1 and -2). We have found that DDAH-2 is heavily expressed in the kidney, especially in the macula densa cells and distal nephron. DDAH-1 is heavily expressed in the vascular endothelium and proximal tubules. Our studies show that Angiotensin II upregulate DDAH-2 (and thereby may reduce macula densa ADMA) but downregulates DDAH-1 (and thereby may increase endothelial ADMA). Dietary salt restriction and early insulinopenic DM both impairs EDRF/NO. This defect can be overcome by excess arginine, suggesting that NO may be inhibited by ADMA. Indeed, we have found that salt restriction decreases plasma arginine, yet increases plasma ADMA and impairs the EDRF/NO responses to acetylcholine of isolated mesenteric resistance vessels. In contrast, we have found that DM increases renal DDAH-2 expression, leading to reduced renal ADMA levels. A consequent increase in macula densa NO could block the vasoconstrictive tubuloglomrular feedback (TGF) response and thereby vasodilate the renal afferent arteriole selectively, leading to glomerular hyperfiltration. We propose to test the hypothesis that arginine delivery, transport and metabolism by NOS in the kidneys and microvascular resistance vessels is differentially regulated by DDAH thereby leading to site- and cell-specific generation of ADMA and NO during physiologic adaptations to changes in salt intake and pathophysiologic responses to insulinopenic DM. We have developed a gene silencing strategy targeting DDAH-1 and -2 in the rat to test the specific roles of these isoforms in physiologic studies of EDRF/NO in resistance vessels and TGF in the kidney. The first two aims test the hypothesis that dietary salt restriction limits NO generation in vascular endothelium because of a reduction in plasma arginine concentration and a decrease in DDAH-1 activity in endothelial cells. This could reduce the intracellular arginine: ADMA concentration, thereby inhibiting EDRF/NO. We propose to examine the specific roles of angiotensin and mineralocorticosteroid receptors. The third aim tests the hypothesis that during early insulinopenic DM downregulation of DDAH-1 in endothelium underlies the defective EDRF/NO that precedes vasculopathy whereas upregulation of DDAH-2 in the macula densa enhances local NO that blocks the tubuloglomerular feedback (TGF) response causing hvperfiltration that precedes nephropathv."
1343,HHS,HHS,"The overall aim of this project is to gain insight into the inflammatory, oxidative and endothelial controlmechanisms underlying the cardiovascular effects of short- and long-term exposure to traffic-associated fineparticulate matter (PM). This will be accomplished by investigating in a human population the differentialsusceptibility to PM effects associated with specific genetic polymorphisms that involve these keymechanistic pathways. The aim will be addressed by making efficient use of an ongoing cohort study ofatherosclerotic cardiovascular disease, the Multi-ethnic Study of Atherosclerosis (MESA), and several MESAancillary studies for which PM and traffic exposure data, genotyping data, and data on multiple relevantcardiovascular endpoints are being collected. The specific aims of this project are to gain insight into themechanisms underlying the cardiovascular effects of traffic-associated PM by: 1) making use of the MESAcohort to determine whether specific genetic polymorphisms in key pathways regulating inflammation,oxidative stress, and endothelial function modify: a) the long-term exposure effects of traffic-associated PMon the development and progression of atherosclerosis using measures that include arterial wall thicknessand coronary artery calcium, and b) the short-term exposure effects of these PM components on functionalcardiovascular and mechanistic endpoints, including carotid distensibility, pulse wave measures, endothelialfunction, and plasma markers of inflammation and endothelial activation; 2) validating the findings fromSpecific Aim 1 on a newly genotyped sample of MESA participants; and 3) making use of the toxicologicalfindings from Center Project 5 on novel genetic polymorphisms of interest by investigating the modifyingeffects of these additional polymorphisms on long-term and short-term PM exposure effects, and validatingthese findings on the newly genotyped human population sample. This project integrates across all projectsof this center through the choice of both the specific genetic polymorphisms to be investigated in commonwith other projects, and the specific cardiovascular endpoints to be studied. Further integration is evident inthe use of findings from other center projects to guide the choice of polymorphisms to study.Because it employs a representative human population sample of several U.S. ethnic groups to study apervasive and important inhalational exposure and a common disease, this project has direct public healthrelevance. It is currently not known which sources and chemical components of PM are most responsible forits cardiovascular effects, or which of several plausible mechanisms underlie these effects. By contributingto our understanding of mechanisms and the identification of exposure sources of most concern, this projectcan allow more directed and efficient public health policies to be considered."
1358,HHS,HHS,"DESCRIPTION (provided by applicant): Submission for a Research Career Award (K08). The main objective is to establish the candidate, Dr. David Rettew, as an independent investigator in the contribution of child/parent temperament in developmental psychopathology. Specifically, this application focuses on the incorporation of temperamental assessment and behavioral genetic approaches to provide refined phenotypes for future research in molecular genetics and early intervention. To reach this overall career objective, additional skills in three areas are identified as Traininq Goals: (1) Temperament assessment, (2) Behavioral genetics, (3) Relationship between temperamant and child psychopathology. Jim Hudziak, M.D. and Thomas Achenbach, Ph.D. will serve as sponsors for this award. Other consultants include Dorret Boomsma, Ph.D. (Vrije Univeristy Amsterdam- The Netherlands) and Dina Hirshfeld-Becker, Ph.D. (Harvard Medical School). These training goals will be met through the following means: (A) Course work. I will attend advanced classes in child development, behavioral genetics methodology, temperament and personality, and advanced statistical analysis at my own institution and at the Institute for Behavioral Genetics (Boulder, CO); (B) Tutorials. I will receive extensive collaboration and instruction in the areas described above at my institution and those of my mentors; (C) Supervised research experience. There are two main projects. The first is to analyze temperamental and clinical data from a large adolescent Dutch twin sample assessed at two time points approximately 2 years apart. The second project is to analyze temperament data on probands, their siblings, and parents from a Vermont family study. Studies from these two samples will address five Specific Aims (SA): (SA1) Comparisons of dimensional and categorical conceptualizations of temperament and psychopathology; (SA2) Child temperament profiles in subjects with and without psychopathology; (SA3) Parent temperament profiles of children with and without psychopathology; (SA4) Genetic analyses of temperament in twin longitudinal data; and (SA5) Relations between temperament and differential parenting practices. The long-term goal of this research training is to prepare the applicant to submit applications that will study the genetic and environmental contributions of temperament to child psychopathology in a longitudinal population using extended twin-family designs."
