Event Name,Date,End,Group,Description,Source
Harlem Race Riot,8/1/1943,8/2/1943,Civil Rights,"The Harlem riot of 1964 occurred between July 16 and 22, 1964. It began after James Powell, a 15-year-old African American, was shot and killed by police Lieutenant Thomas Gilligan in front of Powell's friends and about a dozen other witnesses. Immediately after the shooting, about 300 students from Powell's school who were informed by the principal rallied. The shooting set off six consecutive nights of rioting that affected the New York City neighborhoods of Harlem and Bedford-Stuyvesant. In total, 4,000 New Yorkers participated in the riots which led to attacks on the New York City Police Department, vandalism, and looting in stores. Several protesters were severely beaten by NYPD officers. At the end of the conflict, reports counted one dead rioter, 118 injured, and 465 arrested.",https://en.wikipedia.org/wiki/Harlem_riot_of_1964
Beaumont Race Riot,6/1/1943,6/1/1943,Civil Rights,"The 1943 race riot in Beaumont, Texas, erupted on June 15 and ended two days later. It related to wartime tensions in the overcrowded city, which had been flooded by workers from across the South. The immediate catalyst to white workers from the Pennsylvania Shipyard in Beaumont attacking blacks and their property was a rumor that a white woman had been raped by a black man. This was one of several riots in the summer of 1943 in which blacks suffered disproportionately as victims and had the greatest losses in property damage.",https://en.wikipedia.org/wiki/Beaumont_race_riot_of_1943
Sojourner Truth Homes Riot,2/28/1942,2/28/1942,Civil Rights,Description needed.,https://en.wikipedia.org/wiki/1943_Detroit_race_riot#Sojourner_Truth_Housing_Project
Double V Campaign Begins,2/7/1942,2/7/1942,Intersection,"The Double V campaign was a slogan and drive to promote the fight for democracy in overseas campaigns and at the home front in the United States for African Americans during World War II. The Double V refers to the ""V for victory"" sign prominently displayed by countries fighting ""for victory over aggression, slavery, and tyranny,"" but adopts a second ""V"" to represent the double victory for African Americans fighting for freedom overseas and at home.",https://en.wikipedia.org/wiki/Double_V_campaign
Internment of Japanese Americans,2/19/1942,3/20/1946,Intersection,"The internment of Japanese Americans in the United States during World War II was the forced relocation and incarceration in concentration camps in the western interior of the country of about 120,000 people of Japanese ancestry, most of whom lived on the Pacific Coast. Sixty-two percent of the internees were United States citizens. These actions were ordered by President Franklin D. Roosevelt shortly after Imperial Japan's attack on Pearl Harbor.",https://en.wikipedia.org/wiki/Internment_of_Japanese_Americans
Bracero Program,8/4/1942,8/4/1942,Civil Rights,"The Bracero program (from the Spanish term bracero, meaning ""manual laborer"" or ""one who works using his arms"") was a series of laws and diplomatic agreements, initiated on August 4, 1942, when the United States signed the Mexican Farm Labor Agreement with Mexico. For these farmworkers, the agreement guaranteed decent living conditions (sanitation, adequate shelter and food), and a minimum wage of 30 cents an hour, as well as protections from forced military service, and guaranteed part of wages were to be put into a private savings account in Mexico; it also allowed the importation of contract laborers from Guam as a temporary measure during the early phases of World War II.",https://en.wikipedia.org/wiki/Bracero_program
"Benjamin O. Davis, Jr. is 1st Black General",8/25/1940,8/25/1940,Intersection,"Benjamin Oliver Davis Jr. (December 18, 1912 – July 4, 2002) was an American United States Air Force general and commander of the World War II Tuskegee Airmen. He was the second African-American general officer in the United States Air Force. (See General Daniel “Chappie” James Jr.) On December 9, 1998, he was advanced to four-star general by President Bill Clinton. During World War II, Davis was commander of the 99th Fighter Squadron and the 332nd Fighter Group, which escorted bombers on air combat missions over Europe. Davis flew sixty missions in P-39, Curtiss P-40, P-47 and P-51 Mustang fighters. Davis followed in his father's footsteps in breaking racial barriers, as Benjamin O. Davis Sr. was the first African-American general in the United States Army.",https://en.wikipedia.org/wiki/Benjamin_O._Davis_Jr.
Civil Rights Movement Begins,1/1/1945,1/1/1945,Civil Rights,"The civil rights movement (also known as the American civil rights movement and other terms) in the United States was a decades-long struggle by African Americans to end legalized racial discrimination, disenfranchisement and racial segregation in the United States. The movement has its origins in the Reconstruction era during the late 19th century, although the movement achieved its largest legislative gains in the mid-1960s after years of direct actions and grassroots protests. The social movement's major nonviolent resistance campaigns eventually secured new protections in federal law for the human rights of all Americans.",https://en.wikipedia.org/wiki/Civil_rights_movement
Freeman Field Mutiny,4/5/1945,4/6/1945,Intersection,"The Freeman Field mutiny was a series of incidents at Freeman Army Airfield, a United States Army Air Forces base near Seymour, Indiana, in 1945 in which African American members of the 477th Bombardment Group attempted to integrate an all-white officers' club. The mutiny resulted in 162 separate arrests of black officers, some of them twice. Three were court-martialed on relatively minor charges. One was convicted. In 1995, the Air Force officially vindicated the actions of the African-American officers, set aside the single court-martial conviction and removed letters of reprimand from the permanent files of 15 of the officers. The mutiny is generally regarded by historians of the Civil Rights Movement as an important step toward full integration of the armed forces and as a model for later efforts to integrate public facilities through civil disobedience.",https://en.wikipedia.org/wiki/Freeman_Field_mutiny
March on Washington Movement,1/25/1941,1/25/1941,Civil Rights,"The March on Washington Movement (MOWM), 1941–1946, organized by activists A. Philip Randolph and Bayard Rustin as a tool to produce a mass march on Washington, D.C., was designed to pressure the U.S. government into desegregating the armed forces and providing fair working opportunities for African Americans. When President Roosevelt issued Executive Order 8802 in 1941, prohibiting discrimination in the defense industry under contract to federal agencies, Randolph and collaborators called off the march.",https://en.wikipedia.org/wiki/March_on_Washington_Movement
Tuskeegee Airmen,12/8/1941,9/2/1945,Intersection,"The Tuskegee Airmen were a group of African-American and Caribbean-born military pilots (fighter and bomber) who fought in World War II between December 8th, 1941 and September 2nd, 1945. They formed the 332nd Fighter Group and the 477th Bombardment Group of the United States Army Air Forces. The name also applies to the navigators, bombardiers, mechanics, instructors, crew chiefs, nurses, cooks and other support personnel.",https://en.wikipedia.org/wiki/Tuskegee_Airmen
Executive Order 8802,6/1/1941,6/1/1941,Intersection,"Signed by FDR on June 25, 1941, to prohibit ethnic or racial discrimination in the nation's defense industry. It also set up the Fair Employment Practice Committee. It was the first federal action, though not a law, to promote equal opportunity and prohibit employment discrimination in the United States. Many citizens of Italian or German ethnicity were affected by World War II and this was impeding the war effort and lowering morale. The President's statement that accompanied the Order cited the war effort, saying that ""the democratic way of life within the nation can be defended successfully only with the help and support of all groups.” The executive order had also been demanded by civil rights activists A. Philip Randolph, Walter White, and others involved in the March on Washington Movement. They suspended the march after Executive Order 8802 was issued.",https://en.wikipedia.org/wiki/Executive_Order_8802
Survey 32,3/1/1943,3/31/1943,Intersection,Survey 32 was a survey given to military personnel in March of 1943 that asked questions about how both Black and white soldiers felt about segregation in the military. This novel data set is the source of our data and the focus of our work., https://theconversation.com/the-american-gi-in-wwii-uncensored-113243
Rose Parks Defies Bus Order,12/1/1955,12/1/1955,Civil Rights,"On December 1, 1955, in Montgomery, Alabama, Rosa Parks rejected bus driver James F. Blake's order to relinquish her seat in the ""colored section"" to a white passenger, after the whites-only section was filled. Parks was not the first person to resist bus segregation, but the National Association for the Advancement of Colored People (NAACP) believed that she was the best candidate for seeing through a court challenge after her arrest for civil disobedience in violating Alabama segregation laws. Parks' prominence in the community and her willingness to become a controversial figure inspired the black community to boycott the Montgomery buses for over a year, the first major direct action campaign of the post-war civil rights movement. Her case became bogged down in the state courts, but the federal Montgomery bus lawsuit Browder v. Gayle succeeded in November 1956.",https://en.wikipedia.org/wiki/Rosa_Parks
The Lynching of Emmett Till ,8/28/1955,8/28/1955,Civil Rights,"Emmett Louis Till (July 25, 1941 – August 28, 1955) was a 14-year-old African American who was lynched in Mississippi in 1955, after being accused of offending a white woman in her family's grocery store. The brutality of his murder and the fact that his killers were acquitted drew attention to the long history of violent persecution of African Americans in the United States. Till posthumously became an icon of the civil rights movement.",https://en.wikipedia.org/wiki/Emmett_Till
Montgomery Bus Boycott,12/5/1955,12/20/1956,Civil Rights,"The Montgomery bus boycott was a political and social protest campaign against the policy of racial segregation on the public transit system of Montgomery, Alabama. It was a seminal event in the civil rights movement. The campaign lasted from December 5, 1955 — the Monday after Rosa Parks, an African-American woman, was arrested for refusing to surrender her seat to a white person — to December 20, 1956, when the federal ruling Browder v. Gayle took effect, and led to a United States Supreme Court decision that declared the Alabama and Montgomery laws that segregated buses were unconstitutional.",https://en.wikipedia.org/wiki/Montgomery_bus_boycott
