Number of states within the category,State/ Country,Sub-categories,Tool,Name of tool,Web link of the tool,Variables Used (list all that apply),Geographic Levels,Geographic Levels2,number of geographic levels,Data Sources-Census,Data Sources-Census2,Data Sources-Non Census,Data Sources-Non Census2,Direct links to Census,Census link,Frequency,Age of data,Age of data2,Age of data_range,Historical data,Data Linkage,Citation,Notes
,Alaska,Estimates,Table Download,"Alaska Population Estimates by Census Subarea, 2020 to 2022",,"Census Total April 2020, Estimate July 2021, Estimate July 2022",Census Subarea,Census Subarea,,Decennial Census?,,"Alaska Department of Labor and Workforce Development, Research and Analysis Section",Alaska Department of Labor and Workforce Development-Research and Analysis Section,N,N,As released,"Vintage 2022. Unless noted otherwise, all numbers are based on 2020 geography.",2022,"2020, 2022",Y,N,N/A,
,Alaska,Estimates,Table Download,"Alaska Population Estimates by School District, 2020 to 2022",,"Census Total April 2020, Estimate July 2021, Estimate July 2022",School District,School District,,Decennial Census?,,"Alaska Department of Labor and Workforce Development, Research and Analysis Section",Alaska Department of Labor and Workforce Development-Research and Analysis Section,N,N,As released,"Vintage 2022. Unless noted otherwise, all numbers are based on 2020 geography.",2022,"2020, 2022",Y,N,N/A,
,Alaska,Estimates,Table Download,"2020 Census Data-Population of Alaska by Economic Region, Borough and Census Area, 2010 and 2020",,"Census April 2010, Census April 2020 ","Regions, Boroughs and Census Areas","Region, Borough, Census Area",,U.S. Census Bureau,Census Bureau,N/A,,N,N,As released,2020,2020,"2010, 2020",Y,N,N/A,
,Alaska,Estimates,Table Download,"2020 Census Data- Alaska Population Estimates by Borough, Census Area, City, and Census Designated Place (CDP), 2010 and 2020",,"Census Total April 2010, Census Total April 2020, Census Group Quarters April 2010, Census Group Quarters April 2020","Borough, Census Area, City, and Census Designated Place (CDP)","Borough, Census Area, City/Town, Census Designated Place ",,U.S. Census Bureau,Census Bureau,N/A,,N,N,As released,2020,2020,"2010, 2020",Y,N,N/A,
,Alaska,Estimates,Table Download,"2020 Census Data- Alaska Population Estimates by Borough, Census Area, and Census Tract, 2010 and 2020",,"Census Total April 2010, Census Total April 2020, Census Group Quarters April 2010, Census Group Quarters April 2020","Borough, Census Area, and Census Tract","Borough, Census Area, Census Tract",,U.S. Census Bureau,Census Bureau,N/A,,N,N,As released,2020,2020,"2010, 2020",Y,N,N/A,
,Alaska,Estimates,Table Download,"2020 Census Data-Population by race and Alaska Native Regional Corporation, 2010 and 2020",,"Total Population, Alone or in combination Native American",Alaska Native Regional Corporation,Native Regional Corporation,,US Census Bureau,Census Bureau,Alaska Department of Labor and Workforce Development,Alaska Department of Labor and Workforce Development,N,N,As released,2020,2020,"2010, 2020",Y,N,N/A,
,Alaska,Estimates,Table Download,"2020 Census Data-Alaska Population Estimates by Alaska Native Village Statistical Area (ANVSA), 2010 and 2020",,"Census Total April 2010, Census Total April 2020",Alaska Native Village Statistical Area (ANVSA),Native Village Statistical Area ,,US Census Bureau,Census Bureau,Alaska Department of Labor and Workforce Development,Alaska Department of Labor and Workforce Development,N,N,As released,2020,2020,"2010, 2020",Y,N,N/A,
,Alaska,Estimates,Table Download,"2020 Census Data- Alaska Population Estimates by School District, 2010 and 2020",,"Census Total April 2010, Census Total April 2020",School District,School District,,US Census Bureau,Census Bureau,N/A,,N,N,As released,2020,2020,"2010, 2020",Y,N,N/A,
,Alaska,Projections,Report,Alaska Population Projections: 2021 to 2050,https://live.laborstats.alaska.gov/pop/projections/pub/popproj.pdf,,,,,,,,,,,,,,,,,,
,Alaska,Projections,Table Download,"Annual Components of Population Change for Alaska, 2021 to 2050",,"End of Period Population- Low, Middle, High; Population Change-Low, Middle, High; Growth Rate (Percent)-Low, Middle, High; Births-Low, Middle, High; Deaths-Low, Middle, High; Natural Increase-Low, Middle, High; Net Migration-Low, Middle, High",State,State,,,,Alaska Department of Labor and Workforce Development,Alaska Department of Labor and Workforce Development,N,N,As released,2021?,2021,2021,N/A,N,N/A,
,Alaska,Projections,Table Download,"Alaska Population by Age and Sex, and Components of Change: 2021 to 2050, Middle Scenario",,"By Age, 5-year projections -Total, Male, Female",State,State,,,,Alaska Department of Labor and Workforce Development,Alaska Department of Labor and Workforce Development,N,N,As released,2021,2021,2021,N/A,N,N/A,
,Alaska,Projections,Table Download,"Alaska Population by Age and Sex, and Components of Change: 2021 to 2050, Low Scenario",,"By Age, 5-year projections -Total, Male, Female",State,State,,,,Alaska Department of Labor and Workforce Development,Alaska Department of Labor and Workforce Development,N,N,As released,2021,2021,2021,N/A,N,N/A,
,Alaska,Projections,Table Download,"Alaska Population by Age and Sex, and Components of Change: 2021 to 2050, High Scenario",,"By Age, 5-year projections -Total, Male, Female",State,State,,,,Alaska Department of Labor and Workforce Development,Alaska Department of Labor and Workforce Development,N,N,As released,2021,2021,2021,N/A,N,N/A,
,Alaska,Projections,Table Download,"Alaska Native (Alone or in Combination) Population by Age and Sex, and Components of Change: 2020 to 2050",,"By Age, 5-year projections -Total, Male, Female",Alaska Native,Alaska Native,,,,Alaska Department of Labor and Workforce Development,Alaska Department of Labor and Workforce Development,N,N,As released,2020,2020,2020,N/A,N,N/A,
,Alaska,Projections,Table Download,Alaska Population by Area: 2021 to 2050,,"By Age, 5-year projections -Total, Male, Female",Borough/Census Area,"Borough, Census Area",,,,Alaska Department of Labor and Workforce Development,Alaska Department of Labor and Workforce Development,N,N,As released,2021,2021,2021,N/A,N,N/A,
,Alabama,Estimates,Table Viewer/Download,"Annual Estimates of the Population in Alabama Cities and Towns by County: April 1, 2020 to July 1, 2022",,"Population estimates-2020, 2021, 2022; Population change number and percent 2020-2022","County, City, Town","County, City/Town",,"U.S. Census Bureau, Population Division ",Census Bureau,"Center for Business and Economic Research, The University of Alabama",Center for Business and Economic Research-The University of Alabama,N,N,As released,2022,2022,"2020, 2022",Y,N,Y,
,Alabama,Estimates,Table Viewer/Download,"Annual Estimates of the Resident Population for Incorporated Places in Alabama: April 1, 2020 to July 1, 2022",,"Population estimates-2020, 2021, 2022; Population change number and percent 2020-2022",Incorporated places,Incorporated Place,,"U.S. Census Bureau, Population Division ",Census Bureau,"Center for Business and Economic Research, The University of Alabama",Center for Business and Economic Research-The University of Alabama,N,N,As released,2022,2022,"2020, 2022",Y,N,Y,
,Alabama,Estimates,Table Viewer/Download,"Annual Estimates of the Resident Population for Metropolitan and Micropolitan Statistical Areas in the Alabama: April 1, 2020 to July 1, 2022",,"Population estimates-2020, 2021, 2022; Population change number and percent 2020-2022",Metropolitan and Micropolitan Statistical Areas,"Metropolitan Area, Micropolitan Area",,"U.S. Census Bureau, Population Division ",Census Bureau,"Center for Business and Economic Research, The University of Alabama",Center for Business and Economic Research-The University of Alabama,N,N,As released,2022,2022,"2020, 2022",Y,N,Y,
,Alabama,Estimates,Table Viewer/Download,"Annual and Cumulative Estimates of the Components of Resident Population Change for Counties in Alabama: April 1, 2020 to July 1, 2022",,"2021-2022: Total Population Change, Natural change, Births, Deaths, Total Migration, International, Domestic; 2020-022: Total Population Change, Natural change, Births, Deaths, Total Migration, International, Domestic",County ,County ,,"U.S. Census Bureau, Population Division ",Census Bureau,,,N,N,As released,2022,2022,"2020, 2022",Y,N,Y,
,Alabama,Estimates,Table Viewer/Download,"Annual Estimates of the Resident Population for Counties in Alabama: April 1, 2020 to July 1, 2022",,"Population estimates-2020, 2021, 2022; Population change number and percent 2020-2022",County ,County ,,"U.S. Census Bureau, Population Division ",Census Bureau,"Center for Business and Economic Research, The University of Alabama",Center for Business and Economic Research-The University of Alabama,N,N,As released,2022,2022,"2020, 2022",Y,N,Y,
,Alabama,Estimates,Table Viewer/Download,"Group Quarters Population, Ages 16+",,"Total population, In Group quarters, Not in Group Quarters",County,County,,"U.S. Census Bureau American Community Survey, 2021 5-Year Estimates.","Census Bureau, ACS",,,N,N,As released,2021,2021,2021,N ,N,N,
,Alabama,Projections,Table Viewer/Download,Alabama Population Projections_2020-2040.xlsx,,"Census 2000, Census 2010, Census 2020, Projections- 2025, 2030, 2035, 2040, Change 2020-2040 Number and percent",County,County,,"U.S. Census Bureau, Population Division ",Census Bureau,"Center for Business and Economic Research, The University of Alabama",Center for Business and Economic Research-The University of Alabama,N,N,As released,2020,2020,2020,Y,N,N,
,Alabama,Projections,Table Viewer/Download,Alabama County Population Aged 65 and Over 2000-2010 and Projections 2020-2040.xls,,"Census 2000, Census 2010, Projections- 2020, 2025, 2030, 2035, 2040, Change 2010-2040 Number and percent",County ,County ,,"U.S. Census Bureau, Population Division ",Census Bureau,"Center for Business and Economic Research, The University of Alabama",Center for Business and Economic Research-The University of Alabama,N,N,As released,2017,2017,2017,N ,N,N,
,Arizona,Estimates,Table Viewer/Download,Population estimates,,Estimate,"State, County, Incorporated Places","State, County, Incorporated Place",,,,Arizona Office of Economic Opportunity (OEO),Arizona Office of Economic Opportunity (OEO),Y,Y,As released,2022,2022,2022,Y,N,N,
,Arizona,Projections,Table Download,"Arizona State and County Population Projections 2022-2060 : Medium, Low, High Series",,Projected total population,"State, County, Metro Areas","State, County, Metro Area",,,,Arizona Office of Economic Opportunity (OEO),Arizona Office of Economic Opportunity (OEO),N,N,As released,2022,2022,2022,N ,N,N ,
,Arizona,Projections,Table Download,"Arizona State and County Population Detailed Projections 2022-2060 : Medium, Low, High Series",,"Projected total population, components of population change, population by sex and age group, population by sex and single year of age for age group 19 and younger, population by race and Hispanic origin","State , County ","State, County ",,,,Arizona Office of Economic Opportunity (OEO),Arizona Office of Economic Opportunity (OEO),N,N,As released,2022,2022,2022,N ,N,N ,
,Arkansas,Estimates,Table Download,"Annual Estimates of the Resident Population for Counties: April 1, 2020 to July 1, 2022",,"Population estimate: 2020, 2021, 2022",County,County,,"U.S. Census Bureau, Population Division ",Census Bureau,,,N,N,As released,2022,2022,"2020, 2022",Y,N,Y,
,Arkansas,Estimates,Table Download," Annual and Cumulative Estimates of the Components of Resident Population Change for Counties: April 1, 2020 to July 1, 2022",,"Total Population change, Natural change, Births, Deaths, Total migration, International Migration, Domestic Migration",County,County,,"U.S. Census Bureau, Population Division ",Census Bureau,,,N,N,As released,2022,2022,"2020, 2022",Y,N,Y,
,Arkansas,Estimates,Table Download," Annual and Cumulative Estimates of Resident Population Change for Counties and County Rankings: April 1, 2020 to July 1, 2022",,"Yearly population estimates (2020, 2021, 2022), State ranking of counties, Annual change 2021 to 2022, Cumulative change 2020 to 2022",County,County,,"U.S. Census Bureau, Population Division ",Census Bureau,,,N,N,As released,2022,2022,"2020, 2022",Y,N,Y,
,Arkansas,Estimates,Table Download,"Annual County Resident Population Estimates by Selected Age Groups and Sex: April 1, 2020 to July 1, 2022",,"Yearly population estimates by selected age groups and sex, median age",County,County,,"U.S. Census Bureau, Population Division ",Census Bureau,,,N,N,As released,2022,2022,"2020, 2022",Y,N,Y,
,Arkansas,Estimates,Table Download,"Annual County Resident Population Estimates by Age, Sex, Race, and Hispanic Origin: April 1, 2020 to July 1, 2022",,"Yearly population estimates by age groups, race and sex",County,County,,"U.S. Census Bureau, Population Division ",Census Bureau,,,N,N,As released,2022,2022,"2020, 2022",Y,N,Y,
,Arkansas,Estimates,Table Download,"Annual Estimates of Resident Population for Selected Age Groups by Sex for Arkansas: April 1, 2020 to July 1, 2022",,"2020,2021,2022 Population estimates by sex and selected age groups",State,State,,"U.S. Census Bureau, Population Division ",Census Bureau,,,N,N,As released,2022,2022,"2020, 2022",Y,N,Y,
,Arkansas,Estimates,Table Download,"Annual Estimates of the Resident Population by Single Year of Age and Sex for Arkansas: April 1, 2020 to July 1, 2022",,"2020,2021,2022 Population estimates by Single Year of Age and Sex ",State,State,,"U.S. Census Bureau, Population Division ",Census Bureau,,,N,N,As released,2022,2022,"2020, 2022",Y,N,Y,
,Arkansas,Estimates,Table Download,"Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Arkansas: April 1, 2020 to July 1, 2022",,"2020,2021,2022 Population estimates by Sex, Race, and Hispanic Origin ",State,State,,"U.S. Census Bureau, Population Division ",Census Bureau,,,N,N,As released,2022,2022,"2020, 2022",Y,N,Y,
,Arkansas,Estimates,Table Download,"Annual Estimates of the Resident Population for All Incorporated Places in Arkansas: April 1, 2020 to July 1, 2022
",,"2020,2021,2022 Resident Population estimates",Incorporated Places,Incorporated Place,,"U.S. Census Bureau, Population Division ",Census Bureau,,,N,N,As released,2022,2022,"2020, 2022",Y,N,Y,
,Arkansas,Estimates,Table Viewer ,Total Population for Arkansas Places: Vintage 2022,https://arstatedatacenter.youraedi.com/scripts/subcountyestimates.php,2022 Population estimate,"County, Incorporated Places","County, Incorporated Place",,"U.S. Census Bureau, Population Division ",Census Bureau,,,N,N,As released,2022,2022,"2020, 2022",Y,N,Y,
,Arkansas,Estimates,Table Viewer ,Arkansas Population by Race & Ethnicity 1980-2020,https://www.arcgis.com/apps/dashboards/9b894992329f4972acd650048189558c,Total population by race and ethnicity,County,County,,,,,,N,N,As released,2020,2020,"1980, 2020",Y,N,N,
,Arkansas,Estimates,Table Viewer ,Arkansas Demographics,https://arkanstats.com/page_two.html?id=2018_1_85,"Population, Annual net migration, Race","State, County, MSA","State, County, Metropolitan Area",,"U.S. Census Bureau, Population Division",Census Bureau,,,N,N,As released,2022,2022,"2020, 2022",Y,N,N ,
,Arkansas,Estimates,Table Viewer ,2020 Census Demographic Profile,https://arstatedatacenter.youraedi.com/scripts/2020dp.php,General population and housing characteristics,"State, county, county subdivision, place, ZIPcode, msa, census tract, block, block group","State, County, County Subdivision, Places, ZIP code, Metropolitan Area, Census Tract, Block, Block Group",,U.S. Census Bureau,Census Bureau,,,Y,https://data.census.gov/table?g=040XX00US05&d=DEC+Demographic+Profile,As released,2020,2020,2020,N ,N,N ,
,Arkansas,Estimates,Table Viewer ,American Community Survey (ACS) Demographic and Housing Estimates,https://arstatedatacenter.youraedi.com/scripts/ACS5yrprofilelinker.php?vintage=2020&type=DP05&level=040&geo=0400000US05,Data Profiles for Arkansas geographies,"State, county, county subdivision, place, ZIP code, msa, census tract, block, block group","State, County, County Subdivision, Places, ZIP code, Metropolitan Area, Census Tract, Block, Block Group",,U.S. Census Bureau,Census Bureau,,,Y,https://data.census.gov/table?g=040XX00US05&tid=ACSDP5Y2021.DP05,As released,2021,2021,2021,Y,N,N ,
,Arkansas,Projections,Table Viewer ,State of Arkansas Population Projections,https://arstatedatacenter.youraedi.com/demores/demoscripts/projections_state_2010_base.php,"Yearly Population projections by Age group, Race/ethnicity, Gender",State,State,,,,"Regional Economic Models, Inc.","Regional Economic Models, Inc.",N,N,As released,2010,2010,2010,Y,N,Y,
,Arkansas,Projections,Table Download,State Level Projections to 2060 - Vintage 2010 (based on Census 2010),,Population estimates and projections by race,State,State,,,,"Regional Economic Models, Inc.","Regional Economic Models, Inc.",N,N,As released,2010,2010,2010,Y,N,Y,
,Arkansas,Estimates and Projections,Table Download,County Projections 1980-2065,,Population estimates and projections,County,County,,,,,,N,N,As released,2013,2013,2013,Y,N,N ,
,Arkansas,Estimates and Projections,Table Download,Total Population by County and Development District 2010-2020,,Population estimates and projections,County and Development District,"County, Development District",,,,,,N,N,As released,2010,2010,"2010, 2020",Y,N,N ,
,California,Estimates,Table Download,"Population Age and Sex Characteristics-2020,2010,2000",,"Population-Total, Male, Female; Median age-all, male, female; Average household size; Average family size; Person segments-under 5 years, under 18 years, age 21+, age 55+, age 60+, age 65+ ; Percent population female; Percent population less than 18; Geoid","California, Counties, Incorporated Cities/Towns, and Census Designated Places (CDP)","State, County,  City/Town, Census Designated Place",,"U.S. Census Bureau,  Census 2020 Demographic Profile and Demographic and Housing Characteristics File (DHC), Census 2010 Demographic Profile Summary File, Census 2000 Demographic Profile Summary File,","Census Bureau, Decennial Census Demographic Profile Summary File",,,N,N,As released,2020,2020,"2000, 2020",Y,N,N ,
,California,Estimates,Table Download,"Land Area, Population and Population Density-2020,2010,2000",,"Total population, Land area in square miles, Population Per Square mile (land area), Geoid","California, Counties, Incorporated Cities/Towns, and Census Designated Places (CDP)","State, County,  City/Town, Census Designated Place",,"U.S. Census Bureau,  Census 2020 Demographic Profile and Demographic and Housing Characteristics File (DHC), Census 2010 Demographic Profile Summary File, Census 2000 Demographic Profile Summary File,","Census Bureau, Decennial Census Demographic Profile Summary File",,,N,N,As released,2020,2020,"2000, 2020",Y,N,N ,
,California,Estimates,Table Download,"Persons by Relationship- 2020, 2010, 2000",,"Total population; In households: total population in household, householder, opposite-sex spouse, same-sex spouse, opposite-sex unmarried partner, same-sex unmarried partner, children, children under 18 years, grandchildren, grandchildren under 18 years, other relatives, other relatives under 18 years, nonrelatives; In Group Quarters: Total GQ population, Institionalized population, Geoid","California, Counties, Incorporated Cities/Towns, and Census Designated Places (CDP)","State, County,  City/Town, Census Designated Place",,"U.S. Census Bureau,  Census 2020 Demographic Profile and Demographic and Housing Characteristics File (DHC), Census 2010 Demographic Profile Summary File, Census 2000 Demographic Profile Summary File,","Census Bureau, Decennial Census Demographic Profile Summary File",,,N,N,As released,2020,2020,"2000, 2020",Y,N,N ,
,California,Estimates,Table Download,Population Age and Sex Characteristics-2020,,"Population-Total, Male, Female; Median age-all, male, female; Average household size; Average family size; Person segments-under 5 years, under 18 years, age 21+, age 55+, age 60+, age 65+ ; Percent population female; Percent population less than 18; Geoid",ZIP Codes Tabulation Areas (ZCTA) in California,ZCTA,,"U.S. Census Bureau,  Census 2020 Demographic Profile and Demographic and Housing Characteristics File (DHC), Census 2010 Demographic Profile Summary File, Census 2000 Demographic Profile Summary File,","Census Bureau, Decennial Census Demographic Profile Summary File",,,N,N,As released,2020,2020,"2000, 2020",N ,N,N ,
,California,Estimates,Table Download,"Land Area, Population and Population Density-2020",,"Total population, Land area in square miles, Population Per Square mile (land area), Geoid",ZIP Codes Tabulation Areas (ZCTA) in California,ZCTA,,"U.S. Census Bureau,  Census 2020 Demographic Profile and Demographic and Housing Characteristics File (DHC), Census 2010 Demographic Profile Summary File, Census 2000 Demographic Profile Summary File,","Census Bureau, Decennial Census Demographic Profile Summary File",,,N,N,As released,2020,2020,"2010, 2020",N ,N,N ,
,California,Estimates,Table Download,Persons by Relationship- 2020,,"Total population; In households: total population in household, householder, opposite-sex spouse, same-sex spouse, opposite-sex unmarried partner, same-sex unmarried partner, children, children under 18 years, grandchildren, grandchildren under 18 years, other relatives, other relatives under 18 years, nonrelatives; In Group Quarters: Total GQ population, Institionalized population, Geoid",ZIP Codes Tabulation Areas (ZCTA) in California,ZCTA,,"U.S. Census Bureau,  Census 2020 Demographic Profile and Demographic and Housing Characteristics File (DHC), Census 2010 Demographic Profile Summary File, Census 2000 Demographic Profile Summary File,","Census Bureau, Decennial Census Demographic Profile Summary File",,,N,N,As released,2020,2020,"2010, 2020",N ,N,N ,
,California,Estimates,Table Download,"Population Age and Sex Characteristics-2020,2010",,"Population-Total, Male, Female; Median age-all, male, female; Average household size; Average family size; Person segments-under 5 years, under 18 years, age 21+, age 55+, age 60+, age 65+ ; Percent population female; Percent population less than 18; Geoid",School districts,School district,,"U.S. Census Bureau,  Census 2020 Demographic Profile and Demographic and Housing Characteristics File (DHC), Census 2010 Demographic Profile Summary File, Census 2000 Demographic Profile Summary File,","Census Bureau, Decennial Census Demographic Profile Summary File",,,N,N,As released,2020,2020,"2010, 2020",Y,N,N ,
,California,Estimates,Table Download,"Land Area, Population and Population Density-2020, 2010",,"Total population, Land area in square miles, Population Per Square mile (land area), Geoid",School districts,School district,,"U.S. Census Bureau,  Census 2020 Demographic Profile and Demographic and Housing Characteristics File (DHC), Census 2010 Demographic Profile Summary File, Census 2000 Demographic Profile Summary File,","Census Bureau, Decennial Census Demographic Profile Summary File",,,N,N,As released,2020,2020,"2010, 2020",Y,N,N ,
,California,Estimates,Table Download,"Persons by Relationship- 2020, 2010",,"Total population; In households: total population in household, householder, opposite-sex spouse, same-sex spouse, opposite-sex unmarried partner, same-sex unmarried partner, children, children under 18 years, grandchildren, grandchildren under 18 years, other relatives, other relatives under 18 years, nonrelatives; In Group Quarters: Total GQ population, Institionalized population, Geoid",School districts,School district,,"U.S. Census Bureau,  Census 2020 Demographic Profile and Demographic and Housing Characteristics File (DHC), Census 2010 Demographic Profile Summary File, Census 2000 Demographic Profile Summary File,","Census Bureau, Decennial Census Demographic Profile Summary File",,,N,N,As released,2020,2020,"2010, 2020",Y,N,N ,
,California,Estimates,Table Download,Rankings of Total Population 2010 and 2020,,"Total population: April 1, 2010 and April 1, 2020; Change 2010-2020: Number and percent","County, Incorporated Cities/Towns","County, City/Town",,"2020 Census State Redistricting Data (P.L. 94-171) Summary File, U.S. Census Bureau; 2010 Census State Redistricting Data (P.L. 94-171) Summary File, U.S. Census Bureau; 2010 Count Question Resolution Program Results, U.S. Census Bureau",Census Redistricting,,,N,N,As released,2020,2020,"2010, 2020",Y,N,N ,
,California,Estimates,Table Download,Total Population and Population Change:  2010 and 2020,,"Total population: April 1, 2010 and April 1, 2020; Change 2010-2020: Number and percent; Geographic Identifiers: Summary level, state, county, place","Summary level, state, county, place, city or town ","Summary level, State, County, Places, City/Town ",,"2020 Census State Redistricting Data (P.L. 94-171) Summary File, U.S. Census Bureau; 2010 Census State Redistricting Data (P.L. 94-171) Summary File, U.S. Census Bureau; 2010 Count Question Resolution Program Results, U.S. Census Bureau",Census Redistricting,,,N,N,As released,2020,2020,"2010, 2020",Y,N,N ,
,California,Estimates,Map,Population: Percent Change by County from 2010 to 2020,,"County, percent change",County,County,,"U.S. Census Bureau, PL94-171",Census Redistricting,,,N,N,As released,2020,2020,"2010, 2020",Y,N,N ,
,California,Estimates,Map,Population Numeric Change 2010 to 2020,,"County, number change",County,County,,"U.S. Census Bureau, PL94-171",Census Redistricting,,,N,N,As released,2020,2020,"2010, 2020",Y,N,N ,
