Raw,Freq,entity,certificate,confidence_entry,confidence_cert,confidence
Cisco Certified Entry Networking Technician (CCENT),271,Cisco,Cisco Certified Entry Networking Technician (CCENT),0.6371,0.7536,0.5412
National Registry of Emergency Medical Technicians (NREMT),342,National Registry of Emergency Medical Technicians (NREMT),Emergency Medical Responder,0.7841,0.6060,0.5356
Red Hat Certified Engineer (RHCE),40,RedHat,Red Hat Certified Engineer (RHCE),0.5728,0.8130,0.5249
Child Development Associate (CDA),75,Council for Professional Recognition,Child Development Associate (CDA),0.5111,0.9068,0.5225
Certified Fund Raising Executive (CFRE),14,CFRE International,Certified Fund Raising Executive,0.5793,0.7778,0.5079
Certified Occupational Therapy Assistant (COTA),73,National Board for Certification in Occupational Therapy,Certified Occupational Therapy Assistant (COTA),0.5621,0.7978,0.5055
Associate Professional in Human Resources (aPHR),1,Human Resources Certification Institute (HRCI),Associate Professional in Human Resources,0.5602,0.7951,0.5021
Red Hat Certified System Adminstrator (RHCSA),45,RedHat,Red Hat Certified System Administrator (RHCSA),0.6111,0.7228,0.4979
Check Point Certified Security Expert,6,Check Point Software Technologies LTD.,Check Point Certified Security Expert,0.5557,0.7887,0.4940
Certified Quality Process Analyst (CQPA),8,American Society for Quality (ASQ),Certified Quality Process Analyst (CQPA),0.5556,0.7885,0.4938
Apple Certified System Administrator (ACSA),6,Apple,Apple Certified System Administrator (ACSA),0.5548,0.7874,0.4924
Clinical Documentation Improvement Practitioner,7,American Health Information Management Association (AHIMA),Clinical Documentation Improvement Practitioner (CDIP),0.5461,0.7751,0.4771
Linux Server Professional (LPIC-1),15,Linux Professional Institute,LPIC-1 Linux Server Professional ,0.4879,0.8657,0.4762
GIAC Security Essentials (GSEC),116,Global Information Assurance Certification,GIAC Security Essentials Certification (GSEC),0.5453,0.7740,0.4758
Global Professional in Human Resources,4,Human Resources Certification Institute (HRCI),Global Professional in Human Resources (GPHR),0.5973,0.7065,0.4757
Senior Professional in Human Resources,47,Human Resources Certification Institute (HRCI),Senior Professional in Human Resources (SPHR),0.5973,0.7065,0.4757
American Association For Laboratory Animal Science (AALAS),133,American Association for Laboratory Animal Science,Laboratory Animal Technologist,0.6362,0.6511,0.4669
First Aid Cpr Aed,17811,American Heart Association,HeartSaver First Aid/CPR/AED,0.5384,0.7642,0.4639
Commercial Food Equipment Service Association (CFESA),720,Commercial Food Equipment Service Association,Commercial Food Equipment Service Technician,0.5648,0.7250,0.4615
Certified Information Security Manager (CISM),146,ISACA,Certified Information Security Manager (CISM),0.5365,0.7616,0.4606
Certified Information Systems Security Professional (CISSP),612,International Information Systems Certification Consortium (ISC2),Certified Information Systems Security Professional (CISSP),0.5863,0.6935,0.4583
Certified Building Plans Examiner,2,International Code Council,Building Plans Examiner,0.4222,0.9565,0.4552
Broadband Premises Expert,6,Society of Cable Telecommunications Engineers,Broadband Premises Expert,0.4108,0.9717,0.4500
CompTIA Cloud Essentials,1,CompTIA,CompTIA Cloud Essentials,0.4107,0.9715,0.4497
Cisco Certified Network Associate (CCNA),1853,Cisco,Cisco Certified Network Associate (CCNA),0.5301,0.7525,0.4497
Passive Intermodulation Testing (PIM),658,ETA International,Passive Intermodulation Testing,0.4098,0.9694,0.4478
CompTIA IT Fundamentals,65,Computing Technology Industry Association (CompTIA),CompTIA IT Fundamentals,0.4085,0.9664,0.4450
Broadband Premises Installer,1,Society of Cable Telecommunications Engineers,Broadband Premises Installer,0.4076,0.9643,0.4431
Certified Information Systems Auditor (CISA),253,ISACA,Certified Information Systems Auditor (CISA),0.5261,0.7468,0.4429
Certified Quality Improvement Associate (CQIA),2,American Society for Quality (ASQ),Certified Quality Improvement Associate (CQIA),0.5258,0.7463,0.4424
American Registry For Diagnostic Medical Sonography (ARDMS),340,American Registry for Diagnostic Medical Sonography (ARDMS),Registered Diagnostic Medical Sonographer ,0.8428,0.4622,0.4391
NICET Inspection and Testing of Water-Based Systems,3,National Institute for Certification in Engineering Technologies,Inspection and Testing of Water-Based Systems I,0.6185,0.6271,0.4372
Project Management Professional (PMP),1366,Project Management Institute (PMI),Project Management Professional (PMP),0.4672,0.8289,0.4365
Laboratory Animal Technologist (LATG),185,American Association for Laboratory Animal Science,Laboratory Animal Technologist,0.4032,0.9538,0.4335
Mobile Crane Operator,16,National Commission for the Certification of Crane Operators,Mobile Crane Operator,0.4022,0.9515,0.4314
Systems Security Certified Practitioner (SSCP),334,International Information Systems Certification Consortium (ISC2),Systems Security Certified Practitioner (SSCP),0.5187,0.7363,0.4305
Emergency Medical Technician (EMT),2075,National Registry of Emergency Medical Technicians (NREMT),Emergency Medical Technician (EMT),0.4637,0.8226,0.4300
Retail Industry Fundamentals,1,National Retail Federation (NRF),Retail Industry Fundamentals,0.4011,0.9488,0.4289
Cisco Certified Design Associate (CCDA),12,Cisco,Cisco Certified Design Associate (CCDA),0.5177,0.7348,0.4288
Data Cabling Installer Certification,5,Electronics Technicians Association (ETA) International,Data Cabling Installer Certification,0.4528,0.8033,0.4100
Cisco Certified Network Professional (CCNP),354,Cisco,Cisco Certified Network Professional (CCNP),0.5015,0.7118,0.4024
Certified Business Analysis Professional (CBAP),14,International Institute of Business Analysis,Certified Business Analysis Professional (CBAP),0.5015,0.7118,0.4023
Automotive Service Excellence (ASE) Certification,48756,National Institute for Automotive Service Excellence (ASE),Automotive Service Excellence (ASE) - A5 Brakes,0.5733,0.6157,0.3979
Certified in Production and Inventory Management (CPIM),73,APICS,APICS Certificate in Production and Inventory Management,0.5965,0.5866,0.3944
Certified Registered Central Service Technician (CRCST),713,International Association of Healthcare Central Services Material Management  (IAHCSMM),Central Service Technician,0.4602,0.7558,0.3921
Certified Ethical Hacker (CEH),17,EC-Council,Certified Ethical Hacker (CEH),0.4406,0.7817,0.3883
Certified Residential Building Inspector,10,International Code Council,Residential Building Inspector,0.3906,0.8817,0.3883
Certified Scrum Product Owner (CSPO),4,Scrum Alliance,Certified Scrum Product Owner,0.4384,0.7778,0.3844
Cisco Certified Design Professional (CCDP),81,Cisco,Cisco Certified Design Professional (CCDP),0.4901,0.6957,0.3844
Microsoft Certified Solutions Associate (MCSA),565,Microsoft,Microsoft Certified Solutions Associate (MCSA) - Server,0.5345,0.6322,0.3809
Certified Landscape Irrigation Auditor,5,Irrigation Association,Certified Landscape Irrigation Auditor,0.4351,0.7720,0.3786
Certified Broadcast Television Engineer,7,"Society of Broadcast Engineers, Inc.",Certified Broadcast Television Engineer,0.4319,0.7662,0.3730
LEED Green Associate (GA),122,Green Business Certification Inc.,LEED Green Associate,0.3735,0.8836,0.3720
Certified Broadcast Radio Engineer,5,"Society of Broadcast Engineers, Inc.",Certified Broadcast Radio Engineer,0.4285,0.7603,0.3673
Microsoft Certified Solutions Expert (MCSE),639,Microsoft,Microsoft Certified Solutions Expert (MCSE) - Data Platform,0.5663,0.5741,0.3665
Nate Heat Pump/Air Conditioning,5,Building Performance Institute,Air Conditioning and Heat Pump Professional,0.5238,0.6196,0.3659
Certified Broadcast Networking Engineer,13,"Society of Broadcast Engineers, Inc.",Certified Broadcast Networking Engineer,0.4275,0.7584,0.3654
Certified Quality Auditor (CQA),173,American Society for Quality (ASQ),Certified Quality Auditor (CQA),0.4264,0.7566,0.3637
Certified Manufacturing Engineer (CMfgE),15,Society of Manufacturing Engineers (SME),Certified Manufacturing Engineer (CMfgE),0.4264,0.7565,0.3636
HDI Desktop Support Technician (DST),157,HDI,HDI Desktop Advanced Support Technician,0.4763,0.6760,0.3629
Automotive Service Excellence Heating and Air Conditioning,4,National Institute for Automotive Service Excellence,Transit Bus Technician: Heating Ventilation & Air Conditioning,0.8278,0.3862,0.3604
Medical Billing and Coding Certification,323,American Medical Certification Association (AMCA),Billing and Coding Specialist,0.5204,0.6135,0.3599
Certified Quality Engineer (CQE),45,American Society for Quality (ASQ),Certified Quality Engineer (CQE),0.4232,0.7508,0.3582
Broadband Transport Specialist,13,Society of Cable Telecommunications Engineers,Broadband Transport Specialist,0.3661,0.8661,0.3575
Certified Broadcast Networking Technologist,288,"Society of Broadcast Engineers, Inc.",Certified Broadcast Networking Technologist,0.4222,0.7490,0.3565
Allen Bradley PLC,31,National Coalition of Certification Centers (NC-3),Applied PLC Allen Bradley,0.4216,0.7480,0.3555
Line & Antenna Sweeping (LAS),125,ETA International,Line and Antenna Sweeping,0.4216,0.7480,0.3555
Six Sigma DFSS-Green Belt,5,American Society for Quality (ASQ),Six Sigma Green Belt,0.4194,0.7441,0.3518
Six Sigma White Belt,3,American Society for Quality (ASQ),Six Sigma Green Belt,0.4194,0.7441,0.3518
Automotive Service Excellence Engine Performance,3,National Institute for Automotive Service Excellence,Advanced Engine Performance Specialist,0.6483,0.4767,0.3484
Industrial Electronics Technician,1,ETA International,Industrial Electronics,0.3299,0.9344,0.3475
Certified Surgical First Assistant (CSFA),413,National Board of Surgical Technology and Surgical Assisting,Certified Surgical First Assistant,0.4147,0.7357,0.3439
Professional in Human Resources,69,Human Resources Certification Institute (HRCI),Associate Professional in Human Resources,0.4619,0.6556,0.3414
Certified Welding Inspector (CWI),667,American Welding Society (AWS),Certified Welding Inspector (CWI),0.4131,0.7330,0.3413
Basic Cardiac Life Support Certification,14930,American Heart Association,Basic Life Support (CPR) Instructor,0.5365,0.5631,0.3405
Certified Fiber Optics Installer,8,Electronics Technicians Association (ETA) International,Fiber Optics Installer Certification,0.4211,0.7154,0.3396
Microsoft Office Specialist (MOS),151,Microsoft,Microsoft Office Specialist (MOS) - Access 2019  ,0.5026,0.5945,0.3369
Nccer Industrial Maintenance Mechanic,1,National Center for Construction Education and Research (NCCER),Industrial Maintenance Mechanic - Level 4,0.5346,0.5588,0.3367
GIAC Security Essentials Certification,3,Global Information Assurance Certification,GIAC Security Essentials Certification (GSEC),0.4572,0.6490,0.3345
Certified Quality Inspector (CQI),12,American Society for Quality (ASQ),Certified Quality Inspector (CQI),0.4078,0.7234,0.3325
Microsoft Technology Associate (MTA),21,Microsoft,Microsoft Technology Associate (MTA) - Security Fundamentals,0.4987,0.5899,0.3316
Registered Cardiac Sonographer,179,Cardiovascular Credentialing International,Registered Cardiac Sonographer (RCS),0.4013,0.7120,0.3221
Registered Congenital Cardiac Sonographer,9,Cardiovascular Credentialing International,Registered Cardiac Sonographer (RCS),0.4013,0.7120,0.3221
Registered Diagnostic Cardiac Sonographer,129,Cardiovascular Credentialing International,Registered Cardiac Sonographer (RCS),0.4013,0.7120,0.3221
Broadband Premises Technician,42,Society of Cable Telecommunications Engineers,Broadband Premises Technician,0.3473,0.8216,0.3216
Registered Health Information Technician,128,American Health Information Management Association (AHIMA),Registered Health Information Technician (RHIT),0.4475,0.6351,0.3204
National Board for Certification in Occupational Therapy (NBCOT),18,National Board for Certification in Occupational Therapy,Certified Occupational Therapy Assistant (COTA),0.7151,0.3937,0.3174
Aci Field Testing Technician,155,American Concrete Institute International,Masonry Field Testing Technician,0.4742,0.5913,0.3161
CompTIA CTT+,6,Computing Technology Industry Association (CompTIA),CompTIA CTT+,0.2807,0.9961,0.3152
Laboratory Animal Technician,828,American Association for Laboratory Animal Science,Laboratory Animal Technician,0.3418,0.8086,0.3116
Electric Vehicle Technician (EVT),575,ETA International,Electric Vehicle Technician,0.3418,0.8086,0.3115
Registered Polysomnographic Technologist,274,Board for Registered Polysomnographic Technologists (BRPT),Registered Polysomnographic Technologist (RPSGT),0.3917,0.6950,0.3069
Advanced Engine Performance Certified,669,National Institute for Automotive Service Excellence,Advanced Engine Performance Specialist,0.3915,0.6946,0.3066
Apple Certified Technical Coordinator,7,Apple,Apple Certified Technical Coordinator (ACTC),0.4362,0.6191,0.3044
AWS Certified Solutions Architect (AWS-CSA),5,aws.amazon.com ,AWS Certified Solutions Architect (Associate),0.4351,0.6175,0.3029
OSHA Safety 10 Hour,3817,Occupational Safety & Health Administration,OSHA 10 Construction,0.4026,0.6667,0.3026
OSHA Safety 30 Hour,2033,Occupational Safety & Health Administration,OSHA 30 Construction,0.4026,0.6667,0.3026
Clinical Medical Assistant (CCMA),2,National Healthcareer Association (NHA) ,Medical Assistant Certification (CCMA),0.3886,0.6895,0.3021
Certified Public Accountant (CPA),11542,American Institute of CPAs,Certified Public Accountant,0.3798,0.6985,0.2991
AWS Certified SysOps Administrator,3,aws.amazon.com,AWS Certified Sysops Administrator (Associate),0.4318,0.6129,0.2984
CompTIA Cloud+,10,CompTIA,CompTIA Cloud+,0.2731,0.9689,0.2982
Certified Medical Administrative Assistant,56,American Medical Certification Association (AMCA),Medical Administrative Assistant (CMAA),0.3853,0.6836,0.2969
Fundamental Payroll Certification,91,American Payroll Association,Fundamental Payroll Certification,0.3313,0.7838,0.2927
Registered Respiratory Therapist,18106,National Board for Respiratory Care,Certified Respiratory Therapist,0.3980,0.6510,0.2921
Check Point Certified Security Administrator,28,Check Point Software Technologies LTD.,Check Point Certified Security Master,0.4256,0.6041,0.2898
Certified Senior Radio Engineer,6,"Society of Broadcast Engineers, Inc.",Certified Senior Broadcast Radio Engineer,0.4242,0.6021,0.2879
Workplace Hazardous Materials Information System,76,Federal Emergency Management Agency (FEMA),Introduction to Hazardous Materials,0.5249,0.4863,0.2878
Certificate in HTML/CSS,1,W3Schools,HTML Developer Certificate ,0.4055,0.6285,0.2873
Personal Fitness Trainer Certification,122,American Aerobic Association International and International Sports Medicine Association (AAAI/ISMA),Personal Trainer Certification,0.3280,0.7760,0.2869
Photovoltaic (PV) Installer Certification,111,North American Board of Certified Energy Practitioners,PV Installer Specialist,0.4032,0.6310,0.2868
Wastewater Treatment Plant Operator Grade Iv,10,Association of Boards of Certification,Certified Operator Class IV,0.5420,0.4675,0.2856
Hazardous Materials Certification,1449,Occupational Safety & Health Administration,Hazardous Materials Certification,0.3269,0.7734,0.2850
Certified Fiber Optics Specialist,4,ETA International,Fiber Optics Designer,0.3807,0.6536,0.2805
Home Energy Raters (HERS) Certification,51,Resnet,Home Energy Rating System (HERS) Rater,0.4584,0.5423,0.2802
Advanced Registered Nurse Practitioner,49,National Council of State Boards of Nursing,Registered Nurse,0.2637,0.9359,0.2782
Certified Flight Registered Nurse,15,National Council of State Boards of Nursing,Registered Nurse,0.2637,0.9359,0.2782
Certified Hyperbaric Registered Nurse,2,National Council of State Boards of Nursing,Registered Nurse,0.2637,0.9359,0.2782
Certified Veterinary Assistant,24,National Association of Veterinary Technicians in America (NAVTA),Veterinary Assistant,0.2635,0.9350,0.2777
Industrial Electronics,64,ETA International,Industrial Electronics,0.2633,0.9344,0.2774
Mobile Hydraulic Mechanic,14,International Fluid Power Society,Fluid Power Mobile Hydraulic Mechanic,0.4150,0.5890,0.2756
Registered Medical Assistant,67,American Association of Medical Technologists (AAMT),Registered Medical Assistant (RMA),0.3705,0.6574,0.2746
SHRM Certified Professional (SHRM-CP),67,Society for Human Resource Management (SHRM),SHRM Certified Professional (SHRM-CP),0.3704,0.6572,0.2744
Certified Payroll Professional (CPP),357,American Payroll Association (APA),Certified Payroll Professional (CPP),0.3693,0.6553,0.2728
Vmware Certified Professional (VCP),79,VMware,VMware Certified Professional (VCP),0.3693,0.6553,0.2728
Certified Fire Protection Specialist,5,National Fire Protection Association,Certified Fire Protection Specialist,0.3688,0.6544,0.2721
American Production and Inventory Control Society (APICS) Certification,40,APICS,APICS Certificate in Production and Inventory Management,0.4878,0.4945,0.2719
Forklift Operator Certification,7513,"Commonwealth Environmental Solutions, LLC",Forklift Operator Certification,0.3174,0.7509,0.2687
Wastewater Treatment Plant Operator Grade Iii,41,Association of Boards of Certification,Certified Operator Class III,0.5313,0.4486,0.2687
HDI Desktop Support Manager (DSM),5,HDI,HDI Desktop Advanced Support Technician,0.4097,0.5815,0.2685
Computer Service Technician (CST),1,ETA International,Computer Service Technician,0.3173,0.7506,0.2685
GIAC Web Application Penetration Tester (GWAPT),5,Global Information Assurance Certification,GIAC Certified Web Application Defender,0.4085,0.5798,0.2670
Certified Wireless Technology Specialist (CWTS),4,Certified Wireless Network Professional,Certified Wireless Technology Specialist,0.3639,0.6457,0.2649
Certified Premises Cabling Technician,2,The Fiber Optic Association Inc.,Certified Premises Cabling Technician,0.3630,0.6440,0.2635
Certified IRA Services Professional (CISP),2,American Bankers Association,Certified IRA Services Professional,0.3617,0.6418,0.2617
Wastewater Treatment Plant Operator Grade Ii,82,Association of Boards of Certification,Certified Operator Class II,0.5252,0.4377,0.2591
Certified Tester Foundation Level (CTFL),4, American Software Testing Qualifications Board ,ASTQB Certified Tester Foundation Level ,0.4003,0.5681,0.2563
Wastewater Treatment Plant Operator Grade I,127,Association of Boards of Certification,Certified Operator Class I,0.5222,0.4324,0.2546
Certified Quality Technician (CQT),150,American Society for Quality (ASQ),Certified Quality Technician (CQT),0.3565,0.6326,0.2542
Certified Master Trainer,1,National Center for Construction Education and Research,Master Trainer,0.2515,0.8925,0.2530
Mold Remediation Certification,50,Environmental Protection Agency (EPA),Mold Remediation Supervisor,0.3335,0.6640,0.2497
Certified Industrial Maintenance Mechanic,7,National Center for Construction Education and Research (NCCER),Industrial Maintenance Mechanic - Level 4,0.3937,0.5588,0.2480
Certified Building Commissioning Professional,42,Association of Energy Engineers,Certified Building Commissioning Professional,0.3521,0.6246,0.2479
Registered Vascular Specialist,62,Cardiovascular Credentialing International,Registered Vascular Specialist (RVS),0.3492,0.6195,0.2438
Food Handler Certification,4913,National Restaurant Association,ServSafe Food Handler,0.3291,0.6536,0.2425
Certified in Lean Project Management,1,Project Management Institute,Certified Associate in Project Management,0.3883,0.5512,0.2413
NICET Video Security Systems Technician,1,Electronic Security Association,Certified Video Technician,0.4319,0.4830,0.2352
Certified Fraud Examiner (CFE),83,Association of Certified Fraud Examiners,Certified Fraud Examiner,0.2964,0.7012,0.2343
Fluid Power Certification,175,National Coalition of Certification Centers (NC-3),Applied Fluid Power,0.3237,0.6408,0.2338
Certified Executive Chef,163,"American Culinary Federation, Inc.",Certified Executive Chef,0.2953,0.6985,0.2325
Registered Health Information Administrator,112,American Health Information Management Association (AHIMA),Registered Health Information Technician (RHIT),0.3809,0.5406,0.2321
Certified Software Quality Engineer (CSQE),3,American Society for Quality (ASQ),Certified Quality Engineer (CQE),0.3386,0.6008,0.2294
Biomedical Electronics Technician (BMD),206,ETA International,Biomedical Imaging Electronics Technician,0.3386,0.6007,0.2293
Biomedical Equipment Technician (BMET),849,Association for the Advancement of Medical Instrumentation,Certified Biomedical Equipment Technician,0.3386,0.6007,0.2293
Water Well Contractor,12,National Ground Water Association,Master Ground Water Contractor,0.4162,0.4883,0.2291
Certified Respiratory Therapist,4934,National Board for Respiratory Care,Certified Respiratory Therapist,0.2931,0.6933,0.2291
100 Ton Master Captain's License,2,National Maritime Center,Master 100 Tons (TIDECC-281),0.3383,0.6001,0.2288
AWS Certified Associate Welding Inspector,61,American Welding Society (AWS),Certified Welding Inspector (CWI),0.4109,0.4830,0.2237
Certified Video Engineer,2,"Society of Broadcast Engineers, Inc.",Certified Video Engineer,0.2888,0.6831,0.2223
Certified Child Care Provider,7,Emergency Care & Safety Institute (ECSI),Health Care Provider CPR,0.4084,0.4805,0.2212
Ipma Certified Project Management Associate,91,Project Management Institute,Certified Associate in Project Management,0.3717,0.5276,0.2211
Chartered Alternative Investment Analyst (CAIA),4,CFA Institute,Chartered Financial Analyst (CFA),0.4087,0.4752,0.2190
Certified Plans Examiner,22,International Code Council,Electrical Plans Examiner,0.2953,0.6562,0.2184
Registered Behavior Technician,222,Behavior Analyst Certification Board (BACB),Registered Behavior Technician (RBT),0.3303,0.5861,0.2182
Critical Care Registered Nurse (CCRN),35,National Board for Respiratory Care,Adult Critical Care Specialty,0.3970,0.4864,0.2176
Certified Supply Chain Professional (CSCP),54,APICS,APICS Certified Supply Chain Professional,0.3682,0.5226,0.2169
Fiber Optics Certification,1,Electronics Technicians Association (ETA) International,Fiber Optics Installer Certification,0.3291,0.5839,0.2166
AAMA Certified Medical Assistant,131,American Association of Medical Assistants (AAMA),Certified Medical Assistant (CMA),0.4065,0.4712,0.2159
Senior Certified Welding Inspector (SCWI),8,American Welding Society (AWS),Certified Welding Inspector (CWI),0.3286,0.5830,0.2159
Certified Surgical Technologist,15280,National Board of Surgical Technology and Surgical Assisting,Certified Surgical Technologist,0.2835,0.6706,0.2143
Certified Energy Auditor,30,Association of Energy Engineers,Certified Energy Auditor,0.2834,0.6705,0.2142
Pharmacy Technician Certification Board (PTCB),76,National Healthcareer Association (NHA) ,Pharmacy Technician,0.2592,0.7324,0.2140
Certified Physical Therapy Assistant,1,Federation of State Boards of Physical Therapy (FSBPT),Physical Therapist Assistant (PTA),0.4044,0.4694,0.2140
SHRM Senior Certified Professional,33,Society for Human Resource Management (SHRM),SHRM Senior Certified Professional (SHRM-SCP),0.3649,0.5180,0.2131
Certified Broadcast Engineer,6,"Society of Broadcast Engineers, Inc.",Professional Broadcast Engineer,0.2910,0.6460,0.2119
Enrolled Actuary (EA),1,Internal Revenue Service,Enrolled Agent (EA),0.2818,0.6667,0.2118
Certified Registered Locksmith,27,Associated Locksmiths of America,Certified Registered Locksmith,0.2816,0.6662,0.2115
Certified Manufacturing Specialist,4,Manufacturing Skills Institute,Manufacturing Specialist,0.2388,0.7838,0.2109
Airport Firefighter,507,American Association of Airport Executives,Airport Master Firefighter,0.2807,0.6640,0.2101
IRS Enrolled Agent,5,Internal Revenue Service,Enrolled Agent (EA),0.2807,0.6640,0.2101
Certified Medical Laboratory Technician,683,American Medical Technologist (AMT),Medical Laboratory Technician (MLT),0.3238,0.5745,0.2097
Certified Engineering Technologist,6,National Institute for Certification in Engineering Technologies,Certified Engineering Technologist,0.2802,0.6629,0.2094
Aircraft Maintenance Technician Certification,30,National Center for Aerospace & Transportation Technologies,Aircraft Electronics Technician,0.3820,0.4856,0.2091
CompTIA Linux+,99,CompTIA,CompTIA Linux+ Certification,0.2796,0.6614,0.2085
Building Operator Certification,61,Building Operators Certification,Certified Building Operator,0.3057,0.5981,0.2061
Apple Certified Support Professional,16,Apple,Apple Certified Support Professional (ACSP),0.3585,0.5088,0.2056
CompTIA Server+,259,CompTIA,CompTIA Server+ Certification,0.2763,0.6536,0.2036
Certified Emergency Responder,1,National Registry of Emergency Medical Technicians (NREMT),Emergency Medical Responder,0.2752,0.6511,0.2020
ITIL Foundation,515,AXELOS Ltd. ,ITIL V.3 Foundation,0.2752,0.6511,0.2020
Open Water Scuba Certificate,4,Professional Association of Diving Instructors,Open Water Diver,0.2752,0.6511,0.2020
Customer Service Certification,8,National Restaurant Association,ManageFirst - Customer Service,0.3024,0.5904,0.2013
Chief Engineer License,7,United States Coast Guard National Maritime Center,Chief Engineer (Unlimited),0.2742,0.6486,0.2005
Certified Fiber Optics Technician,67,Electronics Technicians Association (ETA) International,Fiber Optics Installer Certification,0.3608,0.4902,0.1994
Hazard Analysis and Critical Control Point (HACCP) Certification,377,ESCO Group,Combustion Analysis Certification,0.3920,0.4505,0.1991
CompTIA Network+,2607,CompTIA,CompTIA Network+ Certification,0.2731,0.6460,0.1988
Commercial Refrigeration Certification,55,ESCO Group,Light Commercial Refrigeration Certification,0.3151,0.5590,0.1986
Medical Laboratory Technologist,2,American Medical Technologist (AMT),Medical Laboratory Technician (MLT),0.3852,0.4564,0.1982
Air Traffic Control,58,American Traffic Safety Services Association,Traffic Control Supervisor,0.2708,0.6407,0.1956
Certified Master Chef,6,"American Culinary Federation, Inc.",Certified Master Chef,0.2705,0.6399,0.1951
Fire Officer,145,Aircraft Rescue and Fire Fighting Training Alliance,Airport Fire Officer,0.2698,0.6383,0.1941
Fire Officer I,184,Aircraft Rescue and Fire Fighting Training Alliance,Airport Fire Officer,0.2698,0.6383,0.1941
Fire Officer II,71,Aircraft Rescue and Fire Fighting Training Alliance,Airport Fire Officer,0.2698,0.6383,0.1941
Fire Officer III,71,Aircraft Rescue and Fire Fighting Training Alliance,Airport Fire Officer,0.2698,0.6383,0.1941
Fire Officer IV,4,Aircraft Rescue and Fire Fighting Training Alliance,Airport Fire Officer,0.2698,0.6383,0.1941
Certified Professional Food Manager,31,National Environmental Health Association (NEHA),Certified Professional Food Manager (CPFM),0.3480,0.4939,0.1937
Automotive Service Excellence Brakes,13,National Institute for Automotive Service Excellence,Automobile Technician: Brakes,0.5194,0.3307,0.1936
NICET Highway Construction,133,National Center for Construction Education and Research (NCCER),Highway/Heavy Construction ,0.2689,0.6361,0.1928
AWS Certified Robotic Arc Welding,1,American Welding Society (AWS),Gas Metal Arc Welding (GMAW),0.4340,0.3938,0.1926
BICSI Installer,369,Building Industry Consulting Service International,BICSI Installer 1,0.2678,0.6336,0.1913
BICSI Installer I,102,Building Industry Consulting Service International,BICSI Installer 1,0.2678,0.6336,0.1913
Bicsi Installer II,15,Building Industry Consulting Service International,BICSI Installer 1,0.2678,0.6336,0.1913
Aerial Lift Operator,8,National Safety Council (NSC),Lift Truck Operator,0.2668,0.6312,0.1898
Ariel Lift Operator,4,National Safety Council (NSC),Lift Truck Operator,0.2668,0.6312,0.1898
Boom Lift Operator,3,National Safety Council (NSC),Lift Truck Operator,0.2668,0.6312,0.1898
Microsoft Certified Desktop Support Technician (Legacy),87,HDI,HDI Desktop Advanced Support Technician,0.3533,0.4760,0.1896
Air Distribution (AD) Certification,46,"North American Technician Excellence, Inc.",Air Distribution Installation Certification,0.3068,0.5444,0.1883
Certified Crane Operator,252,National Commission for the Certification of Crane Operators,Mobile Crane Operator,0.2657,0.6285,0.1883
