,PROJECT_ID,ABSTRACT,PROJECT_TERMS,PROJECT_TITLE,DEPARTMENT,AGENCY,PROJECT_START_DATE,PROJECT_END_DATE,FY,FY_TOTAL_COST
10,90042,"The study of earth's topography has fundamental impacts on society, from flood and landslide prevention and control to the understanding of climate change impacts, management of land-use practices, as well as design of roads and other man-made projects in an environmentally sustainable way.  The recent availability of high resolution (0.5 m spacing) digital topography from airborne laser swath mapping and ground-based lidar offers opportunities to develop a new class of environmental predictive models that explicitly incorporate important features of the landscape and thus enhance the accuracy of predictions. The goal of this project is to develop modern computational geometric image analysis methodologies applicable to hydrologic and eco-geomorphologic hazard prediction and control. Specifically, the project studies high-resolution, multiscale, and dynamic topography with the goal of extracting channel networks, channel banks and shapes, floodplains and hazard-relevant features such as landslide prone areas and service roads which contribute to increased sediment production and thus stream habitat deterioration.  The mathematical and computational techniques to be exploited and developed come from the area of geometric non-linear partial differential equations and energy formulations, combined with differential and computational geometry. Specifically, a combination of methodologies ranging from geometric scale-space theory to singularity theory and geometric variational principles, combined with optimal algorithms for computing special curves on surfaces, will be exploited to derive a complete and automatic analysis of the topography at multiple relevant scales.",Algorithms; Area; base; climate change; Computational Technique; design; Deterioration; digital; Drug Formulations; Equation; Floods; Goals; Habitats; hazard; Image Analysis; Knowledge Discovery; land use; Lasers; man; Maps; Methodology; predictive modeling; Prevention; Production; Resolution; Services; Shapes; Societies; Stream; Surface; theories,CDI-TYPE I: GEOMETRIC IMAGE ANALYSIS FOR COMPUTATIONAL KNOWLEDGE DISCOVERY IN GEOSCIENCES,NSF,NSF,9/15/2008,8/31/2012,2008,467567.0
11,90053,"****NON-TECHNICAL ABSTRACT****This Small Grant for Exploratory Research enhances research opportunities for minority students at a Historically Black University.  It will allow them to contribute to the discovery process, including experimental research and the exchange of ideas at the frontier of science.  The project will attempt to elucidate whether an interpretation for the transport behavior of electrons in bismuth (Bi) nanowires when subjected to high magnetic fields is also valid for the recently observed behavior exhibited by charge carriers in bulk single crystal Bi.  The observed effects in bulk Bi have been interpreted as being due to the electrons in bulk Bi behaving like electrons constrained to moving only in a thin layer (i.e., exhibiting the fractional charge of a collective quantum state of 2 dimensional electrons).  The transport behavior in Bi nanowires has been interpreted as arising from electrons near the surface of the wire (i.e., the surface states).  However, there are similarities between the magnetic field dependent transport measurements of Bi nanowires and bulk Bi.  Low temperature electronic transport measurements in magnetic fields on bulk Bi will be performed.  These measurements are designed to reveal the possible contributions from surface states and fractional charge.  This timely project could be transformative in our understanding of Bi in the quantum limit and lead to future technologies.  ****TECHNICAL ABSTRACT****This Small Grant for Exploratory Research enhances research opportunities for minority students at a Historically Black University.  It will allow them to contribute to the discovery process, including experimental research and the exchange of ideas at the frontier of science.  The project will attempt to elucidate whether surface states could explain the recently observed magneto-transport behavior in bulk Bi.  Recent experimental studies of the Nernst effect and Hall effect of bulk Bi in the quantum limit (magnetic fields larger than 9 Tesla) have been interpreted in terms of charge fractionalization, an unusual collective quantum state seen only in two-dimensional electron gases.  Absorption peaks with the same Shubnikov-deHaas period of 0.03/T have been observed in the magnetoresistance and thermopower of Bi nanowires both below and above the quantum limit of 9 T.  In this case an interpretation in terms of surface states related to a spin-orbit surface interaction was proposed. Measurements of the magnetoresistance and Hall effect of thin samples of bulk single-crystal bismuth in magnetic fields up to 45 T will be performed.  These measurements are designed to reveal possible contributions by surface states and fractional charge, allow evaluation of their properties such as effective masses, and permit evaluation of the relative importance of surface effects and electronic transport by bulk-like electrons and holes in bulk Bi.  This timely project could be transformative in our understanding of Bi in the quantum limit and lead to future technologies.",absorption; abstracting; Behavior; Bismuth; Charge; cold temperature; design; Electronics; Electrons; Evaluation; Exhibits; frontier; Future; Gases; Grant; Historically Black Colleges and Universities; Lead; magnetic field; Measurement; Minority; nanowire; Ocular orbit; Process; Property; quantum; Relative (related person); Research; research study; Sampling; Science; Students; Surface; Technology; two-dimensional,SGER: SURFACE AND BULK-LIKE STATES IN BISMUTH,NSF,NSF,10/1/2008,3/31/2010,2008,62191.0
12,90058,"0332103   Aultman-Hall   The overall goal of this research is to characterize the relationships between spatial transportation-related variables (e.g., road type, grade, traffic conditions, land-use patterns), vehicle operating conditions (speed, acceleration, load) and mobile source fine particulate matter (PM) emissions. The project has three objectives. First, we will develop operating mode-based PM emissions models for light-duty vehicles based on real-world tailpipe emissions data. Second, vehicle operating mode and PM emissions will be modeled spatially as a function of transportation network variables and the surrounding land use environment. Finally, transient operating events will be studied to determine the associated PM emissions and their spatial distribution.",Acceleration; base; Data; Environment; Event; Goals; land use; Light; Modeling; Particulate Matter; Pattern; Research; Source; Spatial Distribution; trafficking; Transportation,MODELING THE SPATIAL DISTRIBUTION OF FINE PARTICULATE MATTER EMISSIONS FROM TRANSPORTATION VEHICLES,NSF,NSF,6/2/2008,3/31/2009,2008,36471.0
13,90059,"SciGirls, produced by Twin Cities Public Television, is a new PBS 13-part half-hour television series with accompanying Web and outreach activities targeted to girls ages 8 - 13-year olds.  The intended impacts are to 1) to foster a greater interest in STEM among girls ages 8 to 13 and their parents, with girls from diverse communities the highest priority; 2) connect girls to existing, quality STEM education opportunities in their communities; and 3) contribute to the growing body of research to deepen understanding of the most effective ways to engage girls in STEM activities and encourage them to pursue STEM careers.  The project?s two strategic partners are the National Girls Collaborative Project (NGCP) in Seattle, and The Franklin Institute in Philadelphia.  The NGCP will link SciGirls TV with its network of 500 community-based science programs for girls, and The Franklin Institute will help form an affiliate network of science museums to implement SciGirls TV outreach activities.  In addition to the broadcasts on PBS Plus, the videos will be distributed via online streaming and DVD?s, as well as via versions that can be downloaded to portable video players.  The most significant web component will be a social networking feature that will allow girls interested in science to connect with others across the nation.  Barbara Flagg of Multimedia Research will conduct formative evaluation of the first rough cuts, and a subsequent summative evaluation of the completed programs and of the social networking web site.",13 year old; Age; base; career; Cities; Communities; Education; Evaluation; Fostering; girls; Hour; Institutes; interest; Internet; Link; Multimedia; Museums; outreach; Parents; Philadelphia; programs; Research; Science; Series; Social Network; social networking website; Stream; Television; Twin Multiple Birth,SCIGIRLS - A NEW NATIONAL TV SERIES,NSF,NSF,9/15/2008,8/31/2011,2008,2598634.0
14,90062,"Morgan State University and Baltimore City Public School System (BCPSS) are core partners for the MSP-Start  BRAIN-STEM  project which is building the necessary institutional infrastructure, in both the university and the school system, to implement activities that integrate mathematical and biological concepts in a manner that can be incorporated into high school mathematics and science courses.  From a content perspective, they are focusing on discrete mathematics and genomics as material that is interesting, engaging, and at an appropriate level for success.  They are conducting a needs analysis in the BCPSS by collecting and analyzing student achievement and teacher characteristic data in grades 9 - 12 math and science.  They are using these results in designing a project that addresses the content and pedagogical needs of Baltimore City Public School System (BCSS) life sciences and mathematics teachers through the use of integrated problem-based learning that incorporates standards-based mathematics instruction and inquiry-based science instruction.  Furthermore, they are using their evaluation outcomes as the basis for developing a full MSP Targeted Partnership proposal.Morgan State University is a public, coeducational university which primarily serves students from underrepresented minority backgrounds.  Baltimore City Public School System (BCPSS) serves over 87,000 students in urban and non-urban settings in Baltimore, Maryland, including 37 different high schools.  About 75% of the school age children in the Baltimore City Public School district are African American.",Achievement; Address; African American; Baltimore; base; Biological; Biological Sciences; Characteristics; Child; Cities; Data; design; Evaluation; Genomics; high school; innovation; Instruction; interest; Maryland; Mathematics; Outcome; Problem-Based Learning; Research; Research Infrastructure; School-Age Population; Schools; Science; Students; success; System; teacher; Underrepresented Minority; Universities,BALTIMORE RESEARCH AND INNOVATIONS FOR NEW-STEM PARTNERSHIPS,NSF,NSF,9/1/2008,8/31/2011,2008,299986.0
15,90063,"Much of the literature on technological innovation focuses on analyzing measures of the scientific, technical, or commercial productivity of specific types of innovation-related activities in isolation, and does not consider the overall productivity of the linked sequences of these activities that constitute an innovation chain, from scientific discovery through commercialization. There currently is a gap in understanding of how different types of individual innovative activities come to be linked sequentially in a chain of events that ultimately may produce new commercial products or processes. Similarly, little is known about the organizational and institutional determinants of the overall productivity of linked sequences of such innovative events over time and space. This project analyzes the economic, organizational, and institutional determinants of the probability of a successful transition between such innovative events, and ultimately, toward commercially successful innovation, at each stage along the innovation chain. Data gleaned from patents, scientific publications, literature and patent citations, licensing agreements, research funding, and collaborative agreements are being used to construct a novel database of spatial and temporal linkages between activities and entities at each stage along an innovation chain, and to develop qualitative and quantitative indicators of knowledge and technology flows within these chains of linked events. The database is being constructed using case studies of nano-electronic innovations in the semiconductor industry, and applications of biotechnology innovations in the pharmaceutical industry. This research focus is inspired by efforts within these two mature high technology industries to experiment with novel strategies to integrate emerging technologies into their innovation pipelines. The variety and breadth of organizational, institutional, and funding strategies used to coordinate innovative activities in these industries provides a rich and varied set of data to be used in developing indicators and understanding of knowledge and technology flows. Broader Impacts: Although this research focuses on the semiconductor and pharmaceutical industries, the analysis should also have a broader impact in the development of more generally applicable stylized facts about determinants of the innovative process. The indicators of knowledge and technology flows being constructed are available for use as data in estimation of econometric models of determinants of the probability of a given R&D project successfully transitioning to various possible types of successor projects along an innovation chain, and ultimately, resulting in commercialization. Analysis of this database using a structural model provides empirical insights into the economic, organizational and structural factors that maximize the probability of success for innovation-related projects. These insights are a significant contribution to the development of a science of science and innovation policy. Further, decision makers in both the public and private sectors should be able to use these results to help choose among different possible organizational, institutional, and funding strategies, and improve the odds of successful innovation resulting from supported projects.",Agreement; Biotechnology; Case Study; case-based; commercialization; Data; Data Set; Databases; Development; Drug Industry; Econometric Models; Economics; Emerging Technologies; Event; Funding; Glean; improved; Individual; Industry; innovation; insight; Knowledge; Legal patent; Licensing; Link; Literature; Measures; Modeling; nanoelectronics; novel; novel strategies; Policies; Private Sector; Probability; Process; Productivity; Publications; Research; research and development; research study; Science; Semiconductors; Staging; Structural Models; success; technological innovation; Technology; Time,MODELING INNOVATION CHAINS USING CASE-BASED ECONOMETRICS: NANO-ELECTRONICS AND BIOTECHNOLOGY APPLICATIONS,NSF,NSF,9/15/2008,8/31/2012,2008,374221.0
16,90068,"The Concow-Maidu Indians of northern California now live primarily on the Berry Creek, Enterprise, Mooretown rancherias, and neighboring communities. With support from the National Science Foundation, Julie McIntosh (Mooretown Rancheria of Maidu Indians of California) and her team will document the nearly extinct Northwestern Maidu language (also called Konkow or Concow Maidu).  It is now believed to have no more than four fluent speakers, and thus the urgency of the documentation effort is great. Although other Maiduan languages, particularly Northeastern (Mountain) Maidu, have received scholarly attention, Northwestern Maidu has so far been the subject of only limited study, and virtually none within the past forty years. The project will make video and audio recording of the speech of the remaining speakers; transcribe selected recordings; create a lexical database from both earlier sources and current speakers, and create an inventory of all extant written and electronic materials relating to the language. All language documentation materials will be prepared in a variety of paper, analog, and digital formats to make them maximally available both to the local indigenous communities and to researchers. With the silencing of hundreds of languages in the past decades, it has never been clearer that every human language represents a unique intellectual achievement, and that the loss of any language is a loss of knowledge that has repercussions far beyond the local community. The documentation of the Concow Maidu language will set the foundation for integrated research activities for the Maidu community, as well as for linguists. These first steps in documentation will prepare the way for the creation of a variety of resources to be used in language revitalization, both pedagogical materials and a grammar.",Achievement; analog; Attention; Berry; California; Communities; Databases; digital; Documentation; Electronics; Equipment and supply inventories; Foundations; Human; Indigenous; Knowledge; Language; lexical; Life; Paper; Research Activity; Research Personnel; Resources; Science; Source; Speech; Writing,MOORETOWN RANCHERIA NORTHWESTERN MAIDU LANGUAGE PROJECT [ISO 639 MJD],NSF,NSF,10/1/2008,9/30/2010,2008,72017.0
17,90070,LIGHT RUNNERS STEREO SPACE MISSION E/PO  Light Runners  is a touring E/PO program that provides unprecedented access to STEREO space mission imagery data to the blind and visually handicapped as well as sighted populations across the country. The program,blind; Country; Data; Disabled Persons; handicapping condition; Imagery; Light; Mission; Population; programs; Vision,LIGHT RUNNERS STEREO SPACE MISSION E/PO ''LIGHT RUNNERS'' IS A TOURING E/PO PROGRAM THAT PROVIDES UNPRECEDENTED ACCESS TO STEREO SPACE MISSION IMAGERY DATA TO THE BLIND AND VISUALLY HANDICAPPED AS WELL AS SIGHTED POPULATIONS ACROSS THE COUNTRY. THE PROGRAM,NASA,NASA,9/19/2008,7/22/2010,2008,123714.0
18,90073,"Health care delivery in the U.S. is experiencing severe and worsening problems.  Costs are higher than in other countries and continue to increase, yet the overall quality of care delivered is not improving.  Increasing demand for health care as baby boomers become elderly is further straining the care delivery system.  Thus, dramatic changes are needed in health care delivery in the U.S. over the next decade.  One proposed solution is computer systems designed for health care, called health information technology (HIT).  These HIT systems, particularly electronic health records (EHR) that store patients? medical history and their interactions with physicians, promise significant improve¬ments in quality, effectiveness and productivity of care delivery.  Yet simply installing HIT without significantly changing existing work processes is unlikely to produce needed results. What is needed is an in-depth under¬standing of how HIT and process design techniques should be conceptualized and applied in health care. This project develops theories that can transform health care delivery processes in the U.S., through a deep understanding of the changes needed to make effective use of HIT and process design techniques.  The questions we address are: What capabilities does an EHR provide and which are used by health care organizations?  Which characteristics of the health care context, including characteristics of countries, the physician and nursing professions, and health care organizations, enable and inhibit the ability of health care organizations to take advantage of what EHR systems provide?  What are the dynamics of change by which EHR capabilities affect care delivery processes?  How and why do new EHR systems improve or reduce the quality and productivity of health care delivery processes?  How do health care organizations and individuals working in them need to change to make the most effective use of new EHR systems?  Answers to these questions will provide the knowledge needed to transform health care delivery processes in the U.S.This team will conduct multiple case studies of EHR implementation in health care organizations to understand the dynamics of change as the EHR implementation alters health care delivery processes.  The case studies will be carried out at our partner organizations, Fallon Clinic, UMass Memorial Health Care, Canada?s single payer system in British Columbia, and two of Israel?s four Health Fund systems.  These four settings provide different health care contexts, enabling us to observe and learn from their differences.  Improving the quality of health care delivered in the U.S. as well as reducing its cost has become a critically important societal goal.  The health care system is reaching a breaking point, and needs to be changed.  Simplistic solutions, however, will not work. Solutions require an interdisciplinary approach and the holistic, in-depth understanding of the variety of forces influencing change that will be studied in this project.  The work produced will provide a foundation for a larger community of researchers transforming HIT and process design ideas to solve health care delivery problems.",Address; Affect; British Columbia; Canada; care delivery; Case Study; Characteristics; Clinic; Communities; computer system design; cost; Country; design; Discipline of Nursing; Effectiveness; Elderly; Electronic Health Record; experience; Foundations; Funding; Goals; Health; health care delivery; health care quality; health care service organization; health information technology; Healthcare; Healthcare Systems; improved; Individual; Information Systems; interdisciplinary approach; Israel; Knowledge; Learning; Medical History; Patients; Physicians; Process; Productivity; Quality of Care; Research Personnel; Single-Payer System; Solutions; System; Techniques; theories; Work,AOC: HEALTH INFORMATION TECHNOLOGY AS AN AGENT OF CHANGE FOR IMPROVING HEALTH CARE DELIVERY PROCESSES,NSF,NSF,10/1/2008,9/30/2011,2008,749985.0
19,90084,"Computer gaming and simulations enjoy great popularity and are used by the military and corporate world to enhance training. Their potential to support science learning, however, is relatively untapped. The Board on Science Education (BOSE) at the National Research Council (NRC) proposes to hold a two-day workshop to explore the connections between what is known about science learning and computer gaming and simulations, the role computer gaming and simulations could play in assessing learning, and the pathways by which they could be used on a large scale. The workshop will be the basis for the development of a research agenda to gain a better of understanding of how gaming and simulations can support learning and assessment in science.",base; computer science; Computers; Development; Education; Educational workshop; Learning; Military Personnel; Pathway interactions; Play; Research; Role; Science; science education; simulation; Training,"SGER: LEARNING SCIENCE: COMPUTER GAMES, SIMULATIONS, AND EDUCATION",NSF,NSF,9/15/2008,4/30/2011,2008,200000.0
