****** PSID DATA CENTER ************************* 
****** Variable labels for JobID = 322214 ******* 

Variable    Labels
ER51979    M5A DOLLAR AMT OF HEALTH DONATIONS      
ER51984    M6 WTR DONATED TO ORGANZTION FOR EDUCATN
ER51985    M6A DOLLAR AMT OF EDUCATION DONATIONS   
ER51990    M7 WTR DONATED TO YOUTH ORGANIZATIONS   
ER51991    M7A DOLLAR AMT OF YOUTH ORG DONATIONS   
ER51996    M8 WTR DONATED TO CULTURAL ORGS         
ER51997    M8A DOLLAR AMT OF CULTURAL DONATIONS    
ER52002    M9 WTR DONATED TO COMMUNITY ORGS        
ER52003    M9A DOLLAR AMT OF COMMUNITY DONATIONS   
ER52008    M10 WTR DONATED TO ENVIRONMENT ORGS     
ER52009    M10A DOLLAR AMT OF ENVIRONMENT DONATION 
ER52014    M11 WTR DONATED TO INTERNATL/PEACE ORG  
ER52020    M12 WTR DONATED TO OTHER ORGANIZATIONS  
ER52021    M12B DOLLAR AMT OF OTHER DONATIONS      
ER52343    TOTAL FAMILY INCOME-2010                
ER52392    IMP WEALTH W/O EQUITY (WEALTH1) 11      
ER52394    IMP WEALTH W/ EQUITY (WEALTH2) 11       
ER52436    2011 CORE/IMMIGRANT FAM WEIGHT NUMBER 1 
ER34101    2011 INTERVIEW NUMBER                   
ER34102    SEQUENCE NUMBER                       11
ER34103    RELATION TO HEAD                      11
ER53001    RELEASE NUMBER                          
ER53002    2013 FAMILY INTERVIEW (ID) NUMBER       
ER53003    PSID STATE OF RESIDENCE CODE            
ER53007    FAMILY COMPOSITION CHANGE               
ER53009    1968 FAMILY IDENTIFIER                  
ER53017    AGE OF HEAD                             
ER53018    SEX OF HEAD                             
ER53020    # CHILDREN IN FU                        
ER53023    HEAD MARITAL STATUS                     
ER55244    H1 HEALTH STATUS-HEAD                   
ER57659    L40 RACE OF HEAD-MENTION 1              
ER57709    L68 RELIGIOUS PREFERENCE-HD             
ER57728    M1 WTR DONATION>25 TO CHARITY LAST YEAR 
ER57729    M2 WTR DONATED TO RELIGIOUS ORGANIZATION
ER57730    M2A DOLLAR AMT OF RELIGIOUS DONATIONS   
ER57735    M3 WTR DONATD TO COMBO PURPOSE ORGANIZTN
ER57736    M3A DOLLAR AMT OF COMBO DONATIONS       
ER57741    M4 WTR DONATED TO ORGANIZATION FOR NEEDY
ER57742    M4A DOLLAR AMT OF NEEDY DONATIONS       
ER57747    M5 WTR DONATED TO ORGANIZATN FOR HEALTH 
ER57748    M5A DOLLAR AMT OF HEALTH DONATIONS      
ER57753    M6 WTR DONATED TO ORGANZTION FOR EDUCATN
ER57754    M6A DOLLAR AMT OF EDUCATION DONATIONS   
ER57759    M7 WTR DONATED TO YOUTH ORGANIZATIONS   
ER57760    M7A DOLLAR AMT OF YOUTH ORG DONATIONS   
ER57765    M8 WTR DONATED TO CULTURAL ORGS         
ER57766    M8A DOLLAR AMT OF CULTURAL DONATIONS    
ER57771    M9 WTR DONATED TO COMMUNITY ORGS        
ER57772    M9A DOLLAR AMT OF COMMUNITY DONATIONS   
ER57777    M10 WTR DONATED TO ENVIRONMENT ORGS     
ER57778    M10A DOLLAR AMT OF ENVIRONMENT DONATION 
ER57783    M11 WTR DONATED TO INTERNATL/PEACE ORG  
ER57789    M12 WTR DONATED TO OTHER ORGANIZATIONS  
ER57791    M12B DOLLAR AMT OF OTHER DONATIONS      
ER58152    TOTAL FAMILY INCOME-2012                
ER58209    IMP WEALTH W/O EQUITY (WEALTH1) 2013    
ER58211    IMP WEALTH W/ EQUITY (WEALTH2) 2013     
ER58257    2013 CORE/IMMIGRANT FAM WEIGHT NUMBER 1 
ER34201    2013 INTERVIEW NUMBER                   
ER34202    SEQUENCE NUMBER                       13
ER34203    RELATION TO HEAD                      13
ER60001    RELEASE NUMBER                          
ER60002    2015 FAMILY INTERVIEW (ID) NUMBER       
ER60003    PSID STATE OF RESIDENCE CODE            
ER60007    FAMILY COMPOSITION CHANGE               
ER60009    1968 FAMILY IDENTIFIER                  
ER60017    AGE OF HEAD                             
ER60018    SEX OF HEAD                             
ER60021    # CHILDREN IN FU                        
ER60024    HEAD MARITAL STATUS                     
ER62366    H1 HEALTH STATUS-HEAD                   
ER64810    L40 RACE OF HEAD-MENTION 1              
ER64869    L68 RELIGIOUS PREFERENCE-HD             
ER64908    M1 WTR DONATION>25 TO CHARITY LAST YEAR 
ER64909    M2 WTR DONATED TO RELIGIOUS ORGANIZATION
ER64910    M2A DOLLAR AMT OF RELIGIOUS DONATIONS   
ER64915    M3 WTR DONATD TO COMBO PURPOSE ORGANIZTN
ER64916    M3A DOLLAR AMT OF COMBO DONATIONS       
ER64921    M4 WTR DONATED TO ORGANIZATION FOR NEEDY
ER64922    M4A DOLLAR AMT OF NEEDY DONATIONS       
ER64927    M5 WTR DONATED TO ORGANIZATN FOR HEALTH 
ER64928    M5A DOLLAR AMT OF HEALTH DONATIONS      
ER64933    M6 WTR DONATED TO ORGANZTION FOR EDUCATN
ER64934    M6A DOLLAR AMT OF EDUCATION DONATIONS   
ER64939    M7 WTR DONATED TO YOUTH ORGANIZATIONS   
ER64940    M7A DOLLAR AMT OF YOUTH ORG DONATIONS   
ER64945    M8 WTR DONATED TO CULTURAL ORGS         
ER64946    M8A DOLLAR AMT OF CULTURAL DONATIONS    
ER64951    M9 WTR DONATED TO COMMUNITY ORGS        
ER64952    M9A DOLLAR AMT OF COMMUNITY DONATIONS   
ER64957    M10 WTR DONATED TO ENVIRONMENT ORGS     
ER64958    M10A DOLLAR AMT OF ENVIRONMENT DONATION 
ER64963    M11 WTR DONATED TO INTERNATL/PEACE ORG  
ER64969    M12 WTR DONATED TO OTHER ORGANIZATIONS  
ER64971    M12B DOLLAR AMT OF OTHER DONATIONS      
ER65349    TOTAL FAMILY INCOME-2014                
ER65406    IMP WEALTH W/O EQUITY (WEALTH1) 2015    
ER65408    IMP WEALTH W/ EQUITY (WEALTH2) 2015     
ER65492    2015 CORE/IMMIGRANT FAM WEIGHT NUMBER 1 
ER34301    2015 INTERVIEW NUMBER                   
ER34302    SEQUENCE NUMBER                       15
ER34303    RELATION TO HEAD                      15
ER66001    RELEASE NUMBER                          
ER66002    2017 FAMILY INTERVIEW (ID) NUMBER       
ER66003    PSID STATE OF RESIDENCE CODE            
ER66007    FAMILY COMPOSITION CHANGE               
ER66009    1968 FAMILY IDENTIFIER                  
ER66017    AGE OF REFERENCE PERSON                 
ER66018    SEX OF REFERENCE PERSON                 
ER66021    # CHILDREN IN FU                        
ER66024    REFERENCE PERSON MARITAL STATUS         
ER68420    H1 HEALTH STATUS-RP                     
ER70882    L40 RACE OF REFERENCE PERSON-MENTION 1  
ER70941    L68 RELIGIOUS PREFERENCE-RP             
ER71040    M1 WTR DONATION>25 TO CHARITY LAST YEAR 
ER71041    M2 WTR DONATED TO RELIGIOUS ORGANIZATION
ER71042    M2A DOLLAR AMT OF RELIGIOUS DONATIONS   
ER71043    M3 WTR DONATD TO COMBO PURPOSE ORGANIZTN
ER71044    M3A DOLLAR AMT OF COMBO DONATIONS       
ER71045    M4 WTR DONATED TO ORGANIZATION FOR NEEDY
ER71046    M4A DOLLAR AMT OF NEEDY DONATIONS       
ER71047    M5 WTR DONATED TO ORGANIZATN FOR HEALTH 
ER71048    M5A DOLLAR AMT OF HEALTH DONATIONS      
ER71049    M6 WTR DONATED TO ORGANZTION FOR EDUCATN
ER71050    M6A DOLLAR AMT OF EDUCATION DONATIONS   
ER71051    M7 WTR DONATED TO YOUTH ORGANIZATIONS   
ER71052    M7A DOLLAR AMT OF YOUTH ORG DONATIONS   
ER71053    M8 WTR DONATED TO CULTURAL ORGS         
ER71054    M8A DOLLAR AMT OF CULTURAL DONATIONS    
ER71055    M9 WTR DONATED TO COMMUNITY ORGS        
ER71056    M9A DOLLAR AMT OF COMMUNITY DONATIONS   
ER71057    M10 WTR DONATED TO ENVIRONMENT ORGS     
ER71058    M10A DOLLAR AMT OF ENVIRONMENT DONATION 
ER71059    M11 WTR DONATED TO INTERNATL/PEACE ORG  
ER71061    M12 WTR DONATED TO OTHER ORGANIZATIONS  
ER71063    M12B DOLLAR AMT OF OTHER DONATIONS      
ER71426    TOTAL FAMILY INCOME-2016                
ER71483    IMP WEALTH W/O EQUITY (WEALTH1) 2017    
ER71485    IMP WEALTH W/ EQUITY (WEALTH2) 2017     
ER71570    2017 CORE/IMMIGRANT FAM WEIGHT NUMBER 1 
ER34501    2017 INTERVIEW NUMBER                   
ER34502    SEQUENCE NUMBER                       17
ER34503    RELATION TO REFERENCE PERSON          17
ER72001    RELEASE NUMBER                          
ER72002    2019 FAMILY INTERVIEW (ID) NUMBER       
ER72003    PSID STATE OF RESIDENCE CODE            
ER72007    FAMILY COMPOSITION CHANGE               
ER72009    1968 FAMILY IDENTIFIER                  
ER72017    AGE OF REFERENCE PERSON                 
ER72018    SEX OF REFERENCE PERSON                 
ER72021    # CHILDREN IN FU                        
ER72024    REFERENCE PERSON MARITAL STATUS         
ER74428    H1 HEALTH STATUS-RP                     
ER76897    L40 RACE OF REFERENCE PERSON-MENTION 1  
ER76960    L68A RELIGIOUS PREFERENCE-RP            
ER77062    M1 WTR DONATION>25 TO CHARITY LAST YEAR 
ER77063    M2 WTR DONATED TO RELIGIOUS ORGANIZATION
ER77064    M2A DOLLAR AMT OF RELIGIOUS DONATIONS   
ER77065    M3 WTR DONATD TO COMBO PURPOSE ORGANIZTN
ER77066    M3A DOLLAR AMT OF COMBO DONATIONS       
ER77067    M4 WTR DONATED TO ORGANIZATION FOR NEEDY
ER77068    M4A DOLLAR AMT OF NEEDY DONATIONS       
ER77069    M5 WTR DONATED TO ORGANIZATN FOR HEALTH 
ER77070    M5A DOLLAR AMT OF HEALTH DONATIONS      
ER77071    M6 WTR DONATED TO ORGANZTION FOR EDUCATN
ER77072    M6A DOLLAR AMT OF EDUCATION DONATIONS   
ER77073    M7 WTR DONATED TO YOUTH ORGANIZATIONS   
ER77074    M7A DOLLAR AMT OF YOUTH ORG DONATIONS   
ER77075    M8 WTR DONATED TO CULTURAL ORGS         
ER77076    M8A DOLLAR AMT OF CULTURAL DONATIONS    
ER77077    M9 WTR DONATED TO COMMUNITY ORGS        
ER77078    M9A DOLLAR AMT OF COMMUNITY DONATIONS   
ER77079    M10 WTR DONATED TO ENVIRONMENT ORGS     
ER77080    M10A DOLLAR AMT OF ENVIRONMENT DONATION 
ER77081    M11 WTR DONATED TO INTERNATL/PEACE ORG  
ER77083    M12 WTR DONATED TO OTHER ORGANIZATIONS  
ER77085    M12B DOLLAR AMT OF OTHER DONATIONS      
ER77448    TOTAL FAMILY INCOME-2018                
ER77509    IMP WEALTH W/O EQUITY (WEALTH1) 2019    
ER77511    IMP WEALTH W/ EQUITY (WEALTH2) 2019     
ER77631    2019 CORE/IMMIGRANT FAM WEIGHT NUMBER 1 
ER34701    2019 INTERVIEW NUMBER                   
ER34702    SEQUENCE NUMBER                       19
ER34703    RELATION TO REFERENCE PERSON          19
ER78001    RELEASE NUMBER                          
ER78002    2021 FAMILY INTERVIEW (ID) NUMBER       
ER78003    PSID STATE OF RESIDENCE CODE            
ER78007    FAMILY COMPOSITION CHANGE               
ER78009    1968 FAMILY IDENTIFIER                  
ER78017    AGE OF REFERENCE PERSON                 
ER78018    SEX OF REFERENCE PERSON                 
ER78021    # CHILDREN IN FU                        
ER78025    REFERENCE PERSON MARITAL STATUS         
ER80550    H1 HEALTH STATUS-RP                     
ER81144    L40 RACE OF REFERENCE PERSON-MENTION 1  
ER81188    L68A RELIGIOUS PREFERENCE-RP            
ER81339    M2 WTR DONATED TO RELIGIOUS ORGANIZATION
ER81340    M2A DOLLAR AMT OF RELIGIOUS DONATIONS   
ER81346    MGROUP1 WTR DONATE COMBO/NEEDY/MED/INTL 
ER81347    M3 WTR DONATD TO COMBO PURPOSE ORGANIZTN
ER81348    M3A DOLLAR AMT OF COMBO DONATIONS       
ER81354    M4 WTR DONATED TO ORGANIZATION FOR NEEDY
ER81355    M4A DOLLAR AMT OF NEEDY DONATIONS       
ER81361    M5 WTR DONATED TO ORGANIZATN FOR HEALTH 
ER81362    M5A DOLLAR AMT OF HEALTH DONATIONS      
ER81368    M11 WTR DONATED TO INTERNATL/PEACE ORG  
ER81375    MGROUP2 WTR DONATE EDUC/YOUTH/CULTR/ENVR
ER81376    M6 WTR DONATED TO ORGANZTION FOR EDUCATN
ER81377    M6A DOLLAR AMT OF EDUCATION DONATIONS   
ER81383    M7 WTR DONATED TO YOUTH ORGANIZATIONS   
ER81384    M7A DOLLAR AMT OF YOUTH ORG DONATIONS   
ER81390    M8 WTR DONATED TO CULTURAL ORGS         
ER81391    M8A DOLLAR AMT OF CULTURAL DONATIONS    
ER81397    M10 WTR DONATED TO ENVIRONMENT ORGS     
ER81398    M10A DOLLAR AMT OF ENVIRONMENT DONATION 
ER81404    MCOVID1 WTR DONATE TO HELP RE PANDEMIC  
ER81405    MCOVID2 WTR PANDEMIC DONATIONS CROWDFUND
ER81406    MCOVID3 LARGEST CROWDFUND DONATION TO   
ER81407    MCOVID4 DOLLAR AMT PANDEMIC DONATIONS   
ER81414    M12 WTR DONATED TO OTHER ORGANIZATIONS  
ER81416    M12B DOLLAR AMT OF OTHER DONATIONS      
ER81775    TOTAL FAMILY INCOME-2020                
ER81836    IMP WEALTH W/O EQUITY (WEALTH1) 2021    
ER81838    IMP WEALTH W/ EQUITY (WEALTH2) 2021     
ER81958    2021 CORE/IMMIGRANT FAM WEIGHT NUMBER 1 
ER34901    2021 INTERVIEW NUMBER                   
ER34902    SEQUENCE NUMBER                       21
ER34903    RELATION TO REFERENCE PERSON          21

*** End of labels ******************************* 
