,EIN,NCCSKEY,FISYR,NAME,STATE,NTEE1,ADDRESS,CITY,ZIP,SUBSECCD,NTMAJ5,NTMAJ10,NTMAJ12,MAJGRPB,CONT
73,10213979,10213979201912.0,2019,EASTPORT MEMORIAL HOSPITAL,ME,E,23 BOYNTON ST,EASTPORT,04631-1304,3,HE,HE,HE,E,3460.0
76,10215227,10215227201906.0,2019,RUMFORD HOSPITAL,ME,E,420 FRANKLIN ST,RUMFORD,04276-2104,3,HE,HE,EH,EH,53320.0
78,10215911,10215911201909.0,2019,MID COAST HOSPITAL,ME,E,329 MAINE ST,BRUNSWICK,,3,HE,HE,EH,EH,2424166.0
85,10217211,10217211201909.0,2019,EASTERN MAINE HEALTHCARE SYSTEMS,ME,E,43 WHITING HILL RD,BREWER,04412-1005,3,HE,HE,EH,EH,196423.0
86,10218637,10218637201912.0,2019,DEXTER PUBLIC HEALTH ASSOCIATION INC,ME,E,PO BOX 516,DEXTER,04930-0516,3,HE,HE,HE,E,30664.0
93,10221126,10221126202004.0,2020,CASTINE COMMUNITY HOSPITAL,ME,E,PO BOX 198,CASTINE,04421-0198,3,HE,HE,HE,E,90756.0
96,10223482,10223482201906.0,2019,MILLINOCKET REGIONAL HOSPITAL,ME,E,200 SOMERSET ST,MILLINOCKET,04462-1258,3,HE,HE,EH,EH,170808.0
103,10227184,10227184201912.0,2019,ANDROSCOGGIN HOME HEALTH SERVICES INC,ME,E,15 STRAWBERRY AVE,LEWISTON,04240-5941,3,HE,HE,HE,E,431747.0
104,10227195,10227195201909.0,2019,BLUE HILL MEMORIAL HOSPITAL INC,ME,E,43 WHITING HILL RD,BREWER,04412-1005,3,HE,HE,EH,EH,407229.0
105,10228262,10228262201906.0,2019,NORTHEAST HEARING & SPEECH CENTER INC,ME,E,75 W COMMERCIAL ST STE 205,PORTLAND,04101-4799,3,HE,HE,HE,E,102519.0
108,10234189,10234189201909.0,2019,NORTHERN MAINE MEDICAL CENTER,ME,E,194 E MAIN ST,FORT KENT,04743-1428,3,HE,HE,EH,EH,201868.0
112,10238552,10238552201909.0,2019,MAINEHEALTH,ME,E,22 BRAMHALL ST,PORTLAND,04102-3134,3,HE,HE,EH,EH,68086239.0
124,10246665,10246665202003.0,2020,ERVIN A CENTER MEMORIAL CLINIC HOSPITAL,ME,E,PO BOX 113,STEEP FALLS,04085-0113,3,HE,HE,HE,E,0.0
125,10246804,10246804201909.0,2019,VNA HOME & HOSPICE,ME,E,43 WHITING HILL RD,BREWER,04412-1005,3,HE,HE,HE,E,203688.0
131,10262323,10262323202006.0,2020,NORTHERN MAINE GENERAL,ME,E,PO BOX 310,EAGLE LAKE,04739-0310,3,HE,HE,EH,EH,3602.0
133,10263198,10263198201912.0,2019,DOWN EAST COMMUNITY HOSPITAL,ME,E,11 HOSPITAL DR,MACHIAS,04654-3325,3,HE,HE,EH,EH,79937.0
136,10263628,10263628201909.0,2019,EASTERN MAINE HEALTHCARE SYSTEMS,ME,E,43 WHITING HILL RD,BREWER,04412-1005,3,HE,HE,EH,EH,372723.0
155,10271579,10271579201912.0,2019,SOUTHWEST HARBOR-TREMONT NURSING SERVICE INC,ME,E,PO BOX 437,SOUTHWEST HBR,04679-0437,3,HE,HE,HE,E,148835.0
160,10274998,10274998201906.0,2019,MOUNT ST JOSEPH,ME,E,7 HIGHWOOD ST,WATERVILLE,04901-5739,3,HE,HE,HE,E,21409.0
170,10278130,10278130201912.0,2019,MEMORIAL AMBULANCE CORPS ISLE AU HAUT-STONINGTON-DEER ISLE,ME,E,PO BOX 387,DEER ISLE,04627-0387,3,HE,HE,HE,E,117186.0
172,10278440,10278440201912.0,2019,UNITY VOLUNTEER AMBULANCE CORP,ME,E,347 SCHOOL STREET,UNITY,04988-0000,3,HE,HE,HE,E,500.0
175,10279581,10279581202006.0,2020,MIDCOAST HOSPITAL-BRUNSWICK AUXILIARY,ME,E,123 MEDICAL CENTER DR,BRUNSWICK,04011-2652,3,HE,HE,HE,E,86283.0
188,10284446,10284446201906.0,2019,REDINGTON-FAIRVIEW GENERAL HOSPITAL,ME,E,46 FAIRVIEW AVE,SKOWHEGAN,04976-1481,3,HE,HE,EH,EH,2107743.0
192,10285920,10285920202003.0,2020,EAST GRAND HEALTH CENTER INC,ME,E,201 HOULTON RD,DANFORTH,04424-3140,3,HE,HE,HE,E,23257.0
199,10288480,10288480201912.0,2019,THREE RIVERS AMBULANCE SERVICE,ME,E,PO BOX 432,MILO,04463-0432,3,HE,HE,HE,E,144581.0
216,10317679,10317679201906.0,2019,FAMILY PLANNING ASSOCIATION OF MAINE INC,ME,E,PO BOX 587,AUGUSTA,04332-0587,3,HE,HE,HE,E,6455091.0
237,10329792,10329792201912.0,2019,DELTA AMBULANCE CORP,ME,E,29 CHASE AVE,WATERVILLE,04901-4642,3,HE,HE,HE,E,0.0
242,10339489,10339489201909.0,2019,SAINT JOSEPHS MANOR,ME,E,1133 WASHINGTON AVE,PORTLAND,04103-3629,3,HE,HE,HE,E,577.0
251,10342399,10342399201912.0,2019,ST ANDRE HEALTH CARE FACILITY,ME,E,407 POOL ST,BIDDEFORD,04005-9714,3,HE,HE,HE,E,61251.0
254,10345195,10345195201912.0,2019,SACOPEE RESCUE UNIT INC,ME,E,PO BOX 367,PARSONSFIELD,04047-0367,3,HE,HE,HE,E,79177.0
255,10345660,10345660201906.0,2019,BOOTHBAY REGION AMBULANCE SERVICE,ME,E,PO BOX 280,BOOTHBAY,04537-0280,3,HE,HE,HE,E,631166.0
261,10347381,10347381201905.0,2019,SACOPEE VALLEY HEALTH CENTER,ME,E,70 MAIN ST,PORTER,04068-3527,3,HE,HE,HE,E,1886642.0
268,10349706,10349706201909.0,2019,ONPOINT HEALTH DATA,ME,E,254 COMMERCIAL ST STE 257,PORTLAND,04101-6002,3,HE,HE,HE,E,9145459.0
279,10352658,10352658201909.0,2019,SAFE VOICES,ME,E,PO BOX 713,AUBURN,04212-0713,3,HE,HE,HE,E,2424791.0
280,10353275,10353275201912.0,2019,MARTINS POINT HEALTH CARE INC,ME,E,PO BOX 9746,PORTLAND,04104-5040,3,HE,HE,HE,E,0.0
284,10354589,10354589202006.0,2020,EASTPORT HEALTH CARE INC,ME,E,30 BOYNTON ST,EASTPORT,04631-1306,3,HE,HE,HE,E,1518989.0
293,10356240,10356240202005.0,2020,HOME CARE & HOSPICE ALLIANCE OF MAINE,ME,E,PO BOX 227,MANCHESTER,04351-0227,3,HE,HE,HE,E,198258.0
312,10360059,10360059201909.0,2019,ST ANDREWS AUXILIARY,ME,E,PO BOX 202,W BOOTHBY HBR,04575-0202,3,HE,HE,HE,E,3838.0
327,10363873,10363873201912.0,2019,NATIONAL RURAL HEALTH ASSOCIATION,MO,E,406 W 34TH ST STE 408/409,KANSAS CITY,64111-2721,3,HE,HE,HE,E,1081777.0
329,10364301,10364301202006.0,2020,KIMBALL HEALTH CENTER,ME,E,333 LINCOLN ST,SACO,04072-3113,3,HE,HE,HE,E,16598.0
335,10365846,10365846201912.0,2019,NEWFIELD RESCUE SQUAD,ME,E,PO BOX 170,WEST NEWFIELD,04095-0170,3,HE,HE,HE,E,69130.0
336,10366967,10366967201912.0,2019,STONEHAM RESCUE SERVICE,ME,E,PO BOX 42,STONEHAM,04231-0042,3,HE,HE,HE,E,85700.0
337,10366970,10366970202006.0,2020,SHEEPSCOT VALLEY REGIONAL HEALTH CENTER,ME,E,PO BOX 19,WINDSOR,04363-0019,3,HE,HE,HE,E,1173.0
351,10369195,10369195201906.0,2019,MAINE DARTMOUTH MEDICINE RESIDENCY,ME,E,15 E CHESTNUT ST,AUGUSTA,04330-5736,3,HE,HE,HE,E,18695.0
353,10369660,10369660202006.0,2020,WORK FIRST INC,ME,E,PO BOX 86,FARMINGTON,04938-0086,3,HE,HE,HE,E,69687.0
355,10369874,10369874201912.0,2019,MAINE LABOR GROUP ON HEALTH INC,ME,E,PO BOX 5197,AUGUSTA,04332-5197,3,HE,HE,HE,E,16307.0
369,10372148,10372148201909.0,2019,EASTERN MAINE HEALTHCARE SYSTEMS,ME,E,43 WHITING HILL RD,BREWER,04412-1005,3,HE,HE,EH,EH,1024754.0
372,10373341,10373341201906.0,2019,ATLANTIC PARTNERS EMS INC,ME,E,71 HALIFAX ST,WINSLOW,04901-6930,3,HE,HE,HE,E,10766.0
383,10376832,10376832201906.0,2019,MAINE VETERANS HOME,ME,E,460 CIVIC CENTER DR,AUGUSTA,04330-7902,3,HE,HE,HE,E,10554569.0
385,10376890,10376890201912.0,2019,PINES HEALTH SERVICES,ME,E,PO BOX 40,CARIBOU,04736-0040,3,HE,HE,HE,E,4833499.0
387,10377300,10377300202006.0,2020,MASSABESIC LIONS CLUB REGIONAL MEDICAL CENTER,ME,E,813D MAIN ST,WATERBORO,04087-3006,3,HE,HE,HE,E,33083.0
392,10377901,10377901201909.0,2019,EASTERN MAINE HEALTHCARE SYSTEMS,ME,E,43 WHITING HILL ROAD,BREWER,04412-1005,3,HE,HE,HE,E,61825.0
405,10382340,10382340201909.0,2019,LINCOLNHEALTH COVES EDGE,ME,E,35 MILES ST,DAMARISCOTTA,04543-4047,3,HE,HE,HE,E,9474.0
415,10386913,10386913201906.0,2019,CENTRAL MAINE HEALTHCARE CORPORATION,ME,E,29 LOWELL STREET BOX A,LEWISTON,04240-7639,3,HE,HE,EH,EH,1041430.0
425,10390918,10390918201909.0,2019,MAINE COAST MEDICAL REALTY INC,ME,E,50 UNION ST,ELLSWORTH,04605-1534,3,HE,HE,HE,E,0.0
437,10406704,10406704202006.0,2020,DANFORTH HABILITATION ASSOCIATION,ME,E,PO BOX 217,DANFORTH,04424-0217,3,HE,HE,HE,E,0.0
441,10409494,10409494202003.0,2020,HARRINGTON FAMILY HEALTH CENTER,ME,E,50 E MAIN ST,HARRINGTON,04643-3043,3,HE,HE,HE,E,1285679.0
442,10409788,10409788201912.0,2019,COMMUNITY CLINICAL SERVICES INC,ME,E,PO BOX 7291,LEWISTON,04243-7291,3,HE,HE,HE,E,1637184.0
444,10411259,10411259201912.0,2019,UPPER KENNEBEC VALLEY AMBULANCE SERVICE,ME,E,PO BOX 432,BINGHAM,04920-0432,3,HE,HE,HE,E,278783.0
452,10414441,10414441201903.0,2019,MAINE MOBILE HEALTH PROGRAM INC,ME,E,PO BOX 405,AUGUSTA,04332-0405,3,HE,HE,HE,E,1743683.0
453,10414486,10414486201912.0,2019,LIBERTY VOLUNTEER AMBULANCE SERVICE,ME,E,PO BOX 174,LIBERTY,04949-0174,3,HE,HE,HE,E,565.0
462,10421234,10421234201909.0,2019,EASTERN MAINE HEALTHCARE SYSTEMS,ME,E,43 WHITING HILL RD,BREWER,04412-1005,3,HE,HE,HE,E,128851.0
466,10422885,10422885201912.0,2019,ALTERNATIVE HEALTH SERVICES OF ST JOSEPH INC,ME,E,PO BOX 403,BANGOR,04402-0403,3,HE,HE,HE,E,0.0
480,10430069,10430069201909.0,2019,MID COAST HEALTH SERVICES,ME,E,123 MEDICAL CENTER DR,BRUNSWICK,,3,HE,HE,HE,E,0.0
490,10434215,10434215201909.0,2019,MMC REALTY CORP,ME,E,22 BRAMHALL ST,PORTLAND,04102-3134,3,HE,HE,HE,E,0.0
495,10436438,10436438201912.0,2019,NORTHERN OXFORD REGIONAL AMBULANCE SERVICE,ME,E,290 HIGHLAND TER,MEXICO,04257-1840,3,HE,HE,HE,E,1910152.0
528,10448263,10448263201912.0,2019,RONALD MCDONALD HOUSE CHARITIES INC,ME,E,250 BRACKETT ST,PORTLAND,04102-3208,3,HE,HE,HE,E,2876947.0
532,10449907,10449907201912.0,2019,SAFE ABORTIONS FOR EVERYONE,ME,E,PO BOX 752,PORTLAND,04104-0752,3,HE,HE,HE,E,96401.0
537,10451663,10451663201904.0,2019,JHA SERVICES INC,ME,E,630 OCEAN AVE,PORTLAND,04103-2704,3,HE,HE,HE,E,367590.0
544,10452749,10452749202006.0,2020,FISH RIVER RURAL HEALTH,ME,E,PO BOX 309,EAGLE LAKE,04739-0309,3,HE,HE,HE,E,2447251.0
574,10467073,10467073202003.0,2020,ST CROIX REGIONAL FAMILY HEALTH CENTER,ME,E,136 MILL ST,PRINCETON,04668-3344,3,HE,HE,HE,E,1726027.0
579,10468460,10468460201906.0,2019,G & H AMBULANCE SERVICE INC,ME,E,PO BOX 34,HUDSON,04449-0034,3,HE,HE,HE,E,0.0
586,10471949,10471949201912.0,2019,PARTNERS IN HEALTH,ME,E,150 STATE ST,BREWER,04412-1949,3,HE,HE,EH,EH,21949.0
605,10477512,10477512201908.0,2019,MAKE-A-WISH FOUNDATION OF MAINE,ME,E,66 MUSSEY RD,SCARBOROUGH,04074-8921,3,HE,HE,HE,E,1821117.0
614,10481696,10481696201904.0,2019,BIRCH BAY RETIREMENT VILLAGE,ME,E,25 VILLAGE INN RD,BAR HARBOR,04609-7451,3,HE,HE,HE,E,27391.0
630,10485045,10485045202006.0,2020,RANGELEY REGION HEALTH & WELLNESS PARTNERSHIP,ME,E,PO BOX 722,RANGELEY,04970-0722,3,HE,HE,HE,E,629112.0
642,10489824,10489824201909.0,2019,WESTERN MAINE MULTI-MEDICAL SPECIALISTS,ME,E,181 MAIN STREET,NORWAY,04268-5664,3,HE,HE,HE,E,66532.0
654,10492125,10492125201912.0,2019,ALLIANCE OF INDEPENDENT ACADEMIC MEDICAL CENTERS,IL,E,401 N MICHIGAN AVE STE 1200,CHICAGO,60611-4264,3,HE,HE,EH,EH,295521.0
676,10496139,10496139201909.0,2019,ISLAND COMMONS RESOURCE CENTER,ME,E,132 LITTLEFIELD RD,CHEBEAGUE IS,04017-3316,3,HE,HE,HE,E,282072.0
677,10496221,10496221201909.0,2019,MID COAST GERIATRIC SERVICES CORP,ME,E,123 MEDICAL CENTER DR,BRUNSWICK,04011-2652,3,HE,HE,HE,E,967477.0
732,10511356,10511356201909.0,2019,NORDX,ME,E,301A US ROUTE 1,SCARBOROUGH,04074-9701,3,HE,HE,HE,E,0.0
744,10514750,10514750201912.0,2019,PENOBSCOT COMMUNITY HEALTH CENTER,ME,E,103 MAINE AVE,BANGOR,04401-4330,3,HE,HE,HE,E,11919851.0
759,10518520,10518520201906.0,2019,NORTHEAST OSTEOPATHIC MEDICAL EDUCATION NETWORK,ME,E,11 HILLS BEACH RD,BIDDEFORD,04005-9526,3,HE,HE,HE,E,3000.0
769,10520715,10520715201912.0,2019,CARLISLE CHARITABLE FOUNDATION,ME,E,PO BOX 935,KENNEBUNK,04043-0935,3,HE,HE,HE,E,97162.0
781,10524329,10524329201906.0,2019,KENNEBEC VALLEY DENTAL COALITION INC,ME,E,2 EVERGREEN DR,OAKLAND,04963-5364,3,HE,HE,HE,E,877315.0
793,10527066,10527066201909.0,2019,EASTERN MAINE HEALTHCARE SYSTEMS,ME,E,43 WHITING HILL ROAD,BREWER,04412-1005,3,HE,HE,HE,E,138951.0
810,10530517,10530517201909.0,2019,PENOBSCOT BAY PHYSICIANS & ASSOCIATES,ME,E,PO BOX 287,BELFAST,,3,HE,HE,HE,E,0.0
821,10532229,10532229202006.0,2020,NEW ENGLAND RURAL HEALTH ROUNDTABLE,ME,E,PO BOX 12,NEWFIELD,04056-0012,3,HE,HE,HE,E,142312.0
850,10538534,10538534201906.0,2019,BANGOR NURSING & REHABILITATION CENTER,ME,E,103 TEXAS AVE,BANGOR,04401-4324,3,HE,HE,HE,E,6438.0
863,10541892,10541892201906.0,2019,WASHINGTON COUNTY EMERGENCY MEDICAL SERVICE AUTHORITY,ME,E,PO BOX 552,CALAIS,04619-0552,3,HE,HE,HE,E,2500.0
883,10545327,10545327201912.0,2019,PENOBSCOT VALLEY HOSPITAL,ME,E,7 TRANSALPINE ROAD BOX 368,LINCOLN,04457-4222,3,HE,HE,EH,EH,26537.0
888,10545822,10545822201912.0,2019,CHILDREN FAMILIES AND COMMUNITIES,ME,E,PO BOX 540,ELLSWORTH,04605-0540,3,HE,HE,HE,E,30462.0
891,10546327,10546327201909.0,2019,SEBASTICOOK FAMILY DOCTORS,ME,E,118 MOOSEHEAD TRAIL,NEWPORT,04953-4055,3,HE,HE,HE,E,2173215.0
893,10546698,10546698201912.0,2019,MOOSABEC AMBULANCE SERVICE,ME,E,PO BOX 164,JONESPORT,04649-0164,3,HE,HE,HE,E,31406.0
898,10547336,10547336201912.0,2019,NORTHERN LIGHTHOUSE INC,ME,E,172 ACADEMY STREET,PRESQUE ISLE,04769-3165,3,HE,HE,HE,E,43189.0
920,10553460,10553460201908.0,2019,EMORY MEDICAL LABORATORIES INC,GA,E,1364 CLIFTON RD NE,ATLANTA,30322-1059,3,HE,HE,HE,E,0.0
921,10553478,10553478201906.0,2019,EAST MOUNTAIN HOSPITAL INC,NJ,E,252 ROUTE 601,BELLE MEAD,,3,HE,HE,EH,EH,0.0
942,10557632,10557632201912.0,2019,AMERICAN SOCIETY FOR HEALTH FOR ALL INC,MA,E,15 NOTRE DAME AVE,CAMBRIDGE,02140-2505,3,HE,HE,HE,E,262127.0
950,10560081,10560081201906.0,2019,NATIONAL NURSE-LED CARE CONSORTIUM,PA,E,1500 MARKET ST - CENTRE SQUARE EAST,PHILADELPHIA,19102-0000,3,HE,HE,HE,E,10924456.0
987,10568516,10568516201909.0,2019,CMC HEALTHCARE SYSTEM,NH,E,100 MCGREGOR ST,MANCHESTER,03102-3730,3,HE,HE,EH,EH,0.0
1056,10594994,10594994201904.0,2019,COOPERATIVE HEALTHCARE SERVICES INC,GA,E,2415 PARKWOOD DR,BRUNSWICK,31520-4722,3,HE,HE,HE,E,14098.0
1088,10603034,10603034201912.0,2019,RURAL HEALTH COLLABORATIVE OF SOUTHERN OHIO INC,OH,E,PO BOX 40,WINCHESTER,45697-0040,3,HE,HE,EH,EH,0.0
1089,10603214,10603214201906.0,2019,SAINT FRANCIS HOSPITAL SOUTH LLC,OK,E,6600 S YALE AVE STE 400,TULSA,74136-3319,3,HE,HE,EH,EH,100.0
1137,10624865,10624865201912.0,2019,NEHI INC,MA,E,133 FEDERAL STREET 9TH FLOOR,BOSTON,02110-1703,3,HE,HE,HE,E,1001324.0
1145,10628051,10628051201909.0,2019,SHOLOM COMMUNITY ALLIANCE HOME HEALTH CARE,MN,E,3620 PHILLIPS PKWY,ST LOUIS PARK,55426-3700,3,HE,HE,HE,E,8797.0
1201,10646166,10646166201912.0,2019,INDIANA UNIVERSITY HEALTH BLACKFORD HOSPITAL INC,IN,E,950 N MERIDIAN ST STE 300,INDIANAPOLIS,46204-1091,3,HE,HE,EH,EH,35270.0
1205,10647374,10647374201912.0,2019,NATIONAL INSTITUTE FOR CHILDRENS HEALTH QUALITY INC,MA,E,308 CONGRESS STREET 5TH FLOOR,BOSTON,02210-1015,3,HE,HE,HE,E,8308221.0
1209,10648561,10648561201909.0,2019,HEALTH360 INC,CT,E,83 PROSPECT ST,WATERBURY,06702-1326,3,HE,HE,HE,E,854982.0
1212,10649794,10649794201912.0,2019,HACKENSACK MERIDIAN HEALTH INC,NJ,E,C/O TAX DEPT 343 THORNALL ST 8TH FL,EDISON,08837-0000,3,HE,HE,EH,EH,117309490.0
1265,10673231,10673231201909.0,2019,COLUMBUS COUNTY HOSPITAL FOUNDATION INC,NC,E,500 JEFFERSON ST,WHITEVILLE,28472-3634,3,HE,HE,HE,E,122899.0
1271,10674969,10674969201909.0,2019,COMMUNITY HEALTH COUNCIL OF WYANDOTTE COUNTY INC,KS,E,803 ARMSTRONG AVE,KANSAS CITY,66101-2604,3,HE,HE,HE,E,1337457.0
1275,10676306,10676306201906.0,2019,CAMBRIDGE HEALTH ALLIANCE FOUNDATION INC,MA,E,COMMERCE PLACE 350 MAIN ST SUITE S,MALDEN,02148-0000,3,HE,HE,HE,E,1755743.0
1284,10679073,10679073201912.0,2019,PARKER COUNTY HEALTH FOUNDATION,TX,E,126 SOUTH RANCH HOUSE RD,ALEDO,76008-2782,3,HE,HE,HE,E,247373.0
1324,10693679,10693679201912.0,2019,LONG ISLAND MEDICAL FOUNDATION INC,NY,E,2201 HEMPSTEAD TPKE,EAST MEADOW,11554-1859,3,HE,HE,HE,E,424641.0
1361,10706736,10706736201912.0,2019,AMERICAN EAGLE LIFECARE CORPORATION,MI,E,3819 HAWK CREST RD,ANN ARBOR,48103-4246,3,HE,HE,HE,E,39643.0
1401,10719207,10719207201912.0,2019,FIRST MEDICAL INSURANCE COMPANT A RISK RETENTION GROUP,VT,E,463 MOUNTAIN VIEW DR STE 301,COLCHESTER,05446-5952,3,HE,HE,HE,E,0.0
1441,10731601,10731601201912.0,2019,CHRISTOPHER MENSCH FOUNDATION,PA,E,173 RED ROSE DR,LEVITTOWN,19056-2329,3,HE,HE,HE,E,2535.0
1479,10742666,10742666201912.0,2019,WESTERN BERKS FREE MEDICAL CLINIC INC,PA,E,480 BIG SPRING RD,ROBESONIA,19551-8911,3,HE,HE,HE,E,42058.0
1493,10747768,10747768202006.0,2020,FRIENDS OF LEE COUNTY HEALTH DEPARTMENT INC,IA,E,PO BOX 1426,FORT MADISON,52627-1426,3,HE,HE,HE,E,0.0
1505,10757566,10757566201906.0,2019,ACCESS HEALTH INC,ME,E,210 TURKEY LN,WEST BUXTON,04093-3519,3,HE,HE,HE,E,65123.0
1513,10759974,10759974201912.0,2019,THOUSAND ISLANDS EMERGENCY RESCUE SERVICE INC,NY,E,PO BOX 524,CLAYTON,13624-0524,3,HE,HE,HE,E,420872.0
1515,10760086,10760086201912.0,2019,CONSUMERS ADVANCING PATIENT SAFETY,IL,E,321 N CLARK ST,CHICAGO,60654-4714,3,HE,HE,HE,E,0.0
1575,10782751,10782751201912.0,2019,NATIONWIDE CHILDRENS HOSPITAL,OH,E,700 CHILDRENS DR,COLUMBUS,43205-2664,3,HE,HE,EH,EH,229842911.0
1588,10787050,10787050201812.0,2018,CRG MEDICAL FOUNDATION FOR PATIENT SAFETY,TX,E,1015 ASHFORD PKWY,HOUSTON,77077-2403,3,HE,HE,HE,E,419.0
1596,10790428,10790428201906.0,2019,ASCENSION ST JOSEPH FOUNDATION,MO,E,PO BOX 45998,SAINT LOUIS,63145-5998,3,HE,HE,HE,E,84472.0
1633,10804058,10804058201912.0,2019,ATHENA SOCIETY OF BURLESON,TX,E,PO BOX 3123,BURLESON,76097-3123,3,HE,HE,HE,E,87481.0
1792,10881719,10881719201912.0,2019,FISHER HOUSE IN ST LOUIS,MO,E,1375 N HIGHWAY DR,FENTON,63026-1929,3,HE,HE,HE,E,241173.0
1810,10887315,10887315201912.0,2019,MIDLOTHIAN FREE HEALTH CLINIC,OH,E,PO BOX 2965,YOUNGSTOWN,44511-0965,3,HE,HE,HE,E,2248.0
1878,10920936,10920936201912.0,2019,MERCY IN ME FREE MEDICAL CLINIC,SC,E,PO BOX 1684,CHERAW,29520-4684,3,HE,HE,HE,E,91202.0
1890,10926225,10926225202005.0,2020,NATIONAL ASSOCIATION OF HEALTHCARE ADVOCACY CONSULTANTS,CA,E,2625 ALCATRAZ AVE,BERKELEY,94705-2702,3,HE,HE,HE,E,5.0
1902,10931664,10931664201912.0,2019,KELLYS ANGELS INC,NY,E,10 SEPIA LN,WILTON,12831-3214,3,HE,HE,HE,E,13388.0
1908,10932846,10932846201906.0,2019,GENESIS HEALTHCARE INC,SC,E,3400 WEST AVE,COLUMBIA,29203-6901,3,HE,HE,HE,E,25.0
1911,10934160,10934160201912.0,2019,THE NEW YORK MILK BANK INC,NY,E,401 COLUMBUS AVENUE,VALHALLA,10595-1326,3,HE,HE,HE,E,104763.0
1922,10938535,10938535201912.0,2019,ART OF BIRTH AND WELLNESS AT LIVING TREE,NM,E,1210 N MAIN ST,LAS CRUCES,88001-1102,3,HE,HE,HE,E,41278.0
1935,10945309,10945309201912.0,2019,JANE PAULEY COMMUNITY HEALTH CENTER INC,IN,E,8931 E 30TH ST,INDIANAPOLIS,46219-1501,3,HE,HE,HE,E,3921912.0
1977,10962276,10962276201908.0,2019,DRISCOLL HEALTHCARE SERVICES,TX,E,3533 S ALAMEDA ST,CORP CHRISTI,78411-1721,3,HE,HE,HE,E,2047.0
1989,10966096,10966096201912.0,2019,MARYLAND DENTAL ACTION COALITION INC,MD,E,10015 OLD COLUMBIA ROAD STE B-215,COLUMBIA,21046-1865,3,HE,HE,HE,E,425467.0
1991,10967384,10967384201912.0,2019,FUNCTIONAL HEALTH INC,GA,E,455 E PACES FERRY RD NE STE 201,ATLANTA,30305-3319,3,HE,HE,HE,E,23337.0
2036,16012835,16012835201912.0,2019,ISLANDS COMMUNITY MEDICAL SERVICES INC,ME,E,15 MEDICAL CENTER LOOP,VINALHAVEN,04863-4119,3,HE,HE,HE,E,1366011.0
