,EIN,NCCSKEY,FISYR,NAME,STATE,NTEE1,ADDRESS,CITY,ZIP,SUBSECCD,NTMAJ5,NTMAJ10,NTMAJ12,MAJGRPB,CONT
87,10215911,10215911201809.0,2018,MID COAST HOSPITAL,ME,E,329 MAINE ST,BRUNSWICK,04011-3310,3,HE,HE,EH,EH,3152277.0
94,10217211,10217211201809.0,2018,EASTERN MAINE HEALTHCARE SYSTEMS,ME,E,43 WHITING HILL RD,BREWER,04412-1005,3,HE,HE,EH,EH,41558.0
96,10218637,10218637201812.0,2018,DEXTER PUBLIC HEALTH ASSOCIATION INC,ME,E,PO BOX 516,DEXTER,04930-0516,3,HE,HE,HE,E,22460.0
103,10221126,10221126201904.0,2019,CASTINE COMMUNITY HOSPITAL,ME,E,PO BOX 198,CASTINE,04421-0198,3,HE,HE,HE,E,98565.0
105,10222130,10222130201806.0,2018,FAIRVIEW HOSPITAL INC,ME,E,46 FAIRVIEW AVE,SKAWHEGAN,04976-1481,3,HE,HE,HE,E,0.0
107,10223482,10223482201806.0,2018,MILLINOCKET REGIONAL HOSPITAL,ME,E,200 SOMERSET ST,MILLINOCKET,04462-1258,3,HE,HE,EH,EH,457490.0
113,10227184,10227184201812.0,2018,ANDROSCOGGIN HOME HEALTH SERVICES INC,ME,E,15 STRAWBERRY AVE,LEWISTON,04240-5941,3,HE,HE,HE,E,602745.0
114,10227195,10227195201809.0,2018,BLUE HILL MEMORIAL HOSPITAL INC,ME,E,43 WHITING HILL RD,BREWER,04412-1005,3,HE,HE,EH,EH,544000.0
117,10234189,10234189201809.0,2018,NORTHERN MAINE MEDICAL CENTER,ME,E,194 E MAIN ST,FORT KENT,04743-1428,3,HE,HE,EH,EH,190974.0
121,10238552,10238552201809.0,2018,MAINEHEALTH,ME,E,22 BRAMHALL ST,PORTLAND,04102-3134,3,HE,HE,EH,EH,61054317.0
134,10246665,10246665201903.0,2019,ERVIN A CENTER MEMORIAL CLINIC HOSPITAL,ME,E,PO BOX 113,STEEP FALLS,04085-0113,3,HE,HE,HE,E,0.0
135,10246804,10246804201809.0,2018,VNA HOME & HOSPICE,ME,E,43 WHITING HILL RD,BREWER,04412-1005,3,HE,HE,HE,E,418369.0
141,10262323,10262323201906.0,2019,NORTHERN MAINE GENERAL,ME,E,PO BOX 310,EAGLE LAKE,04739-0310,3,HE,HE,EH,EH,7130.0
144,10263198,10263198201812.0,2018,DOWN EAST COMMUNITY HOSPITAL,ME,E,11 HOSPITAL DR,MACHIAS,04654-3325,3,HE,HE,EH,EH,73416.0
147,10263628,10263628201809.0,2018,EASTERN MAINE HEALTHCARE SYSTEMS,ME,E,43 WHITING HILL RD,BREWER,04412-1005,3,HE,HE,EH,EH,448588.0
167,10271579,10271579201812.0,2018,SOUTHWEST HARBOR-TREMONT NURSING SERVICE INC,ME,E,PO BOX 437,SOUTHWEST HBR,04679-0437,3,HE,HE,HE,E,153550.0
172,10274998,10274998201806.0,2018,MOUNT ST JOSEPH,ME,E,7 HIGHWOOD ST,WATERVILLE,04901-5739,3,HE,HE,HE,E,1253.0
186,10278130,10278130201812.0,2018,MEMORIAL AMBULANCE CORPS ISLE AU HAUT-STONINGTON-DEER ISLE,ME,E,PO BOX 387,DEER ISLE,04627-0387,3,HE,HE,HE,E,80768.0
188,10278440,10278440201812.0,2018,UNITY VOLUNTEER AMBULANCE CORP,ME,E,347 SCHOOL STREET,UNITY,04988-0000,3,HE,HE,HE,E,0.0
191,10279581,10279581201906.0,2019,MIDCOAST HOSPITAL-BRUNSWICK AUXILIARY,ME,E,123 MEDICAL CENTER DR,BRUNSWICK,04011-2652,3,HE,HE,HE,E,143651.0
207,10284446,10284446201806.0,2018,REDINGTON-FAIRVIEW GENERAL HOSPITAL,ME,E,PO BOX 468,SKOWHEGAN,04976-0468,3,HE,HE,EH,EH,1770818.0
212,10285920,10285920201903.0,2019,EAST GRAND HEALTH CENTER INC,ME,E,201 HOULTON RD,DANFORTH,04424-3140,3,HE,HE,HE,E,29634.0
218,10288480,10288480201812.0,2018,THREE RIVERS AMBULANCE SERVICE,ME,E,PO BOX 432,MILO,04463-0432,3,HE,HE,HE,E,27650.0
234,10317679,10317679201806.0,2018,FAMILY PLANNING ASSOCIATION OF MAINE INC,ME,E,PO BOX 587,AUGUSTA,04332-0587,3,HE,HE,HE,E,6134401.0
257,10329792,10329792201812.0,2018,DELTA AMBULANCE CORP,ME,E,29 CHASE AVE,WATERVILLE,04901-4642,3,HE,HE,HE,E,0.0
274,10340947,10340947201809.0,2018,KNO-WAL-LIN HOME HEALTH CARE INC,ME,E,PO BOX 287,BELFAST,04915-0287,3,HE,HE,HE,E,0.0
277,10342399,10342399201812.0,2018,ST ANDRE HEALTH CARE FACILITY,ME,E,407 POOL ST,BIDDEFORD,04005-9714,3,HE,HE,HE,E,41161.0
283,10345195,10345195201812.0,2018,SACOPEE RESCUE UNIT INC,ME,E,PO BOX 367,PARSONSFIELD,04047-0367,3,HE,HE,HE,E,64272.0
284,10345660,10345660201806.0,2018,BOOTHBAY REGION AMBULANCE SERVICE,ME,E,PO BOX 280,BOOTHBAY,04537-0280,3,HE,HE,HE,E,459648.0
285,10345826,10345826201806.0,2018,RICHMOND AREA HELTH CENTER INC,ME,E,24 GARDINER ST,RICHMOND,04357-1336,3,HE,HE,HE,E,5316.0
291,10347381,10347381201805.0,2018,SACOPEE VALLEY HEALTH CENTER,ME,E,70 MAIN ST,PORTER,04068-3527,3,HE,HE,HE,E,1775737.0
298,10349706,10349706201809.0,2018,ONPOINT HEALTH DATA,ME,E,75 WASHINGTON AVE SUITE 1E,PORTLAND,04101-6002,3,HE,HE,HE,E,9307726.0
310,10352658,10352658201809.0,2018,SAFE VOICES,ME,E,PO BOX 713,AUBURN,04212-0713,3,HE,HE,HE,E,2074316.0
312,10353275,10353275201812.0,2018,MARTINS POINT HEALTH CARE INC,ME,E,331 VERANDA ST,PORTLAND,04103-5545,3,HE,HE,HE,E,0.0
317,10354589,10354589201906.0,2019,EASTPORT HEALTH CARE INC,ME,E,PO BOX H,EASTPORT,04631-0909,3,HE,HE,HE,E,1513112.0
327,10356240,10356240201905.0,2019,HOME CARE & HOSPICE ALLIANCE OF MAINE,ME,E,PO BOX 227,MANCHESTER,04351-0227,3,HE,HE,HE,E,186030.0
331,10357357,10357357201806.0,2018,TRI-COUNTY EMERGENCY MEDICAL SERVICES INC,ME,E,300 MAIN ST,LEWISTON,04240-7027,3,HE,HE,HE,E,0.0
362,10363624,10363624201906.0,2019,KENNEBUNKPORT EMERGENCY MEDICAL SER INCORPORATED,ME,E,PO BOX 1761,KENNEBUNKPORT,04046-0000,3,HE,HE,HE,E,211766.0
365,10363873,10363873201812.0,2018,NATIONAL RURAL HEALTH ASSOCIATION,KS,E,4501 COLLEGE BLVD STE 225,LEAWOOD,66211-1921,3,HE,HE,HE,E,3351290.0
367,10364301,10364301201906.0,2019,KIMBALL HEALTH CENTER,ME,E,333 LINCOLN ST,SACO,04072-3113,3,HE,HE,HE,E,21415.0
373,10365846,10365846201812.0,2018,NEWFIELD RESCUE SQUAD,ME,E,PO BOX 170,WEST NEWFIELD,04095-0170,3,HE,HE,HE,E,58077.0
376,10366967,10366967201812.0,2018,STONEHAM RESCUE SERVICE,ME,E,PO BOX 42,STONEHAM,04231-0042,3,HE,HE,HE,E,94138.0
377,10366970,10366970201906.0,2019,SHEEPSCOT VALLEY REGIONAL HEALTH CENTER,ME,E,PO BOX 19,WINDSOR,04363-0019,3,HE,HE,HE,E,1182.0
393,10369195,10369195201806.0,2018,MAINE DARTMOUTH MEDICINE RESIDENCY,ME,E,15 E CHESTNUT ST,AUGUSTA,04330-5736,3,HE,HE,HE,E,15600.0
396,10369660,10369660201906.0,2019,WORK FIRST INC,ME,E,PO BOX 86,FARMINGTON,04938-0086,3,HE,HE,HE,E,31767.0
399,10369874,10369874201812.0,2018,MAINE LABOR GROUP ON HEALTH INC,ME,E,PO BOX 5197,AUGUSTA,04332-5197,3,HE,HE,HE,E,11012.0
412,10371991,10371991201906.0,2019,EAGLE LAKE REGIONAL HEALTH CENTER,ME,E,PO BOX 321,EAGLE LAKE,,3,HE,HE,HE,E,0.0
415,10372148,10372148201809.0,2018,EASTERN MAINE HEALTHCARE SYSTEMS,ME,E,43 WHITING HILL RD,BREWER,04412-1005,3,HE,HE,EH,EH,321978.0
418,10373341,10373341201806.0,2018,ATLANTIC PARTNERS EMS INC,ME,E,71 HALIFAX ST,WINSLOW,04901-6930,3,HE,HE,HE,E,31258.0
431,10376832,10376832201806.0,2018,MAINE VETERANS HOME,ME,E,460 CIVIC CENTER DR,AUGUSTA,04330-7902,3,HE,HE,HE,E,2817369.0
433,10376890,10376890201812.0,2018,PINES HEALTH SERVICES,ME,E,PO BOX 40,CARIBOU,04736-0040,3,HE,HE,HE,E,4089719.0
440,10377901,10377901201809.0,2018,EASTERN MAINE HEALTHCARE SYSTEMS,ME,E,43 WHITING HILL ROAD,BREWER,04412-1005,3,HE,HE,HE,E,29958.0
453,10382340,10382340201809.0,2018,LINCOLNHEALTH COVES EDGE,ME,E,35 MILES ST,DAMARISCOTTA,04543-4047,3,HE,HE,HE,E,15701.0
458,10383665,10383665201812.0,2018,SOUTHERN MAINE HEALTH CARE AUXILIARY,ME,E,PO BOX 484,KENNEBUNK,,3,HE,HE,HE,E,18315.0
467,10386913,10386913201806.0,2018,CENTRAL MAINE HEALTHCARE CORPORATION,ME,E,29 LOWELL ST BOX A,LEWSTON,04240-7639,3,HE,HE,EH,EH,2380733.0
476,10390918,10390918201809.0,2018,MAINE COAST MEDICAL REALTY INC,ME,E,50 UNION ST,ELLSWORTH,04605-1534,3,HE,HE,HE,E,0.0
493,10406704,10406704201906.0,2019,DANFORTH HABILITATION ASSOCIATION,ME,E,PO BOX 217,DANFORTH,04424-0217,3,HE,HE,HE,E,0.0
499,10409494,10409494201903.0,2019,HARRINGTON FAMILY HEALTH CENTER,ME,E,50 E MAIN ST,HARRINGTON,04643-3043,3,HE,HE,HE,E,1083612.0
500,10409788,10409788201812.0,2018,COMMUNITY CLINICAL SERVICES INC,ME,E,PO BOX 7291,LEWISTON,04243-7291,3,HE,HE,HE,E,1492744.0
502,10411259,10411259201812.0,2018,UPPER KENNEBEC VALLEY AMBULANCE SERVICE,ME,E,PO BOX 432,BINGHAM,04920-0432,3,HE,HE,HE,E,185693.0
508,10414441,10414441201803.0,2018,MAINE MOBILE HEALTH PROGRAM INC,ME,E,PO BOX 405,AUGUSTA,04332-0405,3,HE,HE,HE,E,1550256.0
509,10414486,10414486201812.0,2018,LIBERTY VOLUNTEER AMBULANCE SERVICE,ME,E,PO BOX 174,LIBERTY,04949-0174,3,HE,HE,HE,E,2172.0
522,10421234,10421234201809.0,2018,EASTERN MAINE HEALTHCARE SYSTEMS,ME,E,43 WHITING HILL RD,BREWER,04901-4526,3,HE,HE,HE,E,101162.0
528,10422885,10422885201812.0,2018,ALTERNATIVE HEALTH SERVICES OF ST JOSEPH INC,ME,E,PO BOX 403,BANGOR,04402-0403,3,HE,HE,HE,E,0.0
547,10430069,10430069201809.0,2018,MID COAST HEALTH SERVICES,ME,E,123 MEDICAL CENTER DR,BRUNSWICK,04011-2652,3,HE,HE,HE,E,0.0
555,10431680,10431680201809.0,2018,MAINHEALTH SERVICES,ME,E,22 BRAMHALL ST,PORTLAND,04101-3908,3,HE,HE,EH,EH,8316930.0
559,10434215,10434215201809.0,2018,MMC REALTY CORP,ME,E,22 BRAMHALL ST,PORTLAND,04102-3134,3,HE,HE,HE,E,0.0
566,10436438,10436438201812.0,2018,NORTHERN OXFORD REGIONAL AMBULANCE SERVICE,ME,E,290 HIGHLAND TER,MEXICO,04257-1840,3,HE,HE,HE,E,1896173.0
605,10448263,10448263201812.0,2018,RONALD MCDONALD HOUSE CHARITIES INC,ME,E,250 BRACKETT ST,PORTLAND,04102-3208,3,HE,HE,HE,E,954692.0
610,10449907,10449907201812.0,2018,SAFE ABORTIONS FOR EVERYONE,ME,E,PO BOX 752,PORTLAND,04104-0752,3,HE,HE,HE,E,98209.0
613,10451663,10451663201804.0,2018,JHA SERVICES INC,ME,E,630 OCEAN AVE,PORTLAND,04103-2704,3,HE,HE,HE,E,654728.0
618,10452749,10452749201906.0,2019,FISH RIVER RURAL HEALTH,ME,E,PO BOX 309,EAGLE LAKE,04739-0309,3,HE,HE,HE,E,2182533.0
657,10467073,10467073201903.0,2019,ST CROIX REGIONAL FAMILY HEALTH CENTER,ME,E,136 MILL ST,PRINCETON,04668-3344,3,HE,HE,HE,E,1481495.0
664,10468460,10468460201806.0,2018,G & H AMBULANCE SERVICE INC,ME,E,PO BOX 34,HUDSON,04449-0034,3,HE,HE,HE,E,0.0
670,10471949,10471949201812.0,2018,PARTNERS IN HEALTH,ME,E,150 STATE ST,BREWER,04412-1949,3,HE,HE,EH,EH,97357.0
693,10477512,10477512201808.0,2018,MAKE-A-WISH FOUNDATION OF MAINE,ME,E,66 MUSSEY RD,SCARBOROUGH,04074-8921,3,HE,HE,HE,E,1814774.0
709,10481696,10481696201804.0,2018,BIRCH BAY RETIREMENT VILLAGE,ME,E,PO BOX 8,BAR HARBOR,04609-0008,3,HE,HE,HE,E,53724.0
728,10485045,10485045201906.0,2019,RANGELEY REGION HEALTH & WELLNESS PARTNERSHIP,ME,E,PO BOX 722,RANGELEY,04970-0722,3,HE,HE,HE,E,456960.0
743,10489824,10489824201809.0,2018,WESTERN MAINE MULTI-MEDICAL SPECIALISTS,ME,E,181 MAIN STREET,NORWAY,04268-5664,3,HE,HE,HE,E,19757.0
756,10492125,10492125201812.0,2018,ALLIANCE OF INDEPENDENT ACADEMIC MEDICAL CENTERS,IL,E,401 N MICHIGAN AVE STE 1200,CHICAGO,60611-4264,3,HE,HE,EH,EH,308375.0
778,10496139,10496139201809.0,2018,ISLAND COMMONS RESOURCE CENTER,ME,E,132 LITTLEFIELD RD,CHEBEAGUE IS,04017-3316,3,HE,HE,HE,E,469872.0
779,10496221,10496221201809.0,2018,MID COAST GERIATRIC SERVICES CORP,ME,E,329 MAINE ST,BRUNSWICK,04011-3310,3,HE,HE,HE,E,899946.0
783,10497587,10497587201906.0,2019,OASIS HEALTH NETWORK INC,ME,E,66 BARIBEAU DRIVE,BRUNSWICK,04011-3230,3,HE,HE,EH,EH,369658.0
797,10500734,10500734201807.0,2018,ARNOLD MEMORIAL MEDICAL BUILDING SOCIETY,ME,E,PO BOX 571,JONESPORT,04649-0571,3,HE,HE,HE,E,380000.0
840,10511356,10511356201809.0,2018,NORDX,ME,E,301A US ROUTE 1,SCARBOROUGH,04074-9701,3,HE,HE,HE,E,0.0
856,10514750,10514750201812.0,2018,PENOBSCOT COMMUNITY HEALTH CENTER,ME,E,103 MAINE AVE,BANGOR,04401-4330,3,HE,HE,HE,E,10139108.0
873,10518520,10518520201806.0,2018,NORTHEAST OSTEOPATHIC MEDICAL EDUCATION NETWORK,ME,E,11 HILLS BEACH RD,BIDDEFORD,04005-9526,3,HE,HE,HE,E,1500.0
886,10520715,10520715201812.0,2018,CARLISLE CHARITABLE FOUNDATION,ME,E,PO BOX 935,KENNEBUNK,04043-0935,3,HE,HE,HE,E,85660.0
899,10524329,10524329201806.0,2018,KENNEBEC VALLEY DENTAL COALITION INC,ME,E,2 EVERGREEN DR,OAKLAND,04963-5364,3,HE,HE,HE,E,491881.0
911,10527066,10527066201809.0,2018,EASTERN MAINE HEALTHCARE SYSTEMS,ME,E,43 WHITING HILL ROAD,BREWER,04412-1005,3,HE,HE,HE,E,489109.0
924,10528885,10528885201812.0,2018,MID-COAST HEALTH NET INC,ME,E,533 ASH POINT DR,OWLS HEAD,04854-3603,3,HE,HE,HE,E,269769.0
933,10530517,10530517201809.0,2018,PENOBSCOT BAY PHYSICIANS & ASSOCIATES,ME,E,PO BOX 287,BELFAST,04915-0287,3,HE,HE,HE,E,0.0
945,10532229,10532229201806.0,2018,NEW ENGLAND RURAL HEALTH ROUNDTABLE,ME,E,PO BOX 12,NEWFIELD,04056-0012,3,HE,HE,HE,E,291839.0
977,10538534,10538534201806.0,2018,BANGOR NURSING & REHABILITATION CENTER,ME,E,103 TEXAS AVE,BANGOR,04401-4324,3,HE,HE,HE,E,79511.0
995,10541892,10541892201806.0,2018,WASHINGTON COUNTY EMERGENCY MEDICAL SERVICE AUTHORITY,ME,E,PO BOX 552,CALAIS,04619-0552,3,HE,HE,HE,E,0.0
1020,10545327,10545327201812.0,2018,PENOBSCOT VALLEY HOSPITAL,ME,E,PO BOX 368,LINCOLN,04457-0000,3,HE,HE,EH,EH,24684.0
1021,10545335,10545335201806.0,2018,UNITED AMBULANCE,ME,E,192 RUSSELL ST,LEWISTON,04240-5435,3,HE,HE,HE,E,0.0
1026,10545822,10545822201812.0,2018,CHILDREN FAMILIES AND COMMUNITIES,ME,E,PO BOX 540,ELLSWORTH,04605-0540,3,HE,HE,HE,E,25644.0
1029,10546327,10546327201809.0,2018,SEBASTICOOK FAMILY DOCTORS,ME,E,118 MOOSEHEAD TRAIL,NEWPORT,04953-4055,3,HE,HE,HE,E,1983852.0
1032,10546698,10546698201812.0,2018,MOOSABEC AMBULANCE SERVICE,ME,E,PO BOX 164,JONESPORT,04649-0164,3,HE,HE,HE,E,23925.0
1037,10547336,10547336201812.0,2018,NORTHERN LIGHTHOUSE INC,ME,E,PO BOX 498,MARS HILL,04758-0498,3,HE,HE,HE,E,44425.0
1060,10553460,10553460201808.0,2018,EMORY MEDICAL LABORATORIES INC,GA,E,1364 CLIFTON RD NE,ATLANTA,30322-1059,3,HE,HE,HE,E,0.0
1061,10553478,10553478201806.0,2018,EAST MOUNTAIN HOSPITAL INC,NJ,E,252 ROUTE 601,BELLE MEAD,08502-3923,3,HE,HE,EH,EH,5000.0
1084,10557632,10557632201812.0,2018,AMERICAN SOCIETY FOR HEALTH FOR ALL INC,MA,E,15 NOTRE DAME AVE,CAMBRIDGE,02140-2505,3,HE,HE,HE,E,144732.0
1094,10560081,10560081201806.0,2018,NATIONAL NURSE-LED CARE CONSORTIUM,PA,E,1500 MARKET ST - CENTRE SQUARE EAST,PHILADELPHIA,19102-0000,3,HE,HE,HE,E,9329827.0
1134,10568516,10568516201809.0,2018,CMC HEALTHCARE SYSTEM,NH,E,100 MCGREGOR ST,MANCHESTER,03102-3730,3,HE,HE,EH,EH,0.0
1264,10603034,10603034201812.0,2018,RURAL HEALTH COLLABORATIVE OF SOUTHERN OHIO INC,OH,E,230 MEDICAL CENTER DR,SEAMAN,45679-8002,3,HE,HE,EH,EH,0.0
1265,10603214,10603214201806.0,2018,SAINT FRANCIS HOSPITAL SOUTH LLC,OK,E,6600 S YALE AVE STE 400,TULSA,74136-3319,3,HE,HE,EH,EH,43.0
1323,10624865,10624865201812.0,2018,NEHI INC,MA,E,133 FEDERAL STREET 9TH FLOOR,BOSTON,02110-1703,3,HE,HE,HE,E,1109915.0
1326,10625542,10625542201812.0,2018,SALEM HEALTH AND WELLNESS FOUNDATION INC,NJ,E,91 S VIRGINIA AVE STE A,PENNS GROVE,08069-1765,3,HE,HE,HE,E,56854278.0
1334,10628051,10628051201809.0,2018,SHOLOM COMMUNITY ALLIANCE HOME HEALTH CARE,MN,E,3620 PHILLIPS PKWY,ST LOUIS PARK,55426-3700,3,HE,HE,HE,E,6179.0
1374,10639265,10639265201806.0,2018,MERITUS HEALTHCARE FOUNDATION INC,MD,E,11116 MEDICAL CAMPUS RD,HAGERSTOWN,21742-6710,3,HE,HE,HE,E,766231.0
1397,10646166,10646166201812.0,2018,INDIANA UNIVERSITY HEALTH BLACKFORD HOSPITAL INC,IN,E,950 N MERIDIAN ST STE 300,INDIANAPOLIS,46204-1091,3,HE,HE,EH,EH,0.0
1400,10647374,10647374201812.0,2018,NATIONAL INSTITUTE FOR CHILDRENS HEALTH QUALITY INC,MA,E,308 CONGRESS ST FL 5,BOSTON,02210-1015,3,HE,HE,HE,E,7165298.0
1403,10648561,10648561201809.0,2018,HEALTH360 INC,CT,E,83 PROSPECT ST,WATERBURY,06702-1326,3,HE,HE,HE,E,722177.0
1406,10649794,10649794201812.0,2018,HACKENSACK MERIDIAN HEALTH INC,NJ,E,C/O TAX DEPT 343 THORNALL ST 8TH FL,EDISON,08837-0000,3,HE,HE,EH,EH,76144128.0
1464,10667694,10667694201812.0,2018,FAMILY HEALTH CENTER OF SOUTHERN OKLAHOMA INC,OK,E,610 E 24TH ST,TISHOMINGO,73460-3245,3,HE,HE,HE,E,2461756.0
1479,10673231,10673231201809.0,2018,COLUMBUS COUNTY HOSPITAL FOUNDATION INC,NC,E,500 JEFFERSON ST,WHITEVILLE,28472-3696,3,HE,HE,HE,E,99632.0
1487,10674969,10674969201809.0,2018,COMMUNITY HEALTH COUNCIL OF WYANDOTTE COUNTY INC,KS,E,803 ARMSTRONG AVE,KANSAS CITY,66101-2604,3,HE,HE,HE,E,1000887.0
1492,10676306,10676306201806.0,2018,CAMBRIDGE HEALTH ALLIANCE FOUNDATION INC,MA,E,COMMERCE PLACE 350 MAIN ST SUITE S,MALDEN,02148-0000,3,HE,HE,HE,E,1463890.0
1502,10679073,10679073201812.0,2018,PARKER COUNTY HEALTH FOUNDATION,TX,E,126 SOUTH RANCH HOUSE RD,ALEDO,76008-2782,3,HE,HE,HE,E,294768.0
1551,10693679,10693679201812.0,2018,LONG ISLAND MEDICAL FOUNDATION INC,NY,E,2201 HEMPSTEAD TPKE,EAST MEADOW,11554-1859,3,HE,HE,HE,E,278078.0
1588,10706736,10706736201812.0,2018,AMERICAN EAGLE LIFECARE CORPORATION,KY,E,1050 CHINOE ROAD,LEXINGTON,40502-6571,3,HE,HE,HE,E,0.0
1633,10719207,10719207201812.0,2018,FIRST MEDICAL INSURANCE COMPANT A RISK RETENTION GROUP,VT,E,463 MOUNTAIN VIEW DR STE 301,COLCHESTER,05446-5952,3,HE,HE,HE,E,0.0
1683,10731601,10731601201812.0,2018,CHRISTOPHER MENSCH FOUNDATION,PA,E,173 RED ROSE DR,LEVITTOWN,19056-2329,3,HE,HE,HE,E,1988.0
1713,10737373,10737373201812.0,2018,KESS NSONA FOUNDATION INC,GA,E,2931 YUCCA DR,DECATUR,30032-5836,3,HE,HE,HE,E,10000.0
1734,10742666,10742666201812.0,2018,WESTERN BERKS FREE MEDICAL CLINIC INC,PA,E,480 BIG SPRING RD,ROBESONIA,19551-8911,3,HE,HE,HE,E,55249.0
1749,10747768,10747768201906.0,2019,FRIENDS OF LEE COUNTY HEALTH DEPARTMENT INC,IA,E,PO BOX 1426,FORT MADISON,52627-1426,3,HE,HE,HE,E,0.0
1752,10749446,10749446201812.0,2018,FALLEN FEATHERS RESCUE REHABILITATION & EDUCATION CORP,AZ,E,9532 W CIELO GRANDE,PEORIA,85383-1104,3,HE,HE,HE,E,34012.0
1768,10757566,10757566201806.0,2018,ACCESS HEALTH INC,ME,E,210 TURKEY LN,WEST BUXTON,04093-3519,3,HE,HE,HE,E,72753.0
1778,10759974,10759974201812.0,2018,THOUSAND ISLANDS EMERGENCY RESCUE SERVICE INC,NY,E,PO BOX 524,CLAYTON,13624-0524,3,HE,HE,HE,E,300564.0
1780,10760086,10760086201812.0,2018,CONSUMERS ADVANCING PATIENT SAFETY,IL,E,321 N CLARK ST,CHICAGO,60654-4714,3,HE,HE,HE,E,0.0
1855,10782751,10782751201812.0,2018,NATIONWIDE CHILDRENS HOSPITAL,OH,E,700 CHILDRENS DR,COLUMBUS,43205-2664,3,HE,HE,EH,EH,222443741.0
1877,10790428,10790428201806.0,2018,ASCENSION ST JOSEPH FOUNDATION,MI,E,200 HEMLOCK STREET,TAWAS CITY,48763-9237,3,HE,HE,HE,E,297292.0
1925,10804058,10804058201812.0,2018,ATHENA SOCIETY OF BURLESON,TX,E,PO BOX 3123,BURLESON,76097-3123,3,HE,HE,HE,E,76865.0
2004,10829282,10829282201809.0,2018,GOOD SHEPHERD MEDICAL CENTER-LINDEN INC,TX,E,700 E MARSHALL AVE,LONGVIEW,75601-5580,3,HE,HE,EH,EH,0.0
2132,10881719,10881719201812.0,2018,FISHER HOUSE IN ST LOUIS,MO,E,1375 N HIGHWAY DR,FENTON,63026-1929,3,HE,HE,HE,E,183166.0
