"2010 SOC Code","O*NET-SOC 2010 Code","O*NET-SOC 2010 Title","2010 SOC Title","education_STW","knowledge_STW","rothwell_STW","Occupation 2010 Description","2010 Census Code"
"11-3071","11-3071.00","Transportation, Storage, and Distribution Managers","Transportation, Storage, and Distribution Managers",0,0,0,"Transportation, storage, and distribution managers","0160"
"11-3071","11-3071.02","Storage and Distribution Managers","Transportation, Storage, and Distribution Managers",0,0,0,"Transportation, storage, and distribution managers","0160"
"11-3111","11-3111.00","Compensation and Benefits Managers","Compensation and Benefits Managers",0,1,0,"Compensation and benefits managers","0135"
"11-3121","11-3121.00","Human Resources Managers","Human Resources Managers",0,0,0,"Human resources managers","0136"
"11-3131","11-3131.00","Training and Development Managers","Training and Development Managers",0,0,0,"Training and development managers","0137"
"11-9013","11-9013.03","Aquacultural Managers","Farmers, Ranchers, and Other Agricultural Managers",0,1,0,"Farmers, ranchers, and other agricultural managers","0205"
"11-9013","11-9013.00","Farmers, Ranchers, and Other Agricultural Managers","Farmers, Ranchers, and Other Agricultural Managers",0,1,0,"Farmers, ranchers, and other agricultural managers","0205"
"11-9013","11-9013.02","Farm and Ranch Managers","Farmers, Ranchers, and Other Agricultural Managers",0,1,0,"Farmers, ranchers, and other agricultural managers","0205"
"11-9013","11-9013.01","Nursery and Greenhouse Managers","Farmers, Ranchers, and Other Agricultural Managers",0,1,0,"Farmers, ranchers, and other agricultural managers","0205"
"11-9021","11-9021.00","Construction Managers","Construction Managers",0,1,0,"Construction managers","0220"
"11-9031","11-9031.00","Education Administrators, Preschool and Childcare Center/Program","Education Administrators, Preschool and Childcare Center/Program",0,0,0,NA,NA
"11-9032","11-9032.00","Education Administrators, Elementary and Secondary School","Education Administrators, Elementary and Secondary School",0,1,0,NA,NA
"11-9033","11-9033.00","Education Administrators, Postsecondary","Education Administrators, Postsecondary",0,0,0,NA,NA
"11-9039","11-9039.00","Education Administrators, All Other","Education Administrators, All Other",NA,NA,NA,NA,NA
"11-9039","11-9039.01","Distance Learning Coordinators","Education Administrators, All Other",NA,NA,NA,NA,NA
"11-9039","11-9039.02","Fitness and Wellness Coordinators","Education Administrators, All Other",NA,NA,NA,NA,NA
"11-9041","11-9041.01","Biofuels/Biodiesel Technology and Product Development Managers","Architectural and Engineering Managers",0,1,0,"Architectural and engineering managers","0300"
"11-9041","11-9041.00","Architectural and Engineering Managers","Architectural and Engineering Managers",0,1,0,"Architectural and engineering managers","0300"
"11-9051","11-9051.00","Food Service Managers","Food Service Managers",1,0,0,"Food service managers","0310"
"11-9061","11-9061.00","Funeral Service Managers","Funeral Service Managers",NA,NA,NA,"Funeral service managers","0325"
"11-9071","11-9071.00","Gaming Managers","Gaming Managers",1,0,0,"Gaming managers","0330"
"11-9081","11-9081.00","Lodging Managers","Lodging Managers",1,0,0,"Lodging managers","0340"
"11-9111","11-9111.00","Medical and Health Services Managers","Medical and Health Services Managers",0,1,0,"Medical and health services managers","0350"
"11-9121","11-9121.00","Natural Sciences Managers","Natural Sciences Managers",0,1,0,"Natural sciences managers","0360"
"11-9121","11-9121.01","Clinical Research Coordinators","Natural Sciences Managers",0,1,0,"Natural sciences managers","0360"
"11-9121","11-9121.02","Water Resource Specialists","Natural Sciences Managers",0,1,0,"Natural sciences managers","0360"
"11-9131","11-9131.00","Postmasters and Mail Superintendents","Postmasters and Mail Superintendents",1,1,1,"Postmasters and mail superintendents","0400"
"11-9141","11-9141.00","Property, Real Estate, and Community Association Managers","Property, Real Estate, and Community Association Managers",1,0,0,"Property, real estate, and community association managers","0410"
"11-9151","11-9151.00","Social and Community Service Managers","Social and Community Service Managers",0,0,0,"Social and community service managers","0420"
"11-9161","11-9161.00","Emergency Management Directors","Emergency Management Directors",0,1,0,"Emergency management directors","0425"
"11-9199","11-9199.09","Wind Energy Operations Managers","Managers, All Other",0,0,0,"Managers, all other","0430"
"11-9199","11-9199.00","Managers, All Other","Managers, All Other",0,0,0,"Managers, all other","0430"
"11-9199","11-9199.02","Compliance Managers","Managers, All Other",0,0,0,"Managers, all other","0430"
"11-9199","11-9199.07","Security Managers","Managers, All Other",0,0,0,"Managers, all other","0430"
"11-9199","11-9199.10","Wind Energy Project Managers","Managers, All Other",0,0,0,"Managers, all other","0430"
"11-9199","11-9199.01","Regulatory Affairs Managers","Managers, All Other",0,0,0,"Managers, all other","0430"
"11-9199","11-9199.04","Supply Chain Managers","Managers, All Other",0,0,0,"Managers, all other","0430"
"11-9199","11-9199.03","Investment Fund Managers","Managers, All Other",0,0,0,"Managers, all other","0430"
"11-9199","11-9199.08","Loss Prevention Managers","Managers, All Other",0,0,0,"Managers, all other","0430"
"11-9199","11-9199.11","Brownfield Redevelopment Specialists and Site Managers","Managers, All Other",0,0,0,"Managers, all other","0430"
"13-1011","13-1011.00","Agents and Business Managers of Artists, Performers, and Athletes","Agents and Business Managers of Artists, Performers, and Athletes",0,0,0,"Agents and business managers of artists, performers, and athletes","0500"
"13-1021","13-1021.00","Buyers and Purchasing Agents, Farm Products","Buyers and Purchasing Agents, Farm Products",1,0,0,"Buyers and purchasing agents, farm products","0510"
"13-1022","13-1022.00","Wholesale and Retail Buyers, Except Farm Products","Wholesale and Retail Buyers, Except Farm Products",1,1,1,"Wholesale and retail buyers, except farm products","0520"
"13-1023","13-1023.00","Purchasing Agents, Except Wholesale, Retail, and Farm Products","Purchasing Agents, Except Wholesale, Retail, and Farm Products",1,0,0,"Purchasing agents, except wholesale, retail, and farm products","0530"
"13-1031","13-1031.00","Claims Adjusters, Examiners, and Investigators","Claims Adjusters, Examiners, and Investigators",0,0,0,NA,NA
"13-1031","13-1031.01","Claims Examiners, Property and Casualty Insurance","Claims Adjusters, Examiners, and Investigators",0,0,0,NA,NA
"13-1031","13-1031.02","Insurance Adjusters, Examiners, and Investigators","Claims Adjusters, Examiners, and Investigators",0,0,0,NA,NA
"13-1032","13-1032.00","Insurance Appraisers, Auto Damage","Insurance Appraisers, Auto Damage",1,0,0,NA,NA
"13-1041","13-1041.07","Regulatory Affairs Specialists","Compliance Officers",0,0,0,"Compliance officers","0565"
"13-1041","13-1041.01","Environmental Compliance Inspectors","Compliance Officers",0,0,0,"Compliance officers","0565"
"13-1041","13-1041.02","Licensing Examiners and Inspectors","Compliance Officers",0,0,0,"Compliance officers","0565"
"13-1041","13-1041.06","Coroners","Compliance Officers",0,0,0,"Compliance officers","0565"
"13-1041","13-1041.04","Government Property Inspectors and Investigators","Compliance Officers",0,0,0,"Compliance officers","0565"
"13-1041","13-1041.03","Equal Opportunity Representatives and Officers","Compliance Officers",0,0,0,"Compliance officers","0565"
"13-1041","13-1041.00","Compliance Officers","Compliance Officers",0,0,0,"Compliance officers","0565"
"13-1051","13-1051.00","Cost Estimators","Cost Estimators",0,1,0,"Cost estimators","0600"
"13-1071","13-1071.00","Human Resources Specialists","Human Resources Specialists",NA,0,0,NA,NA
"13-1074","13-1074.00","Farm Labor Contractors","Farm Labor Contractors",1,0,0,NA,NA
"13-1075","13-1075.00","Labor Relations Specialists","Labor Relations Specialists",NA,NA,NA,NA,NA
"13-1081","13-1081.02","Logistics Analysts","Logisticians",0,1,0,"Logisticians","0700"
"13-1081","13-1081.00","Logisticians","Logisticians",0,1,0,"Logisticians","0700"
"13-1081","13-1081.01","Logistics Engineers","Logisticians",0,1,0,"Logisticians","0700"
"13-1111","13-1111.00","Management Analysts","Management Analysts",0,1,0,"Management analysts","0710"
"13-1121","13-1121.00","Meeting, Convention, and Event Planners","Meeting, Convention, and Event Planners",0,0,0,"Meeting, convention, and event planners","0725"
"13-1131","13-1131.00","Fundraisers","Fundraisers",NA,NA,NA,"Fundraisers","0726"
"13-1141","13-1141.00","Compensation, Benefits, and Job Analysis Specialists","Compensation, Benefits, and Job Analysis Specialists",0,0,0,"Compensation, benefits, and job analysis specialists","0640"
"13-1151","13-1151.00","Training and Development Specialists","Training and Development Specialists",0,0,0,"Training and development specialists","0650"
"13-1161","13-1161.00","Market Research Analysts and Marketing Specialists","Market Research Analysts and Marketing Specialists",0,1,0,"Market research analysts and marketing specialists","0735"
"13-1199","13-1199.02","Security Management Specialists","Business Operations Specialists, All Other",1,1,1,"Business operations specialists, all other","0740"
"13-1199","13-1199.03","Customs Brokers","Business Operations Specialists, All Other",1,1,1,"Business operations specialists, all other","0740"
"13-1199","13-1199.01","Energy Auditors","Business Operations Specialists, All Other",1,1,1,"Business operations specialists, all other","0740"
"13-1199","13-1199.00","Business Operations Specialists, All Other","Business Operations Specialists, All Other",1,1,1,"Business operations specialists, all other","0740"
"13-1199","13-1199.06","Online Merchants","Business Operations Specialists, All Other",1,1,1,"Business operations specialists, all other","0740"
"13-1199","13-1199.05","Sustainability Specialists","Business Operations Specialists, All Other",1,1,1,"Business operations specialists, all other","0740"
"13-1199","13-1199.04","Business Continuity Planners","Business Operations Specialists, All Other",1,1,1,"Business operations specialists, all other","0740"
"13-2011","13-2011.01","Accountants","Accountants and Auditors",0,1,0,"Accountants and auditors","0800"
"13-2011","13-2011.02","Auditors","Accountants and Auditors",0,1,0,"Accountants and auditors","0800"
"13-2011","13-2011.00","Accountants and Auditors","Accountants and Auditors",0,1,0,"Accountants and auditors","0800"
"13-2021","13-2021.02","Appraisers, Real Estate","Appraisers and Assessors of Real Estate",1,0,0,"Appraisers and assessors of real estate","0810"
"13-2021","13-2021.01","Assessors","Appraisers and Assessors of Real Estate",1,0,0,"Appraisers and assessors of real estate","0810"
"13-2021","13-2021.00","Appraisers and Assessors of Real Estate","Appraisers and Assessors of Real Estate",1,0,0,"Appraisers and assessors of real estate","0810"
"13-2031","13-2031.00","Budget Analysts","Budget Analysts",0,1,0,"Budget analysts","0820"
"13-2041","13-2041.00","Credit Analysts","Credit Analysts",0,0,0,"Credit analysts","0830"
"13-2051","13-2051.00","Financial Analysts","Financial Analysts",0,1,0,"Financial analysts","0840"
"13-2052","13-2052.00","Personal Financial Advisors","Personal Financial Advisors",0,0,0,"Personal financial advisors","0850"
"13-2053","13-2053.00","Insurance Underwriters","Insurance Underwriters",0,0,0,"Insurance underwriters","0860"
"13-2061","13-2061.00","Financial Examiners","Financial Examiners",0,1,0,"Financial examiners","0900"
"13-2071","13-2071.00","Credit Counselors","Credit Counselors",0,1,0,NA,NA
"13-2071","13-2071.01","Loan Counselors","Credit Counselors",0,1,0,NA,NA
"13-2072","13-2072.00","Loan Officers","Loan Officers",1,1,1,NA,NA
"13-2081","13-2081.00","Tax Examiners and Collectors, and Revenue Agents","Tax Examiners and Collectors, and Revenue Agents",1,0,0,"Tax examiners and collectors, and revenue agents","0930"
"13-2082","13-2082.00","Tax Preparers","Tax Preparers",1,1,1,"Tax preparers","0940"
"13-2099","13-2099.01","Financial Quantitative Analysts","Financial Specialists, All Other",0,0,0,"Financial specialists, all other","0950"
"13-2099","13-2099.04","Fraud Examiners, Investigators and Analysts","Financial Specialists, All Other",0,0,0,"Financial specialists, all other","0950"
"13-2099","13-2099.02","Risk Management Specialists","Financial Specialists, All Other",0,0,0,"Financial specialists, all other","0950"
"13-2099","13-2099.03","Investment Underwriters","Financial Specialists, All Other",0,0,0,"Financial specialists, all other","0950"
"13-2099","13-2099.00","Financial Specialists, All Other","Financial Specialists, All Other",0,0,0,"Financial specialists, all other","0950"
"15-1111","15-1111.00","Computer and Information Research Scientists","Computer and Information Research Scientists",0,1,0,"Computer and information research scientists","1005"
"15-1121","15-1121.01","Informatics Nurse Specialists","Computer Systems Analysts",0,1,0,"Computer systems analysts","1006"
"15-1121","15-1121.00","Computer Systems Analysts","Computer Systems Analysts",0,1,0,"Computer systems analysts","1006"
"15-1122","15-1122.00","Information Security Analysts","Information Security Analysts",0,1,0,"Information security analysts","1007"
"15-1131","15-1131.00","Computer Programmers","Computer Programmers",0,1,0,"Computer programmers","1010"
"15-1132","15-1132.00","Software Developers, Applications","Software Developers, Applications",0,1,0,"Software developers, applications and systems software","1020"
"15-1133","15-1133.00","Software Developers, Systems Software","Software Developers, Systems Software",0,1,0,"Software developers, applications and systems software","1020"
"15-1134","15-1134.00","Web Developers","Web Developers",1,1,1,"Web developers","1030"
"15-1141","15-1141.00","Database Administrators","Database Administrators",0,1,0,"Database administrators","1060"
"15-1142","15-1142.00","Network and Computer Systems Administrators","Network and Computer Systems Administrators",0,1,0,"Network and computer systems administrators","1105"
"15-1143","15-1143.01","Telecommunications Engineering Specialists","Computer Network Architects",NA,1,NA,"Computer network architects","1106"
"15-1143","15-1143.00","Computer Network Architects","Computer Network Architects",NA,1,NA,"Computer network architects","1106"
"15-1151","15-1151.00","Computer User Support Specialists","Computer User Support Specialists",1,1,1,NA,NA
"15-1152","15-1152.00","Computer Network Support Specialists","Computer Network Support Specialists",NA,NA,NA,NA,NA
"15-1199","15-1199.04","Geospatial Information Scientists and Technologists","Computer Occupations, All Other",0,1,0,"Computer occupations, all other","1107"
"15-1199","15-1199.12","Document Management Specialists","Computer Occupations, All Other",0,1,0,"Computer occupations, all other","1107"
"15-1199","15-1199.07","Data Warehousing Specialists","Computer Occupations, All Other",0,1,0,"Computer occupations, all other","1107"
"15-1199","15-1199.01","Software Quality Assurance Engineers and Testers","Computer Occupations, All Other",0,1,0,"Computer occupations, all other","1107"
"15-1199","15-1199.00","Computer Occupations, All Other","Computer Occupations, All Other",0,1,0,"Computer occupations, all other","1107"
"15-1199","15-1199.06","Database Architects","Computer Occupations, All Other",0,1,0,"Computer occupations, all other","1107"
"15-1199","15-1199.03","Web Administrators","Computer Occupations, All Other",0,1,0,"Computer occupations, all other","1107"
"15-1199","15-1199.10","Search Marketing Strategists","Computer Occupations, All Other",0,1,0,"Computer occupations, all other","1107"
"15-1199","15-1199.11","Video Game Designers","Computer Occupations, All Other",0,1,0,"Computer occupations, all other","1107"
"15-1199","15-1199.08","Business Intelligence Analysts","Computer Occupations, All Other",0,1,0,"Computer occupations, all other","1107"
"15-1199","15-1199.02","Computer Systems Engineers/Architects","Computer Occupations, All Other",0,1,0,"Computer occupations, all other","1107"
"15-1199","15-1199.05","Geographic Information Systems Technicians","Computer Occupations, All Other",0,1,0,"Computer occupations, all other","1107"
"15-1199","15-1199.09","Information Technology Project Managers","Computer Occupations, All Other",0,1,0,"Computer occupations, all other","1107"
"15-2011","15-2011.00","Actuaries","Actuaries",0,1,0,"Actuaries","1200"
"15-2021","15-2021.00","Mathematicians","Mathematicians",0,1,0,"Mathematicians","1210"
"15-2031","15-2031.00","Operations Research Analysts","Operations Research Analysts",0,1,0,"Operations research analysts","1220"
"15-2041","15-2041.01","Biostatisticians","Statisticians",0,1,0,"Statisticians","1230"
"15-2041","15-2041.02","Clinical Data Managers","Statisticians",0,1,0,"Statisticians","1230"
"15-2041","15-2041.00","Statisticians","Statisticians",0,1,0,"Statisticians","1230"
"15-2091","15-2091.00","Mathematical Technicians","Mathematical Technicians",NA,1,NA,NA,NA
"15-2099","15-2099.00","Mathematical Science Occupations, All Other","Mathematical Science Occupations, All Other",NA,NA,NA,NA,NA
"17-1011","17-1011.00","Architects, Except Landscape and Naval","Architects, Except Landscape and Naval",0,1,0,NA,NA
"17-1012","17-1012.00","Landscape Architects","Landscape Architects",0,1,0,NA,NA
"17-1021","17-1021.00","Cartographers and Photogrammetrists","Cartographers and Photogrammetrists",0,1,0,NA,NA
"17-1022","17-1022.00","Surveyors","Surveyors",0,1,0,NA,NA
"17-1022","17-1022.01","Geodetic Surveyors","Surveyors",0,1,0,NA,NA
"17-2011","17-2011.00","Aerospace Engineers","Aerospace Engineers",0,1,0,"Aerospace engineers","1320"
"17-2021","17-2021.00","Agricultural Engineers","Agricultural Engineers",0,1,0,"Agricultural engineers","1330"
"17-2031","17-2031.00","Biomedical Engineers","Biomedical Engineers",0,1,0,"Biomedical engineers","1340"
"17-2041","17-2041.00","Chemical Engineers","Chemical Engineers",0,1,0,"Chemical engineers","1350"
"17-2051","17-2051.01","Transportation Engineers","Civil Engineers",0,1,0,"Civil engineers","1360"
"17-2051","17-2051.00","Civil Engineers","Civil Engineers",0,1,0,"Civil engineers","1360"
"17-2061","17-2061.00","Computer Hardware Engineers","Computer Hardware Engineers",0,1,0,"Computer hardware engineers","1400"
"17-2071","17-2071.00","Electrical Engineers","Electrical Engineers",0,1,0,NA,NA
"17-2072","17-2072.00","Electronics Engineers, Except Computer","Electronics Engineers, Except Computer",0,1,0,NA,NA
"17-2072","17-2072.01","Radio Frequency Identification Device Specialists","Electronics Engineers, Except Computer",0,1,0,NA,NA
"17-2081","17-2081.01","Water/Wastewater Engineers","Environmental Engineers",0,1,0,"Environmental engineers","1420"
"17-2081","17-2081.00","Environmental Engineers","Environmental Engineers",0,1,0,"Environmental engineers","1420"
"17-2111","17-2111.00","Health and Safety Engineers, Except Mining Safety Engineers and Inspectors","Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",0,1,0,NA,NA
"17-2111","17-2111.01","Industrial Safety and Health Engineers","Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",0,1,0,NA,NA
"17-2111","17-2111.02","Fire-Prevention and Protection Engineers","Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",0,1,0,NA,NA
"17-2111","17-2111.03","Product Safety Engineers","Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",0,1,0,NA,NA
"17-2112","17-2112.00","Industrial Engineers","Industrial Engineers",0,1,0,NA,NA
"17-2112","17-2112.01","Human Factors Engineers and Ergonomists","Industrial Engineers",0,1,0,NA,NA
"17-2121","17-2121.01","Marine Engineers","Marine Engineers and Naval Architects",0,1,0,"Marine engineers and naval architects","1440"
"17-2121","17-2121.02","Marine Architects","Marine Engineers and Naval Architects",0,1,0,"Marine engineers and naval architects","1440"
"17-2121","17-2121.00","Marine Engineers and Naval Architects","Marine Engineers and Naval Architects",0,1,0,"Marine engineers and naval architects","1440"
"17-2131","17-2131.00","Materials Engineers","Materials Engineers",0,1,0,"Materials engineers","1450"
"17-2141","17-2141.01","Fuel Cell Engineers","Mechanical Engineers",0,1,0,"Mechanical engineers","1460"
"17-2141","17-2141.02","Automotive Engineers","Mechanical Engineers",0,1,0,"Mechanical engineers","1460"
"17-2141","17-2141.00","Mechanical Engineers","Mechanical Engineers",0,1,0,"Mechanical engineers","1460"
"17-2151","17-2151.00","Mining and Geological Engineers, Including Mining Safety Engineers","Mining and Geological Engineers, Including Mining Safety Engineers",0,1,0,"Mining and geological engineers, including mining safety engineers","1500"
"17-2161","17-2161.00","Nuclear Engineers","Nuclear Engineers",0,1,0,"Nuclear engineers","1510"
"17-2171","17-2171.00","Petroleum Engineers","Petroleum Engineers",0,1,0,"Petroleum engineers","1520"
"17-2199","17-2199.02","Validation Engineers","Engineers, All Other",0,1,0,"Engineers, all other","1530"
"17-2199","17-2199.10","Wind Energy Engineers","Engineers, All Other",0,1,0,"Engineers, all other","1530"
"17-2199","17-2199.07","Photonics Engineers","Engineers, All Other",0,1,0,"Engineers, all other","1530"
"17-2199","17-2199.00","Engineers, All Other","Engineers, All Other",0,1,0,"Engineers, all other","1530"
"17-2199","17-2199.08","Robotics Engineers","Engineers, All Other",0,1,0,"Engineers, all other","1530"
"17-2199","17-2199.05","Mechatronics Engineers","Engineers, All Other",0,1,0,"Engineers, all other","1530"
"17-2199","17-2199.03","Energy Engineers","Engineers, All Other",0,1,0,"Engineers, all other","1530"
"17-2199","17-2199.01","Biochemical Engineers","Engineers, All Other",0,1,0,"Engineers, all other","1530"
"17-2199","17-2199.06","Microsystems Engineers","Engineers, All Other",0,1,0,"Engineers, all other","1530"
"17-2199","17-2199.11","Solar Energy Systems Engineers","Engineers, All Other",0,1,0,"Engineers, all other","1530"
"17-2199","17-2199.09","Nanosystems Engineers","Engineers, All Other",0,1,0,"Engineers, all other","1530"
"17-2199","17-2199.04","Manufacturing Engineers","Engineers, All Other",0,1,0,"Engineers, all other","1530"
"17-3011","17-3011.00","Architectural and Civil Drafters","Architectural and Civil Drafters",1,1,1,NA,NA
"17-3011","17-3011.01","Architectural Drafters","Architectural and Civil Drafters",1,1,1,NA,NA
"17-3011","17-3011.02","Civil Drafters","Architectural and Civil Drafters",1,1,1,NA,NA
"17-3012","17-3012.00","Electrical and Electronics Drafters","Electrical and Electronics Drafters",1,1,1,NA,NA
"17-3012","17-3012.01","Electronic Drafters","Electrical and Electronics Drafters",1,1,1,NA,NA
"17-3012","17-3012.02","Electrical Drafters","Electrical and Electronics Drafters",1,1,1,NA,NA
"17-3013","17-3013.00","Mechanical Drafters","Mechanical Drafters",1,1,1,NA,NA
"17-3019","17-3019.00","Drafters, All Other","Drafters, All Other",NA,NA,NA,NA,NA
"17-3021","17-3021.00","Aerospace Engineering and Operations Technicians","Aerospace Engineering and Operations Technicians",0,1,0,NA,NA
"17-3022","17-3022.00","Civil Engineering Technicians","Civil Engineering Technicians",1,1,1,NA,NA
"17-3023","17-3023.01","Electronics Engineering Technicians","Electrical and Electronic Engineering Technicians",1,1,1,NA,NA
"17-3023","17-3023.00","Electrical and Electronic Engineering Technicians","Electrical and Electronic Engineering Technicians",1,1,1,NA,NA
"17-3023","17-3023.03","Electrical Engineering Technicians","Electrical and Electronic Engineering Technicians",1,1,1,NA,NA
"17-3024","17-3024.00","Electro-Mechanical Technicians","Electro-Mechanical Technicians",1,1,1,NA,NA
"17-3024","17-3024.01","Robotics Technicians","Electro-Mechanical Technicians",1,1,1,NA,NA
"17-3025","17-3025.00","Environmental Engineering Technicians","Environmental Engineering Technicians",1,1,1,NA,NA
"17-3026","17-3026.00","Industrial Engineering Technicians","Industrial Engineering Technicians",0,1,0,NA,NA
"17-3027","17-3027.00","Mechanical Engineering Technicians","Mechanical Engineering Technicians",1,1,1,NA,NA
"17-3027","17-3027.01","Automotive Engineering Technicians","Mechanical Engineering Technicians",1,1,1,NA,NA
"17-3029","17-3029.00","Engineering Technicians, Except Drafters, All Other","Engineering Technicians, Except Drafters, All Other",1,1,1,NA,NA
"17-3029","17-3029.01","Non-Destructive Testing Specialists","Engineering Technicians, Except Drafters, All Other",1,1,1,NA,NA
"17-3029","17-3029.02","Electrical Engineering Technologists","Engineering Technicians, Except Drafters, All Other",1,1,1,NA,NA
"17-3029","17-3029.03","Electromechanical Engineering Technologists","Engineering Technicians, Except Drafters, All Other",1,1,1,NA,NA
"17-3029","17-3029.04","Electronics Engineering Technologists","Engineering Technicians, Except Drafters, All Other",1,1,1,NA,NA
"17-3029","17-3029.05","Industrial Engineering Technologists","Engineering Technicians, Except Drafters, All Other",1,1,1,NA,NA
"17-3029","17-3029.06","Manufacturing Engineering Technologists","Engineering Technicians, Except Drafters, All Other",1,1,1,NA,NA
"17-3029","17-3029.07","Mechanical Engineering Technologists","Engineering Technicians, Except Drafters, All Other",1,1,1,NA,NA
"17-3029","17-3029.08","Photonics Technicians","Engineering Technicians, Except Drafters, All Other",1,1,1,NA,NA
"17-3029","17-3029.09","Manufacturing Production Technicians","Engineering Technicians, Except Drafters, All Other",1,1,1,NA,NA
"17-3029","17-3029.10","Fuel Cell Technicians","Engineering Technicians, Except Drafters, All Other",1,1,1,NA,NA
"17-3029","17-3029.11","Nanotechnology Engineering Technologists","Engineering Technicians, Except Drafters, All Other",1,1,1,NA,NA
"17-3029","17-3029.12","Nanotechnology Engineering Technicians","Engineering Technicians, Except Drafters, All Other",1,1,1,NA,NA
"17-3031","17-3031.01","Surveying Technicians","Surveying and Mapping Technicians",1,1,1,"Surveying and mapping technicians","1560"
"17-3031","17-3031.00","Surveying and Mapping Technicians","Surveying and Mapping Technicians",1,1,1,"Surveying and mapping technicians","1560"
"17-3031","17-3031.02","Mapping Technicians","Surveying and Mapping Technicians",1,1,1,"Surveying and mapping technicians","1560"
"19-1011","19-1011.00","Animal Scientists","Animal Scientists",0,1,0,NA,NA
"19-1012","19-1012.00","Food Scientists and Technologists","Food Scientists and Technologists",0,1,0,NA,NA
"19-1013","19-1013.00","Soil and Plant Scientists","Soil and Plant Scientists",0,1,0,NA,NA
"19-1020","19-1020.01","Biologists","Biological Scientists",0,1,0,"Biological scientists","1610"
"19-1021","19-1021.00","Biochemists and Biophysicists","Biochemists and Biophysicists",0,1,0,NA,NA
"19-1022","19-1022.00","Microbiologists","Microbiologists",0,1,0,NA,NA
"19-1023","19-1023.00","Zoologists and Wildlife Biologists","Zoologists and Wildlife Biologists",0,1,0,NA,NA
"19-1029","19-1029.01","Bioinformatics Scientists","Biological Scientists, All Other",0,1,0,NA,NA
"19-1029","19-1029.02","Molecular and Cellular Biologists","Biological Scientists, All Other",0,1,0,NA,NA
"19-1029","19-1029.00","Biological Scientists, All Other","Biological Scientists, All Other",0,1,0,NA,NA
"19-1029","19-1029.03","Geneticists","Biological Scientists, All Other",0,1,0,NA,NA
"19-1031","19-1031.02","Range Managers","Conservation Scientists",0,1,0,NA,NA
"19-1031","19-1031.03","Park Naturalists","Conservation Scientists",0,1,0,NA,NA
"19-1031","19-1031.00","Conservation Scientists","Conservation Scientists",0,1,0,NA,NA
"19-1031","19-1031.01","Soil and Water Conservationists","Conservation Scientists",0,1,0,NA,NA
"19-1032","19-1032.00","Foresters","Foresters",0,0,0,NA,NA
