"","X","source","target","weight"
"206",206,"believe","result",1
"207",207,"believe","segregation",1
"208",208,"believe","self",1
"209",209,"believe","separate",1
"210",210,"believe","southern",1
"211",211,"believe","train",1
"212",212,"believe","white",1
"213",213,"believe","White",1
"214",214,"believe","whites",1
"215",215,"believe","work",2
"216",216,"belong","negro",1
"217",217,"benefit","much",1
"218",218,"benefit","races",1
"219",219,"best","effort",1
"220",220,"best","interest",1
"221",221,"best","keep",2
"222",222,"best","separate",1
"223",223,"best","separated",1
"224",224,"best","soldier",1
"225",225,"best","training",1
"226",226,"best","unclear",1
"227",227,"best","volunteer",1
"228",228,"better","advance",2
"229",229,"better","advancement",3
"230",230,"better","army",1
"231",231,"better","break",1
"232",232,"better","camp",1
"233",233,"better","cause",1
"234",234,"better","chance",8
"235",235,"better","color",1
"236",236,"better","combine",1
"237",237,"better","come",1
"238",238,"better","concerned",4
"239",239,"better","condition",1
"240",240,"better","cooperation",4
"241",241,"better","develop",1
"242",242,"better","exist",1
"243",243,"better","feeling",1
"244",244,"better","fight",1
"245",245,"better","fighting",1
"246",246,"better","get",1
"247",247,"better","group",3
"248",248,"better","harmony",2
"249",249,"better","higher",1
"250",250,"better","intelligent",1
"251",251,"better","keep",2
"252",252,"better","kind",2
"253",253,"better","less",1
"254",254,"better","lot",1
"255",255,"better","majority",1
"256",256,"better","make",1
"257",257,"better","man",3
"258",258,"better","member",1
"259",259,"better","mix",3
"260",260,"better","morale",1
"261",261,"better","negro",3
"262",262,"better","negro",1
"263",263,"better","officer",1
"264",264,"better","opportunity",1
"265",265,"better","outfit",12
"266",266,"better","people",3
"267",267,"better","position",1
"268",268,"better","postwar",1
"269",269,"better","promotion",1
"270",270,"better","put",1
"271",271,"better","race",5
"272",272,"better","reason",1
"273",273,"better","result",1
"274",274,"better","separate",10
"275",275,"better","serve",1
"276",276,"better","show",2
"277",277,"better","soldier",7
"278",278,"better","spirit",1
"279",279,"better","team",4
"280",280,"better","themselves",1
"281",281,"better","think",1
"282",282,"better","time",1
"283",283,"better","together",1
"284",284,"better","training",1
"285",285,"better","treatment",1
"286",286,"better","trouble",1
"287",287,"better","unclear",1
"288",288,"better","understanding",2
"289",289,"better","unit",3
"290",290,"better","units",1
"291",291,"better","way",1
"292",292,"better","white",3
"293",293,"better","work",2
"294",294,"between","sic",1
"295",295,"between","negro",1
"296",296,"between","white",1
"297",297,"big","black",1
"298",298,"big","car",1
"299",299,"bigoted","army",1
"300",300,"bigoted","person",1
"301",301,"bigoted","live",1
"302",302,"bind","brother",1
"304",304,"bitter","soldier",1
"305",305,"bitter","white",1
"306",306,"black","car",1
"307",307,"black","cleaner",1
"308",308,"black","fighting",1
"309",309,"black","get",1
"310",310,"black","less",1
"311",311,"black","man",2
"312",312,"black","mix",1
"313",313,"black","officer",1
"314",314,"black","race",3
"315",315,"black","separate",2
"316",316,"black","soldier",1
"317",317,"black","stripe",1
"318",318,"black","take",1
"319",319,"black","white",6
"320",320,"black","work",1
"321",321,"blacks","prejudice",1
"322",322,"blacks","racial",1
"323",323,"blacks","white",1
"324",324,"blend","negro",1
"325",325,"blend","white",1
"326",326,"blind","whites",1
"327",327,"blood","battlefront",1
"328",328,"body","cleanliness",1
"329",329,"body","light",1
"330",330,"body","mind",1
"331",331,"body","odor",2
"332",332,"bound","arise",1
"333",333,"bound","discord",1
"334",334,"bound","trouble",1
"335",335,"boy","boy",1
"336",336,"boy","damn",1
"337",337,"boy","feel",1
"338",338,"boy","get",1
"339",339,"boy","like",1
"340",340,"boy","lot",1
"341",341,"boy","mix",1
"342",342,"boy","negro",2
"343",343,"boy","order",1
"344",344,"boy","resent",1
"345",345,"boy","smarter",1
"346",346,"boy","south",1
"347",347,"boy","take",1
"348",348,"boy","unclear",1
"349",349,"boy","want",1
"350",350,"boy","war",1
"351",351,"boy","whole",1
"352",352,"boys","corps",1
"353",353,"break","custom",1
"354",354,"break","friendship",1
"355",355,"break","mix",1
"356",356,"break","white",1
"357",357,"breed","discontent",1
"358",358,"breed","man",1
"359",359,"breed","understanding",1
"360",360,"bring","better",1
"361",361,"bring","disharmony",1
"362",362,"bring","friction",1
"363",363,"bring","negro",1
"364",364,"bring","relationship",1
"365",365,"bring","understanding",1
"366",366,"bring","white",1
"367",367,"broadmind","people",1
"368",368,"broadmind","understanding",1
"369",369,"brother","brother",1
"370",370,"brother","common",1
"371",371,"brother","much",1
"372",372,"building","morale",1
"373",373,"bully","private",1
"374",374,"bully","white",1
"375",375,"bunch","look",1
"376",376,"bunch","poor",1
"377",377,"bunch","southerner",1
"378",378,"bunk","enlist",1
"379",379,"business","many",1
"380",380,"business","reason",1
"381",381,"co","white",1
"382",382,"call","buddy",1
"383",383,"call","negro",1
"384",384,"camp","basic",1
"385",385,"camp","feel",1
"386",386,"camp","officer",1
"387",387,"camp","start",1
"388",388,"camp","they",1
"389",389,"camp","training",1
"390",390,"can","get",1
"391",391,"can","see",1
"392",392,"can","thing",1
"393",393,"capable","different",1
"394",394,"capable","type",1
"395",395,"car","stripe",1
"396",396,"car","suit",1
"397",397,"care","bink",1
"398",398,"care","man",1
"399",399,"care","mix",2
"400",400,"care","negro",1
"401",401,"care","negro",1
"402",402,"care","next",1
"403",403,"care","object",1
"404",404,"care","sleep",2
"405",405,"carry","diseases",1
"406",406,"carry","thing",1
"407",407,"case","difference",1
"408",408,"case","racial",1
"409",409,"case","use",1
"410",410,"cast","predejectry",1
"411",411,"cast","tradition",1
"412",412,"cause","bad",1
"413",413,"cause","believe",1
"414",414,"cause","complication",1
"415",415,"cause","defeat",1
"416",416,"cause","dissension",1
"417",417,"cause","disturbance",1
"418",418,"cause","disunity",1
"419",419,"cause","feeling",1
"420",420,"cause","fight",3
"421",421,"cause","friction",3
"422",422,"cause","indifference",1
"423",423,"cause","jealousy",1
"424",424,"cause","jealousy",1
"425",425,"cause","less",1
"426",426,"cause","lot",2
"427",427,"cause","many",1
"428",428,"cause","much",3
"429",429,"cause","negro",1
"430",430,"cause","person",1
"431",431,"cause","racial",1
"432",432,"cause","reason",1
"433",433,"cause","riot",1
"434",434,"cause","see",1
"435",435,"cause","segregation",1
"436",436,"cause","serious",1
"437",437,"cause","Soldiers",1
"438",438,"cause","southern",1
"439",439,"cause","take",1
"440",440,"cause","trouble",9
"441",441,"cause","unclear",1
"442",442,"cause","war",1
"443",443,"cause","white",1
"444",444,"cent","get",1
"445",445,"cent","many",1
"446",446,"cent","negro",1
"447",447,"cent","stand",1
"448",448,"cent","trust",1
"449",449,"certain","many",1
"450",450,"certain","way",1
"451",451,"certain","white",1
"452",452,"chain","strong",1
"453",453,"chance","ability",1
"454",454,"chance","advance",1
"455",455,"chance","advancement",4
"456",456,"chance","discontentment",1
"457",457,"chance","express",1
"458",458,"chance","friction",3
"459",459,"chance","full",1
"460",460,"chance","life",1
"461",461,"chance","outfit",1
"462",462,"chance","persons",1
"463",463,"chance","prevent",1
"464",464,"chance","promotion",1
"465",465,"chance","prove",3
"466",466,"chance","race",1
"467",467,"chance","racial",1
"468",468,"chance","riot",1
"469",469,"chance","serve",1
"470",470,"chance","share",1
"471",471,"chance","show",2
"472",472,"chance","undesirable",1
"473",473,"chance","undesirable",1
"474",474,"chance","white",2
"475",475,"chance","worth",1
"476",476,"change","army",2
"477",477,"change","belief",1
"478",478,"change","mind",1
"479",479,"change","tradition",1
"480",480,"change","turn",1
"481",481,"change","whole",1
"482",482,"characteristic","unclear",1
"483",483,"check","mark",1
"484",484,"chinese","accept",1
"485",485,"chinese","american",1
"486",486,"choose","fight",1
"487",487,"city","negro",1
"488",488,"city","run",1
"489",489,"civil","war",1
"490",490,"civilian","life",3
"491",491,"civilian","negro",1
"492",492,"civilize","people",1
"493",493,"class","man",1
"494",494,"class","part",1
"495",495,"class","people",3
"496",496,"class","race",1
"497",497,"class","remember",1
"498",498,"class","Whites",1
"499",499,"classify","limit",1
"500",500,"classify","service",1
"501",501,"clean","man",1
"502",502,"clean","people",1
"503",503,"clean","wer",1
"504",504,"clean","white",2
"505",505,"climate","white",1
"506",506,"close","association",1
"507",507,"close","discord",1
"508",508,"close","emphasize",1
"509",509,"close","harmony",1
"510",510,"close","little",1
"511",511,"close","relationship",1
"512",512,"code","instuctor",1
"513",513,"code","phase",1
"514",514,"cold","time",1
"515",515,"color","people",1
"516",516,"color","association",1
"517",517,"color","boy",1
"518",518,"color","boys",1
"519",519,"color","cause",1
"520",520,"color","creed",1
"521",521,"color","die",1
"522",522,"color","dirty",1
"523",523,"color","feel",1
"524",524,"color","fight",1
"525",525,"color","look",1
"526",526,"color","man",3
"527",527,"color","many",1
"528",528,"color","mix",2
"529",529,"color","negro",1
"530",530,"color","object",1
"531",531,"color","people",3
"532",532,"color","race",3
"533",533,"color","think",1
"534",534,"color","Whites",1
"535",535,"color","work",1
"536",536,"colored","better",1
"537",537,"colored","get",1
"538",538,"colored","happier",1
"539",539,"colored","inferior",1
"540",540,"colored","man",2
"541",541,"colored","mix",1
"542",542,"colored","officer",1
"543",543,"colored","operate",1
"544",544,"colored","people",1
"545",545,"colored","race",3
"546",546,"colored","separate",1
"547",547,"colored","soldier",1
"548",548,"colored","southerner",1
"549",549,"colored","troops",2
"550",550,"colored","unclear",2
"551",551,"colored","white",2
"552",552,"colored","work",1
"553",553,"combat","area",1
"554",554,"combat","duty",1
"555",555,"combat","group",1
"556",556,"combat","keep",1
"557",557,"combat","make",1
"558",558,"combat","one",1
"559",559,"combat","outfit",1
"560",560,"combat","serve",1
"561",561,"combat","zone",1
"562",562,"combine","outfit",1
"563",563,"combine","races",1
"564",564,"come","camp",1
"565",565,"come","city",1
"566",566,"come","class",1
"567",567,"come","different",1
"568",568,"come","fight",1
"569",569,"come","intermingling",1
"570",570,"come","large",1
"571",571,"come","live",1
"572",572,"come","negro",2
"573",573,"come","officer",1
"574",574,"come","old",1
"575",575,"come","safe",1
"576",576,"come","south",1
"577",577,"come","think",1
"578",578,"comfortable","live",1
"579",579,"comm","comm",1
"580",580,"comm","non",1
"581",581,"comment","common",1
"582",582,"comment","apply",1
"583",583,"comment","make",3
"584",584,"comment","question",1
"585",585,"comment","wish",1
"586",586,"commission","enlist",1
"587",587,"commission","man",1
"588",588,"commission","officer",1
"589",589,"commission","officer",1
"590",590,"common","cause",1
"591",591,"common","level",1
"592",592,"common","negro",1
"593",593,"company","soldier",1
"594",594,"compete","soldier",1
"595",595,"compete","white",1
"596",596,"competition","competition",1
"597",597,"competition","unified",1
"598",598,"competitive","spirit",1
"599",599,"competitive","unclear",1
"600",600,"complete","equal",1
"601",601,"complete","unity",1
"602",602,"complex","men",1
"603",603,"complex","result",1
"604",604,"complicated","machine",1
"605",605,"concentrate","problem",1
"606",606,"concerned","think",1
"607",607,"concerning","conduct",1
"608",608,"concerning","whites",1
"609",609,"condition","camp",1
"610",610,"condition","change",1
"611",611,"condition","different",1
"612",612,"condition","eliminate",1
"613",613,"condition","friction",1
"614",614,"condition","long",1
"615",615,"condition","make",1
"616",616,"condition","man",1
"617",617,"condition","outfit",1
"618",618,"condition","races",1
"619",619,"condition","separate",1
"620",620,"condition","soldier",1
"621",621,"condition","white",1
"622",622,"conduct","become",1
"623",623,"conduct","whites",1
"624",624,"connect","outfit",1
"625",625,"considerate","insertion",1
"626",626,"constant","contention",1
"627",627,"constant","quarrel",1
"628",628,"consider","good",1
"629",629,"consider","self",1
"630",630,"contact","negro",1
"631",631,"contact","negro",1
"632",632,"contention","bound",1
"633",633,"continue","sort",1
"634",634,"Contradiction","order",1
"635",635,"cooperate","better",3
"636",636,"cooperate","noncom",1
"637",637,"cooperate","officer",1
"638",638,"cooperate","officer",1
"639",639,"cooperate","outfit",1
"640",640,"cooperate","separate",1
"641",641,"cooperation","keep",1
"642",642,"cooperation","mix",2
"643",643,"cooperation","outfit",1
"644",644,"cooperation","separate",1
"645",645,"cooperation","way",1
"646",646,"corps","bear",1
"647",647,"corps","natural",1
"649",649,"could not","get",1
"650",650,"country","civilize",1
"651",651,"country","negro",1
"652",652,"country","people",1
"653",653,"country","seldom",1
"654",654,"country","think",1
"655",655,"country","white",1
"656",656,"country","world",1
"657",657,"court","eat",1
"658",658,"court","martial",1
"659",659,"courtmartial","assault",1
"660",660,"courtmartial","day",1
"661",661,"create","Disturbance",1
"662",662,"create","fight",1
"663",663,"create","friction",1
"664",664,"create","interest",1
"665",665,"create","lack",1
"666",666,"create","less",1
"667",667,"create","outfit",1
"668",668,"create","trouble",2
"669",669,"create","whereas",1
"670",670,"credit","achievement",1
"671",671,"credit","credit",1
"672",672,"credit","race",1
"673",673,"creed","bind",1
"674",674,"criminal","intent",1
"675",675,"custom","tradition",1
"676",676,"customs","belief",1
"677",677,"damn","mix",1
"678",678,"damn","negro",1
"679",679,"damned","sleep",1
"680",680,"date","accustom",1
"681",681,"day","assault",1
"682",682,"day","battery",1
"683",683,"deal","hurry",1
"684",684,"deal","negro",1
"685",685,"deal","prejudice",1
"686",686,"deal","race",2
"687",687,"deal","unclear",1
"689",689,"definite","thing",1
"690",690,"definite","way",1
"691",691,"definitely","outfit",1
"692",692,"definitely","separate",1
"693",693,"deletion","abusive",1
"694",694,"deletion","deletion",8
"695",695,"deletion","fight",1
"696",696,"deletion","get",1
"697",697,"deletion","outfit",1
"698",698,"deletion","people",1
"699",699,"deletion","work",1
"700",700,"democratic","leave",1
"701",701,"democratic","thing",1
"702",702,"demonstration","method",1
"703",703,"depend","amount",1
"704",704,"depend","circumstance",1
"705",705,"depend","individual",1
"706",706,"depend","locale",1
"707",707,"depend","negro",1
"708",708,"depend","section",1
"709",709,"Desecration","rank",1
"710",710,"desirable","odor",1
"711",711,"destroy","apply",1
"712",712,"detrimental","morale",1
"713",713,"develop","separate",1
"714",714,"develop","segregate",1
"715",715,"different","different",1
"716",716,"different","Outlook",1
"717",717,"devils","human",1
"718",718,"die","quick",1
"719",719,"disease","whites",1
"720",720,"differ","race",1
"721",721,"differ","character",1
"722",722,"differ","much",1
"723",723,"differ","spend",1
"724",724,"difference","race",1
"725",725,"difference","civilian",1
"726",726,"difference","class",1
"727",727,"difference","condition",2
"728",728,"difference","create",1
"729",729,"difference","good",1
"730",730,"difference","habit",1
"731",731,"difference","hard",1
"732",732,"difference","live",4
"733",733,"difference","living",1
"734",734,"difference","negro",1
"735",735,"difference","nerve",1
"736",736,"difference","opinion",1
"737",737,"difference","soldier",1
"738",738,"difference","standard",2
"739",739,"difference","tend",1
"740",740,"difference","trouble",1
"741",741,"difference","way",1
"742",742,"different","agree",1
"743",743,"different","attitude",1
"744",744,"different","barrack",1
"745",745,"different","belief",1
"746",746,"different","civilian",1
"747",747,"different","class",1
"748",748,"different","class",4
"749",749,"different","climate",1
"750",750,"different","color",1
"751",751,"different","color",1
"752",752,"different","combat",1
"753",753,"different","company",2
"754",754,"different","country",1
"755",755,"different","customs",1
"756",756,"different","difference",1
"757",757,"different","different",4
"758",758,"different","group",1
"759",759,"different","habit",2
"760",760,"different","hall",1
"761",761,"different","idea",3
"762",762,"different","life",1
"763",763,"different","living",2
"764",764,"different","lower",1
"765",765,"different","man",1
"766",766,"different","mess",1
"767",767,"different","morale",1
"768",768,"different","national",1
"769",769,"different","nature",1
"770",770,"different","Northern",1
"771",771,"different","outfit",2
"772",772,"different","outlook",1
"773",773,"different","Outlook",1
"774",774,"different","part",2
"775",775,"different","people",6
"776",776,"different","person",1
"777",777,"different","race",6
"778",778,"different","races",1
"779",779,"different","regiment",1
"780",780,"different","respects",1
"781",781,"different","section",1
"782",782,"different","separation",1
"783",783,"different","serve",1
"784",784,"different","soldier",1
"785",785,"different","standard",2
"786",786,"different","temperment",1
"787",787,"different","thing",1
"788",788,"different","type",2
"789",789,"different","unclear",4
"790",790,"different","uniform",1
"791",791,"different","way",3
"792",792,"different","white",6
"793",793,"difficulty","prejudice",1
"794",794,"difficulty","race",1
"795",795,"different","people",1
"796",796,"different","tip",1
"797",797,"direct","contact",1
"798",798,"direct","first",1
"799",799,"direct","negro",1
"800",800,"direct","variance",1
"801",801,"dirty","body",1
"802",802,"dirty","fellow",1
"803",803,"dirty","human",1
"804",804,"dirty","many",1
"805",805,"dirty","mind",1
"806",806,"dirty","unclear",1
"807",807,"dirty","white",1
"808",808,"disaster","arise",1
"809",809,"disaster","faction",1
"810",810,"discontent","man",1
"811",811,"discord","avoid",1
"812",812,"discord","negro",1
"813",813,"discord","negro",1
"814",814,"discrepancy","officer",1
"815",815,"discrepancy","white",1
"816",816,"discriminate","colored",1
"817",817,"discriminate","white",1
"818",818,"discrimination","cause",1
"819",819,"discrimination","disunity",1
"820",820,"discrimination","prejudice",1
"821",821,"discrimination","racial",1
"822",822,"discuss","condition",1
"823",823,"Disease","high",1
"824",824,"Disease","rate",1
"825",825,"diseases","spread",1
"826",826,"dislike","mixing",1
"827",827,"dislike","negro",2
"828",828,"dislike","people",1
"829",829,"dislike","white",1
"830",830,"disliking","many",1
"831",831,"disliking","white",1
"832",832,"dissatisfaction","resentment",1
"833",833,"dissension","man",1
"834",834,"distinction","people",1
"835",835,"distinction","power",1
"836",836,"distinction","race",1
"837",837,"distinction","white",1
"838",838,"disturbance","mix",1
"839",839,"disturbance","unclear",1
"840",840,"disunity","disunity",1
"841",841,"disunity","lose",1
"842",842,"disunity","war",1
"843",843,"drop","drop",1
"844",844,"doubt","negro",1
"845",845,"doubt","want",1
"846",846,"doubt","white",1
"847",847,"dress","unclear",1
"848",848,"drill","eat",1
"849",849,"drill","man",1
"850",850,"drill","sleep",1
"851",851,"drill","white",1
"852",852,"drink","matter",1
"853",853,"drink","soldier",1
"854",854,"drive","garbage",1
"855",855,"drive","man",1
"856",856,"drop","happen",1
"857",857,"drop","morale",1
"858",858,"ease","comfort",1
"859",859,"easier","discipline",1
"860",860,"easier","maintain",1
"861",861,"eat","become",1
"862",862,"eat","essential",1
"863",863,"eat","know",1
"864",864,"eat","live",1
"865",865,"eat","mess",2
"866",866,"eat","negro",2
"867",867,"eat","negro",2
"868",868,"eat","sleep",3
"869",869,"eat","whites",1
"870",870,"educate","show",1
"871",871,"education","actual",1
"872",872,"educational","body",1
"873",873,"educational","cleanliness",1
"874",874,"efficiency","attain",1
"875",875,"efficiency","lose",1
"876",876,"efficiency","lower",1
"877",877,"efficiency","outfit",3
"878",878,"efficiency","white",1
"879",879,"efficient","negro",1
"880",880,"efficient","way",1
"881",881,"effort","lower",1
"882",882,"effort","meaning",1
"883",883,"effort","morale",1
"884",884,"effort","unclear",1
"885",885,"effort","understand",1
"886",886,"either","put",1
"887",887,"element","work",1
"888",888,"eliminate","argument",1
"889",889,"eliminate","good",1
"890",890,"eliminate","policy",1
"891",891,"else","between",1
"892",892,"else","sic",1
"893",893,"ease","unclear",1
"894",894,"emergency","come",1
"895",895,"enable","cooperate",1
"896",896,"end","serious",1
"897",897,"end","trouble",2
"898",898,"enjoy","way",1
"899",899,"enlist","come",1
"900",900,"enlist","finish",1
"901",901,"enlist","help",1
"902",902,"enlist","man",1
"903",903,"enmity","troops",1
"904",904,"enough","boat",1
"905",905,"enough","broadmind",1
"906",906,"enough","outfit",1
"907",907,"enough","life",1
"908",908,"enough","lose",1
"909",909,"enough","outfit",1
"910",910,"enough","people",1
"911",911,"enough","room",1
"912",912,"enough","southerner",1
"913",913,"enough","understanding",1
"914",914,"entitle","rights",1
"915",915,"equal","chance",1
"916",916,"equal","people",1
"917",917,"equal","privileges",1
"918",918,"equal","rank",1
"919",919,"equal","rights",2
"920",920,"equal","treatment",1
"921",921,"equal","white",2
"922",922,"equipment","connect",1
"923",923,"equipment","outfit",1
"924",924,"essential","army",1
"925",925,"essential","perform",1
"926",926,"eternal","question",1
"927",927,"eternal","races",1
"928",928,"eternal","superior",1
"929",929,"exception","cent",1
"930",930,"exception","trust",1
"931",931,"excuse","trouble",1
"932",932,"excuse","Whites",1
"933",933,"exist","common",1
"934",934,"exist","higher",1
"935",935,"exist","level",1
"936",936,"exist","spirit",1
"937",937,"exist","unclear",1
"938",938,"expect","carry",1
"939",939,"experienced","trainy",1
"940",940,"explain","unclear",1
"941",941,"extent","live",1
"942",942,"extreme","come",1
"943",943,"extreme","condition",1
"944",944,"extreme","difference",1
"945",945,"extreme","emergency",1
"946",946,"extreme","live",1
"947",947,"face","kind",1
"948",948,"fact","create",1
"949",949,"fact","live",1
"950",950,"fact","need",1
"951",951,"fact","negro",1
"952",952,"fact","negro",1
"953",953,"fact","northern",1
"954",954,"faction","arise",1
"955",955,"factor","result",1
"956",956,"fair","either",1
"957",957,"fair","put",1
"958",958,"familiar","code",1
"959",959,"family","furlough",1
"960",960,"family","get",1
"961",961,"fancy","bunking",1
"962",962,"fancy","idea",1
"963",963,"favoritism","color",1
"964",964,"feeling","people",1
"965",965,"feel","better",10
"966",966,"feel","equal",1
"967",967,"feel","free",1
"968",968,"feel","home",1
"969",969,"feel","inferior",3
"970",970,"feel","natural",1
"971",971,"feel","negro",2
"972",972,"feel","place",2
"973",973,"feel","satisfied",1
"974",974,"feel","soldier",1
"975",975,"feel","talk",1
"976",976,"feel","unclear",3
"977",977,"feel","unequal",1
"978",978,"feel","white",3
"979",979,"feel","work",1
"980",980,"feeling","black",1
"981",981,"feeling","detrimental",1
"982",982,"feeling","favoritism",1
"983",983,"feeling","great",1
"984",984,"feeling","man",1
"985",985,"feeling","member",1
"986",986,"feeling","morale",1
"987",987,"feeling","races",1
"988",988,"feeling","soldier",1
"989",989,"feeling","unclear",1
"990",990,"feeling","unity",1
"991",991,"feeling","white",2
"992",992,"feel","man",1
"993",993,"feel","next",1
"994",994,"feeling","people",1
"995",995,"feeling","white",1
"996",996,"fellow","get",1
"997",997,"fellow","like",2
"998",998,"fellow","man",2
"999",999,"fellow","member",1
"1000",1000,"fellow","negro",1
"1001",1001,"fellow","negro",1
"1002",1002,"fellow","react",1
"1003",1003,"fellow","sleeping",1
"1004",1004,"fellow","soldier",1
"1005",1005,"fellow","south",1
"1006",1006,"fellow","stand",1
"1007",1007,"fellow","think",2
"1008",1008,"fellow","want",1
